date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,507,464,491.6,483,8.6,537,30263,14808496.4
2022-02-21,516,482,511,491.6,19.4,620,28319,14233938
2022-02-22,555,512,535,511,24,1276,68842,36891538
2022-02-23,566,530,550,535,15,1047,44722,24521558.5
2022-02-24,550.8,518,520,550,-30,697,37596,19839208.7
2021-11-29,310.5,282.3,310.5,,28.2,29,194,57717.7
2021-11-30,341.5,316.7,341.5,310.5,31,26,171,57762.7
2021-12-01,375.6,348.3,375.6,341.5,34.1,17,150,55348
2021-12-02,413.1,375.6,413.1,375.6,37.5,41,390,159850
2021-12-05,454.4,421.3,454.4,413.1,41.3,157,1533,695114.2
2021-12-06,499.8,409,433,454.4,-21.4,4466,81212,35157169.3
2021-12-07,459,414,416,433,-17,1644,30287,13054412
2021-12-08,410,400,408,416,-8,985,10795,4365534
2021-12-09,404,385,393,408,-15,611,12424,4881113
2021-12-12,392,364,365,393,-28,468,17386,6665237.8
2021-12-13,386,332,347,365,-18,462,10591,3666838.1
2021-12-14,381.7,350,381.7,347,34.7,203,4849,1786201.5
2021-12-15,412,363,372,381.7,-9.7,527,17495,6820720.5
2021-12-16,385.5,360,363,372,-9,253,5854,2139034.1
2021-12-20,362,343,347,363,-16,290,4850,1693137.5
2021-12-21,356.9,344,356.9,347,9.9,255,5216,1819310
2021-12-22,378,357,378,356.9,21.1,327,7385,2739578.5
2021-12-23,380,365.1,371,378,-7,321,8049,2996923.7
2021-12-26,377,362.6,375,371,4,352,8054,2981678.1
2021-12-27,375,358,360,375,-15,277,11881,4337568.6
2021-12-28,362.4,351,358,360,-2,178,4065,1445544
2021-12-29,372,351.2,364,358,6,243,4050,1453923
2022-01-02,386.1,353,383,364,19,370,11390,4225588
2022-01-03,390,362,379,383,-4,335,13813,5284335
2022-01-04,388,367.1,384,379,5,308,7729,2930709.5
2022-01-05,397.8,371,382,384,-2,446,14924,5784544.6
2022-01-06,393,369.1,393,382,11,374,11525,4478146.2
2022-01-09,432.3,390.1,430,393,37,831,24892,10257910.6
2022-01-10,439.9,420,439,430,9,687,20907,8944679
2022-01-11,482,431,482,439,43,791,31728,14442356.7
2022-01-12,486,460,482,482,,756,25627,12149344.5
2022-01-13,485,463,481,482,-1,691,20163,9595904.3
2022-01-16,489.6,469,470.1,481,-10.9,740,32274,15373548.6
2022-01-17,492,460,492,470.1,21.9,1177,28599,13648695.9
2022-01-18,505,490,499,492,7,1685,30733,15266600
2022-01-19,499,481,484.1,499,-14.9,781,13433,6529765.1
2022-01-20,529,474.6,527,484.1,42.9,1375,34689,17495226.5
2022-01-23,545,510,517,527,-10,1080,31446,16434622.2
2022-01-24,520,480,492,517,-25,743,37075,18122049.1
2022-01-25,503,472,485.1,492,-6.9,478,18223,8991627.2
2022-01-26,485,463,473,485.1,-12.1,386,11451,5413079.9
2022-01-27,481,465,475,473,2,388,9620,4552178.8
2022-01-30,510,484.5,505,475,30,896,25004,12395030.3
2022-01-31,505,488,489,505,-16,487,9895,4891869.5
2022-02-01,524,481,509,489,20,901,21831,10987045
2022-02-03,530.2,503,530,509,21,1690,56373,29323342
2022-02-06,527,503,515,530,-15,816,34028,17348044
2022-02-07,515,499.1,509,515,-6,645,11704,5959093
