date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,490.6,472.4,486,491,-5,39,3472,1674603.5
2022-02-21,503,486,491.1,486,5.1,30,3783,1895480
2022-02-22,507,491,499,491.1,7.9,34,4053,2015991.7
2022-02-23,499,491,491.1,499,-7.9,8,860,422352.9
2022-02-24,491,477,480,491.1,-11.1,34,5929,2852655.5
2010-04-20,169,166,166,172,-6,2,40,6670
2010-06-06,163,163,163,166,-3,18,220,35860
2010-06-07,160,160,160,163,-3,1,20,3200
2010-06-14,157,157,157,160,-3,1,20,3140
2010-06-20,154,151,151,157,-6,2,30,4590
2010-06-23,148,148,148,151,-3,5,200,29600
2010-07-15,150,150,150,148,2,1,20,3000
2010-07-18,150,150,150,150,,7,130,19500
2010-07-20,151,147,151,150,1,16,220,32760
2010-08-01,151,151,151,151,,1,10,1510
2010-08-02,151,148,148,151,-3,3,40,5980
2010-08-03,146,142,144,148,-4,6,180,25840
2010-08-05,142,142,142,144,-2,2,50,7100
2010-08-10,144,140,144,142,2,12,590,83160
2010-08-11,148,142,148,144,4,8,240,34860
2010-08-12,153,150,153,148,5,8,220,33150
2010-08-16,150,147,147,153,-6,2,20,2970
2010-10-21,143,141,143,145,-2,18,270,38170
2010-11-14,136,136,136,143,-7,1,10,1360
2010-11-22,134,123,123,136,-13,12,680,84550
2010-11-29,121,119,119,123,-4,2,20,2400
2010-12-27,117,115,115,119,-4,3,80,9240
2011-01-04,113,113,113,115,-2,7,890,100570
2011-01-10,108,108,108,113,-5,2,90,9720
2011-01-12,106,106,106,108,-2,7,70,7420
2011-01-20,104,96,98,106,-8,54,1370,138070
2011-01-23,97,97,97,98,-1,1,150,14550
2011-01-24,96,96,96,97,-1,3,30,2880
2011-02-01,102,97,102,96,6,16,700,69400
2011-02-02,106,102,102,102,,9,620,64400
2011-02-03,106,102,106,102,4,8,480,49720
2011-02-06,108,106,108,106,2,3,100,10720
2011-02-08,106,104,104,108,-4,5,530,55280
2011-02-09,102,102,102,104,-2,1,40,4080
2011-02-15,106,100,106,102,4,7,80,8120
2011-03-14,104,102,102,106,-4,2,220,22460
2011-03-15,100,97,98,102,-4,13,260,25520
2011-03-21,98,98,98,98,,3,50,4900
2011-03-28,100,100,100,98,2,12,420,42000
2011-05-24,100,100,100,100,,1,70,7000
2011-06-08,100,100,100,100,,8,210,21000
2011-06-16,95,94,94,100,-6,2,860,81270
2011-06-19,93,93,93,94,-1,1,20,1860
2011-06-20,92,92,92,93,-1,4,160,14720
2011-06-30,92,92,92,92,,8,160,14720
2011-07-26,91,91,91,92,-1,1,10,910
2011-07-28,90,90,90,91,-1,1,70,6300
2011-08-02,90,90,90,90,,1,680,61200
2011-08-03,90,90,90,90,,1,150,13500
2011-08-07,90,86,86,90,-4,16,5800,499250
2011-08-17,85,85,85,86,-1,4,100,8500
2011-08-22,84,83,83,85,-2,17,170,14120
2011-08-24,82,81,81,83,-2,2,120,9740
2011-08-25,83,82,83,81,2,3,30,2470
2011-08-28,84,82,82,83,-1,8,100,8290
2011-09-08,81,81,81,82,-1,9,1350,109350
2011-09-14,81,80,80,81,-1,4,100,8030
2011-09-15,81,81,81,80,1,6,640,51840
2011-09-18,80,73,73,81,-8,15,5970,465860
2011-09-21,72,71,71,73,-2,5,150,10710
2011-09-22,71,71,71,71,,2,40,2840
2011-09-26,70,70,70,71,-1,1,70,4900
2011-10-09,71,71,71,70,1,10,630,44730
2011-10-10,70,69,69,71,-2,4,170,11860
2011-10-12,69,68,68,69,-1,2,910,61920
2011-10-16,68,68,68,68,,1,20,1360
2011-10-17,67,67,67,68,-1,1,210,14070
2011-10-19,66,62,62,67,-5,8,690,44030
2011-10-20,63,63,63,62,1,1,20,1260
2011-10-23,63,61,61,63,-2,5,260,16150
2011-10-24,64,62,63,61,2,23,290,18360
2011-10-30,63,63,63,63,,3,70,4410
2011-11-03,64,64,64,63,1,1,20,1280
2011-11-08,63,63,63,64,-1,1,40,2520
2011-11-13,69,64,68,63,5,15,470,31460
2011-11-17,67,67,67,68,-1,1,20,1340
2011-11-20,68,68,68,67,1,1,70,4760
2011-11-21,70,69,70,68,2,2,40,2780
2011-11-22,71,70,70,70,,2,990,70140
2011-11-23,71,71,71,70,1,1,10,710
2011-11-24,72,72,72,71,1,3,90,6480
2011-11-27,72,72,72,72,,12,1150,82800
2011-11-29,76,73,75,72,3,16,310,23210
2011-11-30,74,74,74,75,-1,1,370,27380
2011-12-01,75,75,75,74,1,1,20,1500
2011-12-04,74,73,73,75,-2,2,230,17000
2011-12-05,72,72,72,73,-1,1,40,2880
2011-12-07,73,73,73,72,1,2,90,6570
2011-12-12,73,72,73,73,,3,230,16600
2011-12-13,75,74,75,73,2,3,60,4460
2011-12-14,76,76,76,75,1,1,50,3800
2011-12-15,77,77,77,76,1,1,20,1540
2011-12-21,76,76,76,77,-1,1,70,5320
2011-12-22,77,77,77,76,1,1,10,770
2011-12-26,77,77,77,77,,1,70,5390
2011-12-27,78,78,78,77,1,2,90,7020
2011-12-28,80,79,80,78,2,3,130,10310
2011-12-29,80,79,80,80,,2,250,19790
2012-01-01,81,79,79,80,-1,20,530,42170
2012-01-02,79,77,77,79,-2,7,1220,94430
2012-01-03,78,75,78,77,1,6,100,7650
2012-01-04,81,79,81,78,3,4,80,6400
2012-01-16,84,82,84,81,3,5,390,32290
2012-01-17,85,83,85,84,1,8,530,44870
2012-01-25,84,83,83,85,-2,3,80,6680
2012-01-26,85,84,85,83,2,5,170,14410
2012-02-01,85,85,85,85,,11,130,11050
2012-02-07,84,84,84,85,-1,2,460,38640
2012-02-09,83,83,83,84,-1,1,10,830
2012-02-23,84,83,83,83,,6,490,40820
2012-02-26,82,80,80,83,-3,21,2440,196420
2012-02-27,80,79,79,80,-1,6,1390,111190
2012-02-28,78,78,78,79,-1,1,10,780
2012-02-29,78,77,78,78,,6,400,31130
2012-03-15,77,77,77,78,-1,2,80,6160
2012-03-25,77,77,77,77,,7,180,13860
2012-03-27,76,76,76,77,-1,1,150,11400
2012-03-28,75,75,75,76,-1,1,640,48000
2012-04-04,75,74,74,75,-1,2,390,28880
2012-04-19,74,74,74,74,,1,10,740
2012-04-22,73,73,73,74,-1,4,90,6570
2012-05-07,74,74,74,73,1,2,40,2960
2012-05-08,75,75,75,74,1,2,80,6000
2012-05-10,74,74,74,75,-1,2,140,10360
2012-05-20,73,73,73,74,-1,1,210,15330
2012-05-21,77,74,77,73,4,5,100,7590
2012-05-22,81,78,81,77,4,6,150,11820
2012-05-23,86,82,86,81,5,7,2060,173520
2012-05-24,85,85,85,86,-1,1,40,3400
2012-05-29,87,84,86,85,1,14,1270,109080
2012-05-30,93,87,93,86,7,13,1920,172070
2012-06-03,92,92,92,93,-1,2,890,81880
2012-06-04,92,90,92,92,,11,1380,125090
2012-06-05,93,92,92,92,,9,730,67570
2012-06-06,94,92,93,92,1,9,1060,99130
2012-06-07,94,93,93,93,,8,1610,150430
2012-06-10,94,92,93,93,,15,3160,295830
2012-06-11,93,92,93,93,,3,100,9280
2012-06-12,94,93,93,93,,6,1140,107090
2012-06-13,93,92,93,93,,6,340,31480
2012-06-14,93,93,93,93,,12,760,70680
2012-06-17,94,93,93,93,,4,1080,101450
2012-06-18,92,92,92,93,-1,3,490,45080
2012-06-19,92,92,92,92,,2,80,7360
2012-06-21,91,91,91,92,-1,2,80,7280
2012-06-26,90,89,89,91,-2,2,760,68230
2012-06-27,90,90,90,89,1,1,150,13500
2012-06-28,89,89,89,90,-1,1,70,6230
2012-07-01,88,88,88,89,-1,2,140,12320
2012-07-04,87,87,87,88,-1,1,1180,102660
2012-07-05,86,86,86,87,-1,2,80,6880
2012-07-08,85,84,84,86,-2,6,720,61160
2012-07-09,83,83,83,84,-1,2,40,3320
2012-07-11,82,80,80,83,-3,8,790,63690
2012-07-12,79,79,79,80,-1,7,680,53720
2012-07-17,80,80,80,79,1,3,130,10400
2012-07-18,80,80,80,80,,5,60,4800
2012-07-22,80,80,80,80,,4,90,7200
2012-07-24,80,79,80,80,,2,410,32430
2012-07-30,79,79,79,80,-1,1,40,3160
2012-08-01,79,78,78,79,-1,3,260,20350
2012-08-05,77,77,77,78,-1,2,90,6930
2012-08-07,76,76,76,77,-1,1,10,760
2012-08-08,77,77,77,76,1,1,70,5390
2012-08-12,76,76,76,77,-1,3,30,2280
2012-08-13,76,76,76,76,,11,240,18240
