date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,988,988,988,995,-7,1,25,24700
2022-02-22,990,990,990,988,2,1,30,29700
2022-02-23,970.2,950.8,950.8,990,-39.2,4,100,95280.5
2022-02-24,969,950,950,950.8,-0.8,2,55,52820
2020-11-10,1026,1000,1026,,1026,10,195,199625
2020-11-11,1025,1006,1025,1026,-1,6,175,177450
2020-11-12,1030,1020,1026,1025,1,8,400,409475
2020-11-18,1050,1029,1050,1026,24,10,395,412120
2020-11-19,1030,1026,1026,1050,-24,5,175,179925
2020-11-22,1046,1025,1046,1026,20,4,125,129700
2020-11-23,1046,1031,1031,1046,-15,5,170,176545
2020-11-24,1034,1031,1034,1031,3,2,625,646175
2020-11-25,1036,1034,1036,1034,2,3,170,175870
2020-11-26,1040,1022,1040,1036,4,7,320,329900
2020-11-29,1030,1020,1030,1040,-10,2,20,20500
2020-11-30,1026,1025,1026,1030,-4,5,145,148660
2020-12-01,1020,1020,1020,1026,-6,1,25,25500
2020-12-02,1025,1015,1025,1020,5,4,160,163525
2020-12-03,1025,1025,1025,1025,,1,15,15375
2020-12-06,1035,1025,1035,1025,10,6,370,380750
2020-12-07,1035,1023,1035,1035,,2,55,56625
2020-12-08,1035,1035,1035,1035,,2,75,77625
2020-12-09,1038,1035,1035,1035,,4,93,96364
2020-12-10,1040,1030,1031,1035,-4,5,196,203109
2020-12-13,1031,1031,1031,1031,,1,25,25775
2020-12-14,1031,1018,1031,1031,,4,120,123200
2020-12-15,1031,1030,1030,1031,-1,2,553,569643
2020-12-16,1030,1030,1030,1030,,1,28,28840
2020-12-20,1045,1029,1045,1030,15,2,50,51850
2020-12-21,1040,1040,1040,1045,-5,1,150,156000
2020-12-22,1050,1040,1041,1040,1,4,121,126125
2020-12-23,1040,1040,1040,1041,-1,3,100,104000
2020-12-24,1058,1040,1058,1040,18,6,230,240550
2020-12-27,1070,1050,1050,1058,-8,4,478,502710
2020-12-28,1070,1050,1070,1050,20,4,1025,1091250
2020-12-30,1060,1060,1060,1070,-10,3,500,530000
2020-12-31,1056,1051,1051,1060,-9,5,575,606735
2021-01-03,1050,1036,1050,1051,-1,2,75,78050
2021-01-05,1055,1050,1055,1050,5,4,125,131500
2021-01-06,1055,1055,1055,1055,,2,55,58025
2021-01-07,1060,1057,1057,1055,2,2,100,105850
2021-01-10,1054,1053,1054,1057,-3,3,100,105350
2021-01-11,1070,1070,1070,1054,16,3,125,133750
2021-01-13,1065,1049,1049,1070,-21,3,215,228735
2021-01-17,1045,1040,1040,1049,-9,5,210,218875
2021-01-19,1031,1030,1030,1040,-10,4,250,257700
2021-01-20,1035,1035,1035,1030,5,2,175,181125
2021-01-21,1035,1035,1035,1035,,1,25,25875
2021-01-24,1050,1050,1050,1035,15,2,75,78750
2021-01-25,1050,1045,1050,1050,,4,405,423475
2021-01-26,1040,1040,1040,1050,-10,2,55,57200
2021-01-27,1055,1040,1055,1040,15,4,175,184000
2021-01-28,1067,1050,1067,1055,12,9,2200,2344580
2021-01-31,1060,1060,1060,1067,-7,2,52,55120
2021-02-01,1060,1050,1060,1060,,2,225,238250
2021-02-02,1060,1060,1060,1060,,4,330,349800
2021-02-03,1060,1060,1060,1060,,4,175,185500
2021-02-04,1050,1050,1050,1060,-10,2,530,556500
2021-02-07,1046,1045,1045,1050,-5,5,695,726300
2021-02-08,1045,1045,1045,1045,,2,50,52250
2021-02-09,1065,1065,1060,1045,15,6,725,770250
2021-02-11,1050,1045,1045,1060,-15,5,300,313750
2021-02-15,1050,1031,1050,1045,5,3,90,93945
2021-02-16,1050,1040,1050,1050,,6,150,156260
2021-02-17,1065,1041,1065,1050,15,8,780,819210
2021-02-21,1065,1050,1065,1065,,5,175,184675
2021-02-22,1065,1045,1065,1065,,6,240,254660
2021-02-23,1060,1045,1060,1065,-5,4,225,235275
2021-02-24,1060,1040,1060,1060,,2,80,84200
2021-02-25,1055,1050,1055,1060,-5,3,70,73725
2021-02-28,1065,1040,1065,1055,10,5,190,201350
2021-03-01,1065,1046,1065,1065,,2,50,52775
2021-03-02,1056,1040,1040,1065,-25,4,515,541900
2021-03-03,1041,1040,1040,1040,,2,200,208100
2021-03-04,1045,1045,1045,1040,5,2,22608,23625360
2021-03-09,1046,1046,1046,1045,1,1,25,26150
2021-03-10,1060,1050,1050,1046,4,3,125,131750
2021-03-14,1045,1045,1045,1050,-5,3,100,104500
2021-03-15,1046,1045,1045,1045,,4,275,287575
2021-03-16,1050,1045,1050,1045,5,2,50,52375
2021-03-17,1046,1045,1045,1050,-5,2,75,78425
2021-03-18,1067,1046,1067,1045,22,6,116,122482
2021-03-21,1100,1088,1100,1067,33,6,249,272832
2021-03-22,1089,1089,1089,1100,-11,2,171,186219
2021-03-23,1075,1068,1075,1089,-14,3,95,101695
2021-03-29,1070,1070,1070,1075,-5,1,200,214000
2021-03-30,1060,1050,1060,1070,-10,6,275,290075
2021-03-31,1055,1053,1053,1060,-7,2,600,632800
2021-04-01,1060,1060,1060,1053,7,1,25,26500
2021-04-06,1060,1060,1060,1060,,1,25,26500
2021-04-07,1051,1051,1051,1060,-9,1,100,105100
2021-04-08,1046,1046,1046,1051,-5,1,25,26150
2021-04-12,1046,1046,1046,1046,,1,50,52300
2021-04-13,1087,1066,1087,1046,41,2,225,240060
2021-04-15,1066,1066,1066,1087,-21,3,220,234520
2021-04-18,1051,1046,1050,1066,-16,4,525,551625
2021-04-19,1050,1050,1050,1050,,3,125,131250
2021-04-20,1071,1071,1071,1050,21,1,225,240975
2021-04-21,1070,1051,1051,1071,-20,2,60,63725
2021-04-22,1050,1050,1050,1051,-1,2,130,136500
2021-04-25,1050,1050,1050,1050,,1,25,26250
2021-04-26,1053,1050,1052,1050,2,5,205,215695
2021-04-27,1052,1051,1051,1052,-1,2,100,105150
2021-05-02,1051,1051,1051,1051,,2,50,52550
2021-05-06,1053,1051,1053,1051,2,2,75,78925
2021-05-09,1053,1053,1053,1053,,2,60,63180
2021-05-10,1051,1050,1050,1053,-3,3,125,131315
2021-05-11,1052,1050,1050,1050,,3,75,78800
2021-05-12,1055,1051,1051,1050,1,3,70,73790
2021-05-13,1055,1051,1055,1051,4,3,525,553775
2021-05-16,1055,1055,1055,1055,,4,377,397735
2021-05-17,1060,1060,1060,1055,5,1,23,24380
2021-05-18,1060,1060,1060,1060,,1,25,26500
2021-05-19,1047,1047,1047,1060,-13,2,75,78525
2021-05-23,1050,1050,1050,1047,3,2,80,84000
2021-05-24,1060,1050,1060,1050,10,2,50,52750
2021-05-25,1055,1050,1055,1060,-5,3,90,94800
2021-05-30,1050,1050,1050,1055,-5,1,25,26250
2021-05-31,1060,1060,1060,1050,10,2,130,137800
2021-06-02,1060,1060,1060,1060,,2,50,53000
2021-06-03,1060,1050,1050,1060,-10,4,105,110750
