date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,335,330,330.6,337,-6.4,336,41446,13732471.7
2022-02-21,338,331,337,330.6,6.4,203,22747,7606410.5
2022-02-22,343,333,335,337,-2,321,39989,13408531.8
2022-02-23,337.2,330.1,332,335,-3,327,45278,15045318.3
2022-02-24,330,321,325,332,-7,635,80217,26023494.8
2010-04-15,429,418,418,422,-4,11,470,199210
2010-04-19,411,396,400,405,-5,17,996,400029
2010-04-20,397,389,393,400,-7,34,1756,691296
2010-04-21,393,375,375,393,-18,19,907,353276
2010-04-22,377,360,365,375,-10,52,2536,929292
2010-04-25,360,350,357,365,-8,13,625,220012
2010-04-26,363,345,350,357,-7,27,2015,716930
2010-04-27,355,336,340,350,-10,31,2024,694157
2010-04-28,345,340,345,340,5,12,528,180026
2010-04-29,379,339,379,345,34,23,1108,407746
2010-05-09,374,342,374,379,-5,86,2582,930257
2010-05-10,376,365,375,374,1,39,1470,543087
2010-05-11,401,376,399,375,24,45,2470,953493
2010-05-12,428,393,420,399,21,28,2025,833628
2010-05-13,462,422,435,420,15,53,4885,2141036
2010-05-16,440,390,390,435,-45,28,1335,554271
2010-05-17,415,385,415,390,25,15,496,200691
2010-05-18,430,395,423,415,8,56,2430,1001728
2010-05-19,440,413,440,423,17,45,3134,1339199
2010-05-20,450,436,436,440,-4,25,1531,678210
2010-05-23,452,436,450,436,14,41,2084,919492
2010-05-24,465,450,465,450,15,24,1033,467940
2010-05-25,510,465,508,465,43,26,1572,782479
2010-05-26,525,481,490,508,-18,38,3028,1544970
2010-05-30,539,499,539,490,49,32,3571,1907431
2010-05-31,559,486,500,539,-39,50,4391,2259053
2010-06-01,494,465,494,500,-6,48,2408,1149133
2010-06-02,491,475,480,494,-14,56,2731,1323421
2010-06-03,505,480,490,480,10,39,4912,2411002
2010-06-06,500,481,493,490,3,33,801,393082
2010-06-07,503,470,503,493,10,68,2490,1219371
2010-06-08,503,490,500,503,-3,36,2124,1058973
2010-06-09,502,490,500,500,,39,3343,1665065
2010-06-10,500,492,500,500,,37,1158,575470
2010-06-13,500,489,491,500,-9,35,1045,515199
2010-06-14,490,480,481,491,-10,76,3990,1925506
2010-06-15,485,474,478,481,-3,71,2780,1329582
2010-06-16,485,469,480,478,2,23,1207,576117
2010-06-17,485,480,483,480,3,27,1729,835022
2010-06-20,481,473,473,483,-10,25,1023,488389
2010-06-21,485,475,482,473,9,63,2303,1107545
2010-06-22,488,480,488,482,6,16,665,321411
2010-06-23,489,480,480,488,-8,33,1557,752140
2010-06-24,486,475,480,480,,26,853,409097
2010-06-28,489,473,480,480,,23,1214,582062
2010-06-29,481,467,475,480,-5,18,1362,643961
2010-06-30,480,471,473,475,-2,43,2552,1218888
2010-07-01,500,482,494,473,21,23,1685,827629
2010-07-04,500,490,492,494,-2,38,1692,835457
2010-07-05,495,477,477,492,-15,53,2508,1217187
2010-07-06,480,470,471,477,-6,19,992,469116
2010-07-07,480,470,480,471,9,33,4691,2245673
2010-07-08,480,475,478,480,-2,44,2250,1074272
2010-07-11,480,470,470,478,-8,23,1221,582969
2010-07-12,485,473,480,470,10,31,1579,757357
2010-07-13,482,480,480,480,,9,385,185031
2010-07-14,480,468,480,480,,15,473,224290
2010-07-15,495,475,495,480,15,14,925,441572
2010-07-18,486,475,480,495,-15,10,281,134711
2010-07-19,484,475,480,480,,43,1532,730415
2010-07-20,490,470,490,480,10,36,2244,1071742
2010-07-21,493,485,490,490,,7,203,99364
2010-07-22,492,486,492,490,2,55,1957,960171
2010-07-25,494,485,494,492,2,48,2012,985212
2010-07-26,492,485,492,494,-2,26,1454,707548
2010-07-27,490,485,489,492,-3,23,699,341155
2010-07-28,500,484,495,489,6,47,2865,1402965
2010-07-29,495,490,491,495,-4,31,1710,840682
2010-08-01,501,491,499,491,8,28,789,390212
2010-08-02,499,490,496,499,-3,74,3079,1528447
2010-08-03,498,493,498,496,2,33,1404,697382
2010-08-04,500,495,495,498,-3,15,823,408396
2010-08-05,503,493,500,495,5,34,3328,1663752
2010-08-08,500,480,495,500,-5,39,2352,1157540
2010-08-09,496,488,492,495,-3,28,1705,842345
2010-08-10,498,490,493,492,1,48,2747,1360137
2010-08-11,498,490,493,493,,40,1891,935253
2010-08-12,494,485,494,493,1,57,2652,1302661
2010-08-15,494,477,483,494,-11,112,4769,2324949
2010-08-16,485,478,478,483,-5,27,1344,647764
2010-08-17,480,468,470,478,-8,32,1987,944632
2010-08-18,470,465,465,470,-5,23,815,380894
2010-08-19,465,453,464,465,-1,34,1150,527710
2010-08-22,463,456,463,464,-1,51,2331,1068463
2010-08-23,465,460,465,463,2,54,2564,1184260
2010-08-26,474,451,460,465,-5,43,1913,871702
2010-08-29,460,450,450,460,-10,61,3834,1739684
2010-08-30,451,445,447,450,-3,14,729,327126
2010-08-31,447,435,435,447,-12,57,1950,854637
2010-09-02,441,433,441,435,6,16,638,279026
2010-09-05,441,424,425,441,-16,11,576,247337
2010-09-06,451,422,448,425,23,67,2811,1212514
2010-09-07,455,440,455,448,7,39,2672,1201657
2010-09-08,479,449,457,455,2,36,1994,909692
2010-09-09,457,445,450,457,-7,15,1385,623433
2010-09-12,452,442,450,450,,38,3128,1401044
2010-09-13,451,450,450,450,,11,360,162021
2010-09-14,451,441,451,450,1,43,3008,1341934
2010-09-15,452,440,452,451,1,31,1251,558538
2010-09-16,448,436,448,452,-4,15,1539,680483
2010-09-19,450,435,450,448,2,103,4645,2050534
2010-09-20,450,443,447,450,-3,89,4818,2148344
2010-09-21,452,444,450,447,3,42,2160,964220
2010-09-23,465,450,458,450,8,35,1980,904868
2010-09-26,471,455,471,458,13,46,2495,1151582
2010-09-27,481,462,481,471,10,87,3535,1674028
2010-09-28,490,475,482,481,1,103,3899,1881912
2010-09-29,482,468,472,482,-10,30,1060,504926
2010-09-30,474,462,472,472,,31,1087,510050
2010-10-03,475,462,471,472,-1,71,3637,1701616
2010-10-05,466,457,464,462,2,45,1557,718533
2010-10-06,465,461,465,464,1,13,1045,483444
2010-10-07,472,462,472,465,7,34,1625,759749
2010-10-10,488,472,482,472,10,28,1144,550090
2010-10-11,520,491,512,482,30,28,1602,817195
2010-10-12,520,510,515,512,3,49,2135,1095594
2010-10-13,545,512,533,515,18,50,3661,1902615
2010-10-20,543,511,515,533,-18,36,1725,900690
2010-10-21,527,515,527,515,12,67,2200,1147454
2010-10-24,535,522,530,527,3,110,4180,2208200
2010-10-25,529,519,527,530,-3,106,7314,3830702
2010-10-26,535,514,527,527,,235,11512,6062523
2010-10-27,528,516,524,527,-3,320,14849,7773260
2010-10-28,550,516,540,524,16,319,13636,7121881
2010-11-02,330,314,320,326,-6,8,387,124960
2010-11-03,326,326,326,320,6,2,44,14344
2010-11-04,330,330,330,326,4,1,22,7260
2010-11-09,335,329,330,330,,15,1541,508360
2010-11-10,331,325,327,330,-3,9,674,220324
2010-11-11,329,326,329,327,2,10,425,139203
2010-11-14,335,328,332,329,3,12,715,236313
2010-11-15,330,324,330,332,-2,14,1551,505702
2010-11-16,335,330,330,330,,12,1450,482894
2010-11-18,338,323,323,330,-7,33,6172,2019368
2010-11-21,329,308,315,323,-8,38,3891,1226177
2010-11-22,319,306,317,315,2,52,4057,1254155
2010-11-23,343,305,343,317,26,50,3106,994449
2010-11-24,343,322,328,343,-15,20,1484,491812
2010-11-30,317,307,307,328,-21,3,141,43697
2010-12-01,301,290,290,307,-17,5,280,83488
2010-12-02,290,280,280,290,-10,16,1714,486895
2010-12-05,280,280,280,280,,1,22,6160
2010-12-06,283,279,280,280,,14,1035,290077
2010-12-07,282,278,279,280,-1,6,352,98412
2010-12-08,281,278,278,279,-1,6,333,93010
2010-12-09,278,272,272,278,-6,5,418,114037
2010-12-12,273,273,273,272,1,1,66,18018
2010-12-13,275,270,272,273,-1,11,634,171840
2010-12-14,285,271,285,272,13,24,1854,512188
2010-12-15,280,275,275,285,-10,9,1008,278270
2010-12-16,277,270,270,275,-5,18,2062,562456
2010-12-19,275,270,272,270,2,7,908,246172
2010-12-20,280,260,262,272,-10,22,1456,387680
2010-12-22,270,265,270,262,8,5,542,144870
2010-12-23,275,270,270,270,,20,2170,588886
2010-12-26,285,275,280,270,10,22,2357,661755
2010-12-27,285,276,280,280,,24,4395,1225701
2010-12-28,280,272,275,280,-5,16,1372,377651
2010-12-29,275,268,273,275,-2,11,620,168030
2011-01-02,280,272,272,273,-1,10,999,272946
2011-01-03,272,266,270,272,-2,22,1904,511604
2011-01-04,275,264,266,270,-4,17,1136,304142
2011-01-05,273,265,269,266,3,13,470,126330
2011-01-06,270,267,270,269,1,6,592,159068
2011-01-09,271,266,270,270,,22,1176,315190
2011-01-10,274,269,270,270,,9,798,216107
2011-01-11,271,266,269,270,-1,11,774,208424
2011-01-12,270,265,270,269,1,17,993,263388
2011-01-13,270,263,263,270,-7,17,1350,362227
2011-01-16,270,268,270,263,7,2,43,11590
2011-01-17,271,267,270,270,,7,610,164720
2011-01-18,271,266,270,270,,7,453,121694
2011-01-19,274,270,270,270,,23,502,135943
2011-01-20,275,269,273,270,3,25,1576,430747
2011-01-23,274,273,273,273,,15,805,220207
2011-01-24,285,278,285,273,12,14,1011,282786
2011-01-31,280,280,280,285,-5,2,256,71680
2011-02-01,279,275,279,280,-1,10,607,168537
2011-02-02,284,278,280,279,1,7,352,98428
2011-02-03,280,274,274,280,-6,9,1748,482066
2011-02-06,293,276,281,274,7,24,2902,833000
2011-02-07,280,277,280,281,-1,11,384,107120
2011-02-08,280,280,280,280,,9,219,61320
2011-02-09,280,279,280,280,,11,927,259450
2011-02-10,280,280,280,280,,3,172,48160
2011-02-13,281,272,275,280,-5,8,363,100353
2011-02-14,275,268,268,275,-7,13,1018,275289
2011-02-15,271,270,270,268,2,6,165,44583
2011-02-16,270,265,270,270,,7,709,191254
2011-02-17,275,271,275,270,5,3,198,53823
2011-02-20,275,270,271,275,-4,13,693,189506
2011-02-21,271,260,260,271,-11,7,331,87474
2011-02-22,265,264,265,260,5,4,193,51112
2011-02-24,270,261,265,265,,17,368,98010
2011-02-27,264,260,260,265,-5,7,201,52503
2011-02-28,265,260,263,260,3,7,278,72795
2011-03-01,263,261,261,263,-2,2,530,138390
2011-03-03,268,260,261,261,,8,1530,399602
2011-03-07,265,261,263,261,2,4,1294,339082
2011-03-09,268,261,261,263,-2,9,579,152375
