date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,830,816,817,833,-16,71,11810,9661610.8
2022-02-21,833,801.1,812,817,-5,46,4057,3274935.6
2022-02-22,828,812,821,812,9,40,6901,5677950.9
2022-02-23,815,810.1,812,821,-9,28,4391,3565811.5
2022-02-24,804,790,790,812,-22,76,9442,7532756.8
2010-04-22,171,171,171,192,-21,1,100,17100
2010-05-17,170,170,170,171,-1,2,151,25670
2010-05-18,170,170,170,170,,2,61,10370
2010-06-06,167,167,167,170,-3,1,31,5177
2010-06-09,170,170,170,167,3,1,500,85000
2010-06-28,167,164,164,170,-6,2,20,3310
2010-07-04,161,158,158,164,-6,3,60,9630
2010-07-05,155,152,152,158,-6,2,20,3070
2010-07-12,149,145,145,152,-7,3,20020,2902960
2010-07-13,143,143,143,145,-2,7,27000,3861000
2010-07-19,141,135,135,143,-8,7,276,38076
2010-07-20,133,130,131,135,-4,7,330,43606
2010-07-21,129,129,129,131,-2,1,12,1548
2010-08-03,127,127,127,129,-2,1,2000,254000
2010-08-04,127,127,127,127,,1,9522,1209294
2010-08-08,129,129,129,127,2,2,80,10320
2010-08-11,131,131,131,129,2,1,23,3013
2010-08-19,129,129,129,131,-2,1,100,12900
2010-08-30,127,127,127,129,-2,2,178,22606
2010-09-12,128,128,128,127,1,1,100,12800
2010-11-21,126,126,126,128,-2,1,11844,1492344
2010-11-24,130,128,130,126,4,3,690,88370
2010-12-22,132,132,132,130,2,5,70,9240
2010-12-23,134,134,134,132,2,1,14,1876
2010-12-27,136,136,136,134,2,1,14,1904
2010-12-29,138,136,136,136,,5,6404,871056
2011-01-10,138,138,138,136,2,1,14,1932
2011-02-02,136,133,133,138,-5,9,1060,143140
2011-03-16,131,131,131,133,-2,1,14,1834
2011-03-22,131,131,131,131,,1,173,22663
2011-03-24,129,129,129,131,-2,1,28,3612
2011-03-31,127,125,125,129,-4,2,53,6689
2011-05-02,127,127,127,125,2,1,600,76200
2011-05-09,125,125,125,127,-2,2,64,8000
2011-05-18,129,127,129,125,4,2,28,3588
2011-06-14,127,120,120,129,-9,6,2218,266320
2011-07-04,118,118,118,120,-2,1,28,3304
2011-08-25,116,116,116,118,-2,1,120,13920
2011-08-28,116,116,116,116,,2,166,19256
2011-11-08,114,114,114,116,-2,1,14,1596
2012-01-04,112,112,112,114,-2,1,18,2016
2012-01-05,110,110,110,112,-2,2,28,3080
2012-01-31,108,108,108,110,-2,1,36,3888
2012-02-01,106,106,106,108,-2,7,121,12826
