date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,375,355.4,367,370,-3,152,20430,7507712.9
2022-02-21,375,366,372.9,367,5.9,86,11983,4436437.7
2022-02-22,382.5,373.1,375.5,372.9,2.6,110,18663,7078706.9
2022-02-23,383,371.1,372.1,375.5,-3.4,64,6272,2356131.3
2022-02-24,372,359,361.3,372.1,-10.8,178,21456,7822783.1
2010-04-19,490,490,490,499,-9,1,30,14700
2010-04-20,481,441,441,490,-49,8,340,153830
2010-04-21,433,433,433,441,-8,1,40,17320
2010-04-22,425,390,390,433,-43,6,450,183200
2010-04-25,383,376,376,390,-14,4,100,37950
2010-04-26,370,362,362,376,-14,7,780,283150
2010-04-28,355,348,348,362,-14,2,140,49210
2010-04-29,348,342,342,348,-6,2,60,20700
2010-05-09,337,332,332,342,-10,9,180,60260
2010-05-11,330,330,330,332,-2,1,20,6600
2010-05-16,325,324,324,330,-6,6,180,58460
2010-05-24,324,324,324,324,,25,500,162000
2010-05-30,330,330,330,324,6,38,760,250800
2010-06-03,336,336,336,330,6,1,200,67200
2010-06-20,336,336,336,336,,2,340,114240
2010-06-21,335,335,335,336,-1,65,1300,435500
2010-06-22,335,335,335,335,,15,300,100500
2010-06-23,335,335,335,335,,34,680,227800
2010-06-28,336,336,336,335,1,1,30,10080
2010-06-29,339,335,339,336,3,11,2590,870390
2010-06-30,342,336,336,339,-3,13,380,127980
2010-07-19,156,156,156,336,-180,2,80,12480
2010-08-16,153,153,153,156,-3,8,190,29070
2010-11-25,150,150,150,153,-3,3,60,9000
2010-12-07,153,153,153,150,3,1,20,3060
2011-01-04,150,150,150,153,-3,1,120,18000
2011-01-05,153,153,153,150,3,1,120,18360
2011-01-17,153,153,153,153,,1,60,9180
2011-01-20,156,150,150,153,-3,9,1660,254800
2011-01-24,148,148,148,150,-2,4,890,131720
2011-02-02,148,148,148,148,,1,630,93240
2011-02-06,146,146,146,148,-2,4,480,70080
2011-02-13,144,144,144,146,-2,1,1110,159840
2011-02-14,142,140,140,144,-4,2,970,137700
2011-02-15,142,142,142,140,2,2,1320,187440
2011-02-20,146,144,146,142,4,2,120,17400
2011-02-22,146,146,146,146,,2,120,17520
2011-02-23,146,146,146,146,,2,120,17520
2011-02-28,145,145,145,146,-1,2,180,26100
2011-03-01,147,145,145,145,,4,640,93180
2011-03-03,145,145,145,145,,1,80,11600
2011-03-13,143,143,143,145,-2,1,80,11440
2011-03-16,143,143,143,143,,1,1260,180180
2011-03-20,143,143,143,143,,1,60,8580
2011-03-31,141,141,141,143,-2,2,120,16920
2011-04-13,140,140,140,141,-1,1,20,2800
2011-05-08,138,136,138,140,-2,4,300,41160
2011-05-11,136,136,136,,136,4,240,32640
2011-05-12,136,136,136,136,,1,60,8160
2011-05-19,135,135,135,136,-1,9,21840,2948400
2011-05-22,135,135,135,135,,1,280,37800
2011-05-23,135,135,135,135,,3,2800,378000
2011-06-02,135,135,135,135,,5,400,54000
2011-09-06,133,133,133,135,-2,1,20,2660
2011-10-19,131,131,131,133,-2,1,3890,509590
2012-01-16,129,129,129,131,-2,8,160,20640
2012-01-22,129,129,129,129,,1,4800,619200
2012-01-31,127,127,127,129,-2,1,20,2540
2012-03-01,129,129,129,127,2,1,1000,129000
2012-03-04,133,131,133,129,4,2,1950,257410
2012-03-05,137,135,137,133,4,2,2000,272000
2012-03-06,143,139,143,137,6,3,2280,322920
2012-03-12,145,145,145,143,2,1,480,69600
2012-03-27,141,139,139,143,-4,2,2170,301650
2012-03-28,139,139,139,139,,1,1260,175140
2012-04-01,137,135,135,139,-4,2,4810,649370
2012-04-08,133,131,131,135,-4,2,5210,682530
2012-04-12,129,127,127,131,-4,2,4600,584220
2012-05-20,129,129,129,127,2,1,700,90300
2012-05-29,127,125,125,129,-4,2,4010,501270
2012-05-30,125,125,125,125,,1,800,100000
2012-06-17,125,125,125,125,,1,200,25000
2014-04-21,125,125,125,125,,1,120,15000
2014-04-22,123,123,123,125,-2,1,140,17220
2014-04-23,121,121,121,123,-2,1,120,14520
2014-05-28,119,117,117,121,-4,2,140,16420
2014-06-01,115,115,115,117,-2,1,20,2300
2014-06-03,113,113,113,115,-2,1,120,13560
2014-06-05,111,111,111,113,-2,1,560,62160
2014-06-18,113,113,111,111,2,1,120,13560
2014-07-06,111,111,111,113,-2,5,480,53280
2014-07-15,109,109,109,111,-2,2,200,21800
2014-07-16,111,110,110,109,1,3,240,26560
2014-07-17,115,112,115,110,5,4,400,45400
2014-07-30,119,104,112,115,-3,18,115560,12353780
2014-08-03,116,112,116,112,4,6,14280,1628320
2014-08-04,116,116,116,116,,2,160,18560
2014-08-14,126,118,126,116,10,5,50,6100
2014-08-18,136,128,136,126,10,7,590,79420
2014-08-19,140,138,140,136,4,2,620,85840
2014-08-21,144,138,144,140,4,10,10360,1456660
2014-08-28,148,146,146,144,2,6,360,52640
2014-09-21,147,147,147,146,1,1,80,11760
2014-09-22,145,145,145,147,-2,2,510,73950
2014-11-20,145,145,145,145,,6,520,75400
2014-11-23,146,146,146,145,1,3,100,14600
2015-01-01,144,144,144,146,-2,2,140,20160
2015-01-18,142,142,142,144,-2,1,120,17040
2015-01-19,156,144,156,142,14,7,330,49620
2015-01-20,157,157,157,156,1,1,120,18840
2015-01-26,172,160,172,157,15,5,820,138760
2015-01-28,175,172,172,172,,2,130,22390
2015-02-04,175,175,175,172,3,4,250,43750
2015-02-10,175,172,172,175,-3,3,280,48400
2015-02-11,178,175,176,172,4,4,260,45720
2015-02-18,179,176,179,176,3,3,300,53280
2015-02-22,176,176,176,179,-3,1,200,35200
2015-02-23,179,176,179,176,3,8,2180,383920
2015-02-24,181,175,175,179,-4,3,200,35360
2015-04-15,172,169,169,175,-6,2,90,15240
2015-04-21,166,166,166,169,-3,1,100,16600
2015-05-27,166,166,166,166,,1,160,26560
2015-06-24,163,160,160,166,-6,8,780,126180
2015-07-02,161,161,161,160,1,1,1010,162610
2015-07-05,158,145,145,161,-16,13,10500,1523570
2015-07-06,143,141,141,145,-4,5,100,14140
2015-07-07,145,141,143,141,2,4,56640,8212080
2015-07-15,135,127,135,125,10,5,100,13120
2015-07-16,145,137,145,135,10,5,20000,2899620
2015-07-29,145,145,145,145,,4,47420,6875900
2015-08-18,147,147,147,145,2,1,20,2940
2015-09-03,149,149,149,147,2,1,20,2980
2015-09-06,151,151,151,149,2,1,20,3020
2015-09-09,154,153,153,151,2,4,340,52120
2015-09-10,160,151,154,153,1,11,850,132340
2015-09-17,161,157,161,154,7,4,160,25660
2015-09-22,158,158,158,161,-3,1,20,3160
2015-09-23,161,161,161,158,3,1,20,3220
2015-11-03,164,155,155,161,-6,6,510,80700
2015-11-16,158,158,158,155,3,1,2000,316000
2015-11-22,161,161,161,158,3,1,40,6440
2015-12-01,158,149,149,161,-12,4,480,73020
2015-12-02,151,151,151,149,2,1,30,4530
2015-12-21,148,146,146,151,-5,2,130,19140
2015-12-24,144,144,144,146,-2,1,40,5760
2015-12-27,142,136,136,144,-8,4,300,41700
2015-12-28,136,132,132,136,-4,6,470,62760
2015-12-29,132,130,132,132,,2,250,32820
2015-12-31,130,130,130,132,-2,2,60,7800
2016-01-03,128,128,128,130,-2,2,90,11520
