date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,309.9,302.9,304,310,-6,435,79934,24443501.8
2022-02-21,313,304,309,304,5,370,78811,24320479.2
2022-02-22,315.1,311,313.4,309,4.4,307,83855,26275518.1
2022-02-23,315,308.1,308.9,313.4,-4.5,399,55582,17268832.4
2022-02-24,309.9,300,302,308.9,-6.9,835,118903,35894241.7
2010-04-15,210,210,210,213,-3,1,125,26250
2010-04-19,211,210,210,210,,2,200,42100
2010-04-20,210,200,200,210,-10,8,1550,315650
2010-04-21,200,196,196,200,-4,4,700,138400
2010-04-22,193,185,188,196,-8,15,2230,417940
2010-04-25,186,185,186,188,-2,9,13115,2427175
2010-04-26,189,180,180,186,-6,11,6550,1208350
2010-04-27,183,175,175,180,-5,12,8350,1490130
2010-04-28,175,171,171,175,-4,14,9770,1677540
2010-04-29,174,174,174,171,3,1,2460,428040
2010-05-09,175,172,175,174,1,2,150,26100
2010-05-13,192,178,192,175,17,6,210,39710
2010-05-16,190,187,187,192,-5,4,2700,508900
2010-05-17,190,187,187,187,,2,220,41350
2010-05-18,198,188,198,187,11,6,1850,350250
2010-05-19,205,198,205,198,7,4,1300,258600
2010-05-20,213,209,213,205,8,7,1600,336000
2010-05-23,219,215,219,213,6,6,1030,224890
2010-05-24,225,222,225,219,6,7,1210,269180
2010-05-25,247,229,246,225,21,10,1200,288150
2010-05-26,250,242,249,246,3,15,3940,964520
2010-05-30,262,253,258,249,9,17,5500,1411600
2010-05-31,263,241,241,258,-17,11,1250,316150
2010-06-01,237,217,224,241,-17,17,3120,693050
2010-06-02,228,224,225,224,1,6,1230,278590
2010-06-03,233,225,232,225,7,5,1115,253525
2010-06-06,232,228,232,232,,3,1010,231920
2010-06-07,234,230,234,232,2,7,1250,289350
2010-06-08,235,230,235,234,1,3,400,92900
2010-06-09,236,227,227,235,-8,5,1000,230750
2010-06-10,225,221,221,227,-6,14,3775,839785
2010-06-13,224,221,221,221,,9,1250,276950
2010-06-14,225,220,222,221,1,9,2075,461250
