date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,18300,17600.4,17852.4,17959.5,-107.1,32,451,8137299.6
2022-02-21,18000,17857,17888,17852.4,35.6,8,97,1736259
2022-02-22,18198.9,18000,18194,17888,306,3,36,653122.4
2022-02-23,18250,17900.1,17950,18194,-244,7,100,1800444
2022-02-24,17950,17444,17580,17950,-370,25,360,6380920
2010-04-15,1400,1350,1400,1326,74,3,1530,2106500
2010-04-19,309,304,304,315,-11,4,215,65850
2010-04-20,300,294,294,304,-10,6,205,60600
2010-04-21,1405,1390,1405,1400,5,2,22,30730
2010-04-22,280,279,279,280,-1,21,985,274900
2010-04-25,1400,1400,1400,1405,-5,1,40,56000
2010-04-26,255,255,255,260,-5,4,180,45900
2010-04-27,1372,1316,1316,1400,-84,7,454,604847
2010-04-28,1290,1290,1290,1316,-26,2,150,193500
2010-04-29,1336,1290,1336,1290,46,5,180,236510
2010-05-12,273,253,273,249,24,7,120,31310
2010-05-13,300,278,300,273,27,6,60,17400
2010-05-16,1336,1336,1336,1336,,2,36,48096
2010-05-17,290,265,265,290,-25,24,1630,441500
2010-05-18,291,270,291,265,26,6,60,16910
2010-05-19,319,296,319,291,28,5,50,15360
2010-05-20,350,325,350,319,31,8,205,71020
2010-05-23,369,350,369,350,19,6,280,100440
2010-05-24,390,376,390,369,21,5,75,28795
2010-05-25,1400,1362,1400,1336,64,3,1572,2198720
2010-05-26,1514,1428,1514,1400,114,5,134,196568
2010-05-30,1484,1484,1484,1514,-30,1,200,296800
2010-05-31,436,433,433,435,-2,2,50,21710
2010-06-01,425,393,393,433,-40,7,110,44710
2010-06-02,1455,1425,1425,1484,-59,3,2615,3728637
2010-06-03,392,371,371,400,-29,5,140,53830
2010-06-06,1425,1425,1425,1425,,1,3000,4275000
2010-06-07,357,343,355,364,-9,13,585,205560
2010-06-09,370,362,370,355,15,3,160,59070
2010-06-10,380,370,380,370,10,5,265,99450
2010-06-13,380,380,380,380,,1,15,5700
2010-06-15,373,366,370,380,-10,4,230,85385
2010-06-16,363,333,333,370,-37,8,135,46635
2010-06-20,358,339,358,333,25,14,945,331740
2010-06-21,365,358,365,358,7,20,810,290085
2010-06-24,377,370,377,365,12,5,265,98750
2010-06-29,385,377,385,377,8,5,180,69150
2010-06-30,378,378,378,385,-7,2,50,18900
2010-07-04,371,371,371,378,-7,1,15,5565
2010-07-05,365,351,351,371,-20,19,450,162450
2010-07-06,1425,1425,1425,1425,,1,25,35625
2010-07-07,344,340,340,344,-4,4,150,51420
2010-07-08,1425,1425,1425,1425,,1,14,19950
2010-07-11,348,340,348,336,12,14,615,210390
2010-07-12,360,354,360,348,12,20,300,106380
2010-07-14,355,342,342,360,-18,4,120,41715
2010-07-15,1453,1450,1453,1425,28,2,25,36280
2010-07-18,1482,1482,1482,1453,29,1,100,148200
2010-07-19,353,353,353,347,6,1,50,17650
2010-07-20,350,347,347,353,-6,31,465,161445
2010-07-21,345,340,345,347,-2,55,825,284010
2010-07-25,339,333,333,345,-12,2,60,20070
2010-07-26,345,333,345,333,12,22,975,325245
2010-07-27,340,340,340,345,-5,3,75,25500
2010-07-28,340,334,335,340,-5,5,230,77225
2010-07-29,338,338,338,335,3,13,195,65910
2010-08-01,352,340,352,338,14,7,380,131000
2010-08-02,355,355,355,352,3,3,45,15975
2010-08-03,355,355,355,355,,1,75,26625
2010-08-04,350,323,323,355,-32,20,855,283185
2010-08-05,325,325,325,323,2,1,15,4875
2010-08-08,331,325,331,325,6,2,795,263055
2010-08-09,331,331,331,331,,2,60,19860
2010-08-10,325,325,325,331,-6,7,105,34125
2010-08-11,337,331,337,325,12,2,25,8365
2010-08-12,331,331,331,337,-6,1,70,23170
2010-08-15,338,330,330,331,-1,10,180,59685
2010-08-16,348,319,319,330,-11,13,620,207360
2010-08-17,349,320,343,319,24,28,660,217680
2010-08-18,362,343,355,343,12,21,1870,659370
2010-08-19,375,350,375,355,20,28,1530,552935
2010-08-22,382,368,375,375,,8,285,106170
2010-08-23,382,373,373,375,-2,18,490,184695
2010-08-26,394,373,394,373,21,10,325,125240
2010-08-31,401,379,379,394,-15,13,260,100395
2010-09-02,372,372,372,379,-7,2,30,11160
2010-09-05,370,370,370,372,-2,2,30,11100
2010-09-06,363,344,344,370,-26,8,1310,455085
2010-09-07,339,339,339,344,-5,1,180,61020
2010-09-08,345,339,344,339,5,5,430,147160
2010-09-12,338,338,338,344,-6,6,90,30420
2010-09-13,332,332,332,338,-6,1,15,4980
2010-09-14,332,326,326,332,-6,10,550,180340
2010-09-15,326,326,326,326,,2,80,26080
2010-09-16,330,330,330,326,4,5,270,89100
2010-09-20,325,325,325,330,-5,1,15,4875
2010-09-21,320,320,320,325,-5,2,30,9600
2010-09-23,321,311,321,320,1,17,1060,335285
2010-09-26,330,321,330,321,9,5,395,128455
2010-09-27,341,330,340,330,10,45,1545,515655
2010-09-28,345,336,345,340,5,7,410,139470
2010-09-29,346,339,346,345,1,49,1020,349315
2010-09-30,342,328,335,346,-11,69,2340,788435
2010-10-03,340,340,340,335,5,3,100,34000
2010-10-05,1482,1482,1482,1482,,2,37,54834
2010-10-07,262,262,262,257,5,1,10,2620
2010-10-10,282,267,282,262,20,5,90,24930
2010-10-11,302,287,302,282,20,4,80,23560
2010-10-12,300,300,300,302,-2,2,120,36000
2010-10-25,306,300,306,300,6,4,220,66420
2010-10-26,305,300,300,306,-6,3,475,143875
2010-11-02,312,298,298,300,-2,27,890,270250
2010-11-03,299,298,298,298,,2,100,29850
2010-11-04,302,296,300,298,2,9,595,178725
2010-11-09,300,296,296,300,-4,10,400,118925
2010-11-10,299,295,298,296,2,17,990,293810
2010-11-14,298,298,298,298,,6,245,73010
2010-11-15,1482,1482,1482,1482,,1,625,926250
2010-11-16,294,289,294,294,,7,285,83185
2010-11-18,295,290,295,294,1,7,300,87500
2010-11-21,298,295,298,295,3,3,65,19235
2010-11-22,300,285,291,298,-7,18,1475,436500
2010-11-23,290,287,287,291,-4,5,1750,502650
2010-11-24,293,289,289,287,2,12,1060,308600
2010-11-25,295,286,290,289,1,8,2360,690040
2010-11-28,291,281,284,290,-6,5,290,82900
2010-11-29,1500,1500,1500,1482,18,1,100,150000
2010-11-30,291,289,290,286,4,29,1195,347315
2010-12-01,1475,1475,1475,1500,-25,1,100,147500
2010-12-02,285,274,285,280,5,41,3370,933535
2010-12-05,255,255,255,285,-30,2,45,11475
2010-12-06,250,250,250,255,-5,1,100,25000
2010-12-13,245,245,245,250,-5,4,180,44100
2010-12-15,241,237,237,245,-8,4,120,28500
