date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-11-03,10499.0,10180.0,10180.0,10630.0,-450.0,9,150,1546901.0
2022-11-06,10820.0,10200.0,10603.6,10180.0,423.6000000000004,13,290,3007186.0
2022-11-07,10499.9,10256.0,10291.0,10603.6,-312.6000000000004,12,145,1497850.0
2022-11-08,10200.0,10152.0,10200.0,10291.0,-91.0,8,170,1727650.0
2022-11-09,10500.0,10135.0,10135.0,10200.0,-65.0,10,160,1649300.0
2022-11-10,10337.0,10095.0,10095.0,10135.0,-40.0,9,200,2036420.0
2022-11-14,10300.0,10200.0,10250.0,10095.0,155.0,6,120,1229480.0
2022-11-15,10200.0,10045.0,10200.0,10250.0,-50.0,5,152,1534900.0
2022-11-16,10200.0,10111.0,10111.0,10200.0,-89.0,5,130,1317360.0
2022-11-22,10200.0,10123.0,10123.0,10200.0,-77.0,4,40,407230.0
2022-11-23,10123.0,9925.0,10123.0,10123.0,0.0,6,106,1064878.0
2022-11-24,10325.0,10100.0,10325.0,10123.0,202.0,7,180,1849520.0
2022-11-27,10490.0,10305.0,10305.0,10325.0,-20.0,5,85,889760.0
2022-11-28,10300.0,10226.0,10226.0,10305.0,-79.0,5,70,718080.0
2022-11-30,10300.0,10300.0,10300.0,10226.0,74.0,1,40,412000.0
2022-12-01,10300.0,10250.0,10250.0,10300.0,-50.0,5,70,718110.0
2022-12-04,10300.0,10250.0,10300.0,10250.0,50.0,2,40,411000.0
2022-12-05,10095.0,10095.0,10095.0,10300.0,-205.0,1,10,100950.0
2022-12-06,10101.0,10101.0,10101.0,10095.0,6.0,1,20,202020.0
2022-12-07,10101.0,9951.0,9951.0,10101.0,-150.0,2,30,301530.0
2022-12-11,10150.0,9947.0,10000.0,9951.0,49.0,3,40,400970.0
2022-12-12,10200.0,10051.0,10051.0,10000.0,51.0,5,50,508420.0
2022-12-13,10252.0,10252.0,10252.0,10051.0,201.0,1,10,102520.0
2022-12-14,10201.0,10200.0,10200.0,10252.0,-52.0,2,30,306020.0
2022-12-15,10100.0,10050.0,10050.0,10200.0,-150.0,3,30,302000.0
2022-12-18,10000.1,10000.0,10000.0,10050.0,-50.0,3,40,400002.0
2022-12-19,10200.0,9900.0,10000.0,10000.0,0.0,11,380,3801013.0
2022-12-20,10000.0,10000.0,10000.0,10000.0,0.0,2,50,500000.0
2022-12-21,10000.0,10000.0,10000.0,10000.0,0.0,1,20,200000.0
2022-12-22,9999.0,9860.0,9860.0,10000.0,-140.0,10,360,3580130.0
2022-12-26,10200.0,9950.0,10200.0,9860.0,340.0,19,350,3522720.0
2022-12-27,10400.0,10152.0,10200.0,10200.0,0.0,32,637,6533865.0
2022-12-28,10404.0,10100.0,10210.0,10200.0,10.0,17,430,4374580.0
2022-12-29,11190.0,10217.0,11190.0,10210.0,980.0,18,670,7292105.0
2023-01-01,11250.0,10552.0,10878.0,11190.0,-312.0,16,300,3295256.0
2023-01-02,10787.0,10340.0,10787.0,10878.0,-91.0,22,360,3787251.0
2023-01-03,11000.0,10571.3,10571.3,10787.0,-215.70000000000076,4,60,638596.0
2023-01-04,10812.0,10420.0,10812.0,10571.3,240.70000000000076,7,90,960440.0
2023-01-05,11425.0,10780.0,10825.0,10812.0,13.0,29,590,6521648.0
2023-01-08,11907.5,10665.0,11850.0,10825.0,1025.0,60,1406,16115987.1
2023-01-09,11735.0,11300.0,11735.0,11850.0,-115.0,26,663,7662489.0
2023-01-10,11960.0,11013.0,11233.0,11735.0,-502.0,29,820,9401034.0
2023-01-12,11332.2,11020.0,11125.0,11233.0,-108.0,20,409,4553251.0
2023-01-17,11526.0,11121.0,11526.0,11125.0,401.0,12,270,3069390.0
2023-01-18,11756.0,11520.9,11700.0,11526.0,174.0,9,150,1754179.0
2023-01-19,11650.0,11560.1,11560.1,11700.0,-139.89999999999964,9,260,3010510.0
2023-01-23,11849.0,11340.0,11340.0,11560.1,-220.1000000000004,40,821,9571343.4
2023-01-24,11619.0,11410.0,11619.0,11340.0,279.0,9,331,3796385.8
2023-01-25,11999.0,11511.4,11651.0,11619.0,32.0,29,890,10524785.0
2023-01-26,12200.0,11883.0,12200.0,11651.0,549.0,12,190,2287996.0
2023-01-29,12011.0,11800.0,11852.0,12200.0,-348.0,22,610,7274908.0
2023-01-30,11846.0,11615.0,11846.0,11852.0,-6.0,11,320,3772030.0
2023-01-31,12081.0,11520.0,11520.0,11846.0,-326.0,20,330,3845743.0
2023-02-01,11750.0,11600.1,11600.1,11520.0,80.10000000000036,9,140,1631985.0
2023-02-02,12299.0,11596.0,11596.0,11600.1,-4.100000000000364,21,1030,12274884.0
2023-02-05,12291.0,11827.9,12045.2,11596.0,449.2000000000007,6,90,1083945.0
2023-02-06,11804.3,11804.3,11804.3,12045.2,-240.90000000000143,4,80,944344.0
2023-02-07,12482.0,11800.0,11800.0,11804.3,-4.299999999999272,16,541,6623583.9
2023-02-08,12522.0,11851.0,11851.0,11800.0,51.0,18,330,4082258.0
2023-02-09,12329.0,11712.0,11751.0,11851.0,-100.0,11,310,3659374.0
2023-02-12,11950.0,11518.0,11950.0,11751.0,199.0,3,30,352163.0
2023-02-14,11717.0,11489.0,11525.0,11950.0,-425.0,10,159,1845430.0
2023-02-15,11755.5,11317.5,11386.1,11525.0,-138.89999999999964,10,401,4652710.5
2023-02-16,11612.0,11385.0,11385.0,11386.1,-1.1000000000003638,3,40,457670.0
2023-02-20,11700.0,11466.0,11466.0,11385.0,81.0,10,460,5340390.0
2023-02-22,11690.0,11240.0,11690.0,11466.0,224.0,4,40,456661.0
2023-02-23,11456.2,11251.0,11251.0,11690.0,-439.0,3,52,587105.0
2023-02-26,11470.0,11026.0,11470.0,11251.0,219.0,8,130,1446696.0
2023-02-27,11262.0,11262.0,11262.0,11470.0,-208.0,1,10,112620.0
2023-02-28,11487.0,11258.0,11258.0,11262.0,-4.0,3,221,2518937.0
2023-03-01,11258.0,11258.0,11258.0,11258.0,0.0,1,20,225160.0
2023-03-05,11100.0,11033.0,11033.0,11258.0,-225.0,2,20,221330.0
2023-03-07,11249.0,11248.5,11249.0,11033.0,216.0,2,20,224975.0
2023-03-09,11699.0,11469.0,11500.0,11249.0,251.0,5,190,2181870.0
2023-03-12,11270.1,11063.0,11063.0,11500.0,-437.0,3,40,447331.0
2023-03-13,11100.0,11000.0,11100.0,11063.0,37.0,5,114,1257400.0
2023-03-14,11298.0,11298.0,11298.0,11100.0,198.0,1,10,112980.0
2023-03-16,11222.0,10656.1,11222.0,11298.0,-76.0,10,111,1205090.7
2023-03-19,11446.4,11218.0,11442.3,11222.0,220.29999999999927,7,130,1484195.2
2023-03-20,11438.0,11214.0,11438.0,11442.3,-4.299999999999272,4,40,455270.0
2023-03-22,11209.3,11209.3,11209.3,11438.0,-228.70000000000076,1,10,112093.0
2023-03-23,10986.0,10985.2,10985.2,11209.3,-224.09999999999852,3,30,329572.0
2023-03-26,10999.0,10766.0,10766.0,10985.2,-219.20000000000076,4,70,763090.0
2023-03-27,10981.0,10561.0,10981.0,10766.0,215.0,7,80,856280.0
2023-03-28,11197.5,10977.0,10977.0,10981.0,-4.0,2,20,221745.0
2023-03-29,10760.0,10758.0,10758.0,10977.0,-219.0,4,45,484140.0
2023-04-02,10601.0,10601.0,10601.0,10758.0,-157.0,2,20,212020.0
2023-04-03,10407.5,10200.0,10200.0,10601.0,-401.0,6,105,1085902.0
2023-04-04,10404.0,10300.1,10300.1,10200.0,100.10000000000036,3,50,517043.0
2023-04-05,10611.0,10200.0,10401.0,10300.1,100.89999999999964,8,135,1412380.0
2023-04-06,10500.0,10301.0,10301.0,10401.0,-100.0,6,90,933070.0
2023-04-09,10107.0,10107.0,10107.0,10301.0,-194.0,3,80,808560.0
2023-04-10,10251.0,10050.0,10200.0,10107.0,93.0,4,70,710010.0
2023-04-12,10600.0,10400.0,10600.0,10200.0,400.0,3,40,419990.0
2023-04-13,10812.0,10511.0,10511.0,10600.0,-89.0,6,90,951820.0
2023-04-16,10500.0,10403.0,10425.0,10511.0,-86.0,3,50,522310.0
2023-04-17,10633.5,10421.0,10421.0,10425.0,-4.0,3,30,316865.0
2023-04-18,10455.0,10250.0,10455.0,10421.0,34.0,2,60,617050.0
2023-04-19,10600.0,10600.0,10600.0,10455.0,145.0,1,10,106000.0
2023-04-20,10595.0,10389.0,10595.0,10600.0,-5.0,2,30,313730.0
2023-04-25,10500.0,10500.0,10500.0,10595.0,-95.0,1,20,210000.0
2023-04-30,10401.0,10291.0,10291.0,10500.0,-209.0,2,32,331732.0
2023-05-02,10496.0,10496.0,10496.0,10291.0,205.0,1,20,209920.0
2023-05-03,10350.0,10286.1,10286.1,10496.0,-209.89999999999964,3,120,1237527.0
2023-05-04,10914.0,10491.8,10800.0,10286.1,513.8999999999996,13,155,1662527.0
2023-05-07,10650.0,10650.0,10650.0,10800.0,-150.0,1,10,106500.0
2023-05-08,10437.0,10230.0,10230.0,10650.0,-420.0,2,50,515640.0
