date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,730,707.2,723,736.3,-13.3,97,6388,4588935.1
2022-02-21,752,730,735,723,12,47,1926,1415508.7
2022-02-22,749,731.6,746.5,735,11.5,74,4286,3152503.8
2022-02-23,749.7,735,739,746.5,-7.5,23,1356,1003139.2
2022-02-24,739,712,720,739,-19,95,6308,4540399.4
2017-02-08,346,334,346,,346,3,30,10200
2017-02-21,352,352,352,346,6,1,10,3520
2017-02-23,380,359,380,352,28,6,50,18370
2017-02-26,401,387,401,380,21,3,30,11820
2017-03-01,441,409,441,401,40,6,72,30792
2017-03-02,484,449,484,441,43,5,58,27146
2017-03-05,532,493,532,484,48,7,90,46650
2017-03-06,574,542,574,532,42,6,54,30412
2017-03-07,631,585,631,574,57,20,236,147606
2017-03-09,694,643,694,631,63,5,58,38806
2017-03-13,763,728,763,694,69,17,182,137606
2017-03-21,689,676,689,663,26,6,50,33982
2017-03-22,702,702,702,689,13,2,14,9884
2017-03-29,737,737,737,702,35,1,14,10318
2017-04-04,,,,737,,2,14,10514
2017-04-10,751,751,751,737,14,1,10,7510
2017-04-13,766,766,766,751,15,1,10,7660
2017-04-18,796,781,796,766,30,2,20,15770
2017-04-24,811,811,811,796,15,1,10,8110
2017-04-25,859,827,859,811,48,3,38,32098
2017-04-26,893,876,893,859,34,2,28,24766
2017-04-27,,,,893,,2,10,9100
2017-04-30,910,910,910,893,17,2,20,18200
2017-05-02,983,928,983,910,73,4,44,42066
2017-05-04,1002,1002,1002,983,19,1,10,10020
2017-05-08,1022,1022,1022,1002,20,1,10,10220
2017-05-09,,,,1022,,2,10,10420
2017-05-11,1094,1073,1094,1022,72,2,24,25962
2017-05-16,,,,1094,,2,10,10940
2017-05-21,1159,1115,1159,1094,65,3,30,34110
2017-05-22,1205,1182,1205,1159,46,2,20,23870
2017-05-23,1278,1229,1278,1205,73,4,38,47528
2017-05-24,1405,1303,1405,1278,127,11,80,108908
2017-05-28,1519,1433,1519,1405,114,4,40,59030
2017-05-30,1579,1549,1579,1519,60,2,20,31280
2017-05-31,1707,1610,1707,1579,128,5,54,89840
2017-06-01,1775,1741,1775,1707,68,2,20,35160
2017-06-04,1952,1810,1952,1775,177,5,58,109574
2017-06-05,2147,1991,2147,1952,195,6,60,124960
2017-06-06,2361,2189,2361,2147,214,7,60,137430
2017-06-07,2597,2408,2597,2361,236,6,68,171956
2017-06-08,2856,2648,2856,2597,259,19,178,498974
2017-06-11,3141,2913,3141,2856,285,312,4040,12684335
2017-06-12,3455,2956,3070,3141,-71,1288,17573,54493513
2017-06-13,3035,2950,3000,3070,-70,400,6005,18041242
2017-06-14,2998,2882,2893,3000,-107,209,2670,7738952
2017-06-15,3009,2840,2901,2893,8,190,3317,9650718
2017-06-18,2890,2850,2861,2901,-40,88,1279,3664695
2017-06-19,2864,2830,2839,2861,-22,69,910,2595253
2017-06-20,2880,2815,2840,2839,1,78,1464,4146884
2017-06-21,2927,2821,2856,2840,16,48,702,2014898
2017-06-22,2890,2821,2890,2856,34,52,1405,4042099
2017-06-25,2990,2833,2960,2890,70,48,1034,3047856
2017-06-27,2990,2900,2900,2960,-60,46,1136,3329363
2017-06-28,2955,2900,2926,2900,26,87,1203,3523409
2017-07-02,2955,2900,2930,2926,4,46,898,2616970
2017-07-03,2920,2900,2915,2930,-15,45,522,1520788
2017-07-04,2930,2892,2910,2915,-5,31,358,1042082
2017-07-05,3019,2910,3019,2910,109,33,617,1805526
2017-07-06,3030,2970,3025,3019,6,53,1798,5410748
2017-07-09,3085,2905,2935,3025,-90,121,1222,3658338
2017-07-10,2980,2934,2950,2935,15,108,861,2544783
2017-07-11,3000,2944,2980,2950,30,143,1698,5038000
2017-07-12,2980,2950,2975,2980,-5,123,993,2937956
2017-07-13,2950,2885,2950,2975,-25,90,898,2626119
2017-07-16,2923,2903,2920,2950,-30,146,1030,3001349
2017-07-17,2980,2901,2941,2920,21,108,1115,3284541
2017-07-18,3000,2950,3000,2941,59,158,1985,5905831
2017-07-19,3010,2940,3000,3000,,144,2010,5988472
2017-07-20,3180,2940,3140,3000,140,330,6474,19980220
2017-07-23,3233,3095,3110,3140,-30,273,5689,17899208
2017-07-24,3150,2843,3042,3110,-68,107,1723,5258642
2017-07-25,3102,3040,3081,3042,39,105,1914,5863312
2017-07-26,3120,3050,3091,3081,10,125,1592,4928533
2017-07-27,3213,3035,3090,3091,-1,100,1750,5476314
2017-07-30,3131,3030,3090,3090,,90,2152,6660595
2017-07-31,3120,3081,3100,3090,10,122,2068,6407444
2017-08-01,3225,3100,3214,3100,114,162,3326,10492254
2017-08-02,3240,3150,3172,3214,-42,126,2762,8764035
2017-08-03,3235,3155,3174,3172,2,116,2575,8206238
2017-08-06,3209,3150,3151,3174,-23,120,2167,6855452
2017-08-07,3175,3120,3150,3151,-1,108,1874,5887696
2017-08-09,3179,3100,3156,3150,6,127,1613,5085120
2017-08-10,3190,3101,3151,3156,-5,89,2598,8184543
2017-08-13,3151,3090,3100,3151,-51,66,1314,4099419
2017-08-15,3150,3010,3025,3100,-75,78,1269,3877946
2017-08-16,3100,3000,3012,3025,-13,64,1433,4337911
2017-08-17,3040,3000,3020,3012,8,55,902,2723173
2017-08-20,3025,2985,3015,3020,-5,70,1137,3407728
2017-08-21,3019,2962,2962,3015,-53,49,680,2041871
2017-08-22,3060,2960,3005,2962,43,67,1045,3137048
2017-08-23,3200,3005,3060,3005,55,137,2601,7971411
2017-08-24,3150,3075,3145,3060,85,306,4736,14759454
2017-08-27,3200,3150,3200,3145,55,315,7842,24909223
2017-08-28,3250,3155,3180,3200,-20,208,4654,14862659
2017-08-30,3200,3130,3150,3180,-30,243,4061,12815389
2017-08-31,3168,3121,3121,3150,-29,603,12169,38245750
2017-09-04,1217,1129,1217,1107,110,50,1741,2113639
2017-09-06,1338,1241,1338,1217,121,31,1051,1402857
2017-09-07,1471,1364,1410,1338,72,533,19724,28106619
2017-09-10,1407,1320,1333,1410,-77,157,4520,6091591
2017-09-11,1333,1280,1285,1333,-48,76,2356,3053433
2017-09-12,1310,1265,1294,1285,9,81,1650,2135008
2017-09-13,1327,1265,1305,1294,11,63,1649,2155833
2017-09-14,1335,1295,1335,1305,30,58,1407,1850217
2017-09-17,1360,1300,1320,1335,-15,74,1330,1776468
2017-09-18,1350,1320,1325,1320,5,67,1706,2274528
2017-09-20,1325,1280,1280,1325,-45,88,1123,1451216
2017-09-24,1366,1305,1320,1280,40,56,1188,1581146
2017-09-25,1350,1340,1340,1320,20,9,190,255632
2017-09-26,1364,1340,1349,1340,9,48,960,1298125
2017-10-03,1332,1330,1330,1349,-19,9,171,227460
2017-10-04,1313,1300,1301,1330,-29,16,537,700112
2017-10-08,1285,1265,1265,1301,-36,24,548,703372
2017-10-09,1270,1241,1269,1265,4,20,520,656366
2017-10-10,1280,1260,1260,1269,-9,19,383,485979
2017-10-11,1295,1252,1253,1260,-7,14,515,650795
2017-10-12,1253,1235,1240,1253,-13,18,238,295526
2017-10-15,1264,1250,1255,1240,15,8,194,242790
2017-10-16,1295,1250,1295,1255,40,12,589,748034
2017-10-17,1291,1276,1280,1295,-15,19,456,585626
2017-10-18,1332,1240,1330,1280,50,18,601,765703
2017-10-22,1335,1320,1325,1330,-5,25,338,448883
2017-10-23,1325,1300,1300,1325,-25,18,751,977621
2017-10-24,1278,1265,1278,1300,-22,5,63,80121
2017-10-25,1280,1256,1280,1278,2,16,680,859443
2017-10-29,1270,1231,1255,1280,-25,23,502,631504
2017-10-30,1257,1239,1255,1255,,20,752,943570
2017-10-31,1305,1250,1305,1255,50,11,182,232135
2017-11-01,1300,1254,1299,1305,-6,19,663,854332
2017-11-02,1290,1274,1275,1299,-24,24,523,668638
2017-11-05,1345,1300,1332,1275,57,138,3723,4935276
2017-11-06,1351,1323,1345,1332,13,90,2075,2787936
2017-11-07,1355,1340,1341,1345,-4,33,1028,1386388
2017-11-08,1340,1315,1325,1341,-16,46,880,1168062
2017-11-09,1348,1320,1348,1325,23,109,3311,4418051
2017-11-12,1272,1240,1244,1292,-48,21,738,918891
2017-11-13,1265,1251,1256,1244,12,18,324,407648
2017-11-14,1292,1260,1263,1256,7,21,631,808125
2017-11-15,1280,1250,1250,1263,-13,19,1057,1339781
2017-11-16,1260,1250,1252,1250,2,19,750,939920
2017-11-19,1250,1236,1236,1252,-16,18,627,778815
2017-11-20,1250,1235,1240,1236,4,13,216,267335
2017-11-21,1250,1231,1240,1240,,20,470,583110
2017-11-22,1240,1230,1236,1240,-4,14,213,262638
2017-11-23,1240,1215,1215,1236,-21,35,998,1221848
2017-11-26,1265,1221,1250,1215,35,16,511,630846
2017-11-27,1266,1250,1260,1250,10,28,1821,2294713
2017-11-28,1280,1265,1270,1260,10,12,285,362780
2017-11-29,1361,1285,1337,1270,67,60,2333,3086893
2017-11-30,1335,1300,1319,1337,-18,37,1171,1544945
2017-12-04,1305,1295,1295,1319,-24,17,668,866500
2017-12-05,1305,1287,1300,1295,5,9,266,345842
2017-12-06,1326,1281,1296,1300,-4,23,546,714747
2017-12-10,1285,1278,1278,1296,-18,4,111,142208
2017-12-11,1275,1265,1275,1278,-3,4,54,68609
2017-12-12,1280,1261,1266,1275,-9,9,360,456958
2017-12-13,1290,1260,1290,1266,24,5,197,250375
2017-12-14,1300,1270,1300,1290,10,13,175,225414
2017-12-17,1300,1264,1285,1300,-15,13,180,228936
2017-12-18,1285,1240,1264,1285,-21,10,276,346780
2017-12-19,1264,1243,1245,1264,-19,20,565,704643
2017-12-20,1250,1240,1243,1245,-2,6,61,75918
2017-12-21,1245,1238,1238,1243,-5,5,128,158907
2017-12-24,1245,1238,1239,1238,1,11,473,586720
2017-12-26,1240,1225,1230,1239,-9,8,176,217675
2017-12-27,1230,1210,1212,1230,-18,13,186,227199
2017-12-28,1220,1180,1185,1212,-27,16,411,493854
2017-12-31,1168,1163,1168,1185,-17,4,42,48908
2018-01-01,1168,1160,1165,1168,-3,4,78,90680
2018-01-02,1235,1142,1213,1165,48,20,700,849745
2018-01-03,1200,1180,1200,1213,-13,14,254,302401
2018-01-04,1190,1176,1190,1200,-10,9,148,175076
2018-01-07,1176,1170,1176,1190,-14,2,27,31686
2018-01-08,1185,1180,1180,1176,4,9,176,208259
2018-01-09,1198,1175,1185,1180,5,5,83,98705
2018-01-10,1195,1168,1180,1185,-5,20,511,600878
2018-01-14,1161,1158,1161,1180,-19,11,119,137921
2018-01-16,1149,1138,1138,1161,-23,16,351,401354
2018-01-17,1198,1116,1198,1138,60,7,338,395934
2018-01-21,1175,1132,1132,1198,-66,3,34,39201
2018-01-22,1137,1115,1137,1132,5,6,83,93450
2018-01-23,1140,1130,1130,1137,-7,8,173,195961
2018-01-24,1122,1110,1119,1130,-11,4,137,153228
2018-01-25,1141,1115,1140,1119,21,16,196,220337
2018-01-28,1122,1120,1122,1140,-18,6,115,128926
2018-01-29,1122,1100,1120,1122,-2,13,224,248892
2018-01-31,1130,1111,1115,1120,-5,15,255,285458
2018-02-01,1121,1102,1102,1115,-13,19,341,380308
