date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1030,978.1,995.1,1039,-43.9,100,3339,3328755.2
2022-02-21,1015,980,1009,995.1,13.9,35,1554,1545644.3
2022-02-22,1055,1028.2,1029,1009,20,100,5182,5390248.8
2022-02-23,1108,1020.4,1106,1029,77,329,16240,17712270.2
2022-02-24,1100,1070,1073,1106,-33,104,5473,5954271.2
2021-05-03,384,356,384,,384,5,50,18500
2021-05-04,422,391,422,384,38,24,1759,700942
2021-05-05,454,430,454,422,32,4,40,17680
2021-05-06,499,463,499,454,45,30,300,148800
2021-05-09,548,523,548,499,49,80,800,437200
2021-05-10,602,575,602,548,54,104,1040,624790
2021-05-11,662,632,662,602,60,73,2386,1578601
2021-05-12,728,695,728,662,66,112,1100,799070
2021-05-13,800,764,800,728,72,203,2030,1623010
2021-05-16,880,840,880,800,80,316,4169,3663210
2021-05-17,968,924,968,880,88,505,9826,9504188
2021-05-18,1064,1016,1064,968,96,524,7325,7719160
2021-05-19,1170,1117,1170,1064,106,300,3350,3906910
2021-05-20,1287,1053,1125,1170,-45,3269,44213,50201302
2021-05-23,1179,1030,1083,1125,-42,925,10376,11227161
2021-05-24,1101,1045,1062,1083,-21,692,12738,13580615
2021-05-25,1091,1052,1073,1062,11,298,5907,6276660
2021-05-27,1085,1050,1085,1073,12,313,4868,5198017
2021-05-30,1100,1050,1052,1085,-33,227,5325,5661620
2021-05-31,1070,1011,1016,1052,-36,270,8268,8611004
2021-06-01,1020,968,999,1016,-17,284,6215,6142170
2021-06-02,1031,968,1030,999,31,224,2625,2632602
2021-06-03,1048,994,1012,1030,-18,124,1684,1708688
2021-06-06,1021,993,996,1012,-16,167,3992,4008115
2021-06-07,1033,975,990,996,-6,119,3880,3865440
2021-06-08,1021,982,994,990,4,88,3190,3173870
2021-06-09,1000,985,1000,994,6,105,1821,1800462
2021-06-10,1005,943,986,1000,-14,228,12413,12024905
2021-06-13,1005,970,970,986,-16,189,6830,6726265
2021-06-14,999,956,974,970,4,125,3620,3513580
2021-06-15,966,943,950,974,-24,159,4493,4289895
2021-06-16,963,885,914,950,-36,171,3420,3178810
2021-06-17,954,889,950,914,36,192,4414,4035480
2021-06-20,1000,925,980,950,30,266,8256,7894878
2021-06-21,980,937,954,980,-26,102,3410,3271460
