date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1390,1371,1382,1416,-34,33,824,1140044.2
2022-02-21,1405,1380,1405,1382,23,36,978,1353271.3
2022-02-22,1408,1385.1,1408,1405,3,10,286,400139.9
2022-02-23,1409,1386.1,1402,1408,-6,27,772,1081368.6
2022-02-24,1400,1354.5,1358.1,1402,-43.9,35,956,1308473.2
2019-08-22,320,302,320,302,18,4,40,12440
2019-08-26,332,326,332,320,12,2,20,6580
2019-08-27,365,338,365,332,33,7,560,203190
2019-08-28,401,383,401,365,36,10,100,39590
2019-08-29,441,409,441,401,40,22,220,96220
2019-09-01,485,463,485,441,44,303,3030,1467180
2019-09-02,531,485,507,485,22,3227,38269,19392113
2019-09-03,530,485,520,507,13,835,11510,5732250
2019-09-04,530,500,518,520,-2,563,7791,3990098
2019-09-05,519,503,506,518,-12,266,5650,2866760
2019-09-08,506,497,500,506,-6,207,6380,3194710
2019-09-09,505,492,493,500,-7,257,3580,1773940
2019-09-10,495,486,489,493,-4,276,3936,1928238
2019-09-11,499,484,486,489,-3,215,4650,2258810
2019-09-12,490,472,476,486,-10,123,2820,1345810
2019-09-15,477,462,470,476,-6,174,2100,979550
2019-09-16,473,459,460,470,-10,119,2225,1029680
2019-09-17,483,452,470,460,10,90,1773,826356
2019-09-18,490,470,473,470,3,94,1597,761536
2019-09-19,491,469,469,473,-4,119,1830,865750
2019-09-22,469,450,454,469,-15,154,2580,1169605
2019-09-23,463,447,462,454,8,109,1550,703690
2019-09-24,460,447,451,462,-11,85,1210,547300
2019-09-25,459,449,450,451,-1,84,905,410050
2019-09-26,459,447,454,450,4,89,920,413920
2019-09-29,450,441,446,454,-8,75,750,334740
2019-09-30,454,441,448,446,2,49,786,353250
2019-10-01,464,444,460,448,12,55,710,321060
2019-10-02,455,447,450,460,-10,31,640,287730
2019-10-03,460,450,458,450,8,29,744,337562
2019-10-10,451,450,451,458,-7,3,70,31560
2019-10-14,455,442,447,451,-4,27,1270,574910
2019-10-15,472,444,459,447,12,13,160,72830
2019-10-16,458,449,453,459,-6,39,430,194880
2019-10-17,457,447,452,453,-1,55,750,339740
2019-10-20,461,443,461,452,9,85,2010,903660
2019-10-21,460,446,450,461,-11,30,300,134870
2019-10-22,454,447,448,450,-2,33,330,148050
2019-10-23,459,446,447,448,-1,33,2720,1219510
2019-10-24,455,441,448,447,1,28,460,206630
2019-10-31,453,445,451,448,3,28,360,161760
2019-11-03,459,446,458,451,7,54,1095,494015
2019-11-04,468,453,454,458,-4,53,810,367865
2019-11-05,457,445,445,454,-9,72,1990,892030
2019-11-06,455,446,451,445,6,108,1560,703450
2019-11-07,459,448,451,451,,85,1480,670420
2019-11-10,462,448,455,451,4,151,1820,824960
2019-11-11,500,465,500,455,45,170,5723,2807767
2019-11-12,542,465,526,500,26,236,8030,4204924
2019-11-13,560,517,560,526,34,229,10010,5440876
2019-11-14,570,540,563,560,3,214,9185,5102183
2019-11-17,580,558,562,563,-1,172,5830,3298070
2019-11-18,561,550,555,562,-7,114,4093,2272938
2019-11-19,565,548,548,555,-7,157,5177,2857275
2019-11-20,558,542,546,548,-2,372,7970,4355155
2019-11-21,482,474,477,483.19,-6.19,47,2697,1287975
2019-11-24,477,464,470,477,-7,54,2150,1012600
2019-11-25,478,457,466,470,-4,59,1647,762766
2019-11-26,475,460,465,466,-1,43,1007,469440
2019-11-27,475,457,475,465,10,32,920,428220
2019-11-28,482,458,476,475,1,37,998,473492
2019-12-01,477,468,474,476,-2,13,295,139610
2019-12-02,480,470,479,474,5,17,475,226375
2019-12-03,488,471,484,479,5,35,1076,518157
2019-12-04,517,476,510,484,26,61,6147,3051501
2019-12-05,520,497,510,510,,57,3434,1744760
2019-12-08,531,501,523,510,13,77,5367,2773193
2019-12-09,558,530,544,523,21,90,10174,5542483
2019-12-10,560,530,545,544,1,101,8083,4419172
2019-12-11,578,545,568,545,23,94,6569,3709726
2019-12-12,573,551,551,568,-17,107,6895,3864890
2019-12-15,556,543,553,551,2,76,5622,3078413
2019-12-16,555,537,545,553,-8,59,1750,955000
2019-12-17,553,536,548,545,3,33,890,485670
2019-12-18,549,539,541,548,-7,42,2261,1224529
2019-12-19,545,534,535,541,-6,23,933,501415
2019-12-22,540,526,536,535,1,55,1160,622000
2019-12-23,550,528,545,536,9,42,1507,819900
2019-12-24,555,536,545,545,,59,4698,2567802
2019-12-25,546,536,539,545,-6,29,970,525680
2019-12-26,542,536,540,539,1,30,945,508054
2019-12-29,555,532,549,540,9,57,2311,1270030
2019-12-30,553,538,551,549,2,44,1285,699370
2019-12-31,562,542,551,551,,38,1210,667470
2020-01-01,561,541,556,551,5,40,1680,927945
2020-01-02,575,550,575,556,19,105,7702,4347346
2020-01-05,618,574,600,575,25,131,10632,6289051
2020-01-06,624,590,611,600,11,127,6658,4092578
2020-01-07,670,590,669,611,58,156,8505,5424015
2020-01-08,695,645,684,669,15,110,8349,5564013
2020-01-09,708,661,708,684,24,139,7750,5364865
2020-01-12,749,694,748,708,40,135,13225,9458790
2020-01-13,762,695,725,748,-23,106,6026,4394168
2020-01-14,736,697,725,725,,93,7777,5607225
2020-01-15,740,715,740,725,15,66,5527,4019423
2020-01-16,798,740,798,740,58,106,6320,4905145
2020-01-19,828,797,825,798,27,95,7466,6040516
2020-01-20,835,786,788,825,-37,96,6790,5509855
2020-01-21,826,771,810,788,22,74,2685,2135105
2020-01-22,800,771,800,810,-10,49,1998,1583719
2020-01-23,800,775,775,800,-25,73,1854,1453475
2020-01-26,780,748,754,775,-21,61,2382,1826707
2020-01-27,784,742,772,754,18,51,1690,1288770
