date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,396.5,383,388,398,-10,268,43585,16986267
2022-02-21,395.7,388.1,390,388,2,141,25811,10082182.6
2022-02-22,402,388,397,390,7,211,34329,13656892.9
2022-02-23,403,390.9,392,397,-5,149,29027,11450272.2
2022-02-24,391.5,378.3,382,392,-10,237,39755,15255314.1
2011-11-16,314,314,314,,314,1,10,3140
2011-11-20,308,308,308,314,-6,1,50,15400
2011-11-28,293,293,293,308,-15,1,110,32230
2011-12-01,288,273,273,293,-20,6,180,50640
2012-01-18,268,263,263,273,-10,2,180,47740
2012-04-01,258,258,258,263,-5,1,170,43860
2012-04-30,253,248,248,258,-10,4,270,67960
2012-05-07,244,244,244,248,-4,1,20,4880
2012-05-20,232,232,232,244,-12,22,1240,287680
2012-05-29,225,225,225,232,-7,1,1240,279000
2012-07-10,214,214,214,225,-11,1,50,10700
2012-07-12,204,204,204,214,-10,1,50,10200
2012-07-16,200,200,200,204,-4,1,70,14000
2012-07-17,196,196,196,200,-4,3,270,52920
2012-07-26,193,193,193,196,-3,1,20,3860
2012-08-12,190,190,190,193,-3,5,500,95000
2012-08-19,181,181,181,190,-9,11,1320,238920
2012-08-26,172,172,172,181,-9,1,110,18920
2012-09-09,169,155,155,172,-17,6,60,9700
2012-09-25,152,147,147,155,-8,3,30,4480
2012-09-26,145,143,143,147,-4,3,70,10030
2012-09-27,141,137,137,143,-6,3,60,8340
2012-10-02,135,124,124,137,-13,8,200,25460
2012-10-03,122,112,112,124,-12,50,4850,544740
2012-10-04,113,106,111,112,-1,46,4670,510650
2012-10-07,113,106,112,111,1,32,3980,440670
2012-10-08,114,110,114,112,2,24,2710,301430
2012-10-09,113,111,112,114,-2,30,2770,309080
2012-10-10,114,112,112,112,,5,390,43880
2012-10-11,114,114,114,112,2,1,50,5700
2012-10-14,113,111,111,114,-3,2,2020,224420
2012-10-15,118,112,118,111,7,7,820,94570
2012-10-18,120,118,120,118,2,10,1090,130420
2012-10-30,119,118,119,120,-1,6,780,92360
2012-10-31,122,120,122,119,3,8,760,91740
2012-11-01,121,119,120,122,-2,6,550,65970
2012-11-04,122,118,120,120,,5,660,79620
2012-11-05,124,122,124,120,4,10,1440,175860
2012-11-06,128,125,128,124,4,7,490,61870
2012-11-07,129,128,128,128,,3,220,28280
2012-11-21,130,130,130,128,2,14,720,93600
2012-11-22,128,126,126,130,-4,4,470,59760
2012-11-25,124,116,116,126,-10,10,660,77840
2012-11-26,118,116,116,116,,4,560,64980
2012-11-27,117,117,117,116,1,7,2530,296010
2012-11-28,119,119,119,117,2,4,520,61880
2012-11-29,117,117,117,119,-2,5,750,87750
2012-12-03,116,116,116,117,-1,1,80,9280
2012-12-04,118,116,118,116,2,6,310,36220
2012-12-05,118,117,117,118,-1,12,730,85590
2012-12-06,119,117,118,117,1,7,1180,138920
2012-12-09,118,116,116,118,-2,7,1430,166230
2012-12-10,118,116,116,116,,4,200,23500
2012-12-11,118,114,118,116,2,4,910,104740
2012-12-12,116,116,116,118,-2,3,150,17400
2012-12-13,117,117,117,116,1,4,360,42120
2012-12-17,117,117,117,117,,1,60,7020
2012-12-18,116,116,116,117,-1,5,430,49880
2012-12-19,116,116,116,116,,1,50,5800
2012-12-20,120,118,120,116,4,2,160,19180
2012-12-24,122,122,122,120,2,4,200,24400
2012-12-31,121,120,120,122,-2,8,1010,121700
2013-01-01,118,118,118,120,-2,1,80,9440
2013-01-03,118,118,118,118,,1,50,5900
2013-01-08,117,116,116,118,-2,12,1690,196260
2013-01-10,115,115,115,116,-1,1,50,5750
2013-01-16,116,115,115,115,,3,690,79740
2013-01-20,115,115,115,115,,1,320,36800
2013-01-22,125,117,125,115,10,12,1280,152120
2013-01-24,130,127,130,125,5,8,2080,268420
2013-01-27,132,128,128,130,-2,12,3060,396110
2013-01-28,127,125,125,128,-3,7,670,84400
2013-01-30,125,123,125,125,,4,1440,179000
2013-01-31,127,127,127,125,2,3,620,78740
2013-02-03,129,127,127,127,,5,780,100220
2013-02-04,131,127,130,127,3,9,1340,173610
2013-02-05,128,127,127,130,-3,3,250,31850
2013-02-06,130,128,129,127,2,9,1030,133210
2013-02-07,129,127,129,129,,4,440,56620
2013-02-12,130,130,130,129,1,2,100,13000
2013-02-13,129,129,129,130,-1,5,450,58050
2013-02-14,131,130,131,129,2,2,380,49610
2013-02-19,133,133,133,131,2,7,430,57190
2013-02-20,133,131,131,133,-2,4,390,51190
2013-02-21,129,129,129,131,-2,4,200,25800
2013-02-24,128,127,127,129,-2,2,240,30540
2014-09-07,139,129,139,127,12,6,60,8040
2014-09-09,151,145,151,139,12,4,40,5920
2014-09-10,166,154,166,151,15,5,50,8000
2014-09-11,182,169,182,166,16,6,60,10570
2014-09-14,200,191,200,182,18,4,40,7820
2014-09-15,220,210,220,200,20,4,160,34700
2014-09-30,235,231,235,220,15,5,260,60300
2014-10-08,251,239,251,235,16,5,460,112460
2014-10-09,266,256,266,251,15,4,430,111430
2014-10-12,291,271,291,266,25,5,130,36330
2014-10-13,320,296,320,291,29,56,21003,6718660
2014-10-14,328,301,320,320,,51,6800,2162410
2014-10-15,325,314,320,320,,32,4750,1513090
2014-10-16,326,315,321,320,1,20,4661,1501325
2014-10-19,327,321,322,321,1,6,756,243659
2014-10-20,320,311,314,322,-8,6,1573,496832
2014-10-21,320,315,315,314,1,5,570,180800
2014-10-22,327,321,325,315,10,9,1559,504755
2014-10-26,324,318,318,325,-7,5,1270,404830
2014-10-27,320,312,318,318,,9,1683,532906
2014-10-28,325,315,319,318,1,19,2480,794790
2014-10-30,321,314,321,319,2,5,969,305947
2014-11-02,315,309,309,321,-12,3,150,46950
2014-11-03,308,304,308,309,-1,9,990,303260
2014-11-04,302,302,302,308,-6,1,92,27784
2014-11-05,306,294,301,302,-1,24,6349,1904780
2014-11-06,313,303,313,301,12,3,321,98207
2014-11-09,311,307,311,313,-2,8,810,249360
2014-11-10,311,305,306,311,-5,5,773,239633
2014-11-11,304,294,298,306,-8,9,2101,628714
2014-11-12,305,300,305,298,7,13,4673,1407860
2014-11-13,299,294,294,305,-11,3,170,50330
2014-11-16,291,286,290,294,-4,6,910,261790
2014-11-17,290,285,290,290,,4,973,281670
2014-11-18,285,275,275,290,-15,5,671,188735
2014-11-19,282,280,282,275,7,2,220,61820
2014-11-20,277,277,277,282,-5,1,500,138500
2014-11-23,285,280,285,277,8,15,1820,513670
2014-11-24,285,280,280,285,-5,35,6980,1975880
2014-11-30,288,275,288,280,8,6,2433,688505
2014-12-01,290,285,286,288,-2,9,2250,643520
