date,high,low,close,previous,diff,numtrans,tradedshares,volume
2018-02-28,10.05,10.0,10.05,,10.05,4,5500,55250.0
2018-03-04,10.0,9.85,10.0,10.05,-0.05,2,10900,108865.0
2018-03-05,9.8,9.6,9.79,10.0,-0.21,3,8600,83269.0
2018-03-06,10.0,9.6,10.0,9.79,0.21,7,15000,149235.0
2018-03-07,10.0,10.0,10.0,10.0,,1,1000,10000.0
2018-03-11,9.82,9.76,9.8,10.0,-0.2,4,7000,68590.0
2018-03-12,10.0,9.8,9.82,9.8,0.02,6,12500,123300.0
2018-03-14,10.0,9.85,9.9,9.82,0.08,4,3500,34800.0
2018-03-15,9.71,9.71,9.71,9.9,-0.19,1,500,4855.0
2018-03-19,10.2,9.65,10.2,9.71,0.49,7,32500,323070.0
2018-03-22,10.0,9.8,9.8,10.2,-0.4,5,4500,44220.0
2018-03-26,9.6,9.6,9.6,9.8,-0.2,2,3000,28800.0
2018-03-27,9.5,9.5,9.5,9.6,-0.1,2,5000,47500.0
2018-03-28,9.55,9.5,9.51,9.5,0.01,3,5000,47530.0
2018-03-29,9.51,9.32,9.45,9.51,-0.06,3,24000,226720.0
2018-04-03,9.45,9.45,9.45,9.45,,1,1000,9450.0
2018-04-04,9.64,9.51,9.51,9.45,0.06,4,13000,123965.0
2018-04-05,9.51,9.32,9.51,9.51,,2,12000,112220.0
2018-04-08,9.7,9.7,9.7,9.51,0.19,3,11500,111550.0
2018-04-09,9.9,9.72,9.9,9.7,0.2,4,10900,107475.0
2018-04-10,10.05,9.8,10.05,9.9,0.15,3,16000,160300.0
2018-04-11,10.0,9.95,10.0,10.05,-0.05,7,18200,181995.0
2018-04-15,9.8,9.8,9.8,10.0,-0.2,4,2900,28420.0
2018-04-16,9.7,9.65,9.65,9.8,-0.15,3,11000,106650.0
2018-04-18,9.5,9.35,9.35,9.65,-0.3,2,2000,18850.0
2018-04-19,9.53,9.2,9.53,9.35,0.18,6,4230,39544.2
2018-04-22,9.89,9.34,9.89,9.53,0.36,5,7500,72350.0
2018-04-24,10.0,9.8,10.0,9.89,0.11,9,91890,908162.0
2018-04-25,10.01,10.0,10.01,10.0,0.01,2,4000,40010.0
2018-04-29,9.9,9.8,9.9,10.01,-0.11,8,23000,226120.0
2018-05-02,9.75,9.57,9.57,9.9,-0.33,5,5000,48060.0
2018-05-03,9.76,9.76,9.76,9.57,0.19,1,1000,9760.0
2018-05-06,9.65,9.57,9.65,9.76,-0.11,2,4000,38520.0
2018-05-07,9.46,9.46,9.46,9.65,-0.19,4,23300,220418.0
2018-05-08,9.8,9.64,9.8,9.46,0.34,4,2850,27620.0
2018-05-09,9.8,9.8,9.8,9.8,,2,800,7840.0
2018-05-10,10.0,10.0,10.0,9.8,0.2,1,200,2000.0
2018-05-14,9.8,9.6,9.6,10.0,-0.4,3,8000,77400.0
2018-05-15,9.41,9.41,9.41,9.6,-0.19,1,500,4705.0
2018-05-16,9.4,9.4,9.4,9.41,-0.01,3,2100,19740.0
2018-05-17,9.59,9.5,9.59,9.4,0.19,2,200,1909.0
2018-05-20,9.5,9.5,9.5,9.59,-0.09,1,2000,19000.0
2018-05-21,9.6,9.45,9.45,9.5,-0.05,2,3000,28650.0
2018-05-22,9.8,9.51,9.8,9.45,0.35,15,25200,241182.0
2018-05-23,10.0,9.8,9.8,9.8,,2,1500,14900.0
2018-05-24,9.6,9.6,9.6,9.8,-0.2,2,1500,14400.0
2018-05-29,9.6,9.6,9.6,9.6,,1,3000,28800.0
2018-05-30,9.6,9.41,9.5,9.6,-0.1,3,2500,23760.0
2018-06-04,9.31,9.31,9.31,9.5,-0.19,1,2000,18620.0
2018-06-07,9.31,9.13,9.3,9.31,-0.01,3,2000,18588.0
2018-06-10,9.49,9.49,9.49,9.3,0.19,1,5000,47450.0
2018-06-11,9.4,9.25,9.3,9.49,-0.19,5,7000,65025.0
2018-06-12,9.5,9.31,9.31,9.3,0.01,5,16700,158417.0
2018-06-13,9.28,9.28,9.28,9.31,-0.03,1,5000,46400.0
2018-06-14,9.28,9.1,9.1,9.28,-0.18,2,1000,9118.0
2018-06-17,9.1,9.09,9.1,9.1,,4,1100,10005.0
2018-06-18,9.1,9.1,9.1,9.1,,1,5000,45500.0
2018-06-19,9.47,9.28,9.47,9.1,0.37,13,25000,236275.0
2018-06-20,9.3,9.3,9.3,9.47,-0.17,1,50000,465000.0
2018-06-27,9.2,9.12,9.2,9.3,-0.1,3,3000,27440.0
