date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,681,625,650.2,660,-9.8,1099,69901,45946870.5
2022-02-21,695,638,690,650.2,39.8,1461,88463,59943198.2
2022-02-22,715,690,692,690,2,1918,103869,73065018.8
2022-02-23,700,681,686,692,-6,948,37756,26033406.4
2022-02-24,690,660,665.2,686,-20.8,981,66226,44469943.4
2021-10-31,445.8,405.3,445.8,,40.5,84,667,293759.1
2021-11-01,490.3,445.8,490.3,445.8,44.5,120,957,466425.9
2021-11-02,539.3,500,539.3,490.3,49,296,2891,1557835.2
2021-11-03,593.2,550,593.2,539.3,53.9,814,7962,4719682.1
2021-11-08,652.5,605,652.5,593.2,59.3,2559,28872,18817807.9
2021-11-09,717.7,665,717.7,652.5,65.2,25469,369134,257954417.8
2021-11-11,789.4,681,772.5,717.7,54.8,10255,124511,93553669.9
2021-11-14,772.5,696.5,705,772.5,-67.5,11499,186015,134423732.3
2021-11-15,733,691.1,714,705,9,6144,84049,59725214
2021-11-16,765,700.5,762,714,46,5532,106613,78470416.5
2021-11-17,780,747,752,762,-10,4184,111965,85758375.1
2021-11-18,752,725,726,752,-26,3125,79612,58472768.3
2021-11-21,748.6,712,712,726,-14,3238,57348,41165888.6
2021-11-22,733,701,723,712,11,3457,61413,44398345
2021-11-23,725,705,710,723,-13,2426,61860,44138550
2021-11-24,725.1,697,716,710,6,2399,40398,28644275
2021-11-25,730,705,706,716,-10,1968,36247,25842139
2021-11-28,704,679,682,706,-24,1813,61690,42432079.6
2021-11-29,683,655,658,682,-24,1796,59294,39655691.4
2021-11-30,678.3,640,649,658,-9,1595,42982,27933731.3
2021-12-01,666.6,636.1,649,649,,1063,24083,15753269.8
2021-12-02,653,616.6,620,649,-29,1139,38173,24152942
2021-12-05,618,592,600,620,-20,1517,41265,24760495.9
2021-12-06,649,575,649,600,49,1599,55590,33512905.5
2021-12-07,673.9,616.2,635,649,-14,1232,59575,38352655.5
2021-12-08,634,594,595,635,-40,831,31289,18929146
2021-12-09,619,572,581,595,-14,926,44125,25700423
2021-12-12,584.6,545,545,581,-36,916,39265,21998112.2
2021-12-13,542,500,513,545,-32,974,38196,19595979.6
2021-12-14,564,505,563,513,50,373,14615,7901219
2021-12-15,600,545,548,563,-15,842,30603,17373730.2
2021-12-16,570,523,540,548,-8,674,36059,19324673.7
2021-12-20,545.2,514,524.5,540,-15.5,646,18596,9764185.6
2021-12-21,540,514.1,533.2,524.5,8.7,657,23307,12306574.5
2021-12-22,560,522.6,558.9,533.2,25.7,708,25566,14142929.3
2021-12-23,571.5,540.2,551,558.9,-7.9,830,41614,23228297.5
2021-12-26,572,542.1,557,551,6,737,27500,15203716.8
2021-12-27,564,530,533.2,557,-23.8,863,50149,27239805.4
2021-12-28,540,515,537,533.2,3.8,595,21213,11283709
2021-12-29,548,530,545,537,8,579,16170,8739423
2022-01-02,565,534.2,549,545,4,762,15457,8417646.9
2022-01-03,559,539,544,549,-5,816,46593,25564459
2022-01-04,568,536,566,544,22,922,27443,15226271.3
2022-01-05,608,560.6,580,566,14,1114,69522,40744392.3
2022-01-06,608,569,607,580,27,1523,67178,40122758.1
2022-01-09,655.8,610,626,607,19,1423,70612,44462698
2022-01-10,652.8,618.1,641,626,15,1516,98654,62817870.6
2022-01-11,659.9,628,640,641,-1,1083,55114,35518861.7
2022-01-12,680,630,633,640,-7,1178,69261,44828249.8
2022-01-13,662,630,651,633,18,1289,49360,31894723.6
2022-01-16,675,645,648,651,-3,1273,73826,48711285.4
2022-01-17,660,637,651,648,3,1475,50062,32502580.4
2022-01-18,663,636,645,651,-6,1496,39260,25363218.7
2022-01-19,650,621.2,625,645,-20,1354,39319,24814965.6
2022-01-20,636,615.1,632.5,625,7.5,1328,44219,27757637
2022-01-23,650,624,624,632.5,-8.5,1261,28508,18076617.3
2022-01-24,634,585,596,624,-28,1237,61455,37216571.8
2022-01-25,604,584,584,596,-12,951,45434,26916291.5
2022-01-26,597,570,575.3,584,-8.7,777,37192,21555101.4
2022-01-27,593,567.5,579,575.3,3.7,726,19650,11447017.5
2022-01-30,620,590,620,579,41,1549,54130,33064320
2022-01-31,632,610.3,625.9,620,5.9,1370,40002,24848791.3
2022-02-01,664.9,615,660,625.9,34.1,2472,99983,64652281.2
2022-02-03,726,673.2,700,660,40,5418,243194,171135531.8
2022-02-06,734,680,720,700,20,3575,169085,119743605.8
