date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,370,360,366.9,374,-7.1,88,14190,5163967.2
2022-02-21,373.3,362,373.3,366.9,6.4,68,10271,3755411
2022-02-22,378,364,368,373.3,-5.3,60,6816,2499146.5
2022-02-23,370,361,370,368,2,52,4929,1795514.5
2022-02-24,362.6,356,360,370,-10,63,9716,3478430
2010-04-15,700,682,682,690,-8,5,256,175496
2010-04-19,670,657,657,670,-13,3,336,224411
2010-04-20,650,632,632,657,-25,11,587,378040
2010-04-21,620,612,612,632,-20,3,155,95628
2010-04-22,603,580,600,612,-12,8,532,317800
2010-04-25,612,584,584,600,-16,11,1848,1096779
2010-04-26,573,566,566,584,-18,4,736,418216
2010-04-28,556,556,556,566,-10,1,10,5560
2010-05-09,570,565,565,556,9,3,314,177930
2010-05-10,619,576,607,565,42,7,1003,602863
2010-05-11,647,607,647,607,40,9,1012,629942
2010-05-12,711,655,700,647,53,9,326,223950
2010-05-13,770,714,770,700,70,15,1487,1119230
2010-05-16,755,693,693,770,-77,9,818,585836
2010-05-17,690,657,662,693,-31,14,1494,994245
2010-05-18,709,660,709,662,47,12,1355,910152
2010-05-19,740,718,730,709,21,9,823,596103
2010-05-20,760,720,750,730,20,14,1514,1128200
2010-05-23,755,727,741,750,-9,9,1323,979670
2010-05-24,760,735,760,741,19,8,1023,762347
2010-05-25,820,755,820,760,60,31,2024,1610413
2010-05-26,805,789,789,820,-31,4,205,163855
2010-05-30,869,804,869,790,80,12,1320,1137753
2010-05-31,905,785,785,869,-84,20,1439,1200224
2010-06-01,775,717,717,785,-68,8,1316,980976
2010-06-02,725,725,725,717,8,1,115,83375
2010-06-03,790,739,785,725,60,14,1504,1166560
2010-06-06,780,749,749,785,-36,19,3212,2459062
2010-06-07,760,750,760,749,11,3,224,168730
2010-06-08,789,770,770,760,10,8,711,553244
2010-06-09,791,770,790,770,20,6,615,482488
2010-06-10,795,780,786,790,-4,8,943,738740
2010-06-13,801,755,770,786,-16,15,1591,1227065
2010-06-14,770,760,760,770,-10,14,1185,908325
2010-06-15,765,749,765,760,5,10,742,561886
2010-06-16,780,780,780,765,15,3,265,206700
2010-06-17,790,755,755,780,-25,9,788,606646
2010-06-20,770,755,769,755,14,10,1597,1221876
2010-06-21,770,765,765,769,-4,2,272,209080
2010-06-22,770,755,755,765,-10,5,473,360605
2010-06-23,765,753,753,755,-2,3,130,99090
2010-06-24,760,745,751,753,-2,14,1855,1390390
2010-06-28,750,742,742,751,-9,5,640,478586
2010-06-29,742,730,730,742,-12,7,641,469847
2010-06-30,735,730,731,730,1,3,376,274816
2010-07-01,750,744,744,731,13,12,1340,1002810
2010-07-04,732,730,730,744,-14,6,1169,854249
2010-07-05,731,717,727,730,-3,6,1552,1123260
2010-07-06,745,727,745,727,18,8,609,448395
2010-07-07,751,745,749,745,4,8,1497,1116521
2010-07-08,755,731,750,749,1,8,577,425802
2010-07-11,750,736,740,750,-10,5,641,472768
2010-07-12,740,740,740,740,,1,38,28120
2010-07-13,754,750,750,740,10,3,306,229656
2010-07-14,755,742,742,750,-8,3,172,128560
2010-07-15,741,740,741,742,-1,2,202,149572
2010-07-18,745,733,735,741,-6,6,455,334864
2010-07-19,735,725,725,735,-10,5,598,436370
2010-07-20,745,720,745,725,20,5,958,698357
2010-07-21,760,745,755,745,10,10,642,480597
2010-07-22,754,754,754,755,-1,1,18,13572
2010-07-25,751,742,742,754,-12,4,211,157288
2010-07-26,742,732,732,742,-10,3,579,424288
2010-07-27,740,732,740,732,8,2,106,77744
2010-07-28,736,727,730,740,-10,4,770,561734
2010-07-29,753,730,749,730,19,8,658,487005
2010-08-01,748,745,748,749,-1,2,106,79144
2010-08-02,751,745,751,748,3,5,757,566077
2010-08-03,750,740,740,751,-11,6,744,555050
2010-08-04,750,738,738,740,-2,11,840,624841
2010-08-05,754,735,750,738,12,14,1573,1178356
2010-08-08,755,750,750,750,,7,839,630935
2010-08-09,755,755,755,750,5,2,414,312570
2010-08-10,756,750,750,755,-5,3,248,186642
2010-08-11,760,750,750,750,,4,421,317760
2010-08-12,755,750,750,750,,4,184,138150
2010-08-15,765,751,751,750,1,5,708,534949
2010-08-16,766,752,755,751,4,14,1717,1296533
2010-08-17,740,715,726,755,-29,18,1875,1366132
2010-08-18,730,688,688,726,-38,6,1207,844601
2010-08-19,690,675,690,688,2,10,1314,899928
2010-08-22,677,665,670,690,-20,6,710,477035
2010-08-23,666,646,666,670,-4,11,1599,1046943
2010-08-26,671,660,665,666,-1,7,754,503294
2010-08-29,665,650,655,665,-10,16,2792,1824198
2010-08-30,661,652,661,655,6,5,344,226386
2010-08-31,654,649,649,661,-12,7,877,571758
2010-09-02,655,649,649,649,,6,577,375483
2010-09-05,650,620,622,649,-27,17,1712,1075495
2010-09-06,639,620,639,622,17,9,1367,860543
2010-09-07,660,635,660,639,21,7,1457,936920
2010-09-08,686,671,675,660,15,12,1607,1086631
2010-09-09,665,639,652,675,-23,15,1711,1109043
2010-09-12,658,641,650,652,-2,5,1210,781315
2010-09-13,653,650,650,650,,10,1620,1053281
2010-09-14,652,645,652,650,2,7,802,519460
2010-09-15,655,639,655,652,3,14,2169,1407391
2010-09-16,655,650,650,655,-5,4,795,517440
2010-09-19,658,650,658,650,8,9,893,582791
2010-09-20,652,645,652,658,-6,11,899,583647
2010-09-21,663,651,651,652,-1,9,1761,1148609
2010-09-23,670,655,655,651,4,14,2619,1726663
2010-09-26,660,651,655,655,,19,3082,2015401
2010-09-27,658,642,653,655,-2,9,698,453642
2010-09-28,660,660,660,653,7,1,132,87120
2010-09-29,670,660,670,660,10,4,316,210204
2010-09-30,662,661,662,670,-8,2,240,158840
2010-10-03,679,665,671,662,9,9,1904,1273648
2010-10-05,670,661,661,662,-1,3,211,140590
2010-10-06,663,650,660,661,-1,10,918,603772
2010-10-07,673,660,663,660,3,5,1201,800232
2010-10-10,685,670,685,663,22,9,2514,1694500
2010-10-11,695,685,695,685,10,3,514,354510
2010-10-12,695,690,695,695,,2,683,471385
2010-10-20,702,700,702,695,7,3,69,48369
2010-10-21,715,700,715,702,13,4,569,398990
2010-10-24,775,729,775,715,60,10,2686,2009086
2010-10-25,785,741,741,775,-34,6,683,511535
2010-10-26,740,730,730,741,-11,6,1315,961558
2010-10-27,721,707,718,730,-12,4,294,210858
2010-10-28,705,698,698,718,-20,8,1210,850382
2010-10-31,700,690,700,698,2,2,297,205880
2010-11-02,710,705,705,716,-11,3,318,224420
2010-11-03,705,705,705,705,,1,148,104340
2010-11-04,722,710,722,705,17,2,358,254468
2010-11-09,710,708,710,722,-12,2,396,280960
2010-11-10,711,700,700,710,-10,8,1947,1366900
2010-11-11,711,700,710,700,10,11,1167,826190
2010-11-14,707,650,650,710,-60,11,1250,862100
2010-11-15,637,637,637,650,-13,1,50,31850
2010-11-16,675,649,675,637,38,4,167,111975
2010-11-18,675,650,650,675,-25,9,1250,837350
2010-11-23,675,663,675,650,25,2,188,125652
2010-11-24,688,688,688,675,13,1,200,137600
2010-11-25,714,675,695,688,7,16,49847,33787096
2010-11-28,711,708,710,695,15,6,852,604188
2010-11-29,712,696,696,710,-14,12,2428,1706850
2010-11-30,700,700,700,696,4,3,498,348600
2010-12-01,700,690,690,700,-10,7,1085,753502
2010-12-02,680,675,680,690,-10,4,1770,1197750
2010-12-05,690,667,690,680,10,10,1771,1199103
2010-12-06,690,677,684,690,-6,6,1578,1077033
2010-12-07,690,681,689,684,5,5,902,620248
2010-12-08,690,678,690,689,1,6,1236,846480
2010-12-09,700,678,688,690,-2,15,2915,2015132
2010-12-12,688,680,680,688,-8,6,729,496358
2010-12-13,693,670,670,680,-10,9,1500,1019100
2010-12-14,681,657,680,670,10,9,2692,1801801
2010-12-15,685,676,685,680,5,11,2927,1996353
2010-12-16,686,672,686,685,1,20,4247,2895477
2010-12-19,686,680,685,686,-1,20,11426,7807579
2010-12-20,685,672,681,685,-4,5,3475,2374787
2010-12-22,681,671,671,681,-10,4,3754,2537688
2010-12-23,695,682,682,671,11,7,964,665956
2010-12-26,708,695,695,682,13,5,644,448848
2010-12-28,606,606,606,695,-89,1,150,90900
2010-12-29,605,605,605,606,-1,1,86,52030
2011-01-02,594,593,594,605,-11,2,236,140046
2011-01-03,591,580,580,594,-14,6,595,347347
2011-01-04,575,570,575,580,-5,2,327,187080
2011-01-05,575,575,575,575,,1,187,107525
2011-01-06,580,580,580,575,5,1,98,56840
2011-01-09,570,570,570,580,-10,1,849,483930
2011-01-10,580,580,580,570,10,1,138,80040
2011-01-12,590,570,585,580,5,7,740,430012
2011-01-13,591,580,580,585,-5,8,1030,601670
2011-01-17,600,585,600,580,20,5,599,354030
2011-01-18,610,608,610,600,10,2,110,67000
2011-01-19,625,620,625,610,15,3,463,287610
2011-01-20,637,630,630,625,5,4,393,248423
2011-01-23,642,633,637,630,7,5,754,480812
2011-01-24,644,640,640,637,3,2,169,108544
2011-01-31,645,645,645,640,5,1,144,92880
2011-02-01,660,657,660,645,15,5,552,363780
2011-02-02,670,660,660,660,,7,973,645756
2011-02-03,664,650,650,660,-10,9,891,584890
2011-02-06,676,663,675,650,25,7,736,493003
2011-02-07,664,649,649,675,-26,3,206,135264
2011-02-08,650,650,650,649,1,1,30,19500
2011-02-09,641,611,611,650,-39,5,358,223669
2011-02-10,615,610,615,611,4,4,296,181518
2011-02-13,628,616,628,615,13,2,80,49880
2011-02-14,630,630,630,628,2,1,138,86940
2011-02-15,642,630,642,630,12,5,387,246614
2011-02-17,640,640,640,642,-2,1,140,89600
2011-02-20,632,620,620,640,-20,3,373,232852
2011-02-21,620,620,620,620,,1,126,78120
2011-02-23,615,610,610,620,-10,3,221,134930
2011-02-24,608,608,608,610,-2,1,243,147744
2011-02-27,610,600,600,608,-8,3,551,334366
2011-02-28,602,600,600,600,,6,398,238880
2011-03-01,612,600,612,600,12,3,121,73020
2011-03-07,600,600,600,612,-12,1,104,62400
2011-03-09,609,598,598,600,-2,4,383,229808
2011-03-10,592,592,592,598,-6,4,1049,621008
2011-03-13,582,582,582,592,-10,1,36,20952
2011-03-14,585,572,572,582,-10,3,730,419190
2011-03-15,574,563,566,572,-6,9,1553,880868
2011-03-16,560,545,546,566,-20,14,1531,843109
2011-03-17,560,550,555,546,9,12,1224,679660
2011-03-20,560,560,560,555,5,1,104,58240
2011-03-21,571,555,571,560,11,4,421,236463
2011-03-22,575,570,570,571,-1,5,921,527825
2011-03-23,565,560,561,570,-9,3,640,359250
2011-03-24,561,543,543,561,-18,10,961,526818
2011-03-27,540,535,535,543,-8,3,245,131640
2011-03-28,539,510,510,535,-25,9,687,357685
2011-03-29,510,491,491,510,-19,6,311,156095
2011-03-30,510,500,505,491,14,6,532,267155
2011-03-31,530,505,530,505,25,6,318,164590
2011-04-04,539,529,530,530,,7,872,463848
2011-04-05,534,530,530,530,,4,207,109870
2011-04-06,531,520,520,530,-10,8,876,457163
2011-04-07,531,521,531,520,11,2,20,10520
2011-04-10,535,535,535,531,4,1,66,35310
2011-04-11,531,526,527,535,-8,4,500,263700
2011-04-13,525,525,525,527,-2,1,267,140175
2011-04-17,540,530,535,525,10,4,156,83178
2011-04-18,535,535,535,535,,2,153,81855
2011-04-19,536,535,535,535,,2,73,39078
2011-04-20,535,525,530,535,-5,7,766,405350
2011-04-21,525,505,509,530,-21,10,981,502236
2011-04-25,500,485,485,509,-24,4,581,285405
2011-04-27,499,490,499,485,14,2,255,125850
2011-04-28,501,482,485,499,-14,8,840,409796
2011-05-02,480,478,478,485,-7,2,134,64120
2011-05-03,495,475,486,478,8,7,613,297326
2011-05-04,495,486,495,486,9,2,211,104346
2011-05-05,502,488,488,495,-7,7,838,413144
2011-05-08,490,480,480,488,-8,7,1262,610884
2011-05-09,489,489,489,480,9,1,86,42054
2011-05-10,495,486,495,489,6,5,619,303203
2011-05-12,501,497,497,495,2,2,121,60365
2011-05-16,506,497,506,497,9,3,52,25934
2011-05-18,510,510,510,506,4,1,138,70380
2011-05-19,510,500,500,510,-10,4,1365,685260
2011-05-22,495,491,492,500,-8,3,117,57591
2011-05-23,501,491,491,492,-1,6,496,246555
2011-05-24,500,500,500,491,9,2,156,78000
2011-05-25,507,475,507,500,7,8,4677,2240123
2011-05-30,500,497,500,507,-7,2,252,125400
2011-05-31,500,475,475,500,-25,10,3319,1588194
2011-06-01,493,475,484,475,9,8,1360,649806
2011-06-02,490,481,481,484,-3,3,140,67971
2011-06-05,490,485,490,481,9,2,372,180920
2011-06-06,485,482,482,490,-8,2,208,100418
2011-06-07,474,463,470,482,-12,4,311,145918
2011-06-08,479,470,479,470,9,6,459,217755
2011-06-09,470,461,461,479,-18,2,68,31456
2011-06-13,454,454,454,461,-7,1,17,7718
2011-06-15,454,409,409,454,-45,10,616,267005
2011-06-16,401,400,400,409,-9,3,714,285655
2011-06-23,436,420,436,400,36,3,500,210240
2011-06-26,479,444,479,436,43,13,1755,825490
2011-06-27,471,453,455,479,-24,9,529,243797
2011-06-29,455,440,440,455,-15,7,673,300095
2011-06-30,456,448,456,440,16,2,204,91744
2011-07-03,490,465,490,456,34,12,1756,830611
2011-07-04,500,487,500,490,10,15,2397,1178911
2011-07-05,520,500,511,500,11,11,1960,989294
2011-07-06,540,510,522,511,11,16,3733,1928008
2011-07-10,525,515,516,522,-6,13,962,499561
2011-07-11,517,506,516,516,,5,2446,1244066
2011-07-12,530,516,530,516,14,3,640,332140
2011-07-13,561,540,540,530,10,12,1400,758006
2011-07-14,579,550,565,540,25,18,1858,1060822
2011-07-17,587,576,587,565,22,3,717,413102
2011-07-18,645,598,609,587,22,17,2197,1348988
2011-07-19,630,612,615,609,6,25,4001,2473227
2011-07-20,620,615,620,615,5,5,1024,630640
2011-07-21,632,605,605,620,-15,19,3322,2044532
2011-07-24,610,572,572,605,-33,5,922,535632
2011-07-26,570,565,565,572,-7,6,690,391555
2011-07-27,595,557,595,565,30,14,3366,1927383
2011-07-28,602,588,588,595,-7,7,250,149430
2011-07-31,588,579,579,588,-9,3,401,232818
2011-08-01,568,568,568,579,-11,2,156,88608
2011-08-02,565,557,557,568,-11,3,461,257780
2011-08-03,553,548,548,557,-9,2,756,416018
2011-08-04,548,538,539,548,-9,4,1190,640760
2011-08-07,550,535,550,539,11,3,605,327320
2011-08-08,540,540,540,550,-10,1,1394,752760
2011-08-09,550,525,550,540,10,7,1239,658819
2011-08-10,551,541,551,550,1,5,1214,660044
2011-08-11,559,545,559,551,8,3,767,426725
2011-08-15,579,569,579,559,20,4,300,171286
2011-08-16,570,568,570,579,-9,4,411,234005
2011-08-17,570,570,570,570,,1,76,43320
2011-08-18,580,565,580,570,10,3,316,181650
2011-08-22,569,558,558,580,-22,3,163,91197
2011-08-23,547,537,541,558,-17,3,588,319056
2011-08-25,531,512,530,541,-11,11,1975,1022645
2011-08-28,520,510,510,530,-20,5,362,185940
2011-08-29,501,481,500,510,-10,10,1285,628125
2011-08-30,528,508,509,500,9,6,697,356040
2011-09-04,520,502,502,509,-7,5,682,350578
2011-09-06,495,495,495,502,-7,1,97,48015
2011-09-07,505,503,505,495,10,3,370,186426
2011-09-08,505,500,505,505,,2,192,96460
2011-09-12,505,495,495,505,-10,6,1153,577285
2011-09-13,495,471,471,495,-24,6,532,257404
2011-09-14,471,443,443,471,-28,11,1473,669578
2011-09-15,459,445,459,443,16,4,475,212100
2011-09-18,459,459,459,459,,1,100,45900
2011-09-19,450,446,446,459,-13,5,688,307894
2011-09-20,460,445,460,446,14,7,818,368722
2011-09-21,455,450,451,460,-9,6,228,103180
2011-09-22,455,450,455,451,4,3,400,180500
2011-09-25,476,464,476,455,21,6,732,345314
2011-09-26,476,465,465,476,-11,3,319,149675
2011-09-27,475,465,475,465,10,8,915,429729
2011-09-29,480,480,480,475,5,1,100,48000
2011-10-02,498,489,498,480,18,2,110,53880
2011-10-16,494,485,494,498,-4,3,133,65085
2011-10-17,491,488,491,494,-3,4,494,241872
2011-10-18,500,491,491,491,,4,347,171018
2011-10-19,500,490,490,491,-1,3,182,89530
2011-10-20,510,490,510,490,20,5,2440,1212100
2011-10-23,515,515,515,510,5,1,20,10300
2011-10-24,524,508,508,515,-7,11,2193,1118664
2011-10-25,509,500,500,508,-8,5,506,255487
2011-10-30,490,482,488,500,-12,3,551,269308
2011-10-31,499,480,499,488,11,9,1440,705722
2011-11-02,528,508,528,499,29,4,160,81980
2011-11-03,532,520,526,528,-2,21,4055,2121653
2011-11-08,477,477,477,526,-49,1,155,73935
2011-11-09,480,462,462,477,-15,11,2403,1139199
2011-11-10,465,465,465,462,3,1,23,10695
2011-11-13,466,460,463,465,-2,3,182,84035
2011-11-14,454,454,454,463,-9,1,52,23608
2011-11-15,450,450,450,454,-4,1,100,45000
2011-11-17,451,450,451,450,1,3,96,43217
2011-11-20,455,450,455,451,4,4,3456,1556890
2011-11-21,460,452,460,455,5,7,605,276128
2011-11-22,455,452,455,460,-5,5,1561,706853
2011-11-23,455,455,455,455,,1,300,136500
2011-11-27,450,447,450,455,-5,2,530,238110
2011-11-29,450,441,441,450,-9,2,1313,588033
2011-11-30,449,449,449,441,8,2,123,55227
2011-12-01,449,449,449,449,,1,267,119883
2011-12-04,441,441,441,449,-8,1,78,34398
2011-12-05,445,438,440,441,-1,3,264,116795
2011-12-07,435,425,425,440,-15,4,1587,685015
2011-12-11,430,423,423,425,-2,2,262,111330
2011-12-12,423,423,423,423,,2,459,194157
2011-12-13,431,431,431,423,8,1,577,248687
2011-12-15,423,418,420,431,-11,3,708,297276
2011-12-18,415,411,413,420,-7,3,1154,476454
2011-12-19,421,415,421,413,8,2,230,95552
2011-12-20,424,416,418,421,-3,6,819,343796
2011-12-21,420,412,413,418,-5,5,1730,714267
2011-12-22,415,410,415,413,2,4,1733,713440
2011-12-26,412,405,410,415,-5,5,2021,826743
2011-12-27,414,409,409,410,-1,4,479,196234
2011-12-28,409,401,409,409,,4,665,267456
2011-12-29,411,406,406,409,-3,5,592,241024
2012-01-01,416,410,416,406,10,5,1032,426858
2012-01-02,430,422,430,416,14,4,592,250916
2012-01-03,446,438,439,430,9,11,1124,495528
2012-01-04,431,431,431,439,-8,1,86,37066
2012-01-05,430,423,423,431,-8,2,484,205817
2012-01-08,425,421,422,423,-1,3,600,253400
2012-01-09,430,428,428,422,6,3,503,215980
2012-01-10,436,425,436,428,8,5,1052,449050
2012-01-11,444,444,444,436,8,1,20,8880
2012-01-12,443,435,439,444,-5,4,384,168516
2012-01-18,444,444,444,439,5,1,50,22200
2012-01-19,445,445,445,444,1,1,68,30260
2012-01-22,446,438,445,445,,6,1780,791460
2012-01-23,440,440,440,445,-5,1,109,47960
2012-01-25,432,418,418,440,-22,4,268,115440
2012-01-26,410,400,400,418,-18,4,65867,26349800
2012-01-29,424,408,417,400,17,4,293,122370
2012-01-31,427,424,427,417,10,4,593,252517
2012-02-01,425,425,425,427,-2,3,1569,666825
2012-02-05,432,425,426,425,1,3,325,138538
2012-02-06,425,420,420,426,-6,2,576,242900
2012-02-07,428,420,422,420,2,8,491,206834
2012-02-08,401,401,401,422,-21,1,28000,11228000
2012-02-12,420,409,417,401,16,10,925,383513
2012-02-13,422,416,421,417,4,4,254,106146
2012-02-14,425,420,421,421,,6,462,194728
2012-02-15,416,416,416,421,-5,1,328,136448
2012-02-16,408,408,408,416,-8,1,2286,932688
2012-02-21,416,408,414,408,6,6,2792,1142141
2012-02-23,416,408,416,414,2,2,2130,869472
2012-02-26,428,420,422,416,6,6,710,299536
2012-02-27,425,412,422,422,,9,2776,1160951
2012-02-28,430,426,430,422,8,3,644,274560
2012-02-29,438,425,438,430,8,4,2511,1069150
2012-03-01,435,426,435,438,-3,4,3453,1480388
2012-03-04,434,424,432,435,-3,11,3314,1413211
2012-03-05,441,425,441,432,9,5,2697,1148973
2012-03-06,440,433,440,441,-1,4,2150,932060
2012-03-11,435,421,425,440,-15,10,3241,1371210
2012-03-12,433,421,422,425,-3,8,1486,627906
2012-03-13,423,423,423,422,1,1,120,50760
2012-03-14,430,425,429,423,6,6,573,245566
2012-03-15,425,424,425,429,-4,3,564,239314
2012-03-19,429,425,429,426,3,5,238,101670
2012-03-20,435,427,427,429,-2,4,586,253589
2012-03-21,429,419,429,427,2,5,527,223559
2012-03-25,422,422,422,429,-7,5,730,308060
2012-03-26,426,426,426,422,4,1,27,11502
2012-03-27,425,419,425,426,-1,7,568,240075
2012-03-29,426,422,422,425,-3,3,200,84620
2012-04-01,427,422,425,422,3,6,597,253491
2012-04-02,425,424,424,425,-1,3,340,144302
2012-04-03,428,422,428,424,4,9,658,279135
2012-04-04,430,425,427,428,-1,3,262,111761
2012-04-05,427,427,427,427,,1,33,14091
2012-04-08,442,428,435,427,8,10,1169,503848
2012-04-09,440,439,439,435,4,2,265,116469
2012-04-10,464,425,464,439,25,17,2534,1086893
2012-04-11,483,455,455,464,-9,12,1562,734394
2012-04-12,482,456,475,455,20,18,1874,875994
2012-04-15,512,484,512,475,37,7,1354,683968
2012-04-16,551,520,551,512,39,7,4480,2376110
2012-04-17,584,520,520,551,-31,19,3510,1988399
2012-04-18,555,490,545,520,25,16,2143,1112158
2012-04-19,577,545,565,545,20,30,5585,3125159
2012-04-22,594,568,590,565,25,26,3173,1825894
2012-04-24,649,601,649,590,59,15,3245,2009018
2012-04-25,713,661,713,649,64,5,1132,775188
2012-04-26,764,660,712,713,-1,68,10322,7355574
2012-04-29,720,681,696,712,-16,32,5553,3900471
2012-04-30,685,652,668,696,-28,11,1541,1021715
2012-05-02,655,633,633,668,-35,4,467,298631
2012-05-03,696,645,696,633,63,12,4084,2739796
2012-05-07,709,709,709,696,13,1,100,70900
2012-05-08,760,670,696,709,-13,27,3949,2824311
2012-05-09,690,670,672,696,-24,19,2445,1667862
2012-05-10,672,634,669,672,-3,30,6955,4546505
2012-05-13,656,615,624,669,-45,10,1522,982434
2012-05-14,612,562,570,624,-54,16,1243,709936
2012-05-15,627,581,627,570,57,8,925,558892
2012-05-16,689,639,689,627,62,12,2575,1767500
2012-05-17,724,662,662,689,-27,38,6778,4684513
2012-05-20,675,638,658,662,-4,23,3350,2192007
2012-05-21,685,642,679,658,21,31,6153,4062926
2012-05-22,669,650,657,679,-22,27,5153,3361811
2012-05-23,644,600,600,657,-57,8,964,586602
2012-05-24,660,600,634,600,34,31,4405,2755142
2012-05-27,685,625,680,634,46,20,2938,1933053
2012-05-29,667,617,617,680,-63,5,50,32080
2012-05-30,587,556,556,617,-61,11,291,162396
2012-05-31,576,501,576,556,20,54,6445,3477686
2012-06-03,633,587,625,576,49,20,2391,1481108
2012-06-04,620,572,584,625,-41,21,2792,1648856
2012-06-05,573,534,571,584,-13,18,2074,1151347
2012-06-06,560,547,547,571,-24,11,781,430383
2012-06-07,571,554,560,547,13,11,823,463307
2012-06-10,560,540,544,560,-16,17,2614,1426736
2012-06-11,558,554,556,544,12,4,512,284288
2012-06-12,580,535,565,556,9,13,1766,980946
2012-06-13,564,554,556,565,-9,8,906,506299
2012-06-14,551,546,551,556,-5,2,118,64788
2012-06-17,550,540,542,551,-9,12,1497,812608
2012-06-18,555,535,555,542,13,9,1232,671264
2012-06-19,552,544,552,555,-3,14,2322,1270500
2012-06-20,563,554,554,552,2,7,697,389143
2012-06-21,560,555,560,554,6,5,744,414906
2012-06-25,590,562,590,560,30,16,901,520364
2012-06-26,583,572,583,590,-7,5,468,271116
2012-06-27,609,592,600,583,17,20,2122,1272293
2012-06-28,634,610,617,600,17,29,2758,1703556
2012-07-01,610,605,610,617,-7,7,2068,1252113
2012-07-02,619,605,619,610,9,9,976,596427
2012-07-03,615,603,605,619,-14,7,1264,765665
2012-07-04,622,600,613,605,8,12,1983,1210225
2012-07-05,624,613,624,613,11,6,764,469928
2012-07-08,630,615,630,624,6,10,1102,681894
2012-07-09,627,618,622,630,-8,11,1236,766652
2012-07-10,634,615,630,622,8,17,2732,1716286
2012-07-11,644,630,644,630,14,12,1444,919611
2012-07-12,635,623,635,644,-9,22,2910,1833224
2012-07-16,640,623,623,635,-12,6,640,405636
2012-07-17,635,628,635,623,12,3,232,145863
2012-07-18,636,623,636,635,1,3,222,138762
2012-07-19,648,626,626,636,-10,5,433,274068
2012-07-22,658,626,649,626,23,22,6510,4157073
