date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-23,885.5,885,885,890,-5,3,35,30987.5
2021-10-21,1000,1000,1000,,,1,25,25000
2021-10-25,980,945,960,1000,-40,14,500,478402
2021-10-26,960,950,959.9,960,-0.1,11,425,406992.5
2021-10-27,955,954.1,955,959.9,-4.9,3,150,143147.5
2021-10-28,962,960,962,955,7,4,125,120075
2021-10-31,957,950,957,962,-5,4,105,100152.5
2021-11-01,976.1,960,961.1,957,4.1,8,395,380872.5
2021-11-08,970,966,967,961.1,5.9,3,80,77405
2021-11-09,967,967,967,967,,1,25,24175
2021-11-11,960,960,960,967,-7,1,25,24000
2021-11-14,960,960,960,960,,2,50,48000
2021-11-15,960.1,960.1,960.1,960,0.1,2,50,48005
2021-11-16,960,960,960,960.1,-0.1,2,100,96000
2021-11-17,960,960,960,960,,2,50,48000
2021-11-18,960,960,960,960,,1,25,24000
2021-11-21,960,957.7,957.7,960,-2.3,3,100,95887.5
2021-11-25,960,960,960,957.7,2.3,1,25,24000
2021-11-28,960,960,960,960,,2,50,48000
2021-11-29,960,955.6,955.6,960,-4.4,2,150,143780
2021-12-01,955.2,955.2,955.2,955.6,-0.4,1,25,23880
2021-12-02,954.5,954.5,954.5,955.2,-0.7,1,25,23862.5
2021-12-05,954.6,953.6,953.6,954.5,-0.9,5,125,119262.5
2021-12-07,955.2,951.3,955.2,953.6,1.6,3,75,71447.5
2021-12-08,951.1,951.1,951.1,955.2,-4.1,1,25,23777.5
2021-12-13,950,950,950,951.1,-1.1,2,50,47500
2021-12-14,951.2,950,951.2,950,1.2,4,110,104567.5
2021-12-15,950.2,950.1,950.1,951.2,-1.1,3,65,61759
2021-12-16,969,955,969,950.1,18.9,2,75,72325
2021-12-20,969.5,969.5,969.5,969,0.5,1,25,24237.5
2021-12-22,969,950.4,969,969.5,-0.5,2,125,120660
2021-12-26,951.2,951.2,951.2,969,-17.8,1,25,23780
2022-01-02,950.9,949.6,950.3,951.2,-0.9,3,75,71270
2022-01-03,955,955,955,950.3,4.7,1,25,23875
2022-01-04,974.1,974.1,974.1,955,19.1,1,10,9741
2022-01-05,955,955,955,974.1,-19.1,1,25,23875
2022-01-06,980,970,980,955,25,4,100,97452.5
2022-01-09,999.6,990,999.6,980,19.6,3,250,249360
2022-01-10,1000,995,995,999.6,-4.6,3,125,124747.5
2022-01-11,1000.1,1000.1,1000.1,995,5.1,1,1000,1000100
2022-01-12,985,985,985,1000.1,-15.1,1,25,24625
2022-01-13,1000,980,980,985,-5,3,125,123000
2022-01-18,960.4,960.4,960.4,980,-19.6,1,100,96040
2022-01-23,941.2,923,923,960.4,-37.4,3,85,79001
2022-01-24,910,910,910,923,-13,2,75,68250
2022-01-25,903,895,899,910,-11,6,175,157352.5
2022-01-26,895,895,895,899,-4,1,25,22375
2022-01-30,895,895,895,895,,2,50,44750
2022-01-31,897,897,897,895,2,1,25,22425
2022-02-01,899.1,895.5,899.1,897,2.1,2,50,44865
2022-02-15,890,886,890,899.1,-9.1,3,125,111165
2022-02-16,890,886.5,890,890,,3,40,35520
2022-03-07,880,878,878,885,-7,6,125,109785.5
2022-03-09,890,890,890,878,12,1,100,89000
