date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,11.17,10.8,11,11.02,-0.02,19,32710,356114.5
2022-02-21,11.2,10.78,10.9,11,-0.1,13,9050,99072
2022-02-22,11.11,10.9,10.92,10.9,0.02,13,41600,454701.75
2022-02-23,11,10.9,10.99,10.92,0.07,22,81000,887028.12
2022-02-24,10.97,10.67,10.97,10.99,-0.02,13,45250,490975
2018-01-16,10,10,10,,10,4,6300,63000
2018-01-17,10.15,10,10.15,10,0.15,2,13200,133950
2018-01-21,10.15,10.1,10.14,10.15,-0.01,18,32150,325265
2018-01-23,10.2,10.1,10.1,10.14,-0.04,7,23500,238500
2018-01-24,10.1,10,10,10.1,-0.1,6,13500,135210
2018-01-25,10,10,10,10,,1,3000,30000
2018-01-28,10,10,10,10,,3,3000,30000
2018-01-29,10.2,10.05,10.05,10,0.05,2,2100,21120
2018-01-31,10.09,9.97,10.09,10.05,0.04,7,51000,512470
2018-02-01,10.09,9.96,9.96,10.09,-0.13,3,8300,83708
2018-02-04,9.9,9.9,9.9,9.96,-0.06,1,4500,44550
2018-02-05,10,9.78,9.81,9.9,-0.09,8,19500,191715
2018-02-06,9.9,9.71,9.9,9.81,0.09,4,19900,196630
2018-02-07,9.88,9.73,9.8,9.9,-0.1,4,1700,16630
2018-02-08,9.7,9.69,9.7,9.8,-0.1,2,7100,68849
2018-02-11,9.7,9.66,9.66,9.7,-0.04,4,15200,147432
2018-02-12,9.8,9.61,9.75,9.66,0.09,4,8700,84820
2018-02-15,9.8,9.8,9.8,9.75,0.05,1,2000,19600
2018-02-18,9.6,9.6,9.6,9.8,-0.2,3,11500,110400
2018-02-20,9.79,9.6,9.6,9.6,,22,4800,46650
2018-02-21,9.6,9.6,9.6,9.6,,2,12500,120000
2018-02-22,9.6,9.56,9.6,9.6,,9,21100,202148
2018-02-25,9.46,9.46,9.46,9.6,-0.14,1,1000,9460
2018-02-26,9.48,9.45,9.48,9.46,0.02,2,3500,33135
2018-02-28,9.67,9.45,9.47,9.48,-0.01,10,22400,212436
2018-03-04,9.45,9.26,9.26,9.47,-0.21,6,5000,46775
2018-03-05,9.3,9.16,9.2,9.26,-0.06,5,23100,212420
2018-03-06,9.35,9.16,9.35,9.2,0.15,9,12100,111917
2018-03-07,9.41,9.2,9.4,9.35,0.05,19,55800,520580
2018-03-11,9.68,9.27,9.68,9.4,0.28,5,5500,51645
2018-03-13,9.75,9.75,9.75,9.68,0.07,3,10000,97500
2018-03-14,9.7,9.5,9.7,9.75,-0.05,13,44500,427570
2018-03-15,9.75,9.65,9.75,9.7,0.05,16,16700,161515
2018-03-18,9.8,9.6,9.6,9.75,-0.15,5,15000,145900
2018-03-19,9.7,9.69,9.7,9.6,0.1,2,22500,218050
2018-03-20,9.85,9.85,9.85,9.7,0.15,2,4300,42355
2018-03-22,9.75,9.57,9.57,9.85,-0.28,4,3500,33585
2018-03-26,9.5,9.22,9.23,9.57,-0.34,10,15400,143603
2018-03-27,9.2,9.1,9.2,9.23,-0.03,4,9000,82210
2018-03-28,9.59,9.38,9.59,9.2,0.39,8,18500,176220
2018-03-29,9.79,9.36,9.65,9.59,0.06,11,10000,96310
2018-04-01,9.7,9.5,9.5,9.65,-0.15,15,49350,473252.5
2018-04-02,9.5,9.3,9.31,9.5,-0.19,18,105500,986921.5
2018-04-03,9.4,9.15,9.23,9.31,-0.08,7,8850,81520
2018-04-05,10,9.41,10,9.23,0.77,5,20700,203301
2018-04-08,10,9.8,10,10,,7,25800,257694
2018-04-09,9.99,9.85,9.88,10,-0.12,4,29500,290820
2018-04-10,9.8,9.7,9.75,9.88,-0.13,7,25200,245040
2018-04-11,9.94,9.85,9.94,9.75,0.19,5,27650,273740
2018-04-12,9.85,9.8,9.85,9.94,-0.09,6,8000,78650
2018-04-15,9.65,9.65,9.65,9.85,-0.2,2,1000,9650
2018-04-16,9.85,9.75,9.85,9.65,0.2,5,3100,30415
2018-04-17,10,9.8,10,9.85,0.15,4,2000,19725
2018-04-18,10.01,10.01,10.01,10,0.01,1,5000,50050
2018-04-19,10,9.75,9.9,10.01,-0.11,13,19780,195288.5
2018-04-22,9.99,9.9,9.95,9.9,0.05,15,48800,485120
2018-04-23,9.9,9.75,9.9,9.95,-0.05,7,59000,578370
2018-04-24,10,9.8,9.86,9.9,-0.04,7,9300,91620
2018-04-25,9.85,9.66,9.7,9.86,-0.16,8,6700,64820
2018-04-26,9.6,9.55,9.6,9.7,-0.1,2,3500,33575
2018-04-29,9.5,9.35,9.35,9.6,-0.25,4,11500,108625
2018-05-02,9.45,9.3,9.45,9.35,0.1,6,14700,138010
2018-05-03,9.32,9.32,9.32,9.45,-0.13,1,2000,18640
2018-05-06,9.53,9.27,9.53,9.32,0.21,5,4100,38122
2018-05-07,9.72,9.6,9.6,9.53,0.07,6,6800,65460
2018-05-08,9.69,9.5,9.69,9.6,0.09,2,600,5795
2018-05-09,9.6,9.5,9.6,9.69,-0.09,4,11800,112600
2018-05-10,9.6,9.41,9.6,9.6,,4,2100,19970
2018-05-14,9.55,9.36,9.55,9.6,-0.05,5,3290,31051.8
2018-05-16,9.6,9.45,9.6,9.55,0.05,2,3400,32415
2018-05-17,9.6,9.6,9.6,9.6,,1,2500,24000
2018-05-20,9.64,9.45,9.6,9.6,,5,4800,46042
2018-05-21,9.64,9.45,9.5,9.6,-0.1,6,7700,73738
2018-05-22,9.65,9.6,9.65,9.5,0.15,4,8800,84630
2018-05-24,9.75,9.75,9.75,9.65,0.1,1,2000,19500
2018-05-28,9.56,9.56,9.56,9.75,-0.19,4,8000,76480
2018-05-29,9.55,9.37,9.5,9.56,-0.06,5,8100,76902
2018-05-31,9.5,9.38,9.38,9.5,-0.12,2,2000,18880
2018-06-04,9.5,9.5,9.5,9.38,0.12,5,19000,180500
2018-06-06,9.36,9.36,9.36,9.5,-0.14,1,500,4680
2018-06-07,9.36,9.32,9.32,9.36,-0.04,3,10700,99732
2018-06-10,9.3,9.13,9.13,9.32,-0.19,3,5500,50905
2018-06-11,9.2,9,9.2,9.13,0.07,7,9750,88257
2018-06-12,9.28,9.1,9.1,9.2,-0.1,4,2700,24930
2018-06-14,9.1,9.03,9.03,9.1,-0.07,2,3000,27125
2018-06-17,8.9,8.9,8.9,9.03,-0.13,1,400,3560
2018-06-19,8.8,8.8,8.8,8.9,-0.1,1,2500,22000
2018-06-24,8.98,8.8,8.98,8.8,0.18,2,1500,13380
2018-06-25,9.05,9,9.05,8.98,0.07,3,1200,10830
2018-06-27,9.2,9.05,9.2,9.05,0.15,5,3620,32929
2018-06-28,9.2,9.2,9.2,9.2,,1,1100,10120
2018-07-01,9.1,8.92,8.92,9.2,-0.28,2,3200,28670
2018-07-03,9.02,9,9.02,8.92,0.1,2,3000,27020
2018-07-04,9.1,9.02,9.1,9.02,0.08,3,3000,27260
2018-07-05,9.2,9.1,9.2,9.1,0.1,2,6000,55150
2018-07-08,9.1,8.9,8.91,9.2,-0.29,6,15100,135350
2018-07-09,9,8.91,8.91,8.91,,3,1500,13410
2018-07-11,8.91,8.91,8.91,8.91,,1,200,1782
2018-07-12,8.92,8.82,8.82,8.91,-0.09,2,2000,17790
2018-07-15,9.38,8.83,9.2,8.82,0.38,11,22750,210469
2018-07-16,9.56,9.2,9.56,9.2,0.36,3,700,6494
2018-07-17,9.56,9.56,9.56,9.56,,4,9500,90820
2018-07-18,9.56,9.56,9.56,9.56,,1,1500,14340
2018-07-19,9.75,9.75,9.75,9.56,0.19,1,1500,14625
2018-07-22,9.75,9.4,9.4,9.75,-0.35,4,9500,91210
2018-07-23,9.21,9,9,9.4,-0.4,8,31000,283950
2018-07-24,9.48,9.11,9.48,9,0.48,7,155000,1437700
2018-07-25,9.3,9.29,9.29,9.48,-0.19,2,1500,13940
2018-07-26,9.3,9,9,9.29,-0.29,10,100800,920460
2018-07-29,9.15,8.9,9,9,,8,4600,41432.5
2018-07-30,9.18,8.66,9.18,9,0.18,7,52500,468080
2018-07-31,9.2,9.14,9.2,9.18,0.02,6,18000,164750
2018-08-01,9.15,9.1,9.1,9.2,-0.1,3,12000,109700
2018-08-02,9.1,9.1,9.1,9.1,,1,1000,9100
2018-08-05,9.14,9.01,9.01,9.1,-0.09,4,23000,209740
2018-08-06,9.1,9.03,9.1,9.01,0.09,4,11000,99680
2018-08-07,9.1,9,9,9.1,-0.1,5,3500,31600
2018-08-09,9.15,9,9,9,,6,6100,55800
2018-08-12,9.18,9.06,9.18,9,0.18,5,24100,220746
2018-08-13,9.36,9.11,9.36,9.18,0.18,5,2550,23387
2018-08-14,9.35,9.2,9.35,9.36,-0.01,5,22500,208690
2018-08-15,9.36,9.36,9.36,9.35,0.01,2,1500,14040
2018-08-16,9.45,9.45,9.45,9.36,0.09,2,3000,28350
2018-08-20,9.49,9.35,9.35,9.45,-0.1,4,900,8509
2018-08-21,9.16,9,9.11,9.35,-0.24,6,2700,24642
2018-08-26,9,8.9,8.9,9.11,-0.21,3,1100,9850
2018-08-29,8.87,8.86,8.87,8.9,-0.03,3,2000,17730
2018-08-30,9.05,8.95,8.95,8.87,0.08,2,1100,9855
2018-09-02,8.95,8.95,8.95,8.95,,1,1000,8950
2018-09-03,9.2,9.02,9.02,8.95,0.07,10,8700,79129
2018-09-06,9.38,9.2,9.36,9.02,0.34,6,12000,112282
2018-09-09,9.17,9.17,9.17,9.36,-0.19,2,2000,18340
2018-09-10,9.17,9.17,9.17,9.17,,3,6500,59605
2018-09-11,9.35,9.35,9.35,9.17,0.18,1,1500,14025
2018-09-12,9.5,9.4,9.4,9.35,0.05,4,8240,77956
2018-09-16,9.88,9.21,9.5,9.4,0.1,10,16090,153639.1
2018-09-17,9.5,9.5,9.5,9.5,,4,6000,57000
2018-09-20,9.69,9.69,9.69,9.5,0.19,1,5000,48450
2018-09-23,9.6,9.6,9.6,9.69,-0.09,1,2000,19200
2018-09-25,9.79,9.65,9.79,9.6,0.19,3,8050,78557.5
2018-09-26,9.99,9.97,9.99,9.79,0.2,2,21000,209410
2018-09-27,9.94,9.94,9.94,9.99,-0.05,2,2000,19880
2018-09-30,9.8,9.62,9.62,9.94,-0.32,4,7600,74390
2018-10-01,9.65,9.6,9.6,9.62,-0.02,7,33000,317370
2018-10-02,9.79,9.79,9.79,9.6,0.19,1,2000,19580
2018-10-03,9.9,9.9,9.9,9.79,0.11,1,500,4950
2018-10-04,9.85,9.85,9.85,9.9,-0.05,2,2800,27580
2018-10-07,9.7,9.7,9.7,9.85,-0.15,3,4300,41710
2018-10-08,9.53,9.53,9.53,9.7,-0.17,2,3000,28590
2018-10-09,9.71,9.53,9.53,9.53,,6,19500,186735
2018-10-11,9.72,9.53,9.53,9.53,,4,3600,34550
2018-10-14,9.55,9.55,9.55,9.53,0.02,2,1000,9550
2018-10-15,9.54,9.54,9.54,9.55,-0.01,1,500,4770
2018-10-23,9.7,9.53,9.55,9.54,0.01,5,6100,58910
2018-10-24,9.6,9.5,9.5,9.55,-0.05,2,5500,52750
2018-10-25,9.5,9.42,9.42,9.5,-0.08,3,3700,35014
2018-10-28,9.3,9.29,9.3,9.42,-0.12,3,900,8366
2018-10-29,9.23,9.15,9.23,9.3,-0.07,2,1900,17513
2018-10-30,9.25,9.23,9.25,9.23,0.02,2,1500,13865
2018-10-31,9.22,9.13,9.22,9.25,-0.03,2,600,5523
2018-11-01,9.25,9.25,9.25,9.22,0.03,1,500,4625
2018-11-05,9.25,9.25,9.25,9.25,,1,100,925
2018-11-12,9.1,8.92,9,9,,3,11000,98000
2018-11-13,9.1,9,9,9,,5,6500,58500
2018-11-14,9.32,9,9,9,,3,8000,72000
2018-11-15,9.01,9,9,9,,1,1000,9000
2018-11-20,9,8.83,9,9,,1,200,1766
2018-11-21,9.1,9,9,9,,1,100,910
2018-11-22,9,9,9,9,,1,1100,9900
2018-11-25,9.1,9,9.1,9,0.1,2,3000,27090
2018-11-26,9.1,9,9,9.1,-0.1,3,2500,22500
2018-11-27,9.16,9,9.16,9,0.16,3,9000,82240
2018-11-28,9.3,9.16,9.19,9.16,0.03,3,5000,46110
2018-11-29,9.25,9.19,9.19,9.19,,3,3000,27600
2018-12-02,9.19,9.1,9.15,9.19,-0.04,3,2100,19165
2018-12-04,9.15,9.1,9.1,9.15,-0.05,1,500,4550
2018-12-09,9.1,9,9,9.1,-0.1,2,2100,18950
2018-12-11,9,8.99,8.99,9,-0.01,3,15000,134900
2018-12-12,8.99,8.69,8.69,8.99,-0.3,5,10000,87750
2018-12-13,8.8,8.69,8.8,8.69,0.11,2,2500,21835
2018-12-16,8.8,8.8,8.8,8.8,,4,1000,8800
2018-12-17,9,8.63,9,8.8,0.2,7,15200,133149
2018-12-18,9,9,9,9,,1,1000,9000
2018-12-20,9.18,8.83,9.18,9,0.18,3,3600,32658
2018-12-23,9.19,9.18,9.19,9.18,0.01,1,2000,18380
