date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,11.7,11.63,11.66,11.75,-0.09,6,23600,275198
2022-02-21,11.7,11.65,11.65,11.66,-0.01,11,5270,61515
2022-02-22,11.74,11.7,11.7,11.65,0.05,2,29000,339700
2022-02-23,11.89,11.63,11.66,11.7,-0.04,8,8700,102157
2022-02-24,11.88,11.63,11.88,11.66,0.22,8,20750,242402.5
2020-07-15,10,10,10,,10,2,200,2000
2020-07-26,9.81,9.7,9.7,10,-0.3,10,60000,587500
2020-07-27,9.52,9.52,9.52,9.7,-0.18,4,1150,10948
2020-07-28,9.4,9.4,9.4,9.52,-0.12,4,2300,21620
2020-07-29,9.3,9.3,9.3,9.4,-0.1,1,180,1674
2020-07-30,9.2,9.2,9.2,9.3,-0.1,1,100,920
2020-08-02,9.2,9.2,9.2,9.2,,1,200,1840
2020-08-03,9.1,9.1,9.1,9.2,-0.1,5,46700,424970
2020-08-05,9.1,9.1,9.1,9.1,,2,600,5460
2020-08-06,9.05,9.05,9.05,9.1,-0.05,1,400,3620
2020-08-09,9.04,9.04,9.04,9.05,-0.01,2,700,6328
2020-08-10,9.1,9.08,9.1,9.04,0.06,5,800,7276
2020-08-11,9,9,9,9.1,-0.1,2,2700,24300
2020-08-12,9.07,9.07,9.07,9,0.07,1,100,907
2020-08-13,9.1,9.1,9.1,9.07,0.03,1,200,1820
2020-08-16,9.15,9.03,9.15,9.1,0.05,3,600,5449
2020-08-18,9.12,9.12,9.12,9.15,-0.03,1,100,912
2020-08-23,9.08,9.06,9.08,9.12,-0.04,2,200,1814
2020-08-26,9.17,9.06,9.17,9.08,0.09,5,1300,11860
2020-08-27,9.14,9.1,9.14,9.17,-0.03,2,800,7300
2020-08-31,9.32,9.18,9.18,9.14,0.04,4,480,4431.6
2020-09-02,9.16,9.16,9.16,9.18,-0.02,1,500,4580
2020-09-03,9.15,9.15,9.15,9.16,-0.01,1,1000,9150
2020-09-06,9.22,9.22,9.22,9.15,0.07,2,1100,10142
2020-09-07,9.25,9.22,9.25,9.22,0.03,2,500,4616
2020-09-08,9.2,9.18,9.2,9.25,-0.05,2,500,4596
2020-09-09,9.36,9.18,9.36,9.2,0.16,3,1100,10116
2020-09-13,9.75,9.36,9.75,9.36,0.39,5,3000,28792
2020-09-14,9.94,9.56,9.94,9.75,0.19,4,600,5831
2020-09-15,9.81,9.75,9.81,9.94,-0.13,2,200,1956
2020-09-17,10,9.95,9.95,9.81,0.14,6,1400,13980
2020-09-20,9.9,9.9,9.9,9.95,-0.05,1,100,990
2020-09-21,10,9.71,9.75,9.9,-0.15,7,1900,18643
2020-09-22,9.75,9.56,9.58,9.75,-0.17,8,3050,29681
2020-09-23,9.5,9.42,9.5,9.58,-0.08,2,1300,12342
2020-09-24,9.57,9.39,9.4,9.5,-0.1,3,400,3776
2020-09-27,9.4,9.4,9.4,9.4,,1,100,940
2020-09-28,9.23,9.23,9.23,9.4,-0.17,2,2700,24921
2020-09-29,9.14,9.1,9.1,9.23,-0.13,2,500,4558
2020-09-30,9.64,9.19,9.64,9.1,0.54,4,1000,9397
2020-10-01,9.69,9.5,9.69,9.64,0.05,6,25700,245140
2020-10-04,9.69,9.69,9.69,9.69,,1,1500,14535
2020-10-05,9.83,9.64,9.64,9.69,-0.05,3,600,5803
2020-10-06,9.5,9.35,9.5,9.64,-0.14,5,2100,19935
2020-10-07,9.69,9.69,9.69,9.5,0.19,2,1100,10659
2020-10-08,9.5,9.5,9.5,9.69,-0.19,1,100,950
2020-10-11,9.53,9.32,9.53,9.5,0.03,8,4750,44802.5
2020-10-13,9.4,9.4,9.4,9.53,-0.13,3,700,6580
2020-10-14,9.22,9.22,9.22,9.4,-0.18,2,200,1844
2020-10-15,9.22,9.2,9.22,9.22,,4,3000,27640
2020-10-18,9.3,9.3,9.3,9.22,0.08,4,2000,18600
2020-10-19,9.18,9.12,9.18,9.3,-0.12,2,1100,10038
2020-10-20,9.28,9.1,9.28,9.18,0.1,3,1800,16524
2020-10-22,9.46,9.2,9.2,9.28,-0.08,3,7050,66143
2020-10-28,9.38,9.38,9.38,9.2,0.18,2,350,3283
2020-10-29,9.3,9.15,9.15,9.38,-0.23,4,3000,27630
2020-11-01,9.51,9.33,9.39,9.15,0.24,3,1200,11262
2020-11-02,9.57,9.39,9.39,9.39,,2,1200,11448
2020-11-03,9.31,9.22,9.31,9.39,-0.08,2,1100,10151
2020-11-04,9.49,9.45,9.49,9.31,0.18,2,500,4741
2020-11-05,9.6,9.6,9.6,9.49,0.11,2,1100,10560
2020-11-08,9.97,9.79,9.97,9.6,0.37,4,800,7958
2020-11-09,10,10,10,9.97,0.03,4,1200,12000
2020-11-10,10,9.9,9.9,10,-0.1,4,2100,20900
2020-11-11,10.49,10.09,10.49,9.9,0.59,17,149200,1508536
2020-11-12,10.69,10.55,10.69,10.49,0.2,3,900,9579
2020-11-18,11,10.5,11,10.69,0.31,9,112950,1187442.5
2020-11-19,10.78,10.57,10.76,11,-0.24,5,3300,35409
2020-11-22,10.6,10.14,10.3,10.76,-0.46,9,38400,402958
2020-11-23,10.3,9.9,10.05,10.3,-0.25,23,132400,1329182
2020-11-24,10.39,10,10.38,10.05,0.33,4,2400,24628
2020-11-25,10.5,10.18,10.5,10.38,0.12,6,3300,33928
2020-11-26,10.81,10.5,10.81,10.5,0.31,17,7280,77100
2020-11-29,10.6,10.35,10.4,10.81,-0.41,10,122300,1272980
2020-11-30,10.4,10.1,10.2,10.4,-0.2,9,23800,246490
2020-12-01,10.1,10,10,10.2,-0.2,10,532000,5373000
2020-12-02,10,10,10,10,,4,1500,15000
2020-12-03,10,9.91,9.95,10,-0.05,8,3200,31900
2020-12-06,9.78,9.39,9.39,9.95,-0.56,10,11700,113667
2020-12-07,9.88,9.39,9.88,9.39,0.49,12,11600,109755
2020-12-08,10.38,9.69,10.18,9.88,0.3,10,6000,60261
2020-12-09,9.98,9.79,9.95,10.18,-0.23,6,3600,35645
2020-12-10,10.15,9.76,10.15,9.95,0.2,7,7920,78906
2020-12-13,10.1,9.95,10.1,10.15,-0.05,6,2230,22443.5
2020-12-14,10.5,10,10.5,10.1,0.4,9,110750,1147451.5
2020-12-15,10.29,10.09,10.09,10.5,-0.41,14,9200,93338
2020-12-16,10.25,10.1,10.1,10.09,0.01,7,1700,17240
2020-12-17,10.2,10.1,10.1,10.1,,7,4100,41670
2020-12-20,10.6,10.6,10.6,10.1,0.5,1,100,1060
2020-12-22,10.39,10.05,10.05,10.6,-0.55,5,1600,16184
2020-12-23,9.9,9.9,9.9,10.05,-0.15,2,550,5445
2020-12-24,10.09,9.99,10,9.9,0.1,10,9460,94697.4
2020-12-27,10.01,10,10,10,,6,3850,38510
2020-12-28,10,9.85,10,10,,3,1220,12137
2020-12-29,9.89,9.89,9.89,10,-0.11,1,1000,9890
2020-12-30,10.28,10,10.2,9.89,0.31,7,4850,48996
2020-12-31,10.3,9.9,10.3,10.2,0.1,11,32100,324923
2021-01-03,10.5,10.2,10.25,10.3,-0.05,16,151000,1566831
2021-01-04,10.27,10.06,10.27,10.25,0.02,11,31960,327883.6
2021-01-05,10.41,10.11,10.41,10.27,0.14,15,116700,1213029
2021-01-06,10.49,10.21,10.21,10.41,-0.2,13,166100,1699199
2021-01-07,10.31,10.21,10.26,10.21,0.05,6,4100,42166
2021-01-10,10.46,10.2,10.26,10.26,,12,181000,1860220
2021-01-11,10.4,10.3,10.4,10.26,0.14,13,113100,1165629
2021-01-12,10.41,10.2,10.41,10.4,0.01,27,400800,4123060
2021-01-13,10.8,10.4,10.76,10.41,0.35,24,124110,1307097.6
2021-01-17,11.15,10.56,10.99,10.76,0.23,41,213900,2339512.5
2021-01-18,11.19,10.95,10.95,10.99,-0.04,18,267750,2938662
2021-01-19,11,10.42,10.7,10.95,-0.25,23,124000,1333293
2021-01-20,11.52,10.66,11.2,10.7,0.5,15,65200,734295
2021-01-21,11.05,10.98,10.98,11.2,-0.22,6,150900,1664882
2021-01-24,11.19,10.61,10.8,10.98,-0.18,18,308750,3334740.5
2021-01-25,11.36,10.8,11.36,10.8,0.56,24,354650,3961414
2021-01-26,11.2,10.98,10.98,11.36,-0.38,3,40100,442514
2021-01-27,11.52,11.04,11.24,10.98,0.26,13,6900,76346
2021-01-28,11.02,10.66,10.77,11.24,-0.47,23,587850,6424838
2021-01-31,10.98,10.63,10.65,10.77,-0.12,8,51300,563040
2021-02-01,11.07,10.6,10.85,10.65,0.2,10,3400,36821
2021-02-02,10.91,10.66,10.91,10.85,0.06,28,315611,3409403.01
2021-02-03,10.72,10.59,10.61,10.91,-0.3,19,206800,2213535
2021-02-04,10.92,10.5,10.92,10.61,0.31,40,3002600,31630177
2021-02-07,10.92,10.5,10.59,10.92,-0.33,8,2600,27555
2021-02-08,11,10.6,10.6,10.59,0.01,9,16900,180858
2021-02-09,10.6,10.6,10.81,10.6,0.21,1,2000,21620
2021-02-10,11,10.63,11,10.81,0.19,5,6650,72581
2021-02-11,11,10.9,10.9,11,-0.1,13,17000,186400
2021-02-14,10.81,10.8,10.8,10.9,-0.1,3,10600,114580
2021-02-15,11.49,10.91,11.26,10.8,0.46,25,76224,860522.2
2021-02-16,12.36,11.6,12.36,11.26,1.1,46,103213,1234033.47
2021-02-17,12.4,11.8,11.8,12.36,-0.56,29,186513,2235164.09
2021-02-18,12.2,11.75,12.2,11.8,0.4,13,7362,86934
2021-02-21,13.42,11.9,12.93,12.2,0.73,44,105100,1378522
2021-02-22,14.22,12.82,14.17,12.93,1.24,65,451397,5948330.03
2021-02-23,13.89,13.62,13.89,14.17,-0.28,4,10600,144534
2021-02-25,14.7,12.94,12.94,13.89,-0.95,26,52000,719480
2021-02-28,12.94,12.69,12.9,12.94,-0.04,10,12410,160047.4
2021-03-01,13.18,12.4,13.18,12.9,0.28,13,204100,2547002
2021-03-02,12.93,12.42,12.45,13.18,-0.73,13,66799,853779.34
2021-03-03,12.45,12.21,12.27,12.45,-0.18,4,2700,33099
2021-03-04,12.76,12.03,12.5,12.27,0.23,28,2215200,26730986
2021-03-07,13,12.5,12.75,12.5,0.25,7,3450,43560.5
2021-03-09,13.25,12.5,13.25,12.75,0.5,13,9563,121085.49
2021-03-10,13,12.76,12.88,13.25,-0.37,6,6500,83423
2021-03-14,12.63,12.26,12.49,12.88,-0.39,9,7300,90463
2021-03-15,12.53,12.25,12.53,12.49,0.04,18,11500,142665
2021-03-16,12.77,12.04,12.77,12.53,0.24,20,122800,1494646.4
2021-03-17,13,12.7,12.75,12.77,-0.02,46,461521,5907563.89
2021-03-18,13.05,12.5,12.8,12.75,0.05,18,1016250,12710181.5
2021-03-21,13,12.55,12.6,12.8,-0.2,25,247502,3141056.4
2021-03-22,12.9,12.46,12.7,12.6,0.1,9,1599,20269.15
2021-03-23,13.19,12.6,13.19,12.7,0.49,14,23349,302062.7
2021-03-24,13.05,12.8,13,13.19,-0.19,26,2023000,26102172
2021-03-25,13,12.81,13,13,,4,1000,12945
2021-03-29,13.26,12.8,12.8,13,-0.2,20,58002,750590.76
2021-03-30,13.21,12.71,12.85,12.8,0.05,9,27501,356131.21
2021-03-31,13.1,12.92,12.92,12.85,0.07,10,102799,1337566.9
2021-04-01,12.92,12.76,12.83,12.92,-0.09,9,51999,667493.08
2021-04-04,13.08,12.59,12.75,12.83,-0.08,30,255700,3232622.5
2021-04-05,13,12.66,13,12.75,0.25,16,54500,693842
2021-04-06,13,12.74,12.75,13,-0.25,26,167100,2140224
2021-04-07,13.25,12.7,12.99,12.75,0.24,34,267200,3429639.9
2021-04-08,13.24,12.78,12.8,12.99,-0.19,22,76300,983901
2021-04-12,13.05,12.75,12.9,12.8,0.1,11,30311,390816.9
2021-04-13,13.13,12.74,12.91,12.9,0.01,23,76799,990635.1
2021-04-15,13.14,12.96,13.04,12.91,0.13,22,198499,2595221.06
2021-04-18,13.74,12.97,13.21,13.04,0.17,22,50750,682668
2021-04-19,13.66,13.13,13.22,13.21,0.01,30,177100,2362897
2021-04-20,13.3,13.12,13.3,13.22,0.08,6,1720,22858
2021-04-21,13.3,13.2,13.2,13.3,-0.1,6,7350,97145
2021-04-22,13.46,13.2,13.2,13.2,,12,65433,863851.6
2021-04-25,13.4,13,13.1,13.2,-0.1,20,33250,433284
2021-04-26,12.95,12.84,12.91,13.1,-0.19,11,21300,275287
2021-04-27,13.59,12.66,13.2,12.91,0.29,13,42000,555622
2021-04-28,13.35,13,13.2,13.2,,10,36990,484492
2021-04-29,13.36,12.98,13.36,13.2,0.16,21,68250,888124.1
2021-05-02,13.36,13,13.17,13.36,-0.19,106,874342,11463544.83
2021-05-03,13.5,12.95,13.25,13.17,0.08,66,1195101,15624187.43
2021-05-04,13.3,13.01,13.3,13.25,0.05,16,93850,1239405.2
2021-05-05,13.4,13.06,13.3,13.3,,47,444752,5845576.12
2021-05-06,13.2,13.1,13.13,13.3,-0.17,12,58400,767982
2021-05-09,13.18,13.08,13.18,13.13,0.05,14,88300,1158363.5
2021-05-10,13.4,12.95,13.18,13.18,,43,513250,6688329
2021-05-11,13.24,13.1,13.1,13.18,-0.08,44,315600,4154103
2021-05-12,13.4,13.1,13.4,13.1,0.3,49,293800,3888361.7
2021-05-13,13.5,13.01,13.5,13.4,0.1,101,2087833,27513889.55
2021-05-16,13.58,13.35,13.49,13.5,-0.01,69,822458,11020147.2
2021-05-17,13.62,13.47,13.62,13.49,0.13,34,211000,2861436
2021-05-18,13.75,13.51,13.7,13.62,0.08,24,146150,1987965.5
2021-05-19,13.9,13.7,13.77,13.7,0.07,71,452518,6267302.62
2021-05-20,13.9,13.67,13.83,13.77,0.06,11,5500,75990
2021-05-23,13.91,13.75,13.83,13.83,,26,152000,2107934
2021-05-24,14.1,13.9,14.06,13.83,0.23,36,162700,2281786
2021-05-25,14.26,13.91,14.21,14.06,0.15,49,400530,5663289.7
2021-05-27,14.23,14.05,14.21,14.21,,42,459490,6486527.4
2021-05-30,14.93,14.23,14.87,14.21,0.66,60,268100,3979259
2021-05-31,15.03,14.9,14.9,14.87,0.03,71,441600,6606045
2021-06-01,14.93,14.63,14.89,14.9,-0.01,50,317153,4714540.64
2021-06-02,14.93,14.63,14.9,14.89,0.01,34,323700,4810831
2021-06-03,15.06,14.85,15,14.9,0.1,24,264040,3960494.4
2021-06-06,15.2,14.9,15.16,15,0.16,34,241400,3657121
2021-06-07,15.76,15.25,15.6,15.16,0.44,49,381000,5917993
2021-06-08,16.45,15.7,16.45,15.6,0.85,63,795370,12774238.3
2021-06-09,16.45,16.2,16.37,16.45,-0.08,44,257350,4217958.5
2021-06-10,16.71,16.03,16.35,16.37,-0.02,28,135900,2201877.5
2021-06-13,16.25,15.99,16.25,16.35,-0.1,51,124399,2000949.57
2021-06-14,16.5,16,16.1,16.25,-0.15,29,272900,4435404.8
2021-06-15,16.42,15.94,16.07,16.1,-0.03,26,101699,1637431.93
2021-06-16,16.04,15.8,15.88,16.07,-0.19,25,53250,849513
2021-06-17,16.97,15.59,15.7,15.88,-0.18,41,290420,4649192.5
2021-06-20,15.69,15.28,15.47,15.7,-0.23,52,257425,3986010.11
2021-06-21,15.45,15,15.2,15.47,-0.27,41,459063,6978245.75
2021-06-22,15.6,14.9,15.6,15.2,0.4,23,281550,4327649.97
2021-06-23,15.8,15.1,15.1,15.6,-0.5,46,1316515,20201200.5
2021-06-24,15.42,14.83,15.13,15.1,0.03,20,39100,592704.05
2021-06-27,15.72,14.87,15.5,15.13,0.37,15,44700,688586.5
2021-06-28,15.69,15.21,15.64,15.5,0.14,29,89550,1380891
2021-06-29,15.5,15.4,15.45,15.64,-0.19,6,106000,1638710
2021-06-30,15.4,15.2,15.3,15.45,-0.15,10,23100,354072
2021-07-01,15.6,15.4,15.6,15.3,0.3,18,596400,9297255.5
2021-07-04,15.84,15.31,15.7,15.6,0.1,26,46220,722093
2021-07-05,15.77,15.4,15.67,15.7,-0.03,29,685200,10616394
2021-07-06,15.98,15.4,15.5,15.67,-0.17,38,920950,14550704.5
2021-07-07,15.6,15.25,15.25,15.5,-0.25,31,368400,5662045
2021-07-08,15.55,15.15,15.5,15.25,0.25,33,239900,3649520
2021-07-11,16.27,15.57,15.88,15.5,0.38,86,797110,12620743.49
2021-07-12,16.15,15.82,15.9,15.88,0.02,74,845930,13420748.18
2021-07-13,16,15.8,15.9,15.9,,10,42978,685670.2
2021-07-14,16.21,15.89,15.95,15.9,0.05,51,1339410,21304835.2
2021-07-15,16.26,15.1,16,15.95,0.05,127,4876478,75128988.95
2021-07-18,16.88,16.15,16.88,16,0.88,62,180032,2958690.75
2021-07-19,17.18,15.99,17.08,16.88,0.2,87,1433265,23932738
2021-07-20,18.5,17.42,18.1,17.08,1.02,293,1448637,26203197.13
2021-07-22,19.27,18.4,19.2,18.1,1.1,598,2465926,46765920.27
2021-07-25,19.75,18.19,19.72,19.2,0.52,266,2502261,48795259.46
2021-07-26,20,18.23,18.93,19.72,-0.79,108,317450,6001572.44
2021-07-27,19,18.6,18.7,18.93,-0.23,57,249553,4696791.02
2021-07-28,19,18.45,18.81,18.7,0.11,40,88080,1639997.5
2021-07-29,19.07,18.5,18.5,18.81,-0.31,31,35020,653589
2021-08-01,19.24,18.6,18.7,18.5,0.2,97,656822,12290819.06
2021-08-02,18.8,17.91,18.21,18.7,-0.49,62,222660,4063171.67
2021-08-03,18.57,18,18.06,18.21,-0.15,48,132085,2396789.89
2021-08-04,18.42,18.07,18.2,18.06,0.14,66,278239,5040115.04
2021-08-05,18.56,17.95,18.11,18.2,-0.09,40,85930,1556838.3
2021-08-08,18.47,17.9,18,18.11,-0.11,34,40789,736712.75
2021-08-09,18.34,17.84,17.9,18,-0.1,33,84321,1508221.02
2021-08-10,18.1,17.84,17.95,17.9,0.05,37,159276,2844934.38
2021-08-11,18.3,17.6,17.8,17.95,-0.15,34,160465,2871153.75
2021-08-12,18.7,17.64,18.6,17.8,0.8,87,819610,14773715.2
2021-08-15,19.22,18.5,19,18.6,0.4,73,1168404,21877521.55
2021-08-16,19.38,18,18.39,19,-0.61,264,2201445,40467705.06
2021-08-17,18.55,18.18,18.28,18.39,-0.11,132,592196,10832904.92
