date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,439,418,431,435,-4,418,85587,36818514.5
2022-02-21,439,430,436.9,431,5.9,253,43886,19083184.8
2022-02-22,447.5,437,438,436.9,1.1,383,73553,32436944.8
2022-02-23,450,440,447.9,438,9.9,517,197688,88334399
2022-02-24,453,428,431,447.9,-16.9,562,146971,64289051.7
2014-01-22,324,324,324,,324,1,10,3240
2014-01-23,356,330,356,324,32,6,60,20660
2014-01-26,373,373,373,356,17,1,10,3730
2014-01-27,401,380,401,373,28,4,40,15620
2014-01-28,441,409,441,401,40,7,252,109756
2014-01-29,485,449,485,441,44,61,1380,666968
2014-02-02,533,494,533,485,48,826,64607,34314932
2014-02-03,543,495,500,533,-33,1118,64378,33538028
2014-02-04,499,452,494,500,-6,515,19086,9279880
2014-02-05,503,494,501,494,7,398,14465,7231475
2014-02-06,527,498,519,501,18,249,12863,6478886
2014-02-09,520,500,515,519,-4,368,17399,8873190
2014-02-10,545,511,524,515,9,171,11836,6169735
2014-02-11,523,510,516,524,-8,195,21014,10790549
2014-02-12,512,500,512,516,-4,261,8511,4318790
2014-02-13,512,508,512,512,,371,9708,4952112
2014-02-16,511,502,505,512,-7,202,6069,3070731
2014-02-17,512,500,506,505,1,291,22549,11350710
2014-02-18,524,505,515,506,9,426,11226,5749845
2014-02-20,530,514,530,515,15,300,9012,4688680
2014-02-23,583,530,580,530,50,423,33835,18878495
2014-02-24,625,582,582,580,2,211,23880,14245409
2014-02-25,593,560,593,582,11,298,25759,14788833
2014-02-26,604,534,570,593,-23,268,14762,8612450
2014-03-03,565,546,555,570,-15,189,7794,4329743
2014-03-04,550,532,549,555,-6,243,18136,9753163
2014-03-05,582,535,560,549,11,176,12657,7138103
2014-03-06,570,555,560,560,,376,27561,15482965
2014-03-09,560,540,550,560,-10,232,15006,8274894
2014-03-10,550,530,549,550,-1,297,8932,4826451
2014-03-11,545,530,530,549,-19,277,10786,5831905
2014-03-12,545,525,540,530,10,214,10038,5401923
2014-03-13,545,531,540,540,,271,9115,4935193
2014-03-17,540,515,525,540,-15,174,9794,5174799
2014-03-18,530,511,515,525,-10,166,5212,2690447
2014-03-19,535,510,525,515,10,180,4212,2206313
2014-03-20,532,515,532,525,7,152,2766,1442475
2014-03-23,550,526,540,532,8,147,10299,5491627
2014-03-24,566,538,560,540,20,165,10249,5655906
2014-03-25,580,547,570,560,10,289,21974,12463350
2014-03-26,589,560,584,570,14,314,22124,12720203
2014-03-27,605,580,604,584,20,409,39017,23315657
2014-03-31,632,600,632,604,28,458,19441,12044508
2014-04-01,665,626,660,632,28,260,18629,12100531
2014-04-02,700,653,684,660,24,250,35568,24276582
2014-04-03,700,640,642,684,-42,227,18448,12551054
2014-04-06,644,630,640,642,-2,154,10967,6987295
2014-04-07,655,628,655,640,15,112,10843,6942479
2014-04-09,672,642,670,655,15,134,7401,4897079
2014-04-10,675,659,673,670,3,82,5842,3917115
2014-04-13,685,660,685,673,12,126,15886,10742163
2014-04-15,690,665,685,685,,95,12285,8390821
2014-04-16,689,663,670,685,-15,132,8958,6094816
2014-04-17,683,660,680,670,10,171,8003,5422321
2014-04-20,686,673,673,680,-7,152,9516,6468856
2014-04-21,681,658,668,673,-5,109,6649,4457601
2014-04-22,686,658,680,668,12,188,9748,6606145
2014-04-23,685,671,677,680,-3,157,13283,9025947
2014-04-27,680,660,672,677,-5,83,4486,3006544
2014-04-28,669,653,660,672,-12,67,3711,2457177
2014-04-29,668,655,661,660,1,101,4659,3081404
2014-04-30,650,626,642,661,-19,156,14040,8985663
2014-05-04,650,630,635,642,-7,120,7737,4959684
2014-05-05,665,614,655,635,20,78,9585,6092533
2014-05-06,655,642,654,655,-1,64,2437,1586042
2014-05-07,659,640,650,654,-4,79,4894,3205051
2014-05-08,665,649,656,650,6,101,7781,5073083
2014-05-11,658,630,630,656,-26,65,4525,2893694
2014-05-12,642,625,637,630,7,58,2471,1573019
2014-05-13,640,624,640,637,3,92,2726,1715746
2014-05-15,650,612,645,640,5,108,2409,1538376
2014-05-18,654,640,640,645,-5,72,3155,2045282
