date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,446,434,435,445.1,-10.1,113,17658,7752154.3
2022-02-21,447,435.3,444,435,9,54,8154,3590753.4
2022-02-22,458.9,445,447.2,444,3.2,91,9434,4270005.2
2022-02-23,453,445,450,447.2,2.8,43,5747,2578266
2022-02-24,450,433.1,436,450,-14,121,17488,7634430.4
2010-04-15,700,700,700,699,1,1,30,21000
2010-04-21,700,700,700,700,,2,150,105000
2010-04-29,730,720,730,700,30,2,30,21700
2010-06-08,716,702,702,730,-28,2,615,432304
2010-08-05,702,702,702,702,,1,30,21060
2010-08-23,702,702,702,702,,1,30,21060
2010-09-14,688,662,662,702,-40,3,131,88529
2010-10-07,649,649,649,662,-13,1,18,11682
2010-10-10,637,637,637,649,-12,1,120,76440
2010-10-11,626,626,626,637,-11,6,180,112680
2010-12-08,534,524,524,626,-102,2,200,104900
2010-12-09,514,504,504,524,-20,2,20,10180
2010-12-13,494,485,485,504,-19,2,30,14640
2011-01-12,476,467,467,485,-18,2,34,16058
2011-01-13,458,458,458,467,-9,1,38,17404
2011-02-08,467,467,467,458,9,1,10,4670
2011-02-09,494,476,494,467,27,3,40,19490
2011-02-10,485,476,476,494,-18,2,104,49630
2011-03-14,467,458,458,476,-18,2,33,15204
2011-04-05,449,449,449,458,-9,1,973,436877
2011-04-25,441,441,441,449,-8,3,137,60417
2011-05-10,433,425,425,441,-16,2,71,30343
2011-05-18,417,417,417,425,-8,1,10,4170
2011-05-25,412,412,412,417,-5,1,104,42848
2011-06-01,404,396,396,412,-16,2,20,8000
2011-06-07,389,382,382,396,-14,2,20,7710
2011-08-01,389,375,375,382,-7,3,103,39171
2011-08-10,368,361,361,375,-14,2,201,73331
2011-08-22,354,341,341,361,-20,5,127,43663
2011-08-23,335,317,317,341,-24,4,177,57507
2011-08-24,311,311,311,317,-6,3,81,25191
2011-09-14,305,284,284,311,-27,5,1865,548230
2011-09-15,279,273,273,284,-11,9,210,57888
2011-09-18,268,268,268,273,-5,1,34,9112
2011-10-16,263,242,242,268,-26,12,736,180572
2011-10-17,238,233,237,242,-5,15,1337,315559
2011-11-29,202,202,202,237,-35,1,30,6060
2011-11-30,200,200,200,202,-2,1,3952,790400
2011-12-13,201,201,201,200,1,1,142,28542
2011-12-29,197,197,197,201,-4,1,34,6698
2012-01-01,194,191,191,197,-6,2,105,20190
2012-01-02,188,182,182,191,-9,3,130,24050
2012-01-03,179,173,173,182,-9,3,239,41794
2012-01-04,173,173,173,173,,3,293,50689
2012-01-05,176,176,176,173,3,1,57,10032
2012-01-08,179,179,179,176,3,1,44,7876
2012-01-09,176,167,170,179,-9,6,491,83506
2012-01-11,167,167,167,170,-3,2,60,10020
2012-01-12,170,170,170,167,3,1,200,34000
2012-01-16,170,170,170,170,,1,186,31620
2012-01-17,170,170,170,170,,2,403,68510
2012-01-23,170,170,170,170,,1,39,6630
2012-01-25,170,170,170,170,,1,140,23800
2012-01-26,170,167,170,170,,2,125,21148
2012-01-31,171,170,170,170,,2,71,12101
2012-02-01,170,167,170,170,,2,149,24913
2012-02-13,170,170,170,170,,1,34,5780
2012-02-14,171,167,167,170,-3,11,847,142620
2012-02-15,168,168,168,167,1,2,160,26880
2012-02-23,165,165,165,168,-3,1,17,2805
2012-02-26,162,162,162,165,-3,1,70,11340
2012-02-27,168,165,168,162,6,2,120,19920
2012-03-04,168,165,165,168,-3,6,342,56991
2012-03-12,168,168,168,165,3,1,413,69384
2012-03-13,170,170,170,168,2,1,400,68000
2012-03-14,170,170,170,170,,1,27,4590
2012-03-19,169,167,167,168,-1,3,161,26941
2012-03-20,168,167,168,167,1,2,180,30160
2012-03-21,168,165,165,168,-3,3,418,70044
2012-03-25,171,168,171,165,6,2,290,49020
2012-03-27,168,168,168,171,-3,3,63,10584
2012-03-28,168,166,168,168,,3,536,90018
2012-04-01,170,170,170,168,2,1,200,34000
2012-04-02,168,165,168,170,-2,7,300,50301
2012-04-03,168,168,168,168,,1,120,20160
2012-04-04,169,168,168,168,,6,754,126992
2012-04-10,168,168,168,168,,1,40,6720
2012-04-19,171,171,171,168,3,2,1132,193572
2012-04-24,174,174,174,171,3,1,1735,301890
2012-04-26,183,177,183,174,9,3,1988,363714
2012-05-02,183,183,183,183,,1,53,9699
2012-05-10,189,186,189,183,6,2,22,4128
2012-05-13,186,186,186,189,-3,1,80,14880
2012-05-20,189,189,189,186,3,1,40,7560
2012-06-03,190,190,190,189,1,1,24,4560
2012-06-05,190,190,190,190,,1,100,19000
2012-06-07,196,193,196,190,6,2,320,62240
2012-06-10,194,193,194,196,-2,7,145,28103
2012-06-11,200,197,200,194,6,2,379,75143
2012-06-12,208,200,208,200,8,4,304,61392
2012-06-13,204,204,204,208,-4,2,66,13464
2012-06-17,200,200,200,204,-4,2,420,84000
2012-06-18,196,196,196,200,-4,1,100,19600
2012-06-19,196,196,196,196,,1,10,1960
2012-06-20,199,199,199,196,3,1,10,1990
2012-06-26,202,202,202,199,3,1,19,3838
2012-06-27,206,202,206,202,4,5,175,35906
2012-07-02,206,202,202,206,-4,2,114,23428
2012-07-08,198,198,198,202,-4,2,80,15840
2012-07-09,195,195,195,198,-3,1,80,15600
2012-07-10,195,195,195,195,,2,80,15600
