date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2024-01-04,0,0,10,0,10,1,150000,1263000
2024-01-31,10,10,10,10,0,1,100,1000
2024-02-05,9.81,9.81,9.81,10,-0.1899999999999995,4,500,4905
2024-02-07,9.62,9.43,9.43,9.81,-0.3800000000000008,2,200,1905
2024-02-08,9.25,8.48,8.49,9.43,-0.9399999999999995,77,15850,134780
2024-02-11,8.6,8.36,8.6,8.49,0.10999999999999943,56,9450,79741.75
2024-02-12,8.45,8.3,8.36,8.6,-0.2400000000000002,32,5800,48525
2024-02-13,8.5,8.35,8.35,8.36,-0.009999999999999787,26,3150,26357
2024-02-14,8.39,8.35,8.39,8.35,0.040000000000000924,11,2300,19239
2024-02-15,8.39,8.23,8.3,8.39,-0.08999999999999986,7,875,7242.75
2024-02-18,8.21,8,8.1,8.3,-0.20000000000000107,19,2400,19501
2024-02-20,8.77,7.99,8.77,8.1,0.6699999999999999,19,2500,20735
2024-02-21,9,8.48,8.77,8.77,0,15,12475,109754.5
2024-02-22,8.93,8.77,8.89,8.77,0.120000000000001,4,1300,11537
2024-02-25,9.18,8.99,9,8.89,0.10999999999999943,11,6225,56083
2024-02-26,9.36,9,9.36,9,0.35999999999999943,7,700,6390
2024-03-05,9.18,9.18,9.18,9.36,-0.17999999999999972,2,1000,9180
2024-03-14,9,8.85,8.85,9.18,-0.33000000000000007,19,4110,36568.5
2024-03-18,9.04,8.68,9.04,8.85,0.1899999999999995,23,47025,424154.5
2024-03-20,8.86,8.17,8.31,9.04,-0.7299999999999986,20,3100,25742
2024-03-21,8.33,8.31,8.33,8.31,0.019999999999999574,8,800,6652
