date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1112,1070,1083,1112,-29,52,2660,2877475
2022-02-21,1111.8,1065.1,1080,1083,-3,34,2263,2460494.3
2022-02-22,1142,1082,1082,1080,2,27,1207,1323806
2022-02-23,1103,1070,1090,1082,8,12,243,264101
2022-02-24,1082,1065,1065,1090,-25,21,766,820631
2017-06-19,403,403,403,,403,1,10,4030
2017-07-26,,,,403,,1,9,3699
2017-07-27,,,,403,,1,1,411
2017-08-15,411,411,411,403,8,1,10,4110
2017-08-20,419,419,419,411,8,1,1000,419000
2017-08-28,427,427,427,419,8,1,10,4270
2017-09-10,448,448,448,427,21,1,10,4480
2017-09-20,456,456,456,448,8,1,10,4560
2017-11-05,501,465,501,456,45,13,130,64230
2017-11-09,551,511,551,501,50,13,130,70630
2017-11-13,,,,551,,2,10,5620
2017-11-15,573,562,573,551,22,2,60,33830
2017-11-27,487,487,487,478,9,1,10,4870
2017-12-18,511,511,511,487,24,1,10,5110
2017-12-19,536,536,536,511,25,1,10,5360
2018-01-01,562,562,562,536,26,1,10,5620
2018-02-04,590,590,590,562,28,1,10,5900
2018-03-18,,,,590,,4,20,12020
2018-03-29,,,,590,,2,201,100159.64
2018-04-03,619,619,619,590,29,1,10,6190
2018-05-02,655,631,655,619,36,3,30,19290
2018-05-03,694,668,694,655,39,3,30,20430
2018-05-06,721,707,721,694,27,2,20,14280
2018-05-07,749,735,749,721,28,2,20,14840
2018-05-08,793,763,793,749,44,3,30,23340
2018-05-09,824,808,824,793,31,2,20,16320
2018-05-10,873,840,873,824,49,3,30,25690
2018-05-14,890,890,890,873,17,1,10,8900
2018-05-16,907,907,907,890,17,1,10,9070
2018-05-17,952,952,952,907,45,1,10,9520
2018-05-20,990,971,990,952,38,5,34,33470
2018-05-21,1009,1009,1009,990,19,1,10,10090
2018-05-23,1029,1029,1029,1009,20,2,79,124238
2018-05-27,1049,1049,1049,1029,20,1,12,12588
2018-05-28,1111,1069,1111,1049,62,3,32,34838
2018-05-29,1189,1166,1189,1111,78,2,24,28260
2018-06-04,1212,1212,1212,1189,23,2,14,16968
2018-06-07,1260,1236,1260,1212,48,2,24,29952
2018-06-10,1336,1285,1336,1260,76,5,46,60946
2018-06-11,1416,1362,1416,1336,80,7,44,61514
2018-06-12,1444,1444,1444,1416,28,2,316,503728
2018-06-13,1501,1472,1501,1444,57,3,24,35736
2018-06-14,1623,1531,1623,1501,122,5,46,72376
2018-06-17,1785,1655,1785,1623,162,8,96,167508
2018-06-18,1963,1820,1963,1785,178,7,66,125600
2018-06-19,2159,2002,2159,1963,196,42,740,1593016
