date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1822.7,1766,1788,1837,-49,15,290,519094
2022-02-21,1823.7,1790,1823.7,1788,35.7,5,102,185454
2022-02-22,1844,1788,1844,1823.7,20.3,20,313,565410
2022-02-23,1812,1778.1,1778.1,1844,-65.9,11,213,382733.3
2022-02-24,1813.6,1764,1764,1778.1,-14.1,10,297,531633
2018-03-11,307,307,307,,307,1,10,3070
2018-04-05,313,313,313,307,6,1,10,3130
2018-04-08,325,319,325,313,12,2,20,6440
2018-04-09,337,331,337,325,12,2,20,6680
2018-04-10,349,343,349,337,12,2,20,6920
2018-04-11,362,355,362,349,13,2,20,7170
2018-04-12,376,369,376,362,14,2,20,7450
2018-04-15,390,383,390,376,14,2,20,7730
2018-04-23,412,397,412,390,22,3,30,12130
2018-05-06,432,432,432,412,20,3,20,8720
2018-05-09,448,440,448,432,16,2,20,8880
2018-05-10,474,456,474,448,26,5,40,18780
2018-05-14,,,,474,,4,20,9660
2018-05-20,521,497,521,474,47,5,50,25610
2018-05-21,531,531,531,521,10,1,10,5310
2018-05-24,557,557,557,531,26,1,10,5570
2018-06-10,601,568,601,557,44,4,40,23380
2018-06-11,,,,601,,2,10,6130
2018-06-12,,,,601,,3,573,635564
2018-06-13,613,613,613,601,12,1,10,6130
2018-06-17,649,625,649,613,36,3,30,19110
2018-06-20,,,,649,,2,10,6610
2018-06-24,,,,649,,2,10,6610
2018-06-27,661,661,661,649,12,1,10,6610
2018-06-28,674,674,674,661,13,1,10,6740
2018-07-03,687,687,687,674,13,1,10,6870
2018-07-05,700,700,700,687,13,1,10,7000
2018-07-08,714,714,714,700,14,1,10,7140
2018-07-10,,,,714,,2,10,7279
2018-07-12,763,749,763,714,49,2,20,15120
2018-07-15,817,801,817,763,54,2,20,16180
2018-07-22,833,833,833,817,16,1,10,8330
2018-07-23,,,,833,,3,10,8490
2018-07-25,916,874,916,833,83,7,70,62110
2018-07-26,934,934,934,916,18,1,10,9340
2018-08-06,1027,980,1027,934,93,7,70,71050
2018-08-07,1129,1078,1129,1027,102,11,110,122780
2018-08-08,1241,1185,1241,1129,112,35,360,445780
2018-08-09,1365,1140,1143,1241,-98,650,8017,9953165
2018-08-12,1121,1029,1029,1143,-114,7,80,85770
2018-08-13,1009,927,927,1029,-102,12,120,113400
2018-08-14,927,835,910,927,-17,160,2210,1988720
2018-08-15,909,875,903,910,-7,94,1090,965330
2018-08-16,925,890,896,903,-7,61,1330,1208250
2018-08-19,880,864,864,896,-32,36,570,494560
2018-08-20,850,815,823,864,-41,50,750,620610
2018-08-21,817,791,812,823,-11,32,430,348680
2018-08-22,815,800,804,812,-8,29,430,346830
2018-08-23,820,792,792,804,-12,18,240,192020
2018-08-26,794,777,790,792,-2,31,665,524060
2018-08-28,788,769,788,790,-2,12,1087,855156
2018-08-29,800,772,800,788,12,24,910,708380
2018-08-30,820,800,806,800,6,18,344,279750
2018-09-02,815,784,802,806,-4,17,479,385848
2018-09-03,845,802,820,802,18,28,950,781220
2018-09-04,836,805,810,820,-10,9,100,81770
2018-09-05,839,814,814,810,4,25,830,679150
2018-09-06,850,820,822,814,8,37,1540,1287930
2018-09-09,822,807,810,822,-12,13,130,105470
2018-09-10,888,810,888,810,78,30,1717,1451305
2018-09-11,920,882,899,888,11,46,1590,1431720
2018-09-12,915,883,905,899,6,23,560,503530
2018-09-13,905,887,890,905,-15,8,80,71540
2018-09-16,900,873,900,890,10,7,200,177660
2018-09-17,883,882,882,900,-18,2,40,35310
2018-09-18,899,866,875,882,-7,15,214,189000
2018-09-20,875,861,865,875,-10,8,80,69390
2018-09-23,888,855,872,865,7,17,320,280340
2018-09-25,889,888,889,872,17,4,40,35550
2018-09-26,872,855,861,889,-28,7,70,60490
2018-09-27,879,860,860,861,-1,16,175,151700
2018-09-30,852,824,842,860,-18,16,200,167850
2018-10-01,858,827,827,842,-15,15,160,134560
2018-10-02,839,817,817,827,-10,11,110,90650
2018-10-03,830,802,816,817,-1,17,170,138070
2018-10-04,836,801,821,816,5,22,1000,820210
2018-10-07,837,806,837,821,16,16,870,724550
2018-10-08,837,808,820,837,-17,9,300,246050
2018-10-09,814,802,802,820,-18,18,210,168890
2018-10-10,801,791,801,802,-1,13,130,103750
2018-10-11,810,790,810,801,9,8,190,151700
2018-10-14,826,801,807,810,-3,10,330,267480
2018-10-15,803,795,803,807,-4,7,70,56110
2018-10-29,803,762,763,803,-40,15,150,116980
2018-10-30,767,752,755,763,-8,16,160,120770
2018-10-31,745,724,729,755,-26,27,813,595373
2018-11-01,755,729,755,729,26,29,1067,787962
2018-11-04,748,734,735,755,-20,9,90,66620
2018-11-05,763,735,751,735,16,13,183,137533
2018-11-06,735,735,730,751,-21,1,10,7300
2018-11-11,744,730,744,730,14,1,10,7440
2018-11-12,758,743,743,744,-1,7,260,196500
2018-11-13,743,743,743,743,,4,40,29720
2018-11-14,757,729,757,743,14,6,80,59000
2018-11-15,757,742,742,757,-15,10,150,111380
2018-11-18,750,699,699,742,-43,11,150,109180
2018-11-19,700,688,691,699,-8,8,80,55410
2018-11-20,691,685,690,691,-1,8,110,75860
2018-11-21,703,682,686,690,-4,8,80,55460
2018-11-22,690,665,677,686,-9,13,130,87450
2018-11-25,677,645,650,677,-27,9,90,59000
2018-11-26,650,637,637,650,-13,10,100,63930
2018-11-27,637,630,631,637,-6,8,620,393550
2018-11-28,640,631,633,631,2,9,90,57210
2018-11-29,640,621,630,633,-3,13,260,162910
2018-12-02,630,618,630,630,,9,640,402420
2018-12-03,651,626,626,630,-4,9,220,142310
2018-12-04,626,596,596,626,-30,10,100,60850
2018-12-05,596,561,562,596,-34,12,120,69730
2018-12-06,562,541,551,562,-11,5,70,38470
2018-12-09,573,551,573,551,22,4,180,102740
2018-12-10,575,573,575,573,2,3,30,17250
2018-12-11,585,575,585,575,10,9,140,81100
2018-12-12,585,580,580,585,-5,4,40,23200
2018-12-13,590,580,590,580,10,1,10,5900
2018-12-16,612,588,612,590,22,7,70,41870
2018-12-17,660,600,660,612,48,9,130,83630
2018-12-18,681,655,670,660,10,14,430,285910
2018-12-19,670,657,661,670,-9,5,50,33030
2018-12-20,661,648,648,661,-13,6,290,189830
2018-12-23,680,630,680,648,32,11,200,132700
2018-12-24,680,670,678,680,-2,3,200,135300
2018-12-26,690,656,665,678,-13,22,260,176060
2018-12-27,680,665,665,665,,9,150,100650
2018-12-30,665,652,655,665,-10,6,490,319590
2018-12-31,660,655,660,655,5,5,50,32980
2019-01-01,660,640,650,660,-10,13,130,84520
