date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1915,1843.5,1910,1881.1,28.9,23,384,716611.5
2022-02-21,1948,1900,1939,1910,29,24,492,949019.4
2022-02-22,1945,1868.9,1934.9,1939,-4.1,18,258,494302.4
2022-02-23,1973,1923.8,1923.8,1934.9,-11.1,12,159,307298.4
2022-02-24,1885.4,1848.1,1875,1923.8,-48.8,22,482,896091
2019-06-17,281,276,281,,281,2,20,5570
2019-06-24,295,295,295,281,14,1,10,2950
2019-06-26,309,309,309,295,14,1,10,3090
2019-06-30,339,324,339,309,30,7,70,23460
2019-07-01,355,355,355,339,16,1,10,3550
2019-07-03,379,372,379,355,24,2,20,7510
2019-07-04,416,397,416,379,37,5,50,20450
2019-07-07,457,436,457,416,41,324,4077,1847973
2019-07-08,490,450,465,457,8,676,9483,4508220
2019-07-09,479,461,478,465,13,278,3110,1462510
2019-07-10,475,464,465,478,-13,114,1230,575690
2019-07-11,469,459,466,465,1,156,1800,839360
2019-07-14,470,462,465,466,-1,92,1400,651340
2019-07-15,475,465,472,465,7,80,850,400070
2019-07-16,480,465,471,472,-1,28,550,258580
2019-07-17,479,464,475,471,4,55,770,364360
2019-07-18,484,473,473,475,-2,30,360,171140
2019-07-21,499,465,499,473,26,72,1668,803538
2019-07-22,520,484,493,499,-6,45,895,440810
2019-07-23,517,481,494,493,1,67,1340,654710
2019-07-24,519,487,519,494,25,76,3478,1764600
2019-07-25,531,494,516,519,-3,87,8690,4497410
2019-07-28,523,497,503,516,-13,58,1200,607850
2019-07-29,550,510,550,503,47,96,2730,1454200
2019-07-30,597,544,597,550,47,86,2292,1290213
2019-07-31,656,590,656,597,59,108,3250,2059485
2019-08-01,721,664,721,656,65,110,3670,2618540
2019-08-04,793,756,793,721,72,58,1770,1369470
2019-08-05,872,780,825,793,32,344,10582,8880384
2019-08-06,815,743,749,825,-76,161,3869,2958205
2019-08-07,810,690,805,749,56,110,2070,1585625
2019-08-08,793,750,793,805,-12,48,530,408670
2019-08-11,872,808,837,793,44,154,3870,3241805
2019-08-12,848,817,829,837,-8,83,1060,876010
2019-08-13,844,814,824,829,-5,48,825,680625
2019-08-14,824,808,824,824,,54,1060,866340
2019-08-15,829,809,829,824,5,26,510,417910
2019-08-18,830,801,825,829,-4,52,1400,1139030
2019-08-19,847,810,834,825,9,50,940,775110
2019-08-20,835,818,835,834,1,47,470,386290
2019-08-21,820,806,811,835,-24,35,670,544470
2019-08-22,820,804,811,811,,33,360,291900
2019-08-25,820,793,820,811,9,34,840,672540
2019-08-26,820,800,812,820,-8,30,1340,1079760
2019-08-27,821,800,818,812,6,35,510,414410
2019-08-28,818,800,814,818,-4,20,790,634200
2019-08-29,817,802,817,814,3,9,90,72720
2019-09-01,812,802,812,817,-5,19,210,168760
2019-09-02,808,797,808,812,-4,36,1190,952310
2019-09-03,840,792,840,808,32,25,451,363906
2019-09-04,833,801,813,840,-27,20,370,299120
2019-09-05,815,800,815,813,2,32,580,470450
2019-09-08,810,800,809,815,-6,17,170,136930
2019-09-09,805,794,805,809,-4,23,320,255440
2019-09-10,812,792,810,805,5,21,320,256620
2019-09-11,810,798,805,810,-5,14,190,152200
2019-09-12,800,791,798,805,-7,9,249,197338
2019-09-15,813,785,800,798,2,26,690,547130
2019-09-16,805,786,805,800,5,19,210,166540
2019-09-17,825,795,807,805,2,16,170,138660
2019-09-18,823,800,821,807,14,32,440,357540
2019-09-19,820,795,796,821,-25,17,170,136630
2019-09-22,790,771,790,796,-6,8,80,62360
2019-09-23,796,776,796,790,6,12,120,94060
2019-09-24,800,780,800,796,4,21,240,189220
2019-09-25,798,775,798,800,-2,12,140,109930
2019-09-26,801,786,795,798,-3,17,340,267480
2019-09-29,810,785,800,795,5,10,180,143110
2019-09-30,790,775,785,800,-15,7,90,70310
2019-10-01,809,800,801,785,16,8,350,280210
2019-10-02,792,791,791,801,-10,2,20,15830
2019-10-03,806,800,801,791,10,5,141,113410
2019-10-14,786,778,781,801,-20,6,530,413508
2019-10-15,780,770,780,781,-1,7,70,54160
2019-10-17,786,771,777,780,-3,13,800,624860
2019-10-20,777,770,775,777,-2,5,50,38620
2019-10-21,780,776,780,775,5,12,149,115990
2019-10-22,775,766,771,780,-9,9,90,69380
2019-10-23,764,760,760,771,-11,3,30,22870
2019-10-24,775,760,774,760,14,10,100,76960
2019-10-31,780,771,772,774,-2,6,60,46420
2019-11-03,768,764,768,772,-4,6,60,46000
2019-11-04,795,782,795,768,27,11,110,86870
2019-11-05,783,775,775,795,-20,14,140,109410
2019-11-06,778,770,778,775,3,6,100,77200
2019-11-07,790,771,780,778,2,17,170,133140
2019-11-10,785,774,775,780,-5,18,843,659165
2019-11-11,821,770,821,775,46,11,373,293490
2019-11-12,821,770,780,821,-41,9,90,71920
2019-11-13,782,767,780,780,,8,120,93350
2019-11-14,800,770,785,780,5,22,710,556820
2019-11-17,796,780,796,785,11,12,140,110310
2019-11-18,811,785,800,796,4,13,689,552615
2019-11-19,816,789,793,800,-7,26,270,216180
2019-11-20,805,793,795,793,2,15,490,390250
2019-11-21,787,780,780,795,-15,10,160,125750
2019-11-24,783,768,783,780,3,7,240,184750
2019-11-25,800,774,800,783,17,16,170,132610
2019-11-26,790,775,785,800,-15,5,70,54800
2019-11-27,800,772,800,785,15,13,150,117710
2019-11-28,816,800,814,800,14,26,840,682030
2019-12-01,798,753,771,814,-43,16,380,290170
2019-12-02,800,770,784,771,13,11,220,171940
2019-12-03,795,771,789,784,5,16,160,125310
2019-12-04,812,784,810,789,21,14,770,617380
2019-12-05,829,809,824,810,14,19,1590,1304490
2019-12-08,840,822,839,824,15,17,510,421110
2019-12-09,916,848,885,839,46,25,630,549332
2019-12-10,920,851,920,885,35,22,1053,920806
2019-12-11,948,880,930,920,10,25,836,762430
2019-12-12,939,907,939,930,9,33,1407,1284125
2019-12-15,923,890,918,939,-21,25,999,903160
2019-12-16,928,893,909,918,-9,30,2238,2010684
2019-12-17,963,891,943,909,34,35,810,757000
2019-12-18,940,892,940,943,-3,26,1230,1103340
2019-12-19,922,870,913,940,-27,30,1491,1311483
2019-12-22,907,890,903,913,-10,13,190,171210
2019-12-23,914,885,907,903,4,12,460,413080
2019-12-24,925,872,897,907,-10,11,130,116430
2019-12-25,902,876,880,897,-17,25,600,530580
2019-12-26,897,878,895,880,15,9,220,194350
2019-12-29,912,881,894,895,-1,19,510,453040
2019-12-30,900,877,888,894,-6,26,1000,883105
2019-12-31,918,875,875,888,-13,22,2170,1913970
2020-01-01,893,877,877,875,2,17,650,578040
2020-01-02,936,885,933,877,56,128,5842,5325726
