date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,707.9,618.4,699,656,43,471,32617,22398382.5
2022-02-21,757,672.3,728,699,29,562,23773,17022644.8
2022-02-22,792,713.5,790,728,62,561,20831,15907197.6
2022-02-23,845.5,759,844,790,54,512,17548,14294637.8
2022-02-24,827.2,781,819.9,844,-24.1,439,17692,14293150.8
2021-11-25,320.5,296.3,320.5,,24.2,9,57,17539.1
2021-11-28,346.8,326.9,346.8,320.5,26.3,13,71,23677.2
2021-11-29,381.4,346.8,381.4,346.8,34.6,8,67,24651.7
2021-11-30,419.5,389,419.5,381.4,38.1,15,70,28476
2021-12-01,461.4,427.8,461.4,419.5,41.9,17,160,72941.2
2021-12-02,507.5,470.6,507.5,461.4,46.1,70,700,354345
2021-12-05,558.2,471,500,507.5,-7.5,1810,33698,17873241.7
2021-12-06,510,455,500,500,,782,10801,5089838
2021-12-07,519,471.6,475,500,-25,297,6274,3065806
2021-12-08,467,427.5,441,475,-34,246,8150,3584326
2021-12-09,440,418.5,425,441,-16,223,5381,2286022.4
2021-12-12,420,393,393,425,-32,194,5492,2210806
2021-12-13,386,354,367,393,-26,116,2565,947056
2021-12-14,403.7,369,403.7,367,36.7,87,2640,1036305
2021-12-15,444,406.8,444,403.7,40.3,244,9896,4164791
2021-12-16,478,413,433.2,444,-10.8,150,4185,1838720
2021-12-20,433,403,426.8,433.2,-6.4,132,3300,1362389
2021-12-21,434,416,425,426.8,-1.8,101,2925,1231881
2021-12-22,458,425,458,425,33,137,2975,1290767
2021-12-23,483.9,432,436,458,-22,148,3053,1358852
2021-12-26,469.2,425,469.2,436,33.2,167,7185,3143846
2021-12-27,500,437,497,469.2,27.8,202,6118,2754088.6
2021-12-28,488,452,467,497,-30,100,1750,805222
2021-12-29,457.7,442,457,467,-10,138,2218,996022.8
2022-01-02,456,436.1,450,457,-7,175,5566,2475728
2022-01-03,452.8,431.2,444,450,-6,138,2658,1171428
2022-01-04,450,438.1,440,444,-4,156,2795,1238350
2022-01-05,461,433,449,440,9,192,6134,2746149
2022-01-06,460,433.2,460,449,11,157,4320,1934114
