date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,687.5,590,679,625,54,681,49835,33049189.7
2022-02-21,728,670,710,679,31,560,27533,19303037.6
2022-02-22,780.3,696,758,710,48,540,24134,17807026.3
2022-02-23,825,742.9,825,758,67,623,39640,31135437.9
2022-02-24,824,763,821,825,-4,476,26523,21239913.2
2021-10-31,259.2,254.2,259.2,,5,2,20,5134
2021-11-01,269.5,259.2,269.5,259.2,10.3,4,22,5854.2
2021-11-02,285.8,274.8,285.8,269.5,16.3,5,38,10647.2
2021-11-03,300.2,288.7,300.2,285.8,14.4,5,40,11705.1
2021-11-08,330.2,300.2,330.2,300.2,30,18,130,41305.8
2021-11-09,363.2,336.8,363.2,330.2,33,17,170,61095
2021-11-11,399.5,370.4,399.5,363.2,36.3,31,309,122727.8
2021-11-14,439.4,407.4,439.4,399.5,39.9,53,530,232095
2021-11-15,483.3,448.1,483.3,439.4,43.9,76,3302,1594638.6
2021-11-16,531.6,492.9,531.6,483.3,48.3,209,2260,1200368
2021-11-17,584.7,542.2,584.7,531.6,53.1,177,1840,1074379
2021-11-18,643.1,596.3,643.1,584.7,58.4,2311,40896,26029588.2
2021-11-21,655.9,602,616,643.1,-27.1,2021,25206,15762591
2021-11-22,616,590,600,616,-16,1217,14200,8460547
2021-11-23,595,585,588,600,-12,531,6265,3688080.8
2021-11-24,599.7,554.4,575,588,-13,433,8705,4972471.5
2021-11-25,587,569.2,570,575,-5,367,7276,4183681.6
2021-11-28,591.6,526,548.1,570,-21.9,322,9850,5420410
2021-11-29,565,538,546.3,548.1,-1.8,273,5680,3132511
2021-11-30,590.9,538,585,546.3,38.7,349,5912,3314131
2021-12-01,595,556,570,585,-15,173,3338,1902363
2021-12-02,570,544,565,570,-5,259,8735,4858539
2021-12-05,570,529.2,549.9,565,-15.1,238,5217,2840928.9
2021-12-06,560,507,539.9,549.9,-10,233,6515,3419928
2021-12-07,550,515,524.9,539.9,-15,177,6517,3419647.1
2021-12-08,518,499,509,524.9,-15.9,147,4730,2395931.5
2021-12-09,527,500,507,509,-2,114,3765,1898855
2021-12-12,507,461.3,489.9,507,-17.1,103,5500,2627234
2021-12-13,489.8,445,445,489.9,-44.9,115,3131,1419992.5
2021-12-14,489.5,437,489.5,445,44.5,79,2824,1354829.9
2021-12-15,510,451.5,480.5,489.5,-9,139,6477,3123590
2021-12-16,490,453.9,454.1,480.5,-26.4,84,3080,1420685
2021-12-20,453.9,420,430,454.1,-24.1,93,3160,1377966
2021-12-21,438.6,415.1,416,430,-14,120,7301,3096587.6
2021-12-22,452,424,443,416,27,109,6721,2910865.9
2021-12-23,459,425.4,430,443,-13,109,4101,1794864.7
2021-12-26,445,425.1,434.4,430,4.4,109,2611,1124244.1
2021-12-27,434,414,415,434.4,-19.4,84,3090,1301527
2021-12-28,431,404,419,415,4,92,3243,1351425.2
2021-12-29,422,405,415,419,-4,89,2891,1187995
2022-01-02,428.9,408,428,415,13,106,2170,909541
2022-01-03,430,415.5,427.3,428,-0.7,83,2585,1091430.5
2022-01-04,430,408.1,426,427.3,-1.3,74,1800,755491
2022-01-05,460,425,449,426,23,220,11440,5125003
2022-01-06,493.9,432,493.9,449,44.9,265,15247,7350514.2
2022-01-09,530,487.1,522,493.9,28.1,239,15407,7826020
2022-01-10,550.8,501,517,522,-5,184,7729,4037607
2022-01-11,525,505,519,517,2,163,6316,3257915
2022-01-12,518,495,496,519,-23,214,15279,7722370
2022-01-13,515,486.1,513,496,17,148,3810,1905556.9
2022-01-16,543,502.8,537,513,24,356,24382,12936090.4
2022-01-17,547.7,519.4,547,537,10,298,16720,8819934.6
2022-01-18,572.3,531.3,569,547,22,394,16461,9150812.6
2022-01-19,585,542,578,569,9,319,11092,6169083
2022-01-20,635.8,557,635.8,578,57.8,673,39442,24227909.1
2022-01-23,652,615,635,635.8,-0.8,532,24095,15177206.3
2022-01-24,645,573.3,599,635,-36,357,25768,15329076.1
2022-01-25,610.9,570,589.9,599,-9.1,212,11375,6738175.1
2022-01-26,600,550,582,589.9,-7.9,198,10531,5955045.5
2022-01-27,598,566.5,598,582,16,209,6338,3688129.6
2022-01-30,617,595.2,609.1,598,11.1,410,15837,9621629.6
2022-01-31,627,588,607,609.1,-2.1,248,11061,6730080.2
2022-02-01,620,596,611,607,4,326,10548,6455138
2022-02-03,663,613,635,611,24,546,26223,16538315.7
2022-02-06,635,605,607,635,-28,234,13698,8464703
2022-02-07,637.6,594.9,612,607,5,215,7990,4872429
2022-02-08,636,589,592.1,612,-19.9,219,10431,6360125.5
2022-02-09,603.2,576.2,594,592.1,1.9,123,3959,2308706
2022-02-10,591.6,570,584.6,594,-9.4,138,7840,4533021.5
2022-02-13,573,546,547,584.6,-37.6,158,8366,4650119.5
2022-02-14,560,536.1,552,547,5,91,2717,1495213.9
2022-02-15,600,541.1,600,552,48,115,5415,3152916.2
2022-02-16,600,570,587,600,-13,136,7512,4375624
2022-02-17,642.6,576.3,625,587,38,541,32814,20446951.1
2022-02-27,812,785,788,821,-33,480,26449,21081675.7
2022-02-28,800,709.2,709.2,788,-78.8,315,25503,18489681.8
2022-03-02,700,641.3,670,709.2,-39.2,295,17737,11708771.6
2022-03-06,693,659,674,670,4,152,9810,6636376
2022-03-07,683.4,657,675,674,1,169,11784,7862237
2022-03-09,665,640,655,675,-20,122,5760,3739729.2
2022-03-10,669,628,665,655,10,258,22639,14678567.4
2022-03-13,690,651,663,665,-2,274,22443,15023087.3
2022-03-14,678.2,662,670,663,7,86,5475,3668520.5
2022-03-15,674,650,664.5,670,-5.5,188,12222,8068669.5
2022-03-16,668,645.1,653,664.5,-11.5,144,7436,4845737.8
2022-03-20,666,637,647,653,-6,107,5075,3259096.5
2022-03-21,667,635,656,647,9,136,5260,3424891
2022-03-22,665,642,642,656,-14,112,4745,3093727
2022-03-23,649,632,635,642,-7,83,3484,2226582
2022-03-24,635,615,624,635,-11,177,11904,7410020.5
2022-03-27,624,588.1,599,624,-25,126,5763,3496773.9
2022-03-28,605,588,597,599,-2,115,6347,3765678
2022-03-29,610,580.1,591.9,597,-5.1,94,4222,2490495.8
2022-03-30,630,582,630,591.9,38.1,163,9281,5677163.9
2022-03-31,629,600,610,630,-20,132,8470,5180429
2022-04-03,610,594,603,610,-7,112,4357,2617092.4
2022-04-04,604.9,580,599,603,-4,81,2295,1364883.3
2022-04-05,599,570,575,599,-24,122,6453,3741896
2022-04-06,579,545.1,567,575,-8,108,4751,2665056.9
2022-04-07,594,556,,567,2.9,127,7998,4614296
2022-04-11,591.9,540,552,569.9,-17.9,130,6384,3551654.5
2022-04-12,550,520.5,525,552,-27,103,4800,2545622.6
2022-04-13,544,517,530,525,5,79,4768,2534292
2022-04-17,535,505,513,530,-17,75,3288,1704126
2022-04-18,510,474,499.8,513,-13.2,96,5165,2545738.5
2022-04-19,505,468.1,504.9,499.8,5.1,67,4383,2169094.2
2022-04-20,494.9,460.3,474,504.9,-30.9,78,4053,1929417
2022-04-21,482.9,447,469.9,474,-4.1,72,4278,1963810.5
2022-04-24,516.7,465,503.2,469.9,33.3,115,5851,2910667
2022-04-25,512,481.1,487,503.2,-16.2,76,4633,2318488
2022-04-26,496.7,477.4,482,487,-5,49,1936,937135
2022-04-27,500,471,478,482,-4,76,5461,2611821.7
2022-04-28,495,465.1,469,478,-9,127,5587,2705694.4
2022-05-02,462,450,457,469,-12,67,3548,1613805
2022-05-04,457,432.1,440,457,-17,81,4950,2177826
2022-05-05,435,415,420,440,-20,74,4425,1858400
2022-05-08,434,404,427,420,7,59,2717,1135646.5
2022-05-09,447.9,420,447.9,427,20.9,108,5877,2544120.2
2022-05-10,469,426,463,447.9,15.1,94,4795,2155829
2022-05-11,484,442,484,463,21,100,5826,2699471
2022-05-12,514,458,514,484,30,193,10111,4810267.7
2022-05-17,504,462.6,480,514,-34,146,8240,3892162.8
2022-05-18,480,455.2,480,480,,55,2411,1127960.3
2022-05-19,483.9,442.1,483.9,480,3.9,112,7254,3350542.6
2022-05-20,474.8,437.8,460,483.9,-23.9,63,3641,1686775.7
2022-05-23,469,435,435,460,-25,44,1825,804287.6
2022-05-24,450.8,427,442.9,435,7.9,49,2638,1167700.2
2022-05-25,460,434.2,459,442.9,16.1,101,3977,1797531
2022-05-26,458.7,441.3,447,459,-12,47,1525,680388
2022-05-27,464,435,442,447,-5,42,2870,1260900.8
2022-05-30,442.6,424.6,430,442,-12,22,510,218137
2022-05-31,438.6,419,427,430,-3,41,3648,1545417.2
2022-06-01,435,413,432.1,427,5.1,43,1955,829431.8
2022-06-02,438,420.8,423.1,432.1,-9,23,1443,611802.8
2022-06-03,424.9,415,423.9,423.1,0.8,21,728,305360.8
2022-06-06,435.9,415.5,420.1,423.9,-3.8,52,2474,1046605
2022-06-07,415,401.1,411,420.1,-9.1,39,1225,500565.5
2022-06-08,449.8,407,449.8,411,38.8,79,3823,1639436
2022-06-09,454.8,427,448,449.8,-1.8,72,5145,2245745
2022-06-10,456.9,425,456.9,448,8.9,65,4087,1775123
2022-06-13,474.3,429.2,474.3,456.9,17.4,70,3295,1457624.5
2022-06-14,474,435,474,474.3,-0.3,99,6340,2824747.4
2022-06-15,465,426.6,451,474,-23,105,7708,3346728.3
2022-06-16,461,426.3,461,451,10,62,3131,1394763.9
2022-06-17,469,426.1,469,461,8,48,2235,987812
2022-06-20,459.7,422.1,422.1,469,-46.9,125,9140,3872316.8
2022-06-21,451.8,397.4,410,422.1,-12.1,142,6389,2630960
2022-06-22,435,390,422,410,12,63,4783,1920746
2022-06-23,417,381.1,395,422,-27,45,2109,842083.4
2022-06-24,423,358,414.6,395,19.6,79,5134,1960083.5
2022-06-26,436.5,393,436.5,414.6,21.9,125,8106,3441601.5
2022-06-27,436.5,405,405,436.5,-31.5,78,3535,1459281
2022-06-28,412,389,412,405,7,72,3595,1422720
2022-06-30,424,406,418.9,411,7.9,68,3536,1479446.6
2022-07-01,436.5,415,423.9,418.9,5,67,4340,1834138.5
2022-07-03,459,410,459,423.9,35.1,115,10180,4439614.9
2022-07-04,499.2,436.1,440,459,-19,204,14283,6810846.8
2022-07-05,475.4,432.1,441,440,1,101,5210,2321607
2022-07-06,475.3,425.1,475.3,441,34.3,82,4863,2122298
2022-07-07,480,443,464,475.3,-11.3,132,7505,3437440.3
2022-07-08,463.9,437,444.9,464,-19.1,68,4395,1950597.2
2022-07-11,453.7,413.1,428,444.9,-16.9,81,4500,1882387.6
2022-07-12,427,413,416.3,428,-11.7,58,5000,2097429
2022-07-13,432,408,426,416.3,9.7,112,8786,3721982
2022-07-14,434,417.8,426,426,,43,2016,855958.6
2022-07-15,426,418,426,426,,24,867,365567
2022-07-17,436,418.1,431.4,426,5.4,55,3506,1494339.5
2022-07-18,431,420,427.1,431.4,-4.3,38,1338,572214.9
2022-07-19,440,426.9,439,427.1,11.9,96,5789,2510460
2022-07-20,434.9,430,433,439,-6,44,2843,1231487.5
2022-07-21,433,420,424,433,-9,60,3641,1549331
2022-07-22,423,410,410,424,-14,40,2185,902839
2022-07-24,433,412,433,410,23,63,2532,1073309.6
2022-07-25,453,430,452.8,433,19.8,80,7936,3526718
2022-07-26,477,443.8,460,452.8,7.2,207,21404,9947013.2
2022-07-27,493,450,490,460,30,157,13894,6583141.6
2022-07-28,510,472,490,490,,151,10511,5221019.3
2022-07-29,499.5,471.2,483,490,-7,39,1900,925339
2022-07-31,502,482,484,483,1,103,7800,3798300.5
2022-08-01,493.6,475,480,484,-4,93,5906,2860943
2022-08-02,501,473,498,480,18,152,14451,7053863.8
2022-08-03,547.7,500,518,498,20,254,18313,9616591.1
2022-08-04,540,510,514,518,-4,195,16843,8836845.8
2022-08-05,512,486.1,486.1,514,-27.9,123,10776,5363566.2
2022-08-07,534.7,485.2,533,486.1,46.9,284,26024,13330679.2
2022-08-08,553,514,518,533,-15,158,13422,7049562.2
2022-08-09,515,491,491,518,-27,112,7186,3589301
2022-08-10,493,473,490,491,-1,91,5093,2479377
2022-08-11,498,467,468,490,-22,124,11437,5430496
2022-08-14,477,448,448,468,-20,73,7586,3432381.5
2022-08-15,492,439.1,476.9,448,28.9,82,4597,2158834
2022-08-16,494.7,462,466,476.9,-10.9,76,8137,3852361
2022-08-17,494,459,465,466,-1,52,3280,1548311
2022-08-18,485.9,468,484,465,19,83,3251,1561179.5
2022-08-22,483.4,460.6,480,479,1,43,572,270303.2
2022-08-23,479.8,464.6,474.9,480,-5.1,37,1607,760914
2022-08-24,479,462.1,469,474.9,-5.9,45,1172,547585.1
2022-08-25,474,455,456.2,469,-12.8,56,2446,1132738.5
2022-08-26,460,438,447,456.2,-9.2,73,5435,2420975.5
2022-08-28,454,425,433,447,-14,74,3652,1576976.8
2022-08-29,441,422,426,433,-7,60,4996,2143860.9
2022-08-30,434.5,422,425,426,-1,57,3930,1684559
2022-08-31,430,415.1,416,425,-9,48,2781,1168475.2
2022-09-01,432.7,412.1,420.1,416,4.1,55,4395,1860380
2022-09-02,432,414,418,420.1,-2.1,50,8035,3366318.2
2022-09-04,426.3,412.2,420,418,2,82,7876,3277139.7
2022-09-05,424,411.6,415.6,420,-4.4,58,2015,840143
2022-09-06,421.2,400,405,415.6,-10.6,85,5814,2355201.5
2022-09-07,410,397,407,405,2,40,1990,808491
2022-09-08,422,401,419,407,12,42,2250,931138.6
2022-09-11,419.1,402.7,412,419,-7,31,632,259957.7
2022-09-12,413.4,405,409.9,412,-2.1,42,1905,774298
2022-09-13,421.2,402.1,413,409.9,3.1,36,1430,596223
2022-09-14,433.5,415,424,413,11,75,3543,1508037.6
2022-09-15,424.3,398,400,424,-24,103,10433,4219355.7
2022-09-16,400,385.1,397.7,400,-2.3,31,1899,741912.4
2022-09-18,397.7,380.6,392,397.7,-5.7,45,2974,1150712
2022-09-20,399.5,370.3,399.5,392,7.5,35,861,323024.5
2022-09-21,414.9,388,398.8,399.5,-0.7,46,2135,840164
2022-09-22,395,382.2,382.2,398.8,-16.6,32,2495,968461.5
2022-09-25,375,352,352,382.2,-30.2,67,4164,1509657
2022-09-27,366,346,361,352,9,35,2345,833009.5
2022-09-28,367,351,351,361,-10,20,1100,389730
2022-09-29,361,345.5,345.5,351,-5.5,32,2695,941032
2022-10-09,365,345.1,356.7,345.5,11.2,36,1645,588545.7
2022-10-10,360,323,343,356.7,-13.7,83,8286,2806736.9
2022-10-11,349.8,331.5,340,343,-3,16,490,167273
2022-10-12,344,330,337,340,-3,26,1735,588257
2022-10-13,346.8,330,334,337,-3,42,2519,844106.1
2022-10-16,335.1,320.1,329,334,-5,40,1610,523703.5
2022-10-17,335,325,327,329,-2,23,855,278777
2022-10-19,324.9,314.3,324.9,327,-2.1,25,2145,682123
2022-10-20,331.3,312.6,323,324.9,-1.9,41,2340,744428.7
2022-10-23,322.9,311,322.9,323,-0.1,12,202,64400.8
2022-10-31,325,310.2,321,322.9,-1.9,24,990,314122.5
2022-11-01,340,314.6,339.8,321,18.8,46,4428,1451417.5
2022-11-02,353.7,335,350,339.8,10.2,50,4086,1407406.8
2022-11-03,353,338,353,350,3,42,1720,589403
2022-11-06,359.5,340,359.5,353,6.5,40,1560,553831.5
2022-11-07,367.1,345,350,359.5,-9.5,50,2925,1037372
2022-11-08,349.1,339,339.1,350,-10.899999999999977,50,2672,913124
2022-11-09,339.6,328.3,335,339.1,-4.100000000000023,29,1709,565354
2022-11-10,343,323,323,335,-12,35,1413,460085.5
2022-11-13,327,316.3,316.3,323,-6.699999999999989,38,2428,777741
2022-11-14,335.8,311.2,323.8,316.3,7.5,36,1532,491039.5
2022-11-15,340.9,320.1,320.1,323.8,-3.6999999999999886,47,3940,1286908
2022-11-16,337.6,325,335,320.1,14.899999999999977,37,4820,1599348.5
2022-11-22,354.1,336.3,343,347.2,-4.199999999999989,46,2826,987072.6
2022-11-23,338,332,332,343,-11,17,734,245267
2022-11-24,335.9,327.4,335.9,332,3.8999999999999773,16,330,109825
2022-11-27,346.8,330.2,346.8,335.9,10.900000000000034,28,360,121455
2022-11-28,348,339,339,346.8,-7.800000000000011,23,1080,369020.5
2022-11-29,340,329.1,336,339,-3,23,2368,799814.6
2022-11-30,349,330.1,342,336,6,19,577,194350
2022-12-01,342,328,337.1,342,-4.899999999999977,24,3979,1355119.5
2022-12-04,346.9,332.5,339.6,337.1,2.5,39,1866,632780
2022-12-05,339,331,335,339.6,-4.600000000000023,38,5320,1779875
2022-12-06,336,328.4,335.9,335,0.8999999999999773,20,2747,908036
2022-12-07,340,324.5,329,335.9,-6.899999999999977,10,108,35636
2022-12-11,325,318,320.5,329,-8.5,20,390,124739
2022-12-12,330.9,317,330.9,320.5,10.399999999999977,27,1789,571756.7
2022-12-13,331,318,320,330.9,-10.899999999999977,30,2001,644912
2022-12-14,325,318,318,320,-2,22,880,280596
2022-12-15,329.4,315,315.2,318,-2.8000000000000114,42,1864,591085.5
2022-12-18,314.9,309,310.1,315.2,-5.099999999999966,33,1770,549964.5
2022-12-19,312.6,303.9,312.1,310.1,2,18,1097,341734.9
2022-12-20,326.4,312,317.1,312.1,5,30,1320,426067.5
2022-12-21,338.3,311.2,322.1,317.1,5,46,4006,1313843.4
2022-12-22,322,310,318,322.1,-4.100000000000023,31,3005,947574
2022-12-26,335,313.9,335,318,17,64,6552,2163496.2
2022-12-27,368.5,333.2,368,335,33,146,10741,3774269
2022-12-28,396.7,347.2,389.6,368,21.600000000000023,161,16416,6093382.5
2022-12-29,407,375,406.9,389.6,17.299999999999955,121,17581,6834878.2
2023-01-01,420,396,403.9,406.9,-3,121,13626,5571246
2023-01-02,411.9,380.1,394,403.9,-9.899999999999977,96,11653,4629628.5
2023-01-03,424.4,382,385.5,394,-8.5,129,14377,5610867.7
2023-01-04,421,378,421,385.5,35.5,155,19300,7865016.6
2023-01-05,424.3,405,413,421,-8,108,13804,5699643.7
2023-01-08,435,406,415.2,413,2.1999999999999886,130,21343,8973647.5
2023-01-09,427,413,423,415.2,7.800000000000011,114,13216,5595432.5
2023-01-10,465,413,413.1,423,-9.899999999999977,192,17697,7762146.9
2023-01-12,433.4,402.1,405,413.1,-8.100000000000023,144,10976,4580259.6
2023-01-17,438,397,425,405,20,126,15718,6706912.8
2023-01-18,442,418,423,425,-2,125,10220,4411042.5
2023-01-19,440,415.1,431,423,8,66,2550,1098027.5
2023-01-23,429.9,416,416,431,-15,80,3720,1566111
2023-01-24,415,409.1,410.3,416,-5.699999999999989,65,3370,1385701.5
2023-01-25,440,411,430,410.3,19.69999999999999,80,4612,1945943.8
2023-01-26,438,422.2,431,430,1,72,5389,2310909.6
2023-01-29,451.9,421.5,439,431,8,120,10930,4791344.5
2023-01-30,448,416,416,439,-23,117,9446,4055581.5
2023-01-31,438.5,407.7,421.3,416,5.300000000000011,99,7531,3200290
2023-02-01,433.6,416,433.6,421.3,12.300000000000011,67,5832,2482690.5
2023-02-02,426,417,423,433.6,-10.600000000000023,63,4600,1931582
2023-02-05,418.2,396.1,408.9,423,-14.100000000000023,144,12093,4894857.5
