date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,759,668,759,690,69,510,58815,42951424
2022-02-21,834.9,759,834.9,759,75.9,596,62546,50612711.7
2022-02-22,918.3,850,918.3,834.9,83.4,268,27337,25023376.4
2022-02-23,1010.1,936.6,1010.1,918.3,91.8,512,43111,42717850.2
2022-02-24,1011,971.2,1010,1010.1,-0.1,1180,66050,65408896.5
2020-12-20,325,296,325,296,29,1804,18040,5857700
2020-12-21,340,293,293,325,-32,1103,11030,3252100
2020-12-22,280,264,264,293,-29,135,1350,363590
2020-12-23,259,238,238,264,-26,622,6220,1485360
2020-12-24,241,215,223,238,-15,1350,13540,2995720
2020-12-27,224,215,216,223,-7,702,9428,2063074
2020-12-28,220,208,212,216,-4,514,7002,1469730
2020-12-29,212,204,204,212,-8,469,5620,1153380
2020-12-30,212,200,212,204,8,430,4831,975433
2020-12-31,222,204,219,212,7,480,5800,1200620
2021-01-03,240,206,224,219,5,327,5328,1147238
2021-01-04,226,212,222,224,-2,269,3855,840160
2021-01-05,240,211,232,222,10,263,4390,987010
2021-01-06,244,220,230,232,-2,283,3710,831240
2021-01-07,230,222,230,230,,338,10950,2487190
2021-01-10,241,218,224,230,-6,254,3264,727390
2021-01-11,230,218,219,224,-5,181,2250,497770
2021-01-12,227,215,226,219,7,207,5165,1161270
2021-01-13,238,218,225,226,-1,244,11441,2589928
2021-01-17,236,221,222,225,-3,128,1770,398630
2021-01-18,224,220,221,222,-1,123,1390,308400
2021-01-19,222,216,216,221,-5,126,5464,1195033
2021-01-20,230,216,222,216,6,160,4284,943042
2021-01-21,244,220,244,222,22,170,2660,595024
2021-01-24,256,222,237,244,-7,229,10419,2438721
2021-01-25,248,228,240,237,3,172,5656,1323078
2021-01-26,247,225,234,240,-6,172,4067,974826
2021-01-27,238,226,234,234,,157,4791,1107324
2021-01-28,248,224,248,234,14,225,3055,703300
2021-01-31,248,224,229,248,-19,336,5640,1308321
2021-02-01,242,226,236,229,7,268,6595,1531850
2021-02-02,241,228,237,236,1,286,12840,3034968
2021-02-03,257,235,248,237,11,522,19524,4828562
2021-02-04,248,240,244,248,-4,272,12669,3090425
2021-02-07,252,232,249,244,5,362,13527,3327032
2021-02-08,249,237,242,249,-7,183,5610,1361250
2021-02-09,249,237,238,242,-4,160,4380,1051190
2021-02-10,242,235,242,238,4,162,4360,1033390
2021-02-11,248,232,242,242,,133,5256,1254510
2021-02-14,240,230,233,242,-9,81,1884,440695
2021-02-15,248,229,243,233,10,149,4219,996176
2021-02-16,240,235,235,243,-8,112,2740,647570
