date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,382,348.3,374,370,4,176,27683,10213192.1
2022-02-21,387,370,381,374,7,107,13505,5138032.4
2022-02-22,391.6,379.2,379.2,381,-1.8,114,11286,4351177.9
2022-02-23,400,380,385,379.2,5.8,214,31606,12334998.5
2022-02-24,392.7,365,370,385,-15,230,28490,10645221
2019-06-12,150,150,150,,150,1,50,7500
2019-06-17,143,143,143,150,-7,1,50,7150
2019-06-18,136,136,136,143,-7,1,40,5440
2019-07-02,130,128,128,136,-8,2,100,12900
2019-07-03,122,122,122,128,-6,1,50,6100
2019-07-04,116,114,114,122,-8,3,150,17200
2019-07-21,109,103,103,114,-11,5,130,13690
2019-07-23,101,99,99,103,-4,2,20,2000
2019-07-24,95,94,94,99,-5,2,100,9450
2019-07-25,90,85,85,94,-9,38,3500,298087
2019-07-28,84,77,78,85,-7,23,821,63698
2019-07-29,78,72,78,78,,27,1900,142260
2019-07-30,77,73,73,78,-5,27,3410,252320
2019-07-31,72,68,70,73,-3,21,3041,209518
2019-08-01,72,70,72,70,2,10,600,42550
2019-08-04,73,71,71,72,-1,16,1120,80650
2019-08-05,71,68,68,71,-3,7,350,24450
2019-08-06,69,68,68,68,,7,520,35510
2019-08-07,69,68,68,68,,4,200,13650
2019-08-08,68,68,68,68,,12,600,40800
2019-08-11,68,65,67,68,-1,13,590,39440
2019-08-12,66,65,65,67,-2,13,860,56300
2019-08-13,69,65,67,65,2,19,750,50450
2019-08-14,68,66,66,67,-1,14,610,40910
2019-08-15,67,66,66,66,,4,570,38120
2019-08-18,65,64,65,66,-1,8,450,29100
2019-08-19,66,65,65,65,,5,250,16300
2019-08-20,65,64,64,65,-1,7,500,32050
2019-08-21,63,62,62,64,-2,6,200,12560
2019-08-22,62,61,62,62,,10,550,34050
2019-08-25,63,62,62,62,,3,150,9350
2019-08-26,61,58,60,62,-2,12,490,28980
2019-08-27,61,58,58,60,-2,18,760,44870
2019-08-28,59,59,59,58,1,4,300,17700
2019-08-29,61,59,61,59,2,28,1440,86290
2019-09-01,61,60,60,61,-1,7,190,11500
2019-09-02,61,60,60,60,,5,250,15050
2019-09-03,62,59,62,60,2,8,400,24000
2019-09-04,62,60,62,62,,6,400,24350
2019-09-05,61,60,60,62,-2,10,700,42400
2019-09-08,59,57,57,60,-3,5,400,23250
2019-09-09,58,54,55,57,-2,11,560,31540
2019-09-10,56,55,55,55,,10,1080,59950
2019-09-11,55,55,55,55,,1,50,2750
2019-09-12,56,54,54,55,-1,21,920,50640
2019-09-15,54,53,54,54,,6,350,18650
2019-09-16,53,50,51,54,-3,13,800,40360
2019-09-17,52,52,52,51,1,1,50,2600
2019-09-18,53,53,53,52,1,2,100,5300
2019-09-19,54,52,54,53,1,6,280,14790
2019-09-22,53,52,53,54,-1,3,150,7900
2019-09-23,52,51,51,53,-2,6,300,15460
2019-09-24,51,50,51,51,,4,250,12700
2019-09-25,52,51,52,51,1,4,180,9260
2019-09-26,52,50,51,52,-1,6,300,15250
2019-09-29,51,50,51,51,,4,200,10150
2019-09-30,54,52,54,51,3,5,250,13200
2019-10-01,55,55,55,54,1,1,50,2750
2019-10-02,56,54,56,55,1,3,100,5520
2019-10-10,57,56,56,56,,4,750,42200
2019-10-16,58,57,57,56,1,3,190,10930
2019-10-17,58,58,58,57,1,1,50,2900
2019-10-20,59,58,58,58,,3,190,11070
2019-10-21,57,57,57,58,-1,3,100,5700
2019-10-24,57,54,56,57,-1,8,600,33095
2019-10-31,56,54,54,56,-2,5,600,33200
2019-11-03,55,54,55,54,1,3,190,10410
2019-11-04,57,55,55,55,,15,1250,69650
2019-11-05,54,54,54,55,-1,1,50,2700
2019-11-06,53,52,52,54,-2,2,100,5250
2019-11-07,52,50,52,52,,15,1340,68290
2019-11-10,54,53,54,52,2,2,150,8050
2019-11-11,55,53,53,54,-1,5,390,21010
2019-11-12,55,51,51,53,-2,5,250,12950
2019-11-13,53,50,52,51,1,13,540,28040
2019-11-14,52,51,52,52,,6,280,14430
2019-11-17,55,53,54,52,2,7,620,33490
2019-11-18,55,53,54,54,,6,360,19540
2019-11-19,56,52,56,54,2,14,1350,73500
2019-11-21,57,56,56,56,,3,150,8450
2019-11-24,55,55,55,56,-1,4,172,9460
2019-11-25,54,53,53,55,-2,9,600,32050
2019-11-26,52,50,50,53,-3,5,250,12850
2019-11-27,52,51,52,50,2,3,300,15400
2019-11-28,53,53,53,52,1,3,150,7950
2019-12-02,53,51,53,53,,8,570,29520
2019-12-03,53,53,53,53,,1,50,2650
2019-12-04,52,51,52,53,-1,4,250,12950
2019-12-05,52,51,51,52,-1,6,670,34720
2019-12-08,54,51,54,51,3,11,1520,78490
2019-12-09,55,54,54,54,,5,250,13600
2019-12-10,55,53,54,54,,9,650,35050
2019-12-11,55,53,55,54,1,5,160,8690
2019-12-12,55,55,55,55,,6,700,38500
2019-12-15,60,55,60,55,5,12,840,48260
2019-12-16,64,60,63,60,3,21,2470,152390
2019-12-17,62,61,61,63,-2,5,210,12910
2019-12-18,62,60,61,61,,13,1000,61550
2019-12-19,61,59,59,61,-2,7,750,45400
2019-12-22,59,57,57,59,-2,14,1045,60660
2019-12-23,58,56,57,57,,5,690,39290
2019-12-24,58,57,57,57,,2,60,3470
2019-12-25,56,53,53,57,-4,15,3250,174270
2019-12-26,55,53,55,53,2,5,391,21314
2019-12-29,57,55,56,55,1,8,450,25150
2019-12-30,58,57,58,56,2,5,250,14300
2019-12-31,59,55,55,58,-3,12,840,47550
2020-01-01,54,53,53,55,-2,18,880,46990
2020-01-02,58,54,57,53,4,15,1180,67850
2020-01-05,56,56,56,57,-1,1,50,2800
2020-01-06,58,56,58,56,2,12,890,50870
2020-01-07,60,59,59,58,1,9,590,35040
2020-01-08,58,57,57,59,-2,5,210,12170
2020-01-09,58,57,58,57,1,3,150,8600
2020-01-12,58,56,57,58,-1,6,800,45600
2020-01-13,58,56,58,57,1,11,1240,70160
2020-01-14,60,58,60,58,2,13,690,40510
2020-01-15,61,59,61,60,1,10,550,33070
2020-01-16,62,59,62,61,1,13,2010,120550
2020-01-19,63,61,62,62,,25,4930,304010
