date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,19000,18700,18700,19000,-300,2,20,377000
2022-02-21,19000,18900,19000,18700,300,3,30,569000
2022-02-22,19000,19000,19000,19000,,1,10,190000
2022-02-23,19000,18632,18632,19000,-368,2,60,1121600
2022-02-24,19000,18650,18650,18632,18,5,50,942990
2010-05-18,4150,4150,4150,4234,-84,1,30,124500
2010-05-23,4068,4068,4068,4150,-82,1,30,122040
2010-06-13,4149,4149,4149,4068,81,1,20,82980
2010-08-17,4401,4231,4401,4149,252,3,30,129470
2010-08-29,4489,4489,4489,4401,88,1,10,44890
2010-09-21,4578,4578,4578,4489,89,1,30,137340
2010-10-05,4750,4750,4750,4669,81,1,10,47500
2010-10-11,4800,4800,4800,4750,50,1,40,192000
2010-10-12,4896,4896,4896,4800,96,1,20,97920
2010-10-13,4993,4993,4993,4896,97,1,20,99860
2010-12-07,5092,5092,5092,4993,99,1,10,50920
2010-12-08,5509,5193,5509,5092,417,5,50,269070
2010-12-15,5730,5618,5730,5509,221,2,30,169660
2010-12-22,5844,5844,5844,5730,114,1,10,58440
2010-12-27,5960,5960,5960,5844,116,1,10,59600
2011-01-05,6000,5880,5880,5960,-80,2,40,236400
2011-02-09,5800,5800,5800,5880,-80,1,10,58000
2011-02-10,5700,5700,5700,5800,-100,1,30,171000
2011-02-14,5800,5800,5800,5700,100,1,30,174000
2011-02-17,5916,5916,5916,5800,116,1,10,59160
2011-02-22,6000,6000,6000,5916,84,3,50,300000
2011-02-23,6120,6000,6000,6000,,2,30,181200
2011-03-01,6000,6000,6000,6000,,1,10,60000
2011-03-03,6000,6000,6000,6000,,1,20,120000
2011-03-10,6000,6000,6000,6000,,3,60,360000
2011-03-14,6000,6000,6000,6000,,1,10,60000
2011-03-15,6000,6000,6000,6000,,1,10,60000
2011-03-28,5880,5880,5880,6000,-120,2,120,705600
2011-03-29,5763,5763,5763,5880,-117,2,60,345780
2011-04-04,5648,5648,5648,5763,-115,1,100,564800
2011-04-05,5550,5550,5550,5648,-98,1,100,555000
2011-04-18,5500,5500,5500,5550,-50,1,10,55000
2011-04-19,5610,5610,5610,5500,110,1,30,168300
2011-05-16,5500,5500,5500,5610,-110,1,30,165000
2011-05-31,5390,5390,5390,5500,-110,1,60,323400
2011-06-05,5283,5283,5283,5390,-107,1,50,264150
2011-06-08,5178,5178,5178,5283,-105,1,50,258900
2011-06-09,5075,4974,4974,5178,-204,2,150,756200
2011-06-14,4875,4875,4875,4974,-99,2,20,97500
2011-06-15,5000,4972,5000,4875,125,3,40,199440
2011-06-16,5073,5073,5073,5000,73,1,20,101460
2011-06-20,5174,5174,5174,5073,101,2,40,206960
2011-07-03,5270,5270,5270,5174,96,1,30,158100
2011-07-04,5575,5075,5075,5270,-195,4,620,3386650
2011-07-05,4974,4974,4974,5075,-101,1,50,248700
2011-07-06,4876,4876,4876,4974,-98,3,70,341320
2011-07-07,4781,4781,4781,4876,-95,1,10,47810
2011-09-07,5072,4876,5072,4781,291,3,30,149210
2011-09-08,5276,5173,5276,5072,204,2,30,156220
2011-09-19,5171,5171,5171,5276,-105,1,30,155130
2011-11-13,5688,5274,5688,5171,517,5,50,274220
2011-11-20,5801,5801,5801,5688,113,1,10,58010
2011-11-22,5917,5917,5917,5801,116,1,10,59170
2011-12-13,6035,6035,6035,5917,118,1,10,60350
2011-12-27,6150,6100,6150,6035,115,2,20,122500
2011-12-29,6273,6273,6273,6150,123,1,10,62730
2012-01-03,6150,6150,6150,6273,-123,1,10,61500
2012-01-04,6273,6273,6273,6150,123,1,100,627300
2012-01-05,6148,6148,6148,6273,-125,1,10,61480
2012-01-12,6269,6148,6269,6148,121,3,30,185670
2012-02-08,6144,5669,5669,6269,-600,9,150,899850
2012-02-12,5712,5600,5712,5669,43,2,20,113120
2012-02-13,5600,5488,5488,5712,-224,2,60,334880
2012-02-14,5379,5379,5379,5488,-109,1,10,53790
2012-02-26,5916,5486,5916,5379,537,7,130,728930
2012-02-28,6120,6000,6119,5916,203,3,30,182390
2012-02-29,6119,6119,6119,6119,,2,20,122380
2012-03-01,6114,6114,6114,6119,-5,1,10,61140
2012-03-04,6100,6100,6100,6114,-14,1,10,61000
2012-03-11,6100,6100,6100,6100,,1,30,183000
2012-03-12,6100,6100,6100,6100,,1,20,122000
2012-03-19,6300,5978,6300,6100,200,5,70,426280
2012-03-26,6174,6030,6032,6300,-268,5,360,2172510
2012-04-02,6032,6032,6032,6032,,2,40,241280
2012-04-03,6150,6150,6150,6032,118,1,10,61500
2012-04-05,6050,6050,6050,6150,-100,2,60,363000
2012-04-08,6100,6100,6100,6050,50,1,10,61000
2012-04-19,6222,6222,6222,6100,122,1,10,62220
2012-04-29,6310,6310,6310,6222,88,1,10,63100
2012-05-17,6436,6436,6436,6310,126,1,10,64360
2012-05-23,6308,6308,6308,6436,-128,3,50,315400
2012-05-27,6434,6434,6434,6308,126,1,10,64340
2012-05-29,6306,6210,6306,6434,-128,6,120,754080
2012-06-05,6300,6300,6300,6306,-6,2,20,126000
2012-06-12,6300,6300,6300,6300,,1,10,63000
2012-06-13,6300,6300,6300,6300,,1,20,126000
2012-06-25,6300,6300,6300,6300,,1,40,252000
2012-07-03,6300,6300,6300,6300,,1,20,126000
2012-07-16,6426,6426,6426,6300,126,1,10,64260
2012-07-17,6685,6554,6685,6426,259,2,20,132390
2012-07-24,6600,6600,6600,6685,-85,1,30,198000
2012-08-06,6733,6732,6733,6600,133,2,120,807940
2012-08-07,6810,6810,6810,6733,77,1,10,68100
2012-08-13,7084,6946,7084,6810,274,2,20,140300
2012-08-16,7369,7225,7369,7084,285,2,20,145940
2012-08-19,7500,7500,7500,7369,131,1,10,75000
2012-08-23,7650,7650,7650,7500,150,1,180,1377000
2012-08-27,7854,7700,7854,7650,204,2,30,232540
2012-09-03,7995,7995,7995,7854,141,1,10,79950
2012-09-04,8200,8154,8200,7995,205,2,20,163540
2012-09-09,8280,8200,8280,8200,80,2,20,164800
2012-09-10,8150,8150,8150,8280,-130,2,130,1059500
2012-09-16,7987,7828,7828,8150,-322,2,20,158150
2012-09-18,7672,7672,7672,7828,-156,1,10,76720
2012-09-20,7519,7519,7519,7672,-153,1,10,75190
2012-10-02,7500,7369,7500,7519,-19,2,20,148690
2012-10-10,7350,7350,7350,7500,-150,1,30,220500
2012-11-25,7497,7497,7497,7350,147,1,20,149940
2012-12-03,7646,7646,7646,7497,149,1,10,76460
2012-12-06,8112,7798,8112,7646,466,3,30,238630
2012-12-18,8923,8274,8923,8112,811,6,70,608680
2012-12-19,9815,9101,9815,8923,892,10,160,1544370
2012-12-20,10080,9500,10080,9815,265,4,40,391530
2012-12-23,9879,9682,9682,10080,-398,2,20,195610
2012-12-27,9685,9650,9685,9682,3,3,30,289850
2013-01-07,10100,9700,10100,9685,415,7,110,1093750
2013-01-15,10100,10100,10100,10100,,1,10,101000
2013-01-20,10000,10000,10000,10100,-100,1,30,300000
2013-01-22,9800,9800,9800,10000,-200,1,100,980000
2013-01-24,9996,9996,9996,9800,196,1,10,99960
2013-01-30,9850,9797,9800,9996,-196,5,70,687970
2013-02-03,9900,9900,9900,9800,100,2,1020,10098000
2013-02-04,9702,9702,9702,9900,-198,1,30,291060
2013-02-06,9750,9700,9750,9702,48,3,150,1459500
2013-02-10,9945,9945,9945,9750,195,1,20,198900
2013-02-12,10345,10143,10345,9945,400,3,60,616210
2013-02-13,10400,10400,10400,10345,55,1,10,104000
2013-02-20,10192,10100,10100,10400,-300,3,70,707920
2013-02-24,10099,9900,9900,10100,-200,2,20,199990
2013-02-25,9898,9898,9898,9900,-2,1,10,98980
2013-03-03,9750,9750,9750,9898,-148,1,10,97500
2013-03-24,9486,9486,9486,9300,186,1,20,189720
2013-03-28,9298,9298,9298,9486,-188,1,30,278940
2013-04-16,9483,9483,9483,9298,185,1,10,94830
2013-04-21,9672,9600,9672,9483,189,2,40,386160
2013-05-02,9672,9672,9672,9672,,1,10,96720
2013-05-14,9865,9700,9865,9672,193,2,20,195650
2013-05-16,9800,9800,9800,9865,-65,1,100,980000
2013-05-19,10100,9996,10100,9800,300,4,290,2920880
2013-05-27,9898,9898,9898,10100,-202,1,30,296940
2013-05-30,9792,9792,9792,9898,-106,1,10,97920
2013-06-03,9986,9986,9986,9792,194,1,50,499300
2013-06-04,10000,9987,10000,9986,14,2,20,199870
2013-06-06,10000,10000,10000,10000,,1,10,100000
2013-06-16,10000,10000,10000,10000,,5,150,1500000
2013-06-18,10000,10000,10000,10000,,4,120,1200000
2013-06-20,10000,10000,10000,10000,,2,60,600000
2013-06-23,10000,10000,10000,10000,,2,30,300000
2013-06-24,10000,10000,10000,10000,,1,20,200000
2013-06-27,10000,10000,10000,10000,,5,120,1200000
2013-07-02,10000,10000,10000,10000,,3,40,400000
2013-07-04,9998,9998,9998,10000,-2,1,30,299940
2013-07-07,10000,10000,10000,9998,2,1,20,200000
2013-07-10,10000,10000,10000,10000,,1,20,200000
2013-07-11,9900,9800,9800,10000,-200,7,790,7792000
2013-07-21,9905,9905,9905,9800,105,1,20,198100
2013-07-25,9905,9900,9900,9905,-5,2,60,594150
2013-08-12,10098,10098,10098,9900,198,1,10,100980
2013-08-19,10250,10046,10046,10098,-52,6,280,2833280
2013-08-20,10046,10046,10046,10046,,2,100,1004600
2013-08-29,10200,10200,10200,10046,154,1,10,102000
2013-09-01,10000,10000,10000,10200,-200,2,30,300000
2013-09-02,10000,10000,10000,10000,,1,20,200000
2013-09-09,10000,10000,10000,10000,,1,20,200000
2013-09-23,9800,9800,9800,10000,-200,1,10,98000
2013-09-25,9800,9800,9800,9800,,1,10,98000
2013-10-01,9800,9800,9800,9800,,1,30,294000
2013-10-03,9996,9996,9996,9800,196,1,10,99960
2013-10-07,9996,9996,9996,9996,,1,30,299880
2013-10-10,9999,9999,9999,9996,3,2,40,399960
2013-10-17,9999,9999,9999,9999,,1,10,99990
2013-10-20,10000,10000,10000,9999,1,1,10,100000
2013-10-21,10000,10000,10000,10000,,1,20,200000
2013-10-22,10251,10050,10251,10000,251,2,40,406020
2013-10-24,10456,10456,10456,10251,205,1,10,104560
2013-10-28,10456,10456,10456,10456,,1,30,313680
2013-10-29,10650,10650,10650,10456,194,2,70,745500
2013-11-06,10500,10500,10500,10650,-150,1,50,525000
2013-12-10,10500,10500,10500,10500,,2,60,630000
2013-12-11,10500,10500,10500,10500,,1,10,105000
2013-12-12,10290,10290,10290,10500,-210,1,30,308700
2013-12-26,10495,10495,10495,10290,205,1,10,104950
2014-01-13,10286,10286,10286,10495,-209,1,30,308580
2014-01-16,10300,10300,10300,10286,14,1,30,309000
2014-01-20,10506,10506,10506,10300,206,1,10,105060
2014-01-21,10500,10500,10500,10506,-6,1,20,210000
2014-01-22,10710,10500,10710,10500,210,2,750,7885500
2014-02-17,10525,10525,10525,10710,-185,1,150,1578750
2014-04-07,11000,10500,11000,10525,475,8,180,1949100
2014-04-09,11100,11100,11100,11000,100,1,10,111000
2014-04-10,11097,10880,11097,11100,-3,2,310,3437900
2014-04-15,11318,11100,11318,11097,221,2,50,559360
2014-04-17,11400,11395,11400,11318,82,3,330,3761750
2014-04-20,11400,11201,11400,11400,,2,20,226010
2014-04-22,11730,11500,11730,11400,330,3,200,2323000
2014-04-23,12903,11964,12903,11730,1173,6,140,1770110
2014-04-27,13161,13161,13161,12903,258,1,10,131610
2014-04-28,13161,13161,13161,13161,,1,10,131610
2014-04-29,13000,13000,13000,13161,-161,1,10,130000
2014-04-30,13525,13255,13300,13000,300,4,60,799000
2014-05-04,13300,13000,13300,13300,,4,1040,13532250
2014-05-06,13034,13000,13000,13300,-300,3,1000,13001020
2014-05-07,14070,13260,14070,13000,1070,7,590,8229300
2014-05-11,14877,14200,14877,14070,807,5,70,1015400
2014-05-12,14871,14550,14871,14877,-6,6,200,2920610
2014-05-13,14800,14800,14800,14871,-71,1,100,1480000
2014-05-18,14504,14504,14504,14800,-296,1,40,580160
2014-05-19,14214,14214,14214,14504,-290,1,400,5685600
2014-05-21,13930,13930,13930,14214,-284,1,30,417900
2014-05-22,13652,13652,13652,13930,-278,1,20,273040
2014-05-25,14487,13925,14400,13652,748,5,180,2566150
2014-05-26,14394,14112,14394,14400,-6,3,100,1414020
2014-05-27,14667,14107,14667,14394,273,3,50,713680
2014-05-28,15400,15400,15400,14667,733,1,10,154000
2014-06-01,15300,15000,15000,15400,-400,2,30,456000
2014-06-05,15000,14700,14800,15000,-200,3,50,739000
2014-06-15,14504,14500,14500,14800,-300,4,1160,16820040
2014-06-17,14550,14550,,14500,50,1,10,145500
2014-06-18,14841,14841,14550,14550,291,1,10,148410
2014-06-24,14550,14550,14550,14841,-291,1,10,145500
2014-06-26,14550,14550,14550,14550,,1,10,145500
2014-07-01,14551,14551,14551,14550,1,1,10,145510
2014-07-14,14840,14840,14840,14551,289,3,90,1335600
2014-07-15,14550,14550,14550,14840,-290,1,10,145500
2014-07-16,14301,14301,14301,14550,-249,1,30,429030
2014-07-20,14587,14587,14587,14301,286,1,30,437610
2014-07-21,15175,14878,15175,14587,588,2,40,601060
2014-07-22,15175,15175,15175,15175,,1,30,455250
2014-07-28,14872,14872,14872,15175,-303,1,50,743600
2014-07-30,14602,14602,14602,14872,-270,1,50,730100
2014-07-31,14310,14310,14310,14602,-292,1,50,715500
2014-08-03,14310,14310,14310,14310,,1,30,429300
2014-08-04,14596,14596,14596,14310,286,1,30,437880
2014-08-13,15184,14887,15184,14596,588,2,20,300710
2014-08-25,15200,15200,15200,15184,16,1,20,304000
2014-08-26,14897,14500,14500,15200,-700,3,1000,14506970
2014-08-27,15225,14921,14921,14500,421,2,40,599880
2014-09-01,14630,14630,14630,14921,-291,2,110,1609300
2014-09-04,15361,15361,15361,14630,731,1,10,153610
2014-09-10,15054,15054,15054,15361,-307,1,10,150540
2014-09-11,14800,14800,14800,15054,-254,1,200,2960000
2014-09-15,14504,14504,14504,14800,-296,1,20,290080
2014-09-30,15229,14925,15000,14504,496,3,70,1051540
2014-10-13,15000,14900,15000,15000,,5,170,2547000
2014-10-15,15100,15100,15100,15000,100,1,30,453000
2014-10-16,15150,15003,15003,15100,-97,2,60,904590
2014-10-21,15100,15100,15100,15003,97,1,20,302000
2014-10-26,15200,15200,15200,15100,100,1,50,760000
2014-10-27,15300,15300,15300,15200,100,1,50,765000
2014-10-30,16065,16065,16065,15300,765,1,10,160650
2014-11-02,15744,15430,15430,16065,-635,2,20,311740
2014-11-05,15123,15123,15123,15430,-307,1,50,756150
2014-11-06,15500,15100,15500,15123,377,11,780,12077020
2014-11-11,15700,15550,15700,15500,200,2,150,2340000
2014-11-17,15700,15400,15400,15700,-300,2,230,3551000
2014-11-25,15400,15400,15400,15400,,1,30,462000
2014-12-01,15400,15400,15400,15400,,1,10,154000
2014-12-02,15600,15600,15600,15400,200,3,1110,17316000
2014-12-04,15500,15500,15500,15600,-100,3,30,465000
2014-12-23,15190,15150,15150,15500,-350,2,140,2122200
2015-01-08,15150,15150,15150,15150,,1,30,454500
2015-01-12,15700,15450,15700,15150,550,4,130,2011000
2015-01-22,16015,15701,16015,15700,315,2,20,317160
2015-01-25,16015,16015,16015,16015,,1,10,160150
2015-02-11,16300,16300,16300,16015,285,1,30,489000
2015-02-12,16600,16600,16600,16300,300,1,100,1660000
2015-02-22,16930,16930,16930,16600,330,1,30,507900
2015-02-23,17100,17100,17100,16930,170,1,30,513000
2015-02-25,17200,17200,17200,17100,100,1,30,516000
2015-03-22,17400,17400,17400,17200,200,1,50,870000
2015-03-25,17300,17300,17300,17400,-100,1,30,519000
2015-03-30,17646,17646,17646,17300,346,1,10,176460
2015-04-08,17998,17700,17998,17646,352,2,60,1064980
2015-04-12,18300,18300,18300,17998,302,1,20,366000
2015-04-16,18666,18301,18303,18300,3,6,110,2029450
2015-05-25,17937,17937,17937,18303,-366,1,980,17578260
2015-05-31,18295,18295,18295,17937,358,1,10,182950
2015-06-08,19413,18660,19413,18295,1118,3,30,571060
2015-06-09,19801,19500,19500,19413,87,4,170,3324100
2015-06-11,19110,19110,19110,19500,-390,1,10,191100
2015-06-14,19492,19490,19492,19110,382,2,20,389820
2015-06-15,19880,19880,19880,19492,388,1,10,198800
2015-06-21,19880,19880,19880,19880,,1,50,994000
2015-06-28,19880,19880,19880,19880,,1,30,596400
2015-06-30,19880,19880,19880,19880,,1,50,994000
2015-07-01,20200,20000,20200,19880,320,3,150,3009970
2015-07-05,20000,20000,20000,20200,-200,1,10,200000
2015-07-06,20000,20000,20000,20000,,2,330,6600000
2015-07-07,20280,20026,20280,20000,280,2,80,1614780
2015-07-08,20300,20300,20300,20280,20,1,10,203000
2015-07-12,20604,19895,20604,20300,304,3,120,2409740
2015-07-14,21436,21016,21436,20604,832,3,30,638870
2015-07-15,22000,21500,22000,21436,564,14,350,7593450
2015-07-16,21561,21561,21561,22000,-439,1,100,2156100
2015-08-03,21400,21400,21400,21561,-161,1,100,2140000
2015-08-09,21992,21400,21992,21400,592,4,350,7504480
2015-08-12,22431,22431,22431,21992,439,1,10,224310
2015-08-13,23700,22879,23700,22431,1269,4,40,927940
2015-08-17,25000,24174,25000,23700,1300,4,40,988310
2015-08-18,25000,25000,25000,25000,,1,100,2500000
2015-08-19,25500,25500,25500,25000,500,1,20,510000
2015-08-20,26010,26010,26010,25500,510,1,10,260100
2015-08-27,28153,26530,28153,26010,2143,4,40,1093440
2015-09-01,28700,28700,28700,28153,547,1,10,287000
2015-09-02,30000,29274,30000,28700,1300,4,40,1191330
2015-09-03,30000,30000,30000,30000,,4,110,3300000
