date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,386,368,375,378,-3,373,71332,26942474.5
2022-02-21,385,373.2,379,375,4,273,49526,18736855
2022-02-22,386.9,377,378.5,379,-0.5,313,48439,18525003.3
2022-02-23,393,379,386,378.5,7.5,417,81360,31530749.6
2022-02-24,393.7,360,364,386,-22,496,95968,35595662.5
2019-03-24,300,270,270,300,-30,12,230,65860
2019-03-25,257,243,243,270,-27,6,210,52220
2019-03-26,231,219,219,243,-24,9,320,72920
2019-03-27,209,198,198,219,-21,6,90,18030
2019-03-28,189,179,179,198,-19,8,190,34860
2019-03-31,171,162,162,179,-17,7,220,37200
2019-04-01,154,146,146,162,-16,6,90,13290
2019-04-02,139,132,132,146,-14,7,160,21350
2019-04-03,126,119,119,132,-13,8,450,53980
2019-04-04,114,108,108,119,-11,9,1250,135120
2019-04-07,103,98,98,108,-10,334,23430,2299450
2019-04-08,99,93,94,98,-4,478,35689,3372116
2019-04-09,96,92,94,94,,245,17210,1618875
2019-04-10,94,92,94,94,,144,11020,1023710
2019-04-11,96,92,94,94,,127,9145,858515
2019-04-15,94,90,93,94,-1,129,7510,687220
2019-04-16,93,89,90,93,-3,208,12540,1140460
2019-04-17,95,89,95,90,5,174,13800,1247440
2019-04-18,94,90,91,95,-4,57,5200,475890
2019-04-21,92,90,91,91,,111,10085,913870
2019-04-22,92,90,91,91,,79,12050,1092580
2019-04-23,92,90,91,91,,91,7340,663800
2019-04-24,91,88,90,91,-1,104,8950,798890
2019-04-25,94,88,94,90,4,94,12520,1120280
2019-04-28,99,89,96,94,2,130,15999,1484927
2019-04-29,100,91,100,96,4,99,7090,651760
2019-04-30,99,90,98,100,-2,87,8370,779220
2019-05-02,102,91,102,98,4,222,33909,3312020
2019-05-05,98,94,96,102,-6,65,9080,860675
2019-05-06,97,92,93,96,-3,77,6441,608530
2019-05-07,99,92,95,93,2,81,8170,766740
2019-05-08,97,93,94,95,-1,53,7055,670175
2019-05-09,95,92,94,94,,52,3590,336210
2019-05-12,94,91,91,94,-3,66,6670,614090
2019-05-13,97,90,95,91,4,82,11075,1049975
2019-05-14,95,93,95,95,,47,3995,373395
2019-05-15,96,92,94,95,-1,68,5330,503010
2019-05-16,95,92,93,94,-1,86,5720,534930
2019-05-19,95,92,93,93,,95,7340,685125
2019-05-20,95,92,92,93,-1,78,7530,700890
2019-05-21,97,91,95,92,3,101,14515,1368205
2019-05-22,102,96,100,95,5,253,51310,5040190
2019-05-23,102,94,96,100,-4,138,20010,1941570
2019-05-26,96,94,96,96,,89,6955,659760
2019-05-27,96,94,94,96,-2,73,3692,350186
2019-05-28,97,93,97,94,3,105,27835,2621220
2019-05-29,100,94,96,97,-1,55,4730,452960
2019-05-30,100,94,95,96,-1,60,6166,588955
2019-06-02,100,93,100,95,5,190,38605,3760801
2019-06-03,101,96,97,100,-3,84,17130,1675630
2019-06-04,98,93,95,97,-2,56,4686,440668
2019-06-06,98,93,98,95,3,61,3015,282430
2019-06-10,96,92,92,98,-6,64,16384,1517326
2019-06-11,95,91,92,92,,112,17080,1579290
2019-06-12,93,91,92,92,,46,4300,396100
2019-06-13,94,91,93,92,1,24,3770,352780
2019-06-16,93,91,92,93,-1,64,5430,498060
2019-06-17,94,91,92,92,,53,10220,942470
2019-06-18,96,91,91,92,-1,40,3000,276050
2019-06-19,93,91,91,91,,44,3870,354890
2019-06-20,92,91,92,91,1,33,2170,198370
2019-06-23,93,91,92,92,,47,3525,324395
2019-06-24,93,91,92,92,,32,4100,376250
2019-06-25,93,91,92,92,,33,3880,357810
2019-06-26,92,91,91,92,-1,51,2850,260900
2019-06-27,92,91,92,91,1,41,3710,339060
2019-06-30,92,90,91,92,-1,35,3440,314730
2019-07-01,91,90,90,91,-1,49,8060,726510
2019-07-02,92,90,92,90,2,37,5119,463760
2019-07-03,94,93,93,92,1,3,150,14000
2019-07-04,93,90,91,93,-2,44,11310,1024650
2019-07-07,91,89,90,91,-1,41,2810,253450
2019-07-08,91,89,91,90,1,42,4040,363030
2019-07-09,91,89,90,91,-1,56,6610,594410
2019-07-10,91,89,90,90,,45,3910,351590
2019-07-11,90,89,89,90,-1,48,4590,411260
2019-07-14,90,88,90,89,1,48,3770,335960
2019-07-15,90,89,89,90,-1,37,3830,341350
2019-07-16,93,89,89,89,,9,280,25090
2019-07-17,92,89,91,89,2,44,6420,579600
2019-07-18,91,89,89,91,-2,15,1750,156450
2019-07-21,90,88,88,89,-1,18,3060,270310
2019-07-22,90,88,89,88,1,24,2170,193580
2019-07-23,90,88,89,89,,45,4400,392000
2019-07-24,90,88,89,89,,31,4180,371330
2019-07-25,89,87,87,89,-2,37,6385,562530
2019-07-28,91,87,91,87,4,29,2660,233530
2019-07-29,90,87,88,91,-3,27,2995,264000
2019-07-30,89,87,88,88,,15,1840,161770
2019-07-31,89,87,89,88,1,32,4660,408800
2019-08-01,88,86,87,89,-2,52,13890,1210440
2019-08-04,88,86,86,87,-1,36,4717,410379
2019-08-05,88,86,88,86,2,43,3940,343690
2019-08-06,89,86,87,88,-1,25,3680,319100
2019-08-07,88,86,88,87,1,44,2890,250720
2019-08-08,87,86,86,88,-2,24,1470,126620
2019-08-11,89,85,88,86,2,66,4780,410910
2019-08-12,87,85,86,88,-2,56,3910,335860
2019-08-13,86,84,85,86,-1,51,3490,297930
2019-08-14,86,84,85,85,,32,1670,141960
2019-08-15,85,83,83,85,-2,70,8310,691011
2019-08-18,83,81,82,83,-1,71,10130,832670
2019-08-19,84,80,84,82,2,48,3304,269310
2019-08-20,84,80,82,84,-2,32,2080,169685
2019-08-21,82,79,82,82,,36,3190,257800
2019-08-22,83,79,83,82,1,19,1050,85630
2019-08-25,82,79,79,83,-4,30,1370,110610
2019-08-26,80,77,77,79,-2,46,4730,369880
2019-08-27,80,77,78,77,1,20,1190,93520
2019-08-28,79,77,78,78,,26,1920,150060
2019-08-29,79,77,77,78,-1,28,2260,176250
2019-09-01,78,76,76,77,-1,30,2790,213720
2019-09-02,78,74,74,76,-2,34,3592,269650
2019-09-03,81,75,81,74,7,69,11510,900460
2019-09-04,88,82,84,81,3,95,12777,1083041
2019-09-05,86,82,85,84,1,29,1750,147050
2019-09-08,84,78,78,85,-7,37,2830,222290
2019-09-09,81,77,80,78,2,25,1650,130930
2019-09-10,79,77,77,80,-3,20,1500,116820
2019-09-11,79,76,77,77,,33,2270,175740
2019-09-12,77,75,76,77,-1,25,4240,321600
2019-09-15,76,75,75,76,-1,32,3390,255390
2019-09-16,76,74,76,75,1,35,2220,165020
2019-09-17,78,75,76,76,,23,69370,5813196
2019-09-18,79,75,79,76,3,22,960,74270
2019-09-19,82,78,78,79,-1,26,2340,185290
2019-09-22,81,77,80,78,2,55,12296,978273
2019-09-23,81,78,78,80,-2,14,720,56990
2019-09-24,80,78,79,78,1,25,4542,360860
2019-09-25,79,77,77,79,-2,16,1320,102660
2019-09-26,79,77,78,77,1,46,2820,218815
2019-09-29,79,77,77,78,-1,34,2035,157350
2019-09-30,78,76,77,77,,19,790,60790
2019-10-01,79,76,79,77,2,13,690,53130
2019-10-02,80,78,79,79,,9,410,32440
2019-10-03,80,79,80,79,1,13,2060,164700
2019-10-14,80,78,78,80,-2,6,450,35550
2019-10-15,78,78,78,78,,9,1410,109980
2019-10-16,81,77,80,78,2,17,2760,220650
2019-10-17,80,78,78,80,-2,11,1220,95660
2019-10-21,79,76,78,78,,10,1500,115750
2019-10-22,78,76,77,78,-1,14,1700,131700
2019-10-23,78,77,78,77,1,16,1730,133790
2019-10-24,79,76,76,78,-2,36,3510,271870
2019-10-31,77,74,75,76,-1,17,2470,186500
2019-11-03,76,74,74,75,-1,27,1870,139830
2019-11-04,75,73,74,74,,16,705,52200
2019-11-05,75,73,75,74,1,23,3110,229050
2019-11-06,76,73,73,75,-2,19,1530,113040
2019-11-07,74,72,72,73,-1,15,1560,113470
2019-11-10,73,71,71,72,-1,28,2503,180526
