date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,657,625,640,652,-12,991,133964,86429333
2022-02-21,652,640,650,640,10,515,59236,38345090.4
2022-02-22,660,646,649,650,-1,716,93051,60880264.5
2022-02-23,660,645,651,649,2,604,73242,47813046.8
2022-02-24,650.7,630,635,651,-16,987,136037,86912324.7
2019-01-13,224,224,224,224,,1193,51875,11620000
2019-01-14,235,235,235,224,11,2,40,9400
2019-01-15,258,235,258,235,23,87,3685,949980
2019-01-16,283,258,283,258,25,87,3690,1044030
2019-01-17,311,283,311,283,28,1250,57490,17879130
2019-01-20,342,280,292,311,-19,13485,771098,246529674
2019-01-21,292,263,263,292,-29,7801,403800,109118418
2019-01-22,266,237,260,263,-3,3691,217311,54768950
2019-01-23,286,255,278,260,18,1996,138867,37722402
2019-01-24,285,270,274,278,-4,1904,122167,33758245
2019-01-27,279,261,267,274,-7,1943,121117,32463556
2019-01-28,270,266,267,267,,1223,64493,17282256
2019-01-29,267,258,260,267,-7,1287,95372,24964966
2019-01-30,260,256,256,260,-4,1091,53226,13679435
2019-01-31,260,253,258,256,2,1124,57691,14843925
2019-02-03,258,251,253,258,-5,1377,99156,25089666
2019-02-04,253,245,246,253,-7,1379,95240,23533289
2019-02-05,248,240,243,246,-3,1049,104687,25502668
2019-02-06,243,237,238,243,-5,1277,67848,16240286
2019-02-07,238,233,238,238,,891,59830,14111779
2019-02-10,238,229,231,238,-7,1026,59960,13938900
2019-02-11,237,227,232,231,1,917,61013,14065694
2019-02-12,232,230,231,232,-1,732,38083,8790743
2019-02-13,232,229,230,231,-1,728,41724,9613300
2019-02-14,230,224,228,230,-2,1103,69628,15711303
2019-02-17,231,225,226,228,-2,847,45386,10294478
2019-02-18,226,220,221,226,-5,715,51862,11492149
2019-02-19,232,219,232,221,11,782,57539,12793830
2019-02-20,233,223,224,232,-8,606,41490,9350595
2019-02-21,228,222,225,224,1,529,32296,7227554
2019-02-24,226,220,222,225,-3,694,46222,10237995
2019-02-25,226,220,224,222,2,419,35508,7886542
2019-02-26,225,221,223,224,-1,434,34122,7597841
2019-02-27,228,223,224,223,1,411,26480,5959027
2019-03-03,225,222,222,224,-2,504,40964,9164105
2019-03-05,225,221,224,222,2,502,34553,7707213
2019-03-06,226,222,226,224,2,499,25338,5677765
2019-03-07,231,225,230,226,4,639,47328,10764538
2019-03-10,234,226,230,230,,267,42655,9731194
2019-03-11,238,228,235,230,5,716,73683,17159955
2019-03-12,246,234,244,235,9,569,97693,23442152
2019-03-13,248,237,240,244,-4,667,76430,18493922
2019-03-14,241,235,240,240,,436,57279,13663320
2019-03-17,246,240,245,240,5,526,59409,14506943
2019-03-18,248,242,242,245,-3,374,36699,8996703
2019-03-19,245,241,242,242,,259,19638,4771501
2019-03-21,245,238,240,242,-2,346,38970,9365431
2019-03-24,242,235,239,240,-1,575,41392,9872309
2019-03-25,241,236,240,239,1,499,35260,8436025
2019-03-26,241,237,241,240,1,505,31029,7417514
2019-03-27,241,236,240,241,-1,379,27337,6529071
2019-03-28,241,238,240,240,,377,24176,5779898
2019-03-31,241,237,239,240,-1,579,38545,9214296
2019-04-01,239,236,238,239,-1,504,35591,8455362
2019-04-02,240,237,237,238,-1,441,30721,7314227
2019-04-03,240,235,235,237,-2,517,41796,9900650
2019-04-04,238,235,237,235,2,641,45323,10707286
2019-04-07,237,234,235,237,-2,509,43463,10225687
2019-04-08,237,232,235,235,,453,43356,10163898
2019-04-09,236,232,233,235,-2,283,19124,4479488
2019-04-10,235,231,232,233,-1,625,40755,9458750
2019-04-11,233,230,232,232,,600,53054,12281389
2019-04-15,233,226,230,232,-2,432,31609,7254128
2019-04-16,234,228,230,230,,378,31491,7241007
