date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1282,1267,1267,1305,-38,14,564,721915
2022-02-21,1280,1255,1261.3,1267,-5.7,15,483,613035.3
2022-02-22,1300,1260,1280.1,1261.3,18.8,11,304,390450
2022-02-23,1295.4,1270,1272,1280.1,-8.1,12,220,281431
2022-02-24,1260,1241,1260,1272,-12,26,820,1025872.1
2015-11-09,312,312,312,,312,1,10,3120
2015-11-10,343,318,343,312,31,14,168,56974
2015-11-29,376,349,376,343,33,5,50,18110
2015-11-30,383,383,383,376,7,1,10,3830
2015-12-01,404,390,404,383,21,3,30,11910
2015-12-02,420,412,420,404,16,2,20,8320
2015-12-03,436,428,436,420,16,2,28,12128
2015-12-07,479,444,479,436,43,5,76,35397
2015-12-08,526,502,526,479,47,29,319,167374
2015-12-09,578,536,578,526,52,13,130,74070
2015-12-10,635,589,635,578,57,5,92,56723
2015-12-13,698,647,698,635,63,5,50,33610
2015-12-14,767,711,767,698,69,6,85,62913
2015-12-15,843,782,843,767,76,38,648,544734
2015-12-16,927,859,927,843,84,296,4082,3758702
2015-12-17,1019,945,1019,927,92,730,11089,11244886
2015-12-20,1044,967,980,1019,-39,1156,16297,16358504
2015-12-21,985,900,951,980,-29,620,7937,7457761
2015-12-22,1020,953,1020,951,69,511,6941,6883939
2015-12-23,1075,1000,1050,1020,30,571,9042,9389896
2015-12-24,1155,1029,1155,1050,105,473,7798,8682538
2015-12-27,1178,1110,1161,1155,6,315,8188,9417372
2015-12-28,1175,1141,1153,1161,-8,363,7129,8220929
2015-12-29,1170,1108,1170,1153,17,469,7982,9238237
2015-12-31,1203,1084,1200,1170,30,298,5459,6434808
2016-01-03,1225,1180,1225,1200,25,325,6898,8332539
2016-01-04,1235,1172,1195,1225,-30,162,3188,3853176
2016-01-05,1200,1170,1184,1195,-11,314,4100,4824598
2016-01-06,1190,1105,1136,1184,-48,289,3875,4451058
2016-01-07,1155,1120,1136,1136,,128,1902,2159761
2016-01-10,1175,1130,1175,1136,39,277,6088,7061038
2016-01-11,1175,1130,1161,1175,-14,338,5645,6537069
