date,max,min,close,prevclose,diff,numtrans,tradedshares,amount
2022-02-20,1564,1501.4,1519,1564,-45,52,1192,1817057.6
2022-02-21,1520,1490,1500,1519,-19,52,1491,2232840.8
2022-02-22,1530,1500,1501,1500,1,44,741,1121410
2022-02-23,1500,1460,1489,1501,-12,52,1426,2101002
2022-02-24,1490,1435,1440,1489,-49,56,2207,3205527
2018-06-14,,,,,,2,10,3100
2018-06-20,312,312,312,,312,1,10,3120
2018-06-24,,,,312,,1,338,473200
2018-06-25,327,327,327,312,15,1,10,3270
2018-06-27,343,343,343,327,16,1,10,3430
2018-07-25,360,360,360,343,17,5,40,14470
2018-07-30,381,367,381,360,21,3,30,11220
2018-08-02,388,388,388,381,7,1,10,3880
2018-08-23,402,395,402,388,14,2,20,7970
2018-08-30,422,422,422,402,20,1,10,4220
2018-09-03,430,430,430,422,8,1,10,4300
2018-09-13,472,438,472,430,42,5,50,22730
2018-09-16,481,481,481,472,9,1,10,4810
2018-10-03,490,490,490,481,9,1,10,4900
2018-10-08,499,499,499,490,9,1,10,4990
2018-10-09,533,523,533,499,34,2,20,10560
2018-10-10,543,543,543,533,10,1,10,5430
2018-10-11,564,553,564,543,21,2,20,11170
2018-10-14,597,575,597,564,33,3,30,17580
2018-10-15,608,608,608,597,11,1,10,6080
2018-10-22,632,620,632,608,24,2,20,12520
2018-10-24,656,644,656,632,24,2,110,70960
2018-10-28,695,669,695,656,39,3,30,20460
2018-10-29,708,708,708,695,13,1,10,7080
2018-10-30,778,722,778,708,70,5,50,37510
2018-10-31,855,793,855,778,77,146,2410,2059000
2018-11-01,889,786,790,855,-65,505,6470,5233640
2018-11-04,775,733,756,790,-34,109,1107,839452
2018-11-05,775,744,756,756,,56,740,562370
2018-11-06,760,756,756,756,,3,30,22720
2018-11-11,756,715,721,756,-37,35,360,260720
2018-11-12,721,690,691,721,-30,63,830,580940
2018-11-13,714,679,701,691,10,50,570,398690
2018-11-14,729,696,714,701,13,69,830,586360
2018-11-15,714,696,701,714,-13,28,280,197290
2018-11-18,708,696,696,701,-5,26,476,332196
2018-11-19,696,670,671,696,-25,48,1034,701752
2018-11-20,671,659,660,671,-11,41,450,297660
2018-11-21,660,650,651,660,-9,28,290,189570
2018-11-22,655,631,638,651,-13,68,700,447150
2018-11-25,638,615,619,638,-19,32,410,256900
2018-11-26,619,584,584,619,-35,36,360,218290
2018-11-27,584,565,565,584,-19,26,260,149350
2018-11-28,576,540,540,565,-25,35,440,244550
2018-11-29,541,511,541,540,1,22,220,115590
2018-12-02,541,520,530,541,-11,16,180,95520
2018-12-03,540,521,540,530,10,13,130,68980
2018-12-04,540,530,530,540,-10,5,90,48200
2018-12-05,539,526,526,530,-4,22,360,191940
2018-12-06,545,526,535,526,9,7,210,112850
2018-12-09,535,520,530,535,-5,5,50,26400
2018-12-10,561,530,561,530,31,5,67,36800
2018-12-11,561,510,530,561,-31,7,70,36700
2018-12-12,540,520,525,530,-5,4,40,21150
2018-12-13,530,515,530,525,5,9,470,248500
2018-12-16,572,530,560,530,30,12,160,89330
2018-12-17,615,560,603,560,43,19,467,274744
2018-12-18,615,581,581,603,-22,16,340,203420
2018-12-19,639,565,615,581,34,41,860,522030
2018-12-20,627,600,600,615,-15,24,608,370708
2018-12-23,620,586,618,600,18,41,860,520880
2018-12-24,618,583,594,618,-24,20,280,167520
2018-12-25,600,583,600,594,6,10,260,153510
2018-12-26,625,577,625,600,25,26,627,381674
2018-12-27,625,595,596,625,-29,15,510,305060
2018-12-30,604,581,586,596,-10,14,490,287800
2018-12-31,586,567,567,586,-19,17,665,381705
2019-01-01,599,567,570,567,3,21,330,190260
2019-01-02,590,561,575,570,5,35,946,546444
2019-01-03,581,570,575,575,,16,497,284631
2019-01-06,575,557,559,575,-16,17,700,392440
2019-01-07,580,559,563,559,4,7,460,259750
2019-01-08,572,560,572,563,9,15,160,90280
2019-01-09,578,565,578,572,6,11,110,62760
2019-01-10,595,578,582,578,4,28,785,460020
2019-01-13,583,563,583,582,1,7,70,40270
2019-01-14,591,572,590,583,7,13,130,75920
2019-01-15,605,582,583,590,-7,14,1230,737410
2019-01-16,595,578,595,583,12,14,190,111800
2019-01-17,617,584,610,595,15,25,1228,738166
2019-01-20,610,599,600,610,-10,15,250,149880
2019-01-21,612,582,582,600,-18,27,350,207100
2019-01-22,599,572,594,582,12,26,350,205200
2019-01-23,620,589,620,594,26,55,1285,780800
2019-01-24,620,588,594,620,-26,25,280,168360
2019-01-27,600,584,590,594,-4,30,735,434960
2019-01-28,624,590,606,590,16,40,760,460910
2019-01-29,629,600,615,606,9,53,1190,728775
2019-01-30,635,610,626,615,11,51,1110,689820
2019-01-31,640,614,635,626,9,42,1197,752749
2019-02-03,635,623,625,635,-10,19,540,338790
2019-02-04,628,612,628,625,3,20,445,276125
2019-02-05,629,620,628,628,,17,280,175230
2019-02-06,628,606,618,628,-10,22,280,171790
2019-02-07,620,607,610,618,-8,15,150,91710
2019-02-10,615,600,606,610,-4,28,290,175640
2019-02-11,610,600,606,606,,10,100,60530
2019-02-12,639,598,604,606,-2,27,380,235250
