date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-01-07,227.0,227.0,227.0,227.0,,1,2,454.0
2019-01-08,238.0,227.0,238.0,227.0,11.0,1,10,2380.0
2019-01-31,258.0,238.0,258.0,238.0,20.0,3,30,7600.0
2019-02-05,270.0,258.0,270.0,258.0,12.0,1,10,2700.0
2019-02-06,283.0,270.0,283.0,270.0,13.0,1,10,2830.0
2019-02-11,311.0,283.0,311.0,283.0,28.0,5,50,15290.0
2019-02-12,326.0,311.0,326.0,311.0,15.0,1,10,3260.0
2019-02-13,358.0,326.0,358.0,326.0,32.0,5,50,17600.0
2019-02-14,375.0,358.0,375.0,358.0,17.0,1,10,3750.0
2019-02-17,412.0,393.0,412.0,375.0,37.0,7,130,52130.0
2019-02-18,453.0,412.0,453.0,412.0,41.0,4,40,17730.0
2019-02-19,498.0,453.0,498.0,453.0,45.0,4,530,263520.0
2019-02-20,547.0,522.0,547.0,498.0,49.0,10,100,54000.0
2019-02-21,601.0,547.0,601.0,547.0,54.0,3585,42215,25068191.0
2019-02-24,610.0,584.0,586.0,601.0,-15.0,1474,17370,10310980.0
2019-02-25,594.0,575.0,588.0,586.0,2.0,430,5670,3299940.0
2019-02-26,590.0,581.0,581.0,588.0,-7.0,297,4240,2471270.0
2019-02-27,591.0,580.0,584.0,581.0,3.0,153,1970,1148550.0
2019-03-03,585.0,570.0,570.0,584.0,-14.0,237,3260,1880810.0
2019-03-05,570.0,560.0,561.0,570.0,-9.0,193,2540,1426590.0
2019-03-06,563.0,550.0,556.0,561.0,-5.0,217,2480,1380430.0
2019-03-07,583.0,555.0,566.0,556.0,10.0,128,1810,1015090.0
2019-03-10,570.0,560.0,567.0,566.0,1.0,47,910,513410.0
2019-03-11,574.0,555.0,571.0,567.0,4.0,167,2700,1528740.0
2019-03-12,580.0,561.0,567.0,571.0,-4.0,97,1640,931630.0
2019-03-13,578.0,560.0,562.0,567.0,-5.0,98,1090,615360.0
2019-03-14,568.0,555.0,560.0,562.0,-2.0,83,1208,679392.0
2019-03-17,571.0,553.0,569.0,560.0,9.0,126,1730,967180.0
2019-03-18,569.0,552.0,559.0,569.0,-10.0,91,1570,879810.0
2019-03-19,569.0,552.0,555.0,559.0,-4.0,48,1794,1008661.0
2019-03-21,582.0,554.0,554.0,555.0,-1.0,94,1470,824440.0
2019-03-24,565.0,540.0,548.0,554.0,-6.0,119,1440,781920.0
2019-03-25,545.0,535.0,540.0,548.0,-8.0,90,960,518570.0
2019-03-26,540.0,531.0,533.0,540.0,-7.0,87,990,528830.0
2019-03-27,545.0,525.0,535.0,533.0,2.0,100,1210,642030.0
2019-03-28,535.0,526.0,527.0,535.0,-8.0,86,1130,599160.0
2019-03-31,528.0,518.0,524.0,527.0,-3.0,99,1450,755530.0
2019-04-01,524.0,510.0,513.0,524.0,-11.0,187,2180,1123242.0
2019-04-02,513.0,502.0,506.0,513.0,-7.0,103,1110,564250.0
2019-04-03,517.0,497.0,509.0,506.0,3.0,87,1276,646778.0
2019-04-04,515.0,500.0,505.0,509.0,-4.0,129,1650,834610.0
2019-04-07,500.0,480.0,480.0,505.0,-25.0,92,2370,1161600.0
2019-04-08,519.0,480.0,511.0,480.0,31.0,146,1980,988320.0
2019-04-09,523.0,496.0,498.0,511.0,-13.0,42,1460,734500.0
2019-04-10,500.0,482.0,484.0,498.0,-14.0,80,1660,809690.0
2019-04-11,499.0,474.0,486.0,484.0,2.0,88,3988,1922420.0
2019-04-15,490.0,470.0,478.0,486.0,-8.0,90,1890,900710.0
2019-04-16,501.0,475.0,493.0,478.0,15.0,65,1150,565560.0
2019-04-17,520.0,495.0,515.0,493.0,22.0,101,5130,2606840.0
2019-04-18,520.0,502.0,502.0,515.0,-13.0,58,1320,675820.0
2019-04-21,510.0,490.0,510.0,502.0,8.0,47,1720,855760.0
2019-04-22,514.0,495.0,495.0,510.0,-15.0,30,1430,720950.0
2019-04-23,497.0,490.0,493.0,495.0,-2.0,39,780,385370.0
2019-04-24,502.0,487.0,493.0,493.0,,40,746,367160.0
2019-04-25,502.0,483.0,490.0,493.0,-3.0,33,900,441470.0
2019-04-28,511.0,486.0,508.0,490.0,18.0,64,2390,1197970.0
2019-04-29,500.0,490.0,499.0,508.0,-9.0,46,1460,720590.0
