date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,430.0,430.0,430.0,438.0,-8.0,2,30,12900.0
2010-04-19,425.0,417.0,417.0,425.0,-8.0,4,310,129590.0
2010-04-20,410.0,391.0,396.0,417.0,-21.0,16,390,155760.0
2010-04-21,403.0,374.0,380.0,396.0,-16.0,24,620,238920.0
2010-04-22,390.0,375.0,390.0,380.0,10.0,4,240,92410.0
2010-04-25,390.0,380.0,385.0,390.0,-5.0,8,570,219100.0
2010-04-26,386.0,385.0,386.0,385.0,1.0,5,80,30840.0
2010-04-28,394.0,387.0,394.0,386.0,8.0,4,90,35130.0
2010-04-29,413.0,400.0,413.0,394.0,19.0,6,280,113690.0
2010-05-09,421.0,421.0,421.0,413.0,8.0,1,40,16840.0
2010-05-10,428.0,425.0,428.0,421.0,7.0,14,360,153570.0
2010-05-11,465.0,430.0,465.0,428.0,37.0,21,580,260760.0
2010-05-12,506.0,470.0,485.0,465.0,20.0,46,2130,1037930.0
2010-05-13,503.0,490.0,494.0,485.0,9.0,32,1280,632550.0
2010-05-16,500.0,454.0,472.0,494.0,-22.0,24,690,333870.0
2010-05-17,465.0,460.0,465.0,472.0,-7.0,20,630,291550.0
2010-05-18,488.0,465.0,479.0,465.0,14.0,25,510,241290.0
2010-05-19,475.0,469.0,475.0,479.0,-4.0,20,380,179540.0
2010-05-20,492.0,480.0,490.0,475.0,15.0,23,590,287070.0
2010-05-23,499.0,490.0,492.0,490.0,2.0,29,1160,575080.0
2010-05-24,501.0,486.0,486.0,492.0,-6.0,12,340,167790.0
2010-05-25,530.0,495.0,510.0,486.0,24.0,31,1840,953680.0
2010-05-26,530.0,495.0,495.0,510.0,-15.0,39,1596,829510.0
2010-05-30,514.0,504.0,510.0,495.0,15.0,3,320,163160.0
2010-05-31,520.0,500.0,510.0,510.0,,30,888,453280.0
2010-06-01,500.0,477.0,482.0,510.0,-28.0,53,1290,623790.0
2010-06-02,485.0,476.0,481.0,482.0,-1.0,25,630,301330.0
2010-06-06,485.0,475.0,485.0,481.0,4.0,24,420,201220.0
2010-06-07,485.0,480.0,480.0,485.0,-5.0,7,240,115700.0
2010-06-08,485.0,485.0,485.0,480.0,5.0,4,90,43650.0
2010-06-09,490.0,483.0,485.0,485.0,,52,1294,630312.0
2010-06-10,485.0,480.0,480.0,485.0,-5.0,74,2298,1103812.0
2010-06-13,480.0,468.0,470.0,480.0,-10.0,85,1902,900262.0
2010-06-14,475.0,460.0,468.0,470.0,-2.0,51,1212,568448.0
2010-06-15,475.0,467.0,470.0,468.0,2.0,62,1224,575616.0
2010-06-16,470.0,460.0,465.0,470.0,-5.0,35,612,285016.0
2010-06-17,476.0,453.0,466.0,465.0,1.0,30,650,299096.0
2010-06-20,471.0,462.0,471.0,466.0,5.0,60,1674,779370.0
2010-06-21,470.0,462.0,470.0,471.0,-1.0,24,610,284438.0
2010-06-22,470.0,442.0,464.0,470.0,-6.0,72,1410,650928.0
2010-06-23,470.0,462.0,470.0,464.0,6.0,53,922,431810.0
2010-06-24,470.0,463.0,470.0,470.0,,54,938,436322.0
2010-06-28,465.0,460.0,464.0,470.0,-6.0,41,1240,573368.0
2010-06-29,464.0,456.0,464.0,464.0,,34,776,356510.0
2010-06-30,465.0,452.0,452.0,464.0,-12.0,24,546,251524.0
2010-07-01,465.0,452.0,452.0,452.0,,29,834,385282.0
2010-07-04,466.0,455.0,460.0,452.0,8.0,82,1942,894164.0
2010-07-05,462.0,450.0,462.0,460.0,2.0,14,492,225618.0
2010-07-06,470.0,455.0,457.0,462.0,-5.0,13,382,174908.0
2010-07-07,465.0,457.0,459.0,457.0,2.0,47,1086,500082.0
2010-07-08,459.0,455.0,457.0,459.0,-2.0,45,1283,587768.0
2010-07-11,464.0,450.0,464.0,457.0,7.0,35,960,437978.0
2010-07-12,460.0,450.0,451.0,464.0,-13.0,62,1512,692076.0
2010-07-13,450.0,440.0,450.0,451.0,-1.0,19,490,217934.0
2010-07-14,449.0,430.0,449.0,450.0,-1.0,78,1708,758310.0
2010-07-15,460.0,456.0,460.0,449.0,11.0,25,880,404512.0
2010-07-18,462.0,455.0,462.0,460.0,2.0,45,1500,688338.0
2010-07-19,462.0,455.0,460.0,462.0,-2.0,15,378,173964.0
2010-07-20,460.0,455.0,455.0,460.0,-5.0,32,812,371966.0
2010-07-21,479.0,458.0,479.0,455.0,24.0,33,672,310100.0
2010-07-22,480.0,469.0,470.0,479.0,-9.0,26,524,248884.0
2010-07-25,466.0,460.0,465.0,470.0,-5.0,27,474,219518.0
2010-07-26,462.0,462.0,462.0,465.0,-3.0,3,84,38808.0
2010-07-27,470.0,461.0,465.0,462.0,3.0,47,876,408236.0
2010-07-28,465.0,460.0,465.0,465.0,,21,370,171574.0
2010-07-29,465.0,454.0,455.0,465.0,-10.0,27,490,223594.0
2010-08-01,455.0,441.0,448.0,455.0,-7.0,71,1242,555154.0
2010-08-02,450.0,440.0,445.0,448.0,-3.0,73,1190,530012.0
2010-08-03,450.0,445.0,450.0,445.0,5.0,31,546,243390.0
2010-08-04,459.0,450.0,459.0,450.0,9.0,50,842,379278.0
2010-08-05,459.0,435.0,452.0,459.0,-7.0,29,1080,482162.0
2010-08-08,454.0,450.0,454.0,452.0,2.0,7,208,93824.0
2010-08-09,450.0,441.0,443.0,454.0,-11.0,15,270,120360.0
2010-08-10,451.0,441.0,451.0,443.0,8.0,13,456,202864.0
2010-08-11,443.0,435.0,441.0,451.0,-10.0,24,326,143712.0
2010-08-12,449.0,441.0,444.0,441.0,3.0,91,1372,611520.0
2010-08-15,444.0,430.0,430.0,444.0,-14.0,6,108,47340.0
2010-08-16,440.0,430.0,435.0,430.0,5.0,25,422,182788.0
2010-08-17,440.0,430.0,432.0,435.0,-3.0,42,1254,548520.0
2010-08-18,435.0,430.0,431.0,432.0,-1.0,68,1274,550354.0
2010-08-19,432.0,419.0,420.0,431.0,-11.0,27,894,380270.0
2010-08-22,420.0,409.0,410.0,420.0,-10.0,31,1126,465532.0
2010-08-23,426.0,410.0,426.0,410.0,16.0,37,896,375494.0
2010-08-26,440.0,426.0,440.0,426.0,14.0,42,814,350528.0
2010-08-29,440.0,424.0,436.0,440.0,-4.0,41,1152,501184.0
2010-08-30,436.0,416.0,416.0,436.0,-20.0,48,1334,575472.0
2010-08-31,428.0,410.0,410.0,416.0,-6.0,53,1356,575260.0
2010-09-02,415.0,409.0,415.0,410.0,5.0,7,192,79272.0
2010-09-05,415.0,380.0,394.0,415.0,-21.0,13,260,101944.0
2010-09-06,409.0,394.0,408.0,394.0,14.0,22,532,212380.0
2010-09-07,408.0,405.0,408.0,408.0,,31,980,398034.0
2010-09-08,415.0,408.0,409.0,408.0,1.0,54,1318,539690.0
2010-09-09,409.0,393.0,400.0,409.0,-9.0,53,1368,556674.0
2010-09-12,406.0,397.0,400.0,400.0,,74,1722,695100.0
2010-09-13,405.0,395.0,401.0,400.0,1.0,64,1470,592802.0
2010-09-14,409.0,400.0,403.0,401.0,2.0,94,2336,945376.0
2010-09-15,406.0,400.0,406.0,403.0,3.0,24,732,294284.0
2010-09-16,410.0,400.0,400.0,406.0,-6.0,30,806,325788.0
2010-09-19,413.0,400.0,411.0,400.0,11.0,127,2990,1212328.0
2010-09-20,440.0,415.0,440.0,411.0,29.0,38,1014,437874.0
2010-09-21,445.0,433.0,440.0,440.0,,57,1558,687780.0
2010-09-23,435.0,420.0,425.0,440.0,-15.0,99,1960,837060.0
2010-09-26,430.0,422.0,423.0,425.0,-2.0,78,1800,764354.0
2010-09-27,443.0,417.0,443.0,423.0,20.0,52,926,400044.0
2010-09-28,443.0,433.0,442.0,443.0,-1.0,164,3644,1604976.0
2010-09-29,448.0,440.0,441.0,442.0,-1.0,61,2076,918080.0
2010-09-30,442.0,433.0,442.0,441.0,1.0,70,1228,539490.0
2010-10-03,445.0,434.0,442.0,442.0,,144,2608,1150724.0
2010-10-07,484.0,440.0,480.0,440.0,40.0,62,1996,949798.0
2010-10-10,480.0,470.0,476.0,480.0,-4.0,74,1960,929280.0
2010-10-11,475.0,465.0,467.0,476.0,-9.0,26,1818,854444.0
2010-10-12,474.0,465.0,465.0,467.0,-2.0,46,2024,950520.0
2010-10-13,462.0,457.0,460.0,465.0,-5.0,13,252,115710.0
2010-10-21,466.0,460.0,465.0,460.0,5.0,60,1936,896548.0
2010-10-24,474.0,465.0,470.0,465.0,5.0,68,1714,803746.0
2010-10-25,487.0,466.0,476.0,470.0,6.0,35,668,314216.0
2010-10-26,482.0,473.0,475.0,476.0,-1.0,22,1282,610272.0
2010-10-27,481.0,470.0,470.0,475.0,-5.0,37,1388,657516.0
2010-10-28,478.0,470.0,475.0,470.0,5.0,32,1342,635748.0
2010-10-31,477.0,464.0,475.0,475.0,,64,1700,802046.0
2010-11-02,475.0,470.0,475.0,475.0,,19,266,125748.0
2010-11-03,483.0,475.0,475.0,475.0,,20,2432,1161580.0
2010-11-04,485.0,475.0,482.0,475.0,7.0,11,524,252050.0
2010-11-09,480.0,460.0,480.0,482.0,-2.0,45,1400,665868.0
2010-11-10,485.0,480.0,485.0,480.0,5.0,21,748,362458.0
2010-11-11,490.0,477.0,486.0,485.0,1.0,22,656,315434.0
2010-11-14,534.0,486.0,521.0,486.0,35.0,103,3838,1993684.0
2010-11-15,535.0,513.0,523.0,521.0,2.0,166,5464,2859006.0
2010-11-16,523.0,480.0,520.0,523.0,-3.0,211,6318,3194968.0
2010-11-18,525.0,509.0,524.0,520.0,4.0,525,14164,7335236.0
2010-11-22,485.0,452.0,452.0,524.0,-72.0,7,232,110918.0
2010-11-24,456.0,447.0,447.0,452.0,-5.0,7,860,389600.0
2010-11-25,447.0,447.0,447.0,447.0,,1,20,8940.0
2010-11-29,452.0,446.0,446.0,447.0,-1.0,10,246,110436.0
2010-11-30,445.0,440.0,440.0,446.0,-6.0,2,400,176500.0
2010-12-02,442.0,440.0,440.0,440.0,,25,728,321034.0
2010-12-05,440.0,432.0,432.0,440.0,-8.0,4,248,108896.0
2010-12-06,425.0,423.0,423.0,432.0,-9.0,4,66,27984.0
2010-12-07,425.0,402.0,402.0,423.0,-21.0,10,850,350846.0
2010-12-08,405.0,402.0,402.0,402.0,,5,338,136372.0
2010-12-09,410.0,403.0,410.0,402.0,8.0,3,184,74852.0
2010-12-12,425.0,413.0,420.0,410.0,10.0,7,518,217292.0
2010-12-13,422.0,418.0,418.0,420.0,-2.0,3,140,58920.0
2010-12-14,424.0,418.0,424.0,418.0,6.0,24,944,397508.0
2010-12-15,432.0,425.0,425.0,424.0,1.0,4,142,60574.0
2010-12-16,428.0,425.0,428.0,425.0,3.0,11,196,83664.0
2010-12-20,426.0,425.0,426.0,428.0,-2.0,11,272,115718.0
2010-12-22,436.0,430.0,430.0,426.0,4.0,3,150,64680.0
2010-12-23,446.0,438.0,439.0,430.0,9.0,9,644,283222.0
2010-12-26,445.0,430.0,432.0,439.0,-7.0,21,2300,1001358.0
2010-12-27,445.0,435.0,438.0,432.0,6.0,19,1762,772210.0
2010-12-28,442.0,438.0,442.0,438.0,4.0,4,294,129676.0
2010-12-29,447.0,431.0,447.0,442.0,5.0,15,524,231310.0
2011-01-02,449.0,439.0,439.0,447.0,-8.0,11,466,207030.0
2011-01-03,445.0,440.0,440.0,439.0,1.0,7,162,71730.0
2011-01-04,448.0,439.0,447.0,440.0,7.0,11,654,290654.0
2011-01-05,446.0,445.0,445.0,447.0,-2.0,3,72,32054.0
2011-01-06,447.0,440.0,445.0,445.0,,7,352,156644.0
2011-01-09,450.0,446.0,446.0,445.0,1.0,10,416,186328.0
2011-01-10,446.0,445.0,445.0,446.0,-1.0,8,358,159502.0
2011-01-11,453.0,441.0,450.0,445.0,5.0,12,618,276610.0
2011-01-13,450.0,445.0,447.0,450.0,-3.0,4,158,70494.0
2011-01-16,446.0,444.0,446.0,447.0,-1.0,11,668,297066.0
2011-01-17,450.0,443.0,450.0,446.0,4.0,5,142,63704.0
2011-01-18,451.0,445.0,451.0,450.0,1.0,5,788,352570.0
2011-01-19,451.0,450.0,450.0,451.0,-1.0,9,1031,464470.0
2011-01-20,452.0,450.0,450.0,450.0,,26,630,283922.0
2011-01-24,455.0,450.0,455.0,450.0,5.0,3,92,41748.0
2011-01-31,448.0,448.0,448.0,455.0,-7.0,4,56,25088.0
2011-02-01,456.0,449.0,456.0,448.0,8.0,15,850,384570.0
2011-02-02,459.0,452.0,455.0,456.0,-1.0,10,456,207430.0
2011-02-03,458.0,446.0,446.0,455.0,-9.0,12,366,166268.0
2011-02-06,463.0,454.0,455.0,446.0,9.0,17,800,367390.0
2011-02-07,461.0,456.0,460.0,455.0,5.0,13,1072,492014.0
2011-02-08,460.0,450.0,450.0,460.0,-10.0,10,278,126314.0
2011-02-09,460.0,454.0,454.0,450.0,4.0,11,359,164287.0
2011-02-10,462.0,454.0,459.0,454.0,5.0,21,712,324732.0
2011-02-13,460.0,458.0,460.0,459.0,1.0,8,672,308790.0
2011-02-14,462.0,456.0,462.0,460.0,2.0,6,220,101184.0
