date,high,low,close,previous,diff,numtrans,tradedshares,volume
2018-12-20,138.0,86.0,102.0,88.0,14.0,75,1245,125345.0
2018-12-23,104.0,98.0,104.0,102.0,2.0,190,2920,295210.0
2018-12-24,106.0,100.0,102.0,104.0,-2.0,142,2320,239350.0
2018-12-25,102.0,98.0,101.0,102.0,-1.0,35,590,58880.0
2018-12-26,102.0,100.0,101.0,101.0,,26,390,39490.0
2018-12-27,102.0,99.0,99.0,101.0,-2.0,55,840,84240.0
2018-12-30,100.0,98.0,99.0,99.0,,28,420,41400.0
2018-12-31,100.0,98.0,98.0,99.0,-1.0,70,1320,131000.0
2019-01-01,98.0,96.0,97.0,98.0,-1.0,69,1030,100150.0
2019-01-02,97.0,95.0,96.0,97.0,-1.0,38,570,54690.0
2019-01-03,96.0,93.0,93.0,96.0,-3.0,52,760,71540.0
2019-01-06,95.0,92.0,95.0,93.0,2.0,150,2540,237220.0
2019-01-07,94.0,90.0,91.0,93.0,-2.0,95,1770,161160.0
2019-01-08,95.0,89.0,95.0,91.0,4.0,132,1560,142000.0
2019-01-09,95.0,92.0,94.0,95.0,-1.0,80,1186,110724.0
2019-01-10,95.0,92.0,94.0,94.0,,88,1480,138550.0
2019-01-13,94.0,88.0,90.0,94.0,-4.0,51,1170,107100.0
2019-01-14,91.0,89.0,89.0,90.0,-1.0,37,1280,115446.0
2019-01-15,92.0,89.0,92.0,89.0,3.0,16,2000,181410.0
2019-01-16,92.0,90.0,91.0,92.0,-1.0,32,470,42560.0
2019-01-17,91.0,89.0,89.0,91.0,-2.0,67,1120,100610.0
2019-01-20,89.0,86.0,87.0,89.0,-2.0,9,120,10470.0
2019-01-21,87.0,79.0,81.0,87.0,-6.0,106,1570,130240.0
2019-01-22,82.0,79.0,80.0,81.0,-1.0,69,1080,86530.0
2019-01-23,86.0,80.0,86.0,80.0,6.0,33,620,51730.0
2019-01-24,86.0,83.0,86.0,86.0,,59,911,76784.0
2019-01-27,88.0,84.0,86.0,86.0,,79,1230,106280.0
