date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-05-12,364.0,337.0,337.0,,337.0,6,60,21010.0
2010-05-20,331.0,313.0,313.0,337.0,-24.0,4,100,32020.0
2010-05-23,307.0,285.0,285.0,313.0,-28.0,5,120,35210.0
2010-05-24,280.0,257.0,257.0,285.0,-28.0,6,140,37150.0
2010-05-25,252.0,232.0,232.0,257.0,-25.0,60,1840,427440.0
2010-05-26,228.0,209.0,209.0,232.0,-23.0,30,710,148940.0
2010-05-30,205.0,190.0,198.0,209.0,-11.0,40,1400,269520.0
2010-05-31,209.0,188.0,188.0,198.0,-10.0,135,5040,987120.0
2010-06-01,204.0,185.0,197.0,188.0,9.0,190,5040,976760.0
2010-06-02,198.0,188.0,198.0,197.0,1.0,114,2770,535800.0
2010-06-03,196.0,190.0,194.0,198.0,-4.0,146,4770,919080.0
2010-06-06,199.0,191.0,199.0,194.0,5.0,220,6650,1300810.0
2010-06-07,200.0,196.0,200.0,199.0,1.0,153,6690,1328920.0
2010-06-08,205.0,197.0,202.0,200.0,2.0,389,16790,3382510.0
2010-06-09,217.0,200.0,217.0,202.0,15.0,161,6220,1279060.0
2010-06-10,226.0,207.0,226.0,217.0,9.0,173,7160,1566910.0
2010-06-13,233.0,223.0,226.0,226.0,,296,13110,2983860.0
2010-06-14,229.0,219.0,222.0,226.0,-4.0,213,7790,1728590.0
2010-06-15,229.0,218.0,229.0,222.0,7.0,246,9170,2056680.0
2010-06-16,234.0,225.0,231.0,229.0,2.0,218,7550,1727770.0
2010-06-17,248.0,233.0,240.0,231.0,9.0,216,7820,1884690.0
2010-06-20,260.0,239.0,260.0,240.0,20.0,228,7620,1872680.0
2010-06-21,272.0,247.0,270.0,260.0,10.0,228,9650,2551960.0
2010-06-22,274.0,260.0,270.0,270.0,,370,15720,4249870.0
2010-06-23,271.0,251.0,255.0,270.0,-15.0,224,9010,2385540.0
2010-06-24,255.0,240.0,243.0,255.0,-12.0,199,7000,1713310.0
2010-06-28,245.0,229.0,230.0,243.0,-13.0,156,7940,1859260.0
2010-06-29,232.0,221.0,232.0,230.0,2.0,168,6720,1536030.0
2010-06-30,234.0,220.0,225.0,232.0,-7.0,311,12830,2923390.0
2010-07-01,239.0,229.0,231.0,225.0,6.0,149,2630,615400.0
2010-07-04,233.0,223.0,232.0,231.0,1.0,198,6420,1477040.0
2010-07-05,236.0,230.0,233.0,232.0,1.0,69,2210,513780.0
2010-07-06,233.0,230.0,233.0,233.0,,105,4580,1056260.0
2010-07-07,240.0,225.0,236.0,233.0,3.0,120,4500,1062370.0
2010-07-08,244.0,230.0,244.0,236.0,8.0,132,6420,1527750.0
