date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-09-25,347.6,316,347.6,,31.6,49,212,69366
2022-09-27,368.7,347.6,368.7,347.6,21.1,17,60,21319.8
2022-09-28,398.9,368.7,398.9,368.7,30.2,5,41,15856.4
2022-09-29,438.7,406.8,438.7,398.9,39.8,5,50,21150
2022-10-09,456.3,447.4,456.3,438.7,17.6,4,30,13427
2022-10-10,501.9,456.3,501.9,456.3,45.6,11,90,43278.6
2022-10-11,552,511,552,501.9,50.1,6,60,32100
2022-10-12,607.2,563,607.2,552,55.2,9,70,40906.9
2022-10-13,667.9,619.3,667.9,607.2,60.7,5,50,32200
2022-10-16,734.6,681.2,734.6,667.9,66.7,57,1944,1426751.4
2022-10-17,808,749,808,734.6,73.4,201,3780,3050852
2022-10-19,888.8,824.1,888.8,808,80.8,545,6990,6206619
2022-10-20,963,820.2,830.2,888.8,-58.6,3453,42382,36952901
2022-10-23,830,764.4,767.1,830.2,-63.1,1125,16958,13173753.1
2022-10-31,782.4,730,731,767.1,-36.1,721,10764,7971486
2022-11-01,795,706,778,731,47,521,9803,7108378.5
2022-11-02,800,750,785,778,7,387,6290,4933983.5
2022-11-03,785,755,759,785,-26,237,3880,2955399
2022-11-06,786,744,783,759,24,372,11612,8940070.1
2022-11-07,794,770.1,774,783,-9,319,10064,7900999.6
2022-11-08,777,760.3,765,774,-9,152,2826,2169215.1
2022-11-09,764,747,747,765,-18,199,3832,2886592.7
2022-11-10,759,721,730,747,-17,213,3358,2456795.3
2022-11-13,744,710,720,730,-10,218,3485,2508647.5
2022-11-14,728.9,710.1,724,720,4,155,1880,1350128
2022-11-15,724,711.3,713.2,724,-10.799999999999955,139,2240,1604207.5
2022-11-16,725,709.1,713,713.2,-0.20000000000004547,137,2109,1511575.7
2022-11-22,732,716.6,724.7,730.1,-5.399999999999977,123,1530,1108057
2022-11-23,725,716.1,719,724.7,-5.7000000000000455,125,1864,1340918
2022-11-24,715,708.3,714,719,-5,117,2013,1435405.3
2022-11-27,738,708,738,714,24,304,4318,3092188
2022-11-28,737.4,717,724,738,-14,121,1905,1381546
2022-11-29,727,710.5,724.9,724,0.8999999999999773,104,2189,1571394.2
2022-11-30,724,711.1,718,724.9,-6.899999999999977,107,1441,1032090
2022-12-01,720,712.1,716.2,718,-1.7999999999999545,152,2740,1963371
2022-12-04,720,706,715,716.2,-1.2000000000000455,187,2645,1888192.4
2022-12-05,715.9,705,705,715,-10,160,3273,2320512.5
2022-12-06,710,702,706,705,1,106,1460,1030060
2022-12-07,710,703.5,705,706,-1,109,1425,1004789
2022-12-11,706,691,693,705,-12,145,2157,1499549.7
2022-12-12,700,681.2,693,693,0,110,1595,1100710
2022-12-13,700,685,693.1,693,0.10000000000002274,83,1235,858621
2022-12-14,721,693,700,693.1,6.899999999999977,118,1775,1245397
2022-12-15,727,692.4,693,700,-7,83,1246,872942
2022-12-18,689.5,675,677,693,-16,166,2509,1705681.9
2022-12-19,685,672,674,677,-3,111,1515,1023376
2022-12-20,685,670,683,674,9,96,1405,954760
2022-12-21,696.6,675.2,675.2,683,-7.7999999999999545,68,1171,798495
2022-12-22,675,662,667.1,675.2,-8.100000000000023,83,1460,977050.6
2022-12-26,705.8,667,704,667.1,36.89999999999998,179,2748,1903685.8
2022-12-27,732,703,717,704,13,173,4135,2954866.9
2022-12-28,715,693.9,706,717,-11,113,3355,2381109
2022-12-29,731,698,731,706,25,192,5065,3623910.7
2023-01-01,745.6,716,717.3,731,-13.700000000000045,190,5760,4207933
2023-01-02,730,715,718,717.3,0.7000000000000455,184,3850,2780232
2023-01-03,750,706,744,718,26,289,8060,5945992.7
2023-01-04,782,740,780,744,36,302,10902,8267553.9
2023-01-05,816,782,786.2,780,6.2000000000000455,286,7591,6018203.6
2023-01-08,837.5,771.3,810,786.2,23.799999999999955,318,11690,9425310.6
2023-01-09,825,804,806,810,-4,227,5361,4348837.8
2023-01-10,820,770,780,806,-26,297,9186,7333547
2023-01-12,794,732,747,780,-33,261,6110,4634700.5
2023-01-17,795,711,771,747,24,245,5702,4313609
2023-01-18,799,750,750,771,-21,212,6399,4947609.3
2023-01-19,765,745,755,750,5,175,2321,1755558.8
2023-01-23,775,745.1,750,755,-5,186,3363,2541770
2023-01-24,765,729,739,750,-11,167,2656,1960827.5
2023-01-25,760,740,748,739,9,199,4402,3308866.9
2023-01-26,757,743.1,745.5,748,-2.5,127,1765,1318982
2023-01-29,760,733.8,740,745.5,-5.5,199,4200,3119667.8
2023-01-30,741,710,730,740,-10,198,3470,2527762.4
2023-01-31,725,705,710,730,-20,178,3497,2498267.1
2023-02-01,725,705,724,710,14,140,2242,1613293.5
2023-02-02,738,707.1,708,724,-16,110,1410,1006142
2023-02-05,718,706,712,708,4,167,2232,1586491
2023-02-06,716,705,713,712,1,122,1493,1062933
2023-02-07,774,705.1,751,713,38,229,5592,4156958.4
2023-02-08,767,732.4,745,751,-6,180,3738,2802367
2023-02-09,750,731,745,745,0,79,1664,1236475.4
2023-02-12,735,715.5,722,745,-23,107,2929,2123668
2023-02-14,730,715,720.4,722,-1.6000000000000227,137,2062,1493897
2023-02-15,744.6,708.1,720,720.4,-0.39999999999997726,101,1379,997704.6
2023-02-16,719,700,711,720,-9,115,2811,1991791.5
2023-02-20,710,692.9,698.1,711,-12.899999999999977,137,3151,2209497
2023-02-22,702,687,696,698.1,-2.1000000000000227,131,2230,1548371.5
2023-02-23,682.1,626.4,634,696,-62,345,8464,5434324.8
2023-02-26,680,580,680,634,46,266,5578,3453946.5
2023-02-27,693,653.5,662,680,-18,156,5296,3554012.2
2023-02-28,675,649,656.4,662,-5.600000000000023,70,1210,800733
2023-03-01,670,650,650,656.4,-6.399999999999977,99,3282,2163206.5
2023-03-02,648,623,625.1,650,-24.899999999999977,92,2099,1327905
2023-03-05,637,605.1,608.5,625.1,-16.600000000000023,79,2759,1694669
2023-03-07,615,598,606,608.5,-2.5,87,2395,1445021.5
2023-03-09,665,605,652,606,46,126,2980,1883369
2023-03-12,670,626,628,652,-24,96,2005,1285401
2023-03-13,632.4,608,611,628,-17,73,2205,1357409
2023-03-14,635,598.9,633,611,22,112,2917,1814742
2023-03-15,658.5,615,640,633,7,99,4335,2689925
2023-03-16,650,614.8,636,640,-4,123,2952,1840731
2023-03-19,648.7,615,648.7,636,12.700000000000045,116,2226,1393220
2023-03-20,661.6,623.1,650.5,648.7,1.7999999999999545,116,2803,1792220
2023-03-22,663.5,620,663.5,650.5,13,264,10117,6334698.8
2023-03-23,650.3,610,630.2,663.5,-33.299999999999955,223,9655,6010234.4
2023-03-26,631,602,625,630.2,-5.2000000000000455,150,4333,2642309.2
2023-03-27,625,596.9,610,625,-15,141,4340,2632808
2023-03-28,629.9,601.1,615,610,5,97,2610,1614649
2023-03-29,625,604,611,615,-4,57,732,449040
2023-03-30,612,600,600,611,-11,74,2015,1218068.5
