date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,3120.0,3120.0,3120.0,3060.0,60.0,7,800,2496000.0
2010-04-19,3100.0,3100.0,3100.0,3120.0,-20.0,1,16,49600.0
2010-04-21,3100.0,3100.0,3100.0,3100.0,,2,987,3059700.0
2010-04-27,3100.0,3100.0,3100.0,3100.0,,1,130,403000.0
2010-04-29,3162.0,3162.0,3162.0,3100.0,62.0,1,13,41106.0
2010-05-11,3100.0,3100.0,3100.0,3162.0,-62.0,6,518,1605800.0
2010-05-16,3100.0,3100.0,3100.0,3100.0,,1,400,1240000.0
2010-05-19,3065.0,3065.0,3065.0,3100.0,-35.0,1,500,1532500.0
2010-05-24,3125.0,3125.0,3125.0,3065.0,60.0,1,104,325000.0
2010-05-26,3125.0,3125.0,3125.0,3125.0,,2,138,431250.0
2010-06-09,3100.0,3100.0,3100.0,3125.0,-25.0,1,500,1550000.0
2010-06-16,3100.0,3100.0,3100.0,3100.0,,1,280,868000.0
2010-06-23,3100.0,3100.0,3100.0,3100.0,,1,500,1550000.0
2010-06-24,3100.0,3100.0,3100.0,3100.0,,1,40,124000.0
2010-06-28,3100.0,3100.0,3100.0,3100.0,,1,307,951700.0
2010-07-01,3038.0,3038.0,3038.0,3100.0,-62.0,2,76,230888.0
2010-07-08,3100.0,3098.0,3100.0,3038.0,62.0,2,180,557820.0
2010-07-18,3100.0,3100.0,3100.0,3100.0,,1,54,167400.0
2010-07-21,3038.0,3038.0,3038.0,3100.0,-62.0,1,324,984312.0
2010-07-22,3040.0,3040.0,3040.0,3038.0,2.0,1,286,869440.0
2010-07-26,3100.0,3100.0,3100.0,3040.0,60.0,1,500,1550000.0
2010-07-28,3100.0,3100.0,3100.0,3100.0,,1,150,465000.0
2010-08-04,3105.0,3105.0,3105.0,3100.0,5.0,1,60,186300.0
2010-08-23,3160.0,3160.0,3160.0,3105.0,55.0,1,119,376040.0
2010-08-31,3100.0,3100.0,3100.0,3160.0,-60.0,3,933,2892300.0
2010-09-14,3038.0,3038.0,3038.0,3100.0,-62.0,1,10,30380.0
2010-09-27,2978.0,2919.0,2919.0,3038.0,-119.0,2,45,132948.0
2010-11-22,2899.0,2899.0,2899.0,2919.0,-20.0,1,500,1449500.0
2010-11-23,2842.0,2842.0,2842.0,2899.0,-57.0,1,500,1421000.0
2010-11-30,2898.0,2898.0,2898.0,2842.0,56.0,1,610,1767780.0
2010-12-15,2841.0,2841.0,2841.0,2898.0,-57.0,1,40,113640.0
2011-01-03,2897.0,2840.0,2840.0,2841.0,-1.0,2,436,1244966.0
2011-01-05,2896.0,2896.0,2896.0,2840.0,56.0,1,80,231680.0
2011-02-01,2953.0,2953.0,2953.0,2896.0,57.0,1,54,159462.0
2011-02-02,3012.0,3012.0,3012.0,2953.0,59.0,2,60,180720.0
2011-03-07,2995.0,2995.0,2995.0,3012.0,-17.0,1,500,1497500.0
2011-04-18,2936.0,2936.0,2936.0,2995.0,-59.0,1,104,305344.0
2011-04-21,2878.0,2878.0,2878.0,2936.0,-58.0,1,60,172680.0
2011-05-16,2935.0,2935.0,2935.0,2878.0,57.0,4,40,117400.0
2011-05-30,2877.0,2820.0,2820.0,2935.0,-115.0,2,221,624417.0
2011-05-31,2764.0,2764.0,2764.0,2820.0,-56.0,1,100,276400.0
2011-06-06,2709.0,2655.0,2655.0,2764.0,-109.0,2,210,558090.0
2011-09-05,2650.0,2650.0,2650.0,2655.0,-5.0,1,100,265000.0
2011-09-13,2703.0,2703.0,2703.0,2650.0,53.0,1,100,270300.0
2011-09-29,2757.0,2757.0,2757.0,2703.0,54.0,2,510,1406070.0
2011-11-13,2756.0,2756.0,2756.0,2757.0,-1.0,1,10,27560.0
2011-12-18,2810.0,2810.0,2810.0,2756.0,54.0,1,100,281000.0
2012-01-10,2760.0,2598.0,2598.0,2810.0,-212.0,4,277,742033.0
2012-01-11,2547.0,2400.0,2400.0,2598.0,-198.0,4,195,472375.0
2012-02-27,2352.0,2352.0,2352.0,2400.0,-48.0,1,98,230496.0
