date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-06-08,223,202.8,223,0,223,331,3223,717242.3
2023-06-11,245.3,227.4,245.3,223,22.30000000000001,288,2858,699718.8
2023-06-12,269.8,250.2,269.8,245.3,24.5,802,12422,3350734.6
2023-06-13,296.7,254.6,296.7,269.8,26.899999999999977,5090,78893,21901591.2
2023-06-14,326.3,279.3,319,296.7,22.30000000000001,2742,35632,11237285
2023-06-15,320,300.1,300.3,319,-18.69999999999999,2217,28590,8734924
2023-06-18,299,277.2,289.1,300.3,-11.199999999999989,1657,49791,14354572.3
2023-06-19,287,278.4,284.6,289.1,-4.5,850,17866,5032991
2023-06-20,284,274,278,284.6,-6.600000000000023,580,13448,3727304.7
2023-06-21,276,267.3,271,278,-7,735,14784,4001340.1
2023-06-22,270,261,264,271,-7,549,9747,2575265.4
2023-06-25,270.4,252.1,270,264,6,785,22187,5730320.7
2023-06-26,280,260,269,270,-1,564,16541,4378570.3
2023-06-27,274.2,255.1,268,269,-1,480,9935,2626895
2023-06-28,273,256.1,263,268,-5,413,8720,2278987.5
2023-07-02,258,247.4,247.4,263,-15.599999999999994,451,11249,2832487.5
2023-07-03,252.3,237,237.1,247.4,-10.300000000000011,449,10062,2425419.6
2023-07-04,239.8,229.5,230,237.1,-7.099999999999994,352,12012,2788389
2023-07-05,249.9,222,223.5,230,-6.5,377,17941,4100656.3
2023-07-06,227.9,219.3,224,223.5,0.5,418,6690,1491582
2023-07-09,240.7,218,229,224,5,462,6683,1514040.3
2023-07-10,234.6,222.1,227.4,229,-1.5999999999999943,398,7595,1728960
2023-07-11,230,222.9,228,227.4,0.5999999999999943,345,10400,2354488
2023-07-12,244,224,240.6,228,12.599999999999994,409,11187,2654362.7
2023-07-13,244.9,232.1,236.2,240.6,-4.400000000000006,331,8649,2065752
2023-07-16,232.2,227.2,232.2,236.2,-4,292,5089,1164075
2023-07-17,238.7,224.6,235,232.2,2.8000000000000114,386,5512,1274761
2023-07-18,244,226,235,235,0,343,7115,1665004
2023-07-19,238,226.3,232,235,-3,289,4989,1146294.8
2023-07-20,236.6,226,236,232,4,330,12037,2764530.8
2023-07-23,240.6,231.4,235,236,-1,359,5756,1356088
2023-07-24,243.6,233,236.4,235,1.4000000000000057,327,6918,1637562.5
2023-07-25,239.5,228.6,231,236.4,-5.400000000000006,261,9807,2278757.5
2023-07-26,232,226.6,231,231,0,222,5915,1354934.2
2023-07-27,231,226.4,226.5,231,-4.5,155,3740,854366
2023-07-30,226.6,223.3,224.2,226.5,-2.3000000000000114,218,4962,1114022.4
2023-07-31,225.5,222.1,222.6,224.2,-1.5999999999999943,256,5047,1126835.7
2023-08-01,227,215,218,222.6,-4.599999999999994,294,5789,1263971
2023-08-02,218,212.2,217,218,-1,263,5621,1203932
2023-08-03,217,212.1,214.1,217,-2.9000000000000057,250,6941,1483273
2023-08-06,210,206.1,207.5,214.1,-6.599999999999994,266,5060,1050285.3
2023-08-07,208,203.4,207,207.5,-0.5,348,6245,1280241.8
2023-08-08,214.2,200.1,201.1,207,-5.900000000000006,319,5131,1047159.6
2023-08-09,209,197.3,205,201.1,3.9000000000000057,287,4027,812190.6
2023-08-10,213,202,203.8,205,-1.1999999999999886,291,4690,962863.1
2023-08-13,210,200.3,201.6,203.8,-2.200000000000017,474,10515,2149226.6
2023-08-14,208,200,202,201.6,0.4000000000000057,343,4015,811154.5
2023-08-15,202,198.1,198.1,202,-3.9000000000000057,235,4555,910254.4
2023-08-16,198,192.2,196,198.1,-2.0999999999999943,155,6020,1175079
2023-08-17,199.9,188.6,188.9,196,-7.099999999999994,163,4100,780133
2023-08-20,189,181,182,188.9,-6.900000000000006,249,5320,974911
