date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-10-12,397.2,361.1,397.2,0,397.2,1300,13674,5423319.6
2023-10-16,436.9,358.2,362.5,397.2,-34.69999999999999,5496,69045,26937096.6
2023-10-17,387,356,360.1,362.5,-2.3999999999999773,1407,24008,8718952.2
2023-10-18,385,355.2,385,360.1,24.899999999999977,779,8654,3232523
2023-10-19,387,372.7,384.5,385,-0.5,401,7467,2839725.7
2023-10-29,376.9,358.3,367,384.5,-17.5,648,13335,4825765.1
2023-10-30,374,352.8,366,367,-1,491,10137,3663015.2
2023-10-31,369,360,369,366,3,327,4920,1780862
2023-11-01,366,356,361.1,369,-7.899999999999977,310,4299,1555648.6
2023-11-02,364,354,357.1,361.1,-4,344,5930,2125822
2023-11-05,360,352,356,357.1,-1.1000000000000227,279,3910,1392208
2023-11-06,372,355,366.5,356,10.5,399,7390,2684543
2023-11-07,384.8,360,370,366.5,3.5,288,5410,2026219.5
2023-11-08,398,363.7,395,370,25,389,17150,6650691.5
2023-11-09,400,378,378.4,395,-16.600000000000023,159,5930,2271360
2023-11-20,390.2,377.4,389,378.4,10.600000000000023,291,6922,2665248
2023-11-21,384,376.1,382,389,-7,228,10370,3941785.2
2023-11-22,391,375,391,382,9,267,5561,2113798.8
2023-11-23,403,379,398,391,7,306,9037,3581347.8
2023-11-26,437.8,390.1,437.8,398,39.80000000000001,737,25091,10754149
2023-11-27,462,437,446.5,437.8,8.699999999999989,614,40705,18183362.4
2023-11-28,454,433.3,438,446.5,-8.5,378,15082,6673576.9
2023-11-29,443,425.3,430,438,-8,226,6210,2693334
2023-11-30,438,417,418.3,430,-11.699999999999989,237,5820,2470629
2023-12-03,432,413,432,418.3,13.699999999999989,254,6337,2658210.1
2023-12-04,445,410,435,432,3,272,15943,6769850.8
2023-12-05,430,418,425,435,-10,194,5080,2150630
2023-12-06,435,417.1,434.7,425,9.699999999999989,228,9610,4113518.6
2023-12-07,443.3,427.1,427.1,434.7,-7.599999999999966,261,14212,6148936
2023-12-10,450,435.6,441,427.1,13.899999999999977,18,3650,1614825
2023-12-11,464,432,455,441,14,635,37059,16619787.8
2023-12-12,484.9,445.9,477,455,22,396,13807,6509979
2023-12-13,494,458.8,470,477,-7,375,19877,9428226.5
2023-12-14,472,454.1,462,470,-8,284,17738,8256502.5
2023-12-17,499,452,487,462,25,595,43595,21044348
2023-12-18,504,475,494,487,7,447,30405,14830129.6
2023-12-19,505,481,505,494,11,400,16673,8246623.7
2023-12-20,520,493,515,505,10,492,31910,16096183.5
2023-12-21,558,490.5,558,515,43,530,33285,17137113.1
2023-12-24,574.9,525,526.2,558,-31.799999999999955,664,30713,17012789
2023-12-27,542.9,516,532,526.2,5.7999999999999545,483,21147,11206074.7
2023-12-28,538,525,528,532,-4,397,12276,6515619.8
2024-01-01,538,506,508,528,-20,349,11187,5800771.4
2024-01-02,510,497.9,510,508,2,327,15680,7924481
2024-01-03,561,502,561,510,51,542,21702,11664834.2
2024-01-04,590,549.8,570,561,9,481,30252,17459990.8
2024-01-07,588.9,547.6,584,570,14,449,29562,16894989
2024-01-08,590,555,584.4,584,0.39999999999997726,387,25259,14488672
2024-01-09,593,565,574,584.4,-10.399999999999977,323,23928,13767140.5
2024-01-10,575,555.1,555.1,574,-18.899999999999977,238,7992,4516071
2024-01-11,570,552,563,555.1,7.899999999999977,244,10255,5770291
2024-01-14,582,563.2,577,563,14,269,18537,10661838.1
2024-01-16,598,558,598,577,21,432,36138,21017285
2024-01-17,603.8,567,603.8,598,5.7999999999999545,446,23335,13674432.6
2024-01-18,597.9,570,597,603.8,-6.7999999999999545,458,20337,11968569.5
2024-01-21,600,572,580,597,-17,400,17183,10083827.1
2024-01-22,586,562,578,580,-2,337,14318,8166426.5
2024-01-23,578,560.2,567.2,578,-10.799999999999955,269,5524,3135411.8
2024-01-24,580,550.1,563,567.2,-4.2000000000000455,200,8008,4488084
2024-01-25,575,552,570,563,7,261,13339,7538152
2024-01-28,581,562,575,570,5,343,12004,6860915.1
2024-01-29,595.9,566.3,591,575,16,338,19958,11597649
2024-01-30,620,583,612,591,21,667,35369,21418579.1
2024-01-31,620,590,620,612,8,342,28262,17091142.9
2024-02-01,610,590.1,605,620,-15,194,10095,6073565
2024-02-04,646,590.1,646,605,41,251,24794,15106315
2024-02-05,710,620,649.9,646,3.8999999999999773,379,28825,18291379.7
2024-02-06,689.5,623.5,649,649.9,-0.8999999999999773,228,10980,7083674.6
2024-02-07,659,610,632,649,-17,326,31730,19575716.1
2024-02-08,640,597,621.5,632,-10.5,223,24648,15096368.6
2024-02-11,632,609,620,621.5,-1.5,260,31579,19366636.1
2024-02-12,639,607.6,629,620,9,201,9146,5691497.4
2024-02-13,634.4,615,631.7,629,2.7000000000000455,212,18287,11390217.4
2024-02-14,637,615,617,631.7,-14.700000000000045,185,10972,6834201
2024-02-15,625,607.1,616,617,-1,202,9883,6067161.3
2024-02-18,606.3,595.1,596,616,-20,235,8652,5207992.5
2024-02-20,606.9,586.1,605,596,9,277,18812,11265474
2024-02-21,610,594.1,600,605,-5,201,8868,5317150.9
2024-02-22,600,581.2,595,600,-5,202,10140,5977308.6
2024-02-25,595,566,592,595,-3,160,7199,4172082
2024-02-26,590,569,590,592,-2,126,6550,3780212
2024-02-27,590,570,579,590,-11,72,2640,1533995
