date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-07-28,367.4,334,367.4,,33.4,1358,13720,5036712
2022-07-29,404.1,363,378,367.4,10.6,3278,55635,20842346.1
2022-07-31,395.8,370,395.8,378,17.8,2020,22370,8461266.4
2022-08-01,410.1,375.1,406.5,395.8,10.7,1184,21390,8558967
2022-08-02,447.1,398,447.1,406.5,40.6,1364,41189,17660563
2022-08-03,482.6,435,466.1,447.1,19,958,30777,14198570.2
2022-08-04,495.5,448,487,466.1,20.9,992,33555,16129705.5
2022-08-05,482.4,459,472.1,487,-14.9,750,26010,12336119.7
2022-08-07,504,465.1,482,472.1,9.9,1151,27273,13109018.2
2022-08-08,520,480,497,482,15,1108,27790,13860900
2022-08-09,515,480,487,497,-10,875,19469,9474064
2022-08-10,484.5,470,477,487,-10,760,14665,6969095
2022-08-11,499,468,468,477,-9,651,18162,8653948.5
2022-08-14,486,458.7,459.2,468,-8.8,651,15793,7290647.9
2022-08-15,475.2,450,475,459.2,15.8,527,12940,6051166.6
2022-08-16,493,458,467,475,-8,410,23137,10775743.5
2022-08-17,480,453,475,467,8,452,26513,12493178.5
2022-08-18,499.5,466.1,489,475,14,652,21993,10776042.1
2022-08-22,495,465.2,481.4,476,5.4,392,10150,4786722
2022-08-23,480,467,479,481.4,-2.4,326,5090,2414028
2022-08-24,480,461.1,472,479,-7,322,9780,4621758
2022-08-25,480,460.1,461,472,-11,315,13306,6197379.5
2022-08-26,457,449,454.9,461,-6.1,160,5720,2585807
2022-08-28,455.9,428.5,445,454.9,-9.9,351,16573,7315287.6
2022-08-29,452,423.3,440,445,-5,255,10911,4750252.4
2022-08-30,456,432,434,440,-6,142,3151,1374277
2022-08-31,450,412,414,434,-20,208,8330,3510895.3
2022-09-01,433,400.7,429,414,15,245,5130,2141765
2022-09-02,444.7,420.1,421,429,-8,61,1210,513124
2022-09-04,444,415,429,421,8,272,5245,2235917
2022-09-05,437.5,423.6,425.4,429,-3.6,195,3360,1438730
2022-09-06,433,412,426,425.4,0.6,147,4421,1854474.2
2022-09-07,430,411,421.4,426,-4.6,157,1750,732858
2022-09-08,437,416.7,437,421.4,15.6,169,3940,1675343
2022-09-11,439,422.6,427,437,-10,134,3400,1451418
2022-09-12,421,416,420,427,-7,151,3030,1266798
2022-09-13,436.5,415,421,420,1,157,3790,1595917
2022-09-14,440,415,437,421,16,288,13157,5643859.8
2022-09-15,430,403.1,411,437,-26,190,10060,4172264.5
2022-09-16,423.3,389,423,411,12,77,5390,2165341
2022-09-18,414.6,394,409,423,-14,160,5110,2048021
2022-09-20,405,380,388,409,-21,138,4161,1614934
2022-09-21,395,380,380,388,-8,106,2750,1054751
2022-09-22,394,353,360,380,-20,141,16182,5896886.8
2022-09-25,360,345,354.9,360,-5.1,117,2217,774577.1
2022-09-27,367.2,340,363,354.9,8.1,106,4395,1544084
2022-09-28,360,345,345,363,-18,46,1439,502062
2022-09-29,361,338.1,358,345,13,47,725,252600
2022-10-09,367,348,367,358,9,53,870,309679
2022-10-10,368,343.6,367.9,367,0.9,72,6495,2243502
2022-10-11,360.6,336.3,341.5,367.9,-26.4,59,4460,1525515.2
2022-10-12,356,331,353.6,341.5,12.1,65,1356,460161
