date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-05-25,110.9,104.7,110.9,,6.2,23,130,13825.4
2022-05-26,113.1,113.1,113.1,110.9,2.2,6,30,3412.7
2022-05-30,124.4,115.3,124.4,113.1,11.3,9,80,9668.2
2022-05-31,126.8,124.4,126.8,124.4,2.4,5,30,3780
2022-06-01,139.4,124.4,139.4,126.8,12.6,6,60,7963
2022-06-02,153.3,136.8,153.3,139.4,13.9,8,80,11688
2022-06-03,168.6,153.3,168.6,153.3,15.3,9,70,11323.7
2022-06-06,185.4,171.9,185.4,168.6,16.8,10,100,18207
2022-06-07,203.9,189.1,203.9,185.4,18.5,12,120,24102
2022-06-08,224.2,207.9,224.2,203.9,20.3,11,100,22012.7
2022-06-09,246.6,228,246.6,224.2,22.4,15,150,36520
2022-06-10,271.2,251.5,271.2,246.6,24.6,39,400,107996
2022-06-13,298.3,276.6,298.3,271.2,27.1,216,2160,643794
2022-06-14,328.1,270,274,298.3,-24.3,3561,48906,13854570.1
2022-06-15,274,246.6,250,274,-24,1345,34219,8570788.5
2022-06-16,274.3,230,259.9,250,9.9,632,10055,2535242
2022-06-17,275,245.1,265,259.9,5.1,385,8537,2157757.3
2022-06-19,270,243,243.3,265,-21.7,419,8433,2091193
2022-06-20,248.1,226,229.1,243.3,-14.2,392,11693,2706232.7
2022-06-21,245,225,232.5,229.1,3.4,237,6532,1525677.5
2022-06-22,237.1,219.5,224.5,232.5,-8,189,7003,1569792.9
2022-06-23,228.9,203.5,209,224.5,-15.5,262,12774,2692192
2022-06-24,224.4,201.2,213,209,4,165,3625,763717.5
2022-06-26,234,217.2,230,213,17,235,7365,1661279.9
2022-06-27,244,224,224,230,-6,254,14086,3263333.9
2022-06-28,228,220,225,224,1,201,6150,1371064.5
2022-06-30,241.8,228.4,239,228.1,10.9,220,10243,2421362.8
2022-07-01,245.8,225.7,245,239,6,195,12622,3026795.1
2022-07-03,260.1,237,256,245,11,294,12589,3133508.1
2022-07-04,268.1,247.1,247.1,256,-8.9,387,19683,5114300.8
2022-07-05,260,237.5,239,247.1,-8.1,296,15683,3845419.1
2022-07-06,248.1,229.4,246,239,7,273,6930,1640367.4
2022-07-07,252,240,245,246,-1,203,7220,1754439
2022-07-08,241,233,233,245,-12,119,4562,1071110.6
2022-07-11,233,219,219,233,-14,182,7360,1642411
2022-07-12,231.9,216.1,231.5,219,12.5,161,3574,794889.2
2022-07-13,246,225,244.9,231.5,13.4,240,6517,1524841.8
2022-07-14,249.7,234.3,244.7,244.9,-0.2,240,6125,1474809.8
2022-07-15,241,231,239.7,244.7,-5,127,5220,1224217
2022-07-17,240.7,225.8,236,239.7,-3.7,195,3582,841796.4
2022-07-18,241,231,237,236,1,140,2688,630535.1
2022-07-19,248.8,232.5,244,237,7,268,7432,1808411
2022-07-20,253.7,236.6,246,244,2,216,10071,2478576.1
2022-07-21,245,236.3,243,246,-3,117,2985,719224
2022-07-22,244,233.5,239,243,-4,69,2640,627557
2022-07-24,261.1,231,260,239,21,379,12895,3241188
2022-07-25,286,260,286,260,26,444,36630,10005997.8
2022-07-26,306,271.1,295,286,9,508,21245,6217461.6
2022-07-27,317.2,280.1,312,295,17,539,29128,8757474.2
2022-07-28,316.4,291.1,300,312,-12,537,33095,10245612.2
2022-07-29,307,290.1,295.1,300,-4.9,223,8061,2386713.7
2022-07-31,313,289.2,305,295.1,9.9,400,18976,5597205
2022-08-01,311,295,299,305,-6,410,20919,6291685.9
2022-08-02,300,289.1,299.8,299,0.8,293,15095,4447698.5
2022-08-03,329.7,299.8,329.7,299.8,29.9,658,39216,12588612.2
2022-08-04,362.6,336.2,362.6,329.7,32.9,759,49371,17562647.6
2022-08-05,397,362.6,372,362.6,9.4,690,42222,16183457
2022-08-07,380,347,367,372,-5,699,38350,13904948.3
2022-08-08,373,360,361.2,367,-5.8,475,31650,11529769
2022-08-09,368,340,342.1,361.2,-19.1,389,18559,6457458.7
2022-08-10,350,330.1,340,342.1,-2.1,362,13782,4631740.2
2022-08-11,346.8,334,334.1,340,-5.9,264,11647,3913598
2022-08-14,340.7,323.4,330,334.1,-4.1,339,8260,2729824.6
2022-08-15,345.4,317.2,345,330,15,315,10960,3693437.4
2022-08-16,351.7,322.1,330.2,345,-14.8,262,22557,7608711
2022-08-17,336.8,325.1,334,330.2,3.8,249,13437,4439040.8
2022-08-18,364,327.2,362,334,28,516,35571,12423302.7
2022-08-22,348.9,337.2,344,349,-5,292,9742,3328614.8
2022-08-23,344,335,341.9,344,-2.1,270,7390,2506399.6
2022-08-24,348.7,335.1,344,341.9,2.1,307,6490,2217895
