date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-01-18,261.7,246.7,261.7,,15.0,8,61,15351.9
2022-01-19,287.8,261.7,287.8,261.7,26.1,6,51,14141.9
2022-01-20,316.5,293.5,316.5,287.8,28.7,7,70,21588.0
2022-01-23,348.1,322.0,348.1,316.5,31.6,13,130,44597.0
2022-01-24,382.9,355.0,382.9,348.1,34.8,14,140,52920.0
2022-01-25,421.1,390.5,421.1,382.9,38.2,39,5584,2350671.4
2022-01-26,463.2,425.0,463.2,421.1,42.1,82,820,378778.0
2022-01-27,509.5,472.4,509.5,463.2,46.3,281,2810,1430783.0
2022-01-30,560.4,509.0,560.4,509.5,50.9,1751,33715,18377718.2
2022-01-31,616.4,560.0,616.4,560.4,56.0,1732,29721,17985381.8
2022-02-01,678.0,620.0,678.0,616.4,61.6,642,8999,6033149.5
2022-02-03,744.0,640.0,744.0,678.0,66.0,2898,46157,30917649.2
2022-02-06,744.0,673.0,700.0,744.0,-48.0,1245,24660,17055065.6
2022-02-07,724.2,652.8,668.0,700.0,-32.0,1048,29925,20223874.4
2022-02-08,734.8,665.0,734.8,668.0,66.8,571,17120,11667494.9
2022-02-09,734.0,675.3,686.0,734.8,-48.8,351,14439,9876242.0
2022-02-10,690.0,650.0,665.0,686.0,-21.0,362,13244,8845661.7
2022-02-13,651.7,615.0,615.0,665.0,-50.0,313,12863,8139649.5
2022-02-14,665.0,600.0,665.0,615.0,50.0,245,7814,4859195.5
2022-02-15,685.0,631.0,685.0,665.0,20.0,272,9550,6225941.0
2022-02-16,692.5,646.0,646.0,685.0,-39.0,258,11600,7605937.0
2022-02-17,646.0,619.0,620.0,646.0,-26.0,278,13685,8594270.6
2022-02-20,640.0,590.0,625.0,620.0,5.0,246,8903,5543418.0
2022-02-21,675.0,620.0,667.0,625.0,42.0,451,20037,13230859.5
2022-02-22,708.9,665.0,693.0,667.0,26.0,575,24504,17064612.3
2022-02-23,736.0,680.1,733.0,693.0,40.0,749,36539,26192572.9
2022-02-24,724.0,677.5,697.0,733.0,-36.0,383,17184,12101682.6
2022-02-27,710.0,678.0,699.0,697.0,2.0,248,11991,8286376.0
2022-02-28,713.0,654.0,684.8,699.0,-14.2,266,16754,11263808.2
2022-03-02,671.2,650.0,669.5,684.8,-15.3,132,10065,6645690.5
2022-03-06,668.0,643.9,663.9,669.5,-5.6,172,4477,2933201.0
2022-03-07,703.0,652.0,703.0,663.9,39.1,167,6496,4363586.3
2022-03-09,714.0,657.0,665.0,703.0,-38.0,172,7166,4843514.6
2022-03-10,688.5,642.1,677.0,665.0,12.0,152,10378,6961018.5
2022-03-13,703.0,664.0,683.0,677.0,6.0,219,13279,9087324.7
2022-03-14,679.9,662.0,668.0,683.0,-15.0,32,1558,1043162.0
2022-03-15,678.0,660.0,673.9,668.0,5.9,176,11688,7781276.2
2022-03-16,680.0,658.0,674.0,673.9,0.1,103,4550,3021570.0
2022-03-20,715.0,657.0,676.3,674.0,2.3,162,8960,5995939.6
2022-03-21,702.7,653.0,671.9,676.3,-4.4,174,15617,10413140.4
2022-03-22,680.0,665.0,670.0,671.9,-1.9,124,4769,3186713.0
2022-03-23,660.0,645.0,646.0,670.0,-24.0,140,6230,4059067.5
2022-03-24,650.0,630.0,633.0,646.0,-13.0,134,3530,2260217.0
2022-03-27,650.0,608.0,609.0,633.0,-24.0,147,6618,4084286.5
2022-03-28,632.0,602.0,615.0,609.0,6.0,106,7254,4402531.0
2022-03-29,639.0,602.7,623.0,615.0,8.0,100,5463,3353299.0
2022-03-30,635.0,607.1,633.0,623.0,10.0,110,6102,3779323.8
2022-03-31,640.0,607.0,627.3,633.0,-5.7,144,5590,3444673.0
2022-04-03,625.0,601.0,607.1,627.3,-20.2,106,5783,3510270.0
2022-04-04,613.1,596.2,596.2,607.1,-10.9,127,4805,2896660.0
2022-04-05,596.0,566.0,590.0,596.2,-6.2,128,7330,4239064.0
2022-04-06,585.0,557.5,566.0,590.0,-24.0,86,3977,2278883.0
2022-04-07,586.0,562.0,,566.0,20.0,122,5225,3001349.0
2022-04-11,633.0,560.1,561.0,586.0,-25.0,103,3580,2106092.0
2022-04-12,556.9,530.0,540.0,561.0,-21.0,89,4668,2526893.5
2022-04-13,550.0,515.0,540.0,540.0,,94,3455,1860878.0
2022-04-17,532.5,511.6,512.0,540.0,-28.0,80,3725,1928609.6
2022-04-18,512.0,494.1,495.0,512.0,-17.0,94,4815,2438159.0
2022-04-19,528.0,467.2,509.0,495.0,14.0,59,2698,1318223.1
2022-04-20,519.0,479.0,480.0,509.0,-29.0,82,3260,1592048.0
2022-04-21,490.0,462.0,488.0,480.0,8.0,61,1832,871863.0
2022-04-24,518.0,452.0,518.0,488.0,30.0,169,11361,5497773.8
2022-04-25,527.0,497.6,510.0,518.0,-8.0,82,4355,2209546.5
2022-04-26,510.0,495.0,500.0,510.0,-10.0,47,947,473841.0
2022-04-27,510.0,490.0,493.6,500.0,-6.4,72,4615,2297316.5
2022-04-28,510.0,484.5,498.0,493.6,4.4,65,3300,1619809.0
2022-05-02,488.5,465.0,467.0,498.0,-31.0,37,1362,644693.0
2022-05-04,469.4,436.0,442.0,467.0,-25.0,59,2606,1172377.5
2022-05-05,435.0,410.0,415.0,442.0,-27.0,99,6370,2674280.6
2022-05-08,423.3,392.3,423.0,415.0,8.0,67,3783,1524428.0
2022-05-09,429.4,411.7,420.0,423.0,-3.0,61,3380,1429784.0
2022-05-10,444.5,411.6,442.0,420.0,22.0,78,3545,1518554.0
2022-05-11,479.4,436.7,479.0,442.0,37.0,80,3651,1684514.0
2022-05-12,498.0,461.2,498.0,479.0,19.0,86,5586,2643194.7
2022-05-17,507.9,448.2,449.0,498.0,-49.0,92,8018,3677022.5
2022-05-18,464.0,426.3,458.9,449.0,9.9,54,2391,1055335.4
2022-05-19,470.0,439.1,439.1,458.9,-19.8,65,1610,724326.0
2022-05-20,456.7,431.5,440.0,439.1,0.9,52,2502,1101054.5
2022-05-23,440.0,424.0,428.0,440.0,-12.0,58,3558,1530275.0
2022-05-24,450.0,420.1,439.0,428.0,11.0,48,835,363431.0
2022-05-25,455.0,432.2,439.0,439.0,,43,2131,933573.6
2022-05-26,440.0,430.5,435.0,439.0,-4.0,33,1720,745955.0
2022-05-27,439.0,428.0,439.0,435.0,4.0,48,2070,895923.0
2022-05-30,442.0,415.0,428.0,439.0,-11.0,39,1418,602265.5
2022-05-31,422.2,412.0,420.0,428.0,-8.0,44,1636,677541.1
2022-06-01,429.5,408.1,414.0,420.0,-6.0,39,900,378422.0
2022-06-02,422.0,406.0,409.0,414.0,-5.0,31,950,392916.0
2022-06-03,413.5,401.0,402.0,409.0,-7.0,45,995,402333.0
2022-06-06,412.0,396.0,401.0,402.0,-1.0,39,925,370915.0
2022-06-07,400.0,384.3,391.9,401.0,-9.1,45,3295,1296508.2
2022-06-08,414.9,384.1,413.5,391.9,21.6,75,2484,1003742.7
2022-06-09,419.5,400.1,409.0,413.5,-4.5,57,3707,1510249.0
2022-06-10,408.9,395.0,408.8,409.0,-0.2,29,1596,643762.0
2022-06-13,401.0,388.1,388.1,408.8,-20.7,59,2187,862427.0
2022-06-14,389.6,380.4,384.0,388.1,-4.1,30,785,300911.0
2022-06-15,390.0,370.3,390.0,384.0,6.0,53,3618,1361323.0
2022-06-16,395.0,375.0,388.0,390.0,-2.0,32,810,309627.0
2022-06-17,383.0,370.0,370.0,388.0,-18.0,40,1745,651449.5
2022-06-19,370.0,349.2,364.2,370.0,-5.8,39,2110,744302.0
2022-06-20,357.0,343.1,348.8,364.2,-15.4,41,2401,830463.0
2022-06-21,364.0,342.0,350.0,348.8,1.2,42,1250,443746.0
2022-06-22,350.0,333.2,340.0,350.0,-10.0,31,1578,533944.0
2022-06-23,344.5,306.0,344.5,340.0,4.5,60,3031,942105.4
2022-06-24,345.0,324.0,338.1,344.5,-6.4,34,1335,446776.0
2022-06-26,369.0,337.2,369.0,338.1,30.9,88,6257,2208327.0
2022-06-27,391.4,345.8,391.4,369.0,22.4,91,4661,1698403.9
2022-06-28,399.2,360.0,382.0,391.4,-9.4,101,3696,1368123.1
2022-06-30,411.0,371.0,411.0,396.0,15.0,139,6833,2733853.8
2022-07-01,415.0,382.9,397.0,411.0,-14.0,54,2395,952660.0
2022-07-03,409.0,382.1,398.2,397.0,1.2,90,7587,3045247.6
2022-07-04,411.9,388.0,402.0,398.2,3.8,121,12086,4876378.5
2022-07-05,401.8,382.1,391.0,402.0,-11.0,74,3230,1259128.0
2022-07-06,398.0,375.0,382.0,391.0,-9.0,65,2050,791468.0
2022-07-07,399.0,373.4,374.1,382.0,-7.9,42,1567,598576.0
