date,high,low,close,previous,diff,numtrans,tradedshares,volume
2011-04-19,713,713,713,700,13,1,10,7130
2011-04-26,727,727,727,713,14,1,428755,311704885
2011-06-08,755,741,755,727,28,2,23,17225
2011-06-09,785,770,785,755,30,2,30,23370
2011-06-12,816,800,816,785,31,2,25,20160
2011-06-13,832,832,832,816,16,1,25,20800
2011-06-14,848,848,848,832,16,1,14,11872
2011-06-15,890,890,890,848,42,1,10,8900
2011-06-16,907,907,907,890,17,1,17,15419
2011-06-19,952,952,952,907,45,1,30,28560
2011-06-20,990,971,990,952,38,2,30,29320
2011-06-21,1009,1009,1009,990,19,1,10,10090
2011-06-23,1080,1059,1080,1009,71,2,70,74760
2011-06-26,1179,1134,1179,1080,99,3,110,126300
2011-06-27,1250,1202,1250,1179,71,3,130,158420
2011-06-29,1364,1312,1364,1250,114,3,180,241620
2011-06-30,1489,1432,1489,1364,125,3,190,279450
2011-07-05,1548,1518,1548,1489,59,2,20,30660
2011-07-10,1702,1578,1702,1548,154,7,550,896600
2011-07-11,1872,1736,1872,1702,170,5,50,90240
2011-07-13,1909,1835,1835,1872,-37,3,73,136737
2011-07-14,1799,1729,1729,1835,-106,3,60,106470
2011-07-17,1700,1691,1691,1729,-38,2,428805,725109705
2011-08-04,1690,1690,1690,1691,-1,2,320,540800
2011-08-10,1690,1690,1690,1690,,1,250,422500
2011-08-16,1690,1690,1690,1690,,2,250,422500
2011-08-18,1690,1690,1690,1690,,1,10,16900
2011-08-30,1690,1690,1690,1690,,3,200,338000
2011-10-10,1690,1690,1690,1690,,1,14,23660
2011-11-28,1690,1690,1690,1690,,1,127,214630
2012-04-12,1690,1690,1690,1690,,2,960,1622400
2012-09-11,1680,1680,1680,1690,-10,1,20,33600
2013-05-26,1680,1680,1680,1680,,2,20,33600
2013-07-15,1680,1680,1680,1680,,1,60,100800
2014-08-26,1660,1660,1660,1660,,1,840,1394400
2014-09-10,1660,1660,1660,1660,,2,82,136120
2016-11-15,1660,1660,1660,1660,,1,100,166000
2018-02-27,1693,1693,1693,1660,33,1,100,169300
2019-05-06,1760,1726,1760,1693,67,2,20,34860
2019-10-10,1830,1795,1830,1760,70,2,134,244870
2021-08-01,1903.9,1866.6,1903.9,1830,73.9,2,360,685031
2022-05-17,1941.9,1941.9,1941.9,1903.9,38,1,21,40779.9
2022-09-13,2136,1980.7,2136,1941.9,194.1,5,52,106957.4
2022-09-14,2178.7,2178.7,2178.7,2136,42.7,1,10,21787
2022-09-25,2222.2,2222.2,2222.2,2178.7,43.5,1,10,22222
2023-07-11,2311.9,2266.6,2311.9,2222.2,89.70000000000027,2,20,45785
2023-08-07,2405.2,2358.1,2405.2,2311.9,93.29999999999973,2,20,47633
2023-09-24,2453.3,2453.3,2453.3,2405.2,48.100000000000364,1,22,53972.6
2023-12-11,2698.6,2502.3,2698.6,2453.3,245.29999999999973,5,50,130118
2023-12-12,2968.4,2752.5,2968.4,2698.6,269.8000000000002,5,50,143128
2023-12-13,3265.2,3027.7,3265.2,2968.4,296.7999999999997,5,50,157438
2023-12-14,3591.7,3330.5,3591.7,3265.2,326.5,5,50,173186
2023-12-17,3950.8,3663.5,3950.8,3591.7,359.10000000000036,5,50,190500
2023-12-18,4345.8,3950.7,4345.8,3950.8,395,6,60,249050
2023-12-19,4780.3,4432.7,4780.3,4345.8,434.5,5,50,230499
2023-12-20,5258.3,4875.9,5258.3,4780.3,478,5,50,253546
2023-12-21,5784.1,5363.4,5784.1,5258.3,525.8000000000002,5,50,278897
2023-12-24,6362.5,5899.7,6362.5,5784.1,578.3999999999996,5,50,306783
2023-12-27,6235.5,6235.5,6235.5,6362.5,-127,1,10,62355
2024-01-31,6360.2,6360.2,6360.2,6235.5,124.69999999999982,1,10,63602
2024-02-12,6996.2,6487.4,6996.2,6360.2,636,5,50,337344
2024-02-13,7695.8,7136.1,7695.8,6996.2,699.6000000000004,5,50,371077
2024-02-14,8465.3,7849.7,8465.3,7695.8,769.4999999999991,5,50,408183
2024-02-15,9311.8,8634.6,9311.8,8465.3,846.5,5,50,448998
2024-02-18,10242.9,9498,10242.9,9311.8,931.1000000000004,6,60,596325
2024-02-20,11267.1,10447.7,11267.1,10242.9,1024.2000000000007,5,50,543281
2024-02-21,12393.8,11492.4,12393.8,11267.1,1126.699999999999,5,50,597607
2024-02-22,13415.2,12641.6,13415.2,12393.8,1021.4000000000015,4,40,521034
2024-02-25,14756.7,13683.5,14756.7,13415.2,1341.5,6,61,873867.7
2024-02-26,16232.3,15051.8,16232.3,14756.7,1475.5999999999985,5,50,782696
2024-02-27,17855.5,16556.9,17855.5,16232.3,1623.2000000000007,5,50,860963
2024-02-28,19641,17855.5,19641,17855.5,1785.5,21,220,4036052
2024-02-29,21605.1,20033.8,21605.1,19641,1964.0999999999985,7,70,1473863
2024-03-03,23765.6,19511,22834,21605.1,1228.9000000000015,67,687,15134546.6
2024-03-04,23290.6,23290.6,23290.6,22834,456.59999999999854,1,10,232906
2024-03-05,23756.4,20961.6,20962,23290.6,-2328.5999999999985,36,366,7805581
2024-03-06,21381,19336,21000,20962,38,15,160,3279171
2024-03-07,21500,18900,21500,21000,500,29,330,6492282
2024-03-12,21070,21070,21070,21500,-430,1,10,210700
2024-03-14,20648.6,20648.6,20648.6,21070,-421.40000000000146,1,10,206486
2024-03-17,20235.7,20235.7,20235.7,20648.6,-412.8999999999978,1,10,202357
2024-03-20,19831,18350,18350,20235.7,-1885.7000000000007,6,60,1136772
2024-03-21,17983,16615,16615,18350,-1735,24,241,4137084
