date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-05-30,301.0,301.0,301.0,295.0,6.0,1,315,94815.0
2010-05-31,322.0,305.0,322.0,301.0,21.0,4,300,94040.0
2010-06-02,328.0,328.0,328.0,322.0,6.0,1,63,20664.0
2010-06-03,334.0,334.0,334.0,328.0,6.0,1,40,13360.0
2010-06-07,359.0,340.0,359.0,334.0,25.0,4,115,40895.0
2010-06-08,366.0,366.0,366.0,359.0,7.0,1,20,7320.0
2010-06-09,380.0,373.0,380.0,366.0,14.0,2,20,7530.0
2010-06-10,418.0,387.0,418.0,380.0,38.0,6,110,44310.0
2010-06-13,450.0,418.0,450.0,418.0,32.0,6,151,65734.0
2010-06-14,459.0,459.0,459.0,450.0,9.0,2,70,32130.0
2010-06-15,470.0,460.0,465.0,459.0,6.0,10,449,209783.0
2010-06-16,474.0,452.0,474.0,465.0,9.0,10,393,182860.0
2010-06-17,483.0,482.0,483.0,474.0,9.0,2,60,28930.0
2010-06-20,492.0,489.0,492.0,483.0,9.0,3,193,94740.0
2010-06-21,501.0,500.0,500.0,492.0,8.0,2,50,25010.0
2010-06-22,510.0,510.0,510.0,500.0,10.0,1,10,5100.0
2010-06-23,530.0,520.0,530.0,510.0,20.0,2,80,42000.0
2010-06-28,530.0,530.0,530.0,530.0,,1,90,47700.0
2010-06-30,520.0,519.0,519.0,530.0,-11.0,4,510,264843.0
2010-07-04,529.0,529.0,529.0,519.0,10.0,1,63,33327.0
2010-07-05,519.0,519.0,519.0,529.0,-10.0,2,66,34254.0
2010-07-07,509.0,509.0,509.0,519.0,-10.0,2,124,63116.0
2010-07-08,499.0,490.0,490.0,509.0,-19.0,5,200,98900.0
2010-07-18,481.0,481.0,481.0,490.0,-9.0,1,50,24050.0
2010-07-19,472.0,472.0,472.0,481.0,-9.0,1,20,9440.0
2010-07-20,465.0,465.0,465.0,472.0,-7.0,1,30,13950.0
2010-07-21,456.0,450.0,450.0,465.0,-15.0,2,52,23652.0
2010-07-22,450.0,440.0,448.0,450.0,-2.0,4,439,193952.0
2010-07-25,440.0,440.0,440.0,448.0,-8.0,1,101,44440.0
2010-07-26,438.0,438.0,438.0,440.0,-2.0,1,100,43800.0
2010-07-28,446.0,446.0,446.0,438.0,8.0,1,18,8028.0
2010-08-03,440.0,438.0,440.0,446.0,-6.0,2,294,129276.0
2010-08-05,456.0,448.0,456.0,440.0,16.0,2,70,31520.0
2010-08-10,450.0,450.0,450.0,456.0,-6.0,1,80,36000.0
2010-08-11,445.0,442.0,442.0,450.0,-8.0,2,50,22172.0
2010-08-16,435.0,435.0,435.0,442.0,-7.0,1,63,27405.0
