date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-07-18,1000,1000,1000,,,1,25,25000
2022-07-19,980.1,922.5,922.5,1000,-77.5,5,50,47842
2022-07-20,905,874.6,890,922.5,-32.5,16,235,207609.5
2022-07-21,880.2,873,880.2,890,-9.8,4,100,87835
2022-07-24,897.6,865.4,897.6,880.2,17.4,9,200,175814.5
2022-07-25,885,877,878,897.6,-19.6,5,125,109997.5
2022-07-26,899.9,882,882,878,4,3,75,66935
2022-07-27,878,869.6,878,882,-4,2,50,43690
2022-07-31,892.5,875,892.5,878,14.5,2,40,35262.5
2022-08-01,886,884,884,892.5,-8.5,2,50,44250
2022-08-02,881,870,881,884,-3,6,150,130905
2022-08-03,885,885,885,881,4,2,50,44250
2022-08-04,885,884.1,884.1,885,-0.9,2,20,17691
2022-08-07,880,876.1,876.1,884.1,-8,2,55,48302.5
2022-08-09,890,877.1,890,876.1,13.9,2,50,44177.5
2022-08-10,880,880,880,890,-10,2,25,22000
2022-08-11,881,880.2,881,880,1,2,55,48431
2022-08-14,881,881,881,881,,1,30,26430
2022-08-16,895,881.3,881.3,881,0.3,2,50,44407.5
2022-08-17,883.3,866,883.3,881.3,2,2,50,43732.5
2022-08-22,892.7,868.6,892.7,885,7.7,3,50,43770
2022-08-23,890,874.9,880,892.7,-12.7,7,160,140638.5
2022-08-24,870,866,868.3,880,-11.7,5,95,82431
2022-08-25,871.5,871.5,871.5,868.3,3.2,1,25,21787.5
2022-08-28,870.1,870,870,871.5,-1.5,10,235,204471
2022-08-30,871.2,870.6,871.2,870,1.2,3,75,65322.5
2022-08-31,873.1,871.4,871.4,871.2,0.2,4,75,65440.5
2022-09-04,880,866,873,871.4,1.6,7,205,179175
2022-09-07,870,870,870,873,-3,1,25,21750
2022-09-11,870,870,870,870,,1,25,21750
2022-09-18,854.1,853.1,854.1,870,-15.9,2,50,42680
2022-09-20,849,849,849,854.1,-5.1,1,25,21225
2022-09-22,847.4,843.2,847.4,849,-1.6,2,75,63345
2022-09-25,864.3,864.3,864.3,847.4,16.9,2,190,164217
2022-09-28,880,863,863,864.3,-1.3,2,75,65405
2022-09-29,848.1,848,848,863,-15,2,50,42402.5
2022-10-09,850.1,850.1,850.1,848,2.1,2,95,80759.5
2022-10-11,884,867.1,884,850.1,33.9,4,95,83055
2022-10-13,866.4,866.4,866.4,884,-17.6,1,25,21660
2022-10-20,855,855,855,866.4,-11.4,1,25,21375
2022-10-23,855,845,845,855,-10,3,100,85250
2022-11-01,849.9,849.9,849.9,845,4.9,1,25,21247.5
2022-11-02,850,850,850,849.9,0.1,2,50,42500
2022-11-06,834.3,834.3,834.3,850,-15.700000000000045,1,25,20857.5
2022-11-07,856.9,840.1,856.9,834.3,22.600000000000023,2,50,42425
2022-11-10,845.1,845.1,845.1,856.9,-11.799999999999955,1,50,42255
2022-11-13,842.5,842.5,842.5,845.1,-2.6000000000000227,1,25,21062.5
2022-11-14,842.5,842.5,842.5,842.5,0,1,25,21062.5
2022-11-15,859.3,859.3,859.3,842.5,16.799999999999955,1,25,21482.5
2022-11-23,850,850,850,859.3,-9.299999999999955,1,25,21250
2022-11-24,855,850,855,850,5,2,60,51175
2022-11-28,858,850,858,855,3,2,50,42700
2022-11-29,858,858,858,858,0,4,500,429000
2022-11-30,845,842,842,858,-16,3,95,80140
2022-12-01,850.1,842,850.1,842,8.100000000000023,2,50,42302.5
2022-12-04,850,850,850,850.1,-0.10000000000002274,1,60,51000
2022-12-05,850,850,850,850,0,1,25,21250
2022-12-12,840,840,840,850,-10,1,25,21000
2022-12-13,836,836,836,840,-4,1,25,20900
2022-12-14,838,838,838,836,2,1,25,20950
2022-12-18,838,838,838,838,0,1,25,20950
2022-12-19,840,838.5,839,838,1,3,65,54546.5
2022-12-20,850,838.5,850,839,11,2,50,42212.5
2022-12-21,850,850,850,850,0,1,25,21250
2022-12-27,850,840,850,850,0,5,225,189700
2022-12-28,850,850,850,850,0,1,50,42500
2022-12-29,851,851,851,850,1,1,15,12765
2023-01-01,868,865,868,851,17,2,125,108200
