date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-07-27,1000,1000,1000,,,1,100,100000
2022-09-22,980,941.4,941.4,1000,-58.6,3,65,62052
2022-10-10,922.6,922.6,922.6,941.4,-18.8,1,10,9226
2022-10-20,904.2,851.3,851.3,922.6,-71.3,5,105,92013
2022-10-23,858,837,858,851.3,6.7,5,125,105930
2022-10-31,850,850,850,858,-8,1,15,12750
2022-11-01,857.2,840.4,857.2,850,7.2,3,65,54993
2022-11-02,858,843.2,843.2,857.2,-14,4,45,38303
2022-11-03,870,843.2,870,843.2,26.799999999999955,7,125,106127.5
2022-11-07,856.1,853.1,856.1,870,-13.899999999999977,2,50,42730
2022-11-08,873.2,856.1,856.6,856.1,0.5,3,60,51549.5
2022-11-09,873.7,856,858,856.6,1.3999999999999773,6,140,120127
2022-11-10,853.4,852,853.4,858,-4.600000000000023,3,65,55417.5
2022-11-14,852,846.6,852,853.4,-1.3999999999999773,4,118,100049.9
2022-11-15,846.5,846.5,846.5,852,-5.5,1,25,21162.5
2022-11-16,846.9,842.6,846.9,846.5,0.39999999999997726,5,125,105722.5
2022-11-22,860,860,860,850,10,2,65,55900
2022-11-24,845.5,845.5,845.5,860,-14.5,1,25,21137.5
2022-11-30,842.5,842.5,842.5,845.5,-3,1,25,21062.5
2022-12-01,841.2,841.2,841.2,842.5,-1.2999999999999545,1,25,21030
2022-12-04,850,850,850,841.2,8.799999999999955,1,25,21250
2022-12-06,850,850,850,850,0,1,25,21250
2022-12-11,843,840.1,841.1,850,-8.899999999999977,5,125,105237.5
2022-12-18,841.1,841.1,841.1,841.1,0,1,25,21027.5
2022-12-20,857.9,842.7,842.7,841.1,1.6000000000000227,3,75,63585.1
2022-12-21,843,843,843,842.7,0.2999999999999545,1,25,21075
2022-12-27,838.7,838.6,838.6,843,-4.399999999999977,2,30,25160
2023-01-01,837.6,837.6,837.6,838.6,-1,1,25,20940
2023-01-02,854.3,854.3,854.3,837.6,16.699999999999932,1,25,21357.5
2023-01-04,845.3,845.2,845.2,854.3,-9.099999999999909,2,50,42262.5
2023-01-08,867,845.6,867,845.2,21.799999999999955,6,185,157837.9
2023-01-09,884.3,884.3,884.3,867,17.299999999999955,1,30,26529
2023-01-18,866.7,849.4,866.3,884.3,-18,7,175,150355
2023-01-19,849,849,849,866.3,-17.299999999999955,2,125,106125
2023-01-23,846.2,846.1,846.2,849,-2.7999999999999545,2,25,21153.5
2023-01-24,845,845,845,846.2,-1.2000000000000455,1,25,21125
2023-01-25,845,845,845,845,0,1,25,21125
2023-01-29,845,840.1,845,845,0,3,75,63130
2023-01-30,845,845,845,845,0,1,25,21125
2023-02-05,850,850,850,845,5,1,25,21250
2023-02-08,850,850,850,850,0,1,30,25500
2023-02-15,845,845,845,850,-5,1,25,21125
2023-02-22,861.9,844.7,844.7,845,-0.2999999999999545,2,50,42665
2023-02-23,838,838,838,844.7,-6.7000000000000455,1,25,20950
2023-02-26,825.1,825.1,825.1,838,-12.899999999999977,2,30,24753
2023-02-27,820,816,820,825.1,-5.100000000000023,2,50,40900
2023-03-01,819.1,819.1,819.1,820,-0.8999999999999773,1,25,20477.5
2023-03-15,835.4,835.4,835.4,819.1,16.299999999999955,1,10,8354
2023-03-22,832.8,832.8,832.8,835.4,-2.6000000000000227,1,25,20820
2023-03-23,831,831,831,832.8,-1.7999999999999545,1,25,20775
2023-03-27,833.1,832.3,833.1,831,2.1000000000000227,3,40,33308
2023-03-29,835.8,835.7,835.7,833.1,2.6000000000000227,2,50,41787.7
2023-04-06,840,840,840,835.7,4.2999999999999545,1,25,21000
2023-04-09,851,835.1,846,840,6,3,77,64972.7
2023-04-12,880,862.9,880,846,34,2,35,30629
2023-04-13,897.6,879.7,879.7,880,-0.2999999999999545,2,40,35456.5
2023-04-16,897.2,897.2,897.2,879.7,17.5,2,35,31402
2023-04-17,898,890,898,897.2,0.7999999999999545,2,47,42038
2023-04-18,915.9,900,900,898,2,2,58,52486.2
2023-04-23,905,895.1,895.1,900,-4.899999999999977,5,87,78254.4
2023-04-24,898.5,898.5,898.5,895.1,3.3999999999999773,2,40,35940
2023-04-26,897.1,897.1,897.1,898.5,-1.3999999999999773,2,27,24221.7
2023-04-30,905,905,905,897.1,7.899999999999977,2,50,45250
2023-05-02,890.2,890.2,890.2,905,-14.799999999999955,1,25,22255
2023-05-07,882.5,882.5,882.5,890.2,-7.7000000000000455,1,25,22062.5
2023-05-08,881.1,881.1,881.1,882.5,-1.3999999999999773,1,25,22027.5
2023-05-15,899,898.7,899,881.1,17.899999999999977,2,50,44942.5
2023-05-16,916,916,916,899,17,1,50,45800
2023-05-17,917.9,900,917.9,916,1.8999999999999773,4,85,76806.5
2023-05-21,915,915,915,917.9,-2.8999999999999773,1,25,22875
