date,high,low,close,previous,diff,numtrans,tradedshares,volume
2017-08-03,323.0,294.0,323.0,,323.0,33,775,244637.0
2017-08-06,355.0,300.0,316.0,323.0,-7.0,519,10396,3333783.0
2017-08-07,312.0,285.0,285.0,316.0,-31.0,277,4374,1288178.0
2017-08-09,280.0,257.0,260.0,285.0,-25.0,117,5869,1515113.0
2017-08-10,260.0,238.0,260.0,260.0,,55,2022,506640.0
2017-08-13,257.0,239.0,243.0,260.0,-17.0,24,379,92619.0
2017-08-15,240.0,220.0,221.0,243.0,-22.0,34,608,136848.0
2017-08-16,227.0,217.0,217.0,221.0,-4.0,28,528,117122.0
2017-08-17,214.0,209.0,211.0,217.0,-6.0,30,628,132194.0
2017-08-20,215.0,207.0,210.0,211.0,-1.0,41,700,146070.0
2017-08-21,218.0,197.0,201.0,210.0,-9.0,64,1788,372928.0
2017-08-22,207.0,198.0,200.0,201.0,-1.0,87,6521,1327556.0
2017-08-23,199.0,187.0,187.0,200.0,-13.0,64,3955,757350.0
2017-08-24,195.0,181.0,195.0,187.0,8.0,41,4342,834660.0
2017-08-27,200.0,193.0,200.0,195.0,5.0,72,2006,391950.0
2017-08-28,201.0,195.0,201.0,200.0,1.0,25,280,55418.0
2017-08-30,202.0,197.0,197.0,201.0,-4.0,20,1851,370363.0
2017-08-31,196.0,188.0,195.0,197.0,-2.0,31,487,94427.0
2017-09-04,192.0,186.0,186.0,195.0,-9.0,27,1582,299059.0
2017-09-06,190.0,186.0,190.0,186.0,4.0,24,370,69632.0
2017-09-07,190.0,183.0,183.0,190.0,-7.0,33,1146,211837.0
2017-09-10,183.0,174.0,177.0,183.0,-6.0,50,968,172121.0
2017-09-11,175.0,166.0,166.0,177.0,-11.0,15,179,30998.0
2017-09-12,165.0,164.0,164.0,166.0,-2.0,5,98,16116.0
2017-09-13,163.0,156.0,163.0,164.0,-1.0,11,184,29485.0
2017-09-14,163.0,160.0,163.0,163.0,,11,407,65918.0
2017-09-17,165.0,158.0,159.0,163.0,-4.0,15,248,39778.0
2017-09-18,165.0,157.0,163.0,159.0,4.0,20,603,97469.0
2017-09-20,165.0,161.0,161.0,163.0,-2.0,8,131,21205.0
2017-09-24,163.0,158.0,163.0,161.0,2.0,9,618,99240.0
2017-09-25,169.0,166.0,169.0,163.0,6.0,3,80,13490.0
2017-09-26,179.0,169.0,175.0,169.0,6.0,22,1151,199407.0
2017-10-03,175.0,172.0,172.0,175.0,-3.0,4,150,26148.0
2017-10-04,172.0,172.0,172.0,172.0,,4,40,6880.0
2017-10-08,173.0,166.0,173.0,172.0,1.0,7,94,15900.0
2017-10-09,170.0,168.0,168.0,173.0,-5.0,7,172,29084.0
2017-10-10,168.0,163.0,168.0,168.0,,18,228,37866.0
2017-10-11,168.0,165.0,168.0,168.0,,3,76,12690.0
2017-10-12,174.0,168.0,173.0,168.0,5.0,6,92,15796.0
2017-10-15,176.0,171.0,176.0,173.0,3.0,11,352,61108.0
2017-10-16,185.0,179.0,185.0,176.0,9.0,26,541,97977.0
2017-10-17,196.0,183.0,196.0,185.0,11.0,17,1005,190129.0
2017-10-18,196.0,195.0,196.0,196.0,,3,30,5870.0
2017-10-22,199.0,196.0,199.0,196.0,3.0,3,56,11054.0
2017-10-23,198.0,192.0,195.0,199.0,-4.0,26,422,82204.0
2017-10-24,205.0,195.0,205.0,195.0,10.0,23,888,176844.0
2017-10-25,213.0,201.0,201.0,205.0,-4.0,41,1238,250886.0
2017-10-29,199.0,197.0,199.0,201.0,-2.0,2,20,3960.0
2017-10-30,197.0,196.0,196.0,199.0,-3.0,4,88,17258.0
2017-10-31,195.0,190.0,195.0,196.0,-1.0,13,351,67361.0
2017-11-01,194.0,192.0,194.0,195.0,-1.0,9,197,38188.0
2017-11-02,194.0,190.0,190.0,194.0,-4.0,7,258,49241.0
2017-11-05,196.0,187.0,196.0,190.0,6.0,8,199,37756.0
2017-11-06,196.0,190.0,194.0,196.0,-2.0,8,114,22000.0
2017-11-07,191.0,188.0,188.0,194.0,-6.0,2,20,3790.0
2017-11-08,185.0,182.0,182.0,188.0,-6.0,9,162,29616.0
2017-11-09,185.0,173.0,185.0,182.0,3.0,16,378,68564.0
2017-11-12,182.0,178.0,181.0,185.0,-4.0,7,142,25434.0
2017-11-13,180.0,179.0,180.0,181.0,-1.0,16,424,76266.0
2017-11-14,180.0,175.0,180.0,180.0,,19,871,155119.0
2017-11-15,181.0,178.0,178.0,180.0,-2.0,12,225,40212.0
2017-11-16,181.0,175.0,178.0,178.0,,8,3014,536402.0
2017-11-19,175.0,172.0,175.0,178.0,-3.0,9,1655,289259.0
2017-11-20,178.0,176.0,176.0,175.0,1.0,6,60,10600.0
2017-11-21,177.0,171.0,175.0,176.0,-1.0,40,514,89924.0
2017-11-22,173.0,167.0,171.0,175.0,-4.0,36,387,66229.0
2017-11-23,170.0,170.0,170.0,171.0,-1.0,16,168,28560.0
2017-11-26,180.0,169.0,180.0,170.0,10.0,7,82,14266.0
2017-11-27,183.0,179.0,183.0,180.0,3.0,14,433,78206.0
2017-11-28,186.0,183.0,186.0,183.0,3.0,5,98,17984.0
2017-11-29,188.0,183.0,183.0,186.0,-3.0,13,671,124860.0
2017-11-30,188.0,180.0,188.0,183.0,5.0,18,333,61395.0
2017-12-04,185.0,180.0,181.0,188.0,-7.0,23,386,70471.0
2017-12-05,186.0,180.0,186.0,181.0,5.0,27,365,66392.0
2017-12-06,204.0,186.0,200.0,186.0,14.0,39,1341,264141.0
2017-12-10,199.0,193.0,199.0,200.0,-1.0,12,512,100696.0
2017-12-11,196.0,191.0,191.0,199.0,-8.0,7,94,18024.0
2017-12-12,192.0,188.0,189.0,191.0,-2.0,20,1884,358252.0
2017-12-13,188.0,185.0,185.0,189.0,-4.0,4,64,11900.0
2017-12-14,185.0,182.0,184.0,185.0,-1.0,13,130,23890.0
2017-12-17,184.0,180.0,184.0,184.0,,7,118,21518.0
2017-12-18,184.0,183.0,183.0,184.0,-1.0,11,278,51040.0
2017-12-19,184.0,181.0,183.0,183.0,,7,70,12790.0
2017-12-20,182.0,180.0,181.0,183.0,-2.0,5,122,22106.0
2017-12-21,184.0,178.0,184.0,181.0,3.0,17,573,105080.0
2017-12-24,181.0,172.0,172.0,184.0,-12.0,7,70,12400.0
2017-12-26,175.0,171.0,174.0,172.0,2.0,15,201,34797.0
2017-12-27,177.0,172.0,172.0,174.0,-2.0,10,272,47064.0
2017-12-28,173.0,170.0,171.0,172.0,-1.0,12,172,29393.0
2017-12-31,172.0,169.0,169.0,171.0,-2.0,13,648,110446.0
2018-01-01,178.0,170.0,175.0,169.0,6.0,11,154,26730.0
2018-01-02,183.0,172.0,180.0,175.0,5.0,18,1050,188760.0
2018-01-03,178.0,177.0,178.0,180.0,-2.0,5,94,16688.0
2018-01-04,181.0,175.0,181.0,178.0,3.0,12,299,53602.0
2018-01-07,185.0,180.0,183.0,181.0,2.0,7,238,43592.0
2018-01-08,184.0,183.0,183.0,183.0,,9,560,103030.0
2018-01-09,183.0,181.0,181.0,183.0,-2.0,9,141,25589.0
2018-01-10,180.0,179.0,179.0,181.0,-2.0,16,190,34160.0
2018-01-14,180.0,178.0,178.0,179.0,-1.0,3,45,8080.0
2018-01-16,175.0,169.0,169.0,178.0,-9.0,5,74,12788.0
2018-01-17,171.0,166.0,171.0,169.0,2.0,13,154,25864.0
2018-01-21,176.0,171.0,173.0,171.0,2.0,22,271,46860.0
2018-01-22,170.0,167.0,170.0,173.0,-3.0,4,40,6770.0
2018-01-23,168.0,165.0,168.0,170.0,-2.0,9,90,15070.0
2018-01-24,175.0,170.0,175.0,168.0,7.0,10,105,18035.0
2018-01-25,174.0,172.0,172.0,175.0,-3.0,13,135,23250.0
2018-01-28,173.0,170.0,173.0,172.0,1.0,15,179,30552.0
2018-01-29,176.0,170.0,170.0,173.0,-3.0,13,192,32980.0
2018-01-31,175.0,168.0,172.0,170.0,2.0,7,94,16136.0
2018-02-01,174.0,171.0,172.0,172.0,,3,72,12360.0
2018-02-04,170.0,166.0,168.0,172.0,-4.0,10,105,17665.0
2018-02-06,170.0,168.0,168.0,168.0,,4,152,25810.0
2018-02-07,171.0,168.0,171.0,168.0,3.0,5,563,96243.0
2018-02-08,174.0,170.0,172.0,171.0,1.0,13,736,125802.0
2018-02-11,172.0,169.0,169.0,172.0,-3.0,4,64,10876.0
2018-02-12,169.0,166.0,166.0,169.0,-3.0,9,538,90148.0
2018-02-14,168.0,168.0,168.0,166.0,2.0,4,88,14784.0
2018-02-15,174.0,168.0,174.0,168.0,6.0,9,148,25210.0
2018-02-18,180.0,177.0,180.0,174.0,6.0,4,40,7170.0
2018-02-20,177.0,174.0,174.0,180.0,-6.0,3,54,9426.0
2018-02-21,171.0,171.0,171.0,174.0,-3.0,2,20,3420.0
2018-02-22,171.0,168.0,171.0,171.0,,2,33,5574.0
2018-02-25,170.0,168.0,170.0,171.0,-1.0,9,204,34522.0
2018-02-26,173.0,170.0,171.0,170.0,1.0,8,435,74995.0
2018-02-27,170.0,170.0,170.0,171.0,-1.0,4,69,11730.0
2018-02-28,173.0,165.0,165.0,170.0,-5.0,5,813,135971.0
2018-03-05,162.0,160.0,160.0,165.0,-5.0,2,42,6740.0
2018-03-06,160.0,160.0,160.0,160.0,,1,10,1600.0
2018-03-07,163.0,159.0,160.0,160.0,,9,191,30615.0
2018-03-11,159.0,155.0,158.0,160.0,-2.0,10,243,38315.0
2018-03-12,155.0,150.0,154.0,158.0,-4.0,17,360,55390.0
2018-03-13,154.0,150.0,151.0,154.0,-3.0,20,220,33530.0
2018-03-14,149.0,149.0,149.0,151.0,-2.0,2,68,10132.0
2018-03-15,153.0,150.0,150.0,149.0,1.0,21,234,35500.0
2018-03-18,156.0,150.0,156.0,150.0,6.0,20,248,37724.0
2018-03-19,156.0,150.0,151.0,156.0,-5.0,8,211,32028.0
2018-03-20,148.0,148.0,148.0,151.0,-3.0,1,13,1924.0
2018-03-21,150.0,148.0,150.0,148.0,2.0,8,158,23632.0
2018-03-22,153.0,150.0,150.0,150.0,,5,120,18270.0
2018-03-26,153.0,148.0,148.0,150.0,-2.0,15,1624,244280.0
2018-03-27,147.0,145.0,145.0,148.0,-3.0,6,75,10895.0
2018-03-28,147.0,145.0,147.0,145.0,2.0,2,20,2920.0
2018-03-29,149.0,146.0,149.0,147.0,2.0,3,30,4420.0
2018-04-01,149.0,148.0,148.0,149.0,-1.0,7,94,13922.0
2018-04-02,149.0,148.0,148.0,148.0,,3,34,5052.0
2018-04-04,152.0,150.0,152.0,148.0,4.0,2,23,3470.0
2018-04-05,160.0,153.0,160.0,152.0,8.0,7,275,43537.0
2018-04-08,163.0,159.0,159.0,160.0,-1.0,10,100,16160.0
2018-04-09,162.0,159.0,159.0,159.0,,8,522,83078.0
2018-04-11,156.0,156.0,156.0,159.0,-3.0,3,54,8424.0
2018-04-12,159.0,143.0,154.0,156.0,-2.0,24,320,48422.0
2018-04-15,160.0,157.0,157.0,154.0,3.0,5,87,13791.0
2018-04-16,157.0,157.0,157.0,157.0,,3,33,5181.0
2018-04-18,160.0,160.0,160.0,157.0,3.0,1,10,1600.0
2018-04-19,168.0,160.0,168.0,160.0,8.0,18,564,92812.0
2018-04-22,171.0,165.0,165.0,168.0,-3.0,17,261,43275.0
2018-04-23,168.0,165.0,165.0,165.0,,12,198,32710.0
2018-04-24,168.0,162.0,168.0,165.0,3.0,5,144,24012.0
2018-04-25,171.0,168.0,168.0,168.0,,6,240,40360.0
2018-04-26,168.0,165.0,166.0,168.0,-2.0,16,902,148983.0
2018-04-29,165.0,161.0,161.0,166.0,-5.0,5,140,22620.0
2018-05-02,158.0,158.0,158.0,161.0,-3.0,4,284,44872.0
2018-05-03,164.0,160.0,160.0,158.0,2.0,11,194,31113.0
2018-05-06,157.0,154.0,156.0,160.0,-4.0,11,326,50724.0
2018-05-07,153.0,152.0,153.0,156.0,-3.0,7,87,13278.0
2018-05-08,154.0,150.0,153.0,153.0,,25,643,98225.0
2018-05-09,157.0,151.0,151.0,153.0,-2.0,7,118,18138.0
2018-05-10,154.0,148.0,151.0,151.0,,14,149,22546.0
2018-05-14,151.0,146.0,148.0,151.0,-3.0,16,184,27226.0
2018-05-15,146.0,146.0,146.0,148.0,-2.0,2,20,2920.0
2018-05-17,150.0,148.0,150.0,146.0,4.0,2,35,5210.0
2018-05-20,148.0,148.0,148.0,150.0,-2.0,4,64,9472.0
2018-05-21,150.0,146.0,148.0,148.0,,9,90,13300.0
2018-05-22,150.0,147.0,147.0,148.0,-1.0,11,206,30516.0
2018-05-23,147.0,146.0,146.0,147.0,-1.0,5,89,13014.0
2018-05-24,149.0,145.0,147.0,146.0,1.0,15,540,79840.0
2018-05-27,148.0,145.0,146.0,147.0,-1.0,7,141,20717.0
2018-05-28,149.0,144.0,149.0,146.0,3.0,6,74,10826.0
2018-05-29,149.0,147.0,149.0,149.0,,4,88,13024.0
2018-05-30,148.0,148.0,148.0,149.0,-1.0,1,10,1480.0
2018-05-31,148.0,148.0,148.0,148.0,,5,74,10952.0
2018-06-03,149.0,148.0,148.0,148.0,,8,104,15402.0
2018-06-04,150.0,146.0,146.0,148.0,-2.0,5,50,7360.0
2018-06-06,144.0,144.0,144.0,146.0,-2.0,5,50,7200.0
2018-06-07,142.0,139.0,140.0,144.0,-4.0,31,712,100304.0
2018-06-10,138.0,138.0,138.0,140.0,-2.0,2,20,2760.0
2018-06-11,139.0,138.0,139.0,138.0,1.0,6,84,11602.0
2018-06-12,140.0,136.0,140.0,139.0,1.0,26,458,63754.0
2018-06-13,144.0,138.0,141.0,140.0,1.0,19,214,30308.0
2018-06-14,147.0,140.0,147.0,141.0,6.0,24,812,116380.0
2018-06-17,155.0,148.0,151.0,147.0,4.0,23,949,144436.0
2018-06-19,148.0,146.0,147.0,151.0,-4.0,5,74,10844.0
2018-06-20,147.0,147.0,147.0,147.0,,1,34,4998.0
2018-06-21,145.0,145.0,145.0,147.0,-2.0,2,20,2900.0
2018-06-25,145.0,143.0,145.0,145.0,,3,30,4330.0
2018-06-26,146.0,143.0,143.0,145.0,-2.0,7,109,15690.0
2018-06-27,143.0,141.0,141.0,143.0,-2.0,4,146,20722.0
2018-06-28,140.0,140.0,140.0,141.0,-1.0,2,44,6160.0
2018-07-01,140.0,136.0,136.0,140.0,-4.0,7,492,67868.0
2018-07-02,139.0,137.0,139.0,136.0,3.0,3,70,9700.0
2018-07-03,139.0,137.0,139.0,139.0,,11,174,24008.0
2018-07-04,137.0,136.0,137.0,139.0,-2.0,13,130,17800.0
2018-07-05,137.0,137.0,137.0,137.0,,5,77,10549.0
2018-07-08,136.0,136.0,136.0,137.0,-1.0,6,100,13600.0
2018-07-09,137.0,136.0,137.0,136.0,1.0,3,54,7378.0
2018-07-10,137.0,135.0,135.0,137.0,-2.0,11,158,21430.0
2018-07-11,139.0,134.0,139.0,135.0,4.0,8,156,21084.0
2018-07-12,137.0,133.0,134.0,139.0,-5.0,5,53,7141.0
2018-07-15,134.0,131.0,131.0,134.0,-3.0,13,202,26660.0
2018-07-17,129.0,127.0,127.0,131.0,-4.0,4,40,5120.0
2018-07-18,128.0,125.0,127.0,127.0,,16,401,50912.0
2018-07-19,129.0,125.0,128.0,127.0,1.0,4,50,6380.0
2018-07-22,127.0,126.0,127.0,128.0,-1.0,10,392,49434.0
2018-07-23,131.0,128.0,129.0,127.0,2.0,5,81,10478.0
2018-07-24,133.0,129.0,133.0,129.0,4.0,5,160,20960.0
2018-07-25,132.0,129.0,129.0,133.0,-4.0,24,324,42368.0
2018-07-26,128.0,127.0,127.0,129.0,-2.0,3,30,3820.0
2018-07-29,129.0,129.0,129.0,127.0,2.0,1,100,12900.0
2018-07-30,130.0,127.0,128.0,129.0,-1.0,5,155,20009.0
2018-07-31,129.0,127.0,127.0,128.0,-1.0,4,40,5120.0
2018-08-01,129.0,127.0,127.0,127.0,,3,30,3840.0
2018-08-05,128.0,125.0,126.0,127.0,-1.0,10,209,26555.0
2018-08-06,126.0,125.0,125.0,126.0,-1.0,7,118,14760.0
2018-08-07,125.0,123.0,125.0,125.0,,3,30,3710.0
2018-08-08,126.0,123.0,126.0,125.0,1.0,7,94,11750.0
2018-08-09,129.0,125.0,126.0,126.0,,10,246,31178.0
2018-08-12,126.0,122.0,126.0,126.0,,5,192,23900.0
2018-08-13,126.0,124.0,124.0,126.0,-2.0,7,70,8720.0
2018-08-14,124.0,122.0,124.0,124.0,,5,106,13020.0
2018-08-15,126.0,126.0,126.0,124.0,2.0,1,12,1512.0
2018-08-16,130.0,126.0,128.0,126.0,2.0,8,188,24086.0
2018-08-19,128.0,126.0,126.0,128.0,-2.0,3,166,20936.0
2018-08-20,125.0,119.0,119.0,126.0,-7.0,6,293,35825.0
2018-08-21,120.0,118.0,119.0,119.0,,3,220,25990.0
2018-08-22,119.0,117.0,119.0,119.0,,2,20,2360.0
2018-08-23,117.0,117.0,117.0,119.0,-2.0,2,38,4446.0
2018-08-26,121.0,115.0,121.0,117.0,4.0,12,163,19125.0
2018-08-28,122.0,120.0,122.0,121.0,1.0,6,89,10766.0
2018-08-29,125.0,122.0,123.0,122.0,1.0,6,121,14920.0
2018-08-30,121.0,117.0,120.0,123.0,-3.0,10,148,17464.0
2018-09-02,120.0,120.0,120.0,120.0,,3,47,5640.0
2018-09-03,121.0,121.0,121.0,120.0,1.0,2,44,5324.0
2018-09-04,123.0,121.0,123.0,121.0,2.0,3,33,4039.0
2018-09-05,126.0,122.0,126.0,123.0,3.0,3,47,5822.0
2018-09-06,129.0,127.0,128.0,126.0,2.0,10,652,82852.0
2018-09-09,126.0,126.0,126.0,128.0,-2.0,7,94,11844.0
2018-09-10,124.0,121.0,121.0,126.0,-5.0,3,90,11002.0
2018-09-11,123.0,123.0,123.0,121.0,2.0,3,30,3690.0
2018-09-12,123.0,121.0,121.0,123.0,-2.0,5,77,9385.0
2018-09-13,120.0,120.0,120.0,121.0,-1.0,2,68,8160.0
2018-09-16,122.0,122.0,122.0,120.0,2.0,7,169,20618.0
2018-09-17,121.0,120.0,121.0,122.0,-1.0,3,30,3620.0
2018-09-18,120.0,119.0,120.0,121.0,-1.0,5,50,5990.0
2018-09-20,124.0,120.0,124.0,120.0,4.0,11,403,49040.0
2018-09-23,122.0,120.0,120.0,124.0,-4.0,3,30,3640.0
2018-09-25,122.0,120.0,120.0,120.0,,8,255,30800.0
2018-09-26,120.0,120.0,120.0,120.0,,3,62,7440.0
2018-09-27,120.0,118.0,120.0,120.0,,4,88,10404.0
2018-09-30,120.0,118.0,120.0,120.0,,3,309,37040.0
2018-10-01,121.0,118.0,118.0,120.0,-2.0,8,222,26572.0
2018-10-02,116.0,115.0,115.0,118.0,-3.0,2,63,7295.0
2018-10-03,113.0,112.0,113.0,115.0,-2.0,9,164,18492.0
2018-10-04,112.0,112.0,112.0,113.0,-1.0,2,20,2240.0
2018-10-07,110.0,110.0,110.0,112.0,-2.0,6,84,9240.0
2018-10-08,112.0,109.0,112.0,110.0,2.0,6,132,14588.0
2018-10-09,115.0,109.0,114.0,112.0,2.0,8,81,9085.0
2018-10-10,112.0,112.0,112.0,114.0,-2.0,1,10,1120.0
2018-10-11,115.0,110.0,113.0,112.0,1.0,8,103,11486.0
2018-10-14,113.0,112.0,113.0,113.0,,5,140,15690.0
2018-10-15,117.0,115.0,115.0,113.0,2.0,4,134,15430.0
2018-10-22,116.0,112.0,112.0,115.0,-3.0,5,247,28104.0
2018-10-23,114.0,110.0,114.0,112.0,2.0,9,656,74566.0
2018-10-24,112.0,112.0,112.0,114.0,-2.0,12,133,14896.0
2018-10-25,119.0,110.0,119.0,112.0,7.0,10,207,23730.0
2018-10-28,117.0,113.0,115.0,119.0,-4.0,10,151,17417.0
2018-10-29,119.0,115.0,115.0,115.0,,6,358,42070.0
2018-10-30,115.0,114.0,115.0,115.0,,5,50,5720.0
2018-10-31,113.0,109.0,110.0,115.0,-5.0,9,114,12610.0
2018-11-01,112.0,112.0,112.0,110.0,2.0,1,10,1120.0
2018-11-05,114.0,112.0,112.0,112.0,,3,62,7012.0
2018-11-13,112.0,110.0,110.0,112.0,-2.0,1,10,1100.0
2018-11-14,110.0,108.0,108.0,110.0,-2.0,1,10,1080.0
2018-11-15,109.0,106.0,109.0,108.0,1.0,5,53,5681.0
2018-11-18,109.0,105.0,105.0,109.0,-4.0,3,54,5690.0
2018-11-19,106.0,104.0,106.0,105.0,1.0,7,128,13505.0
2018-11-20,106.0,104.0,106.0,106.0,,8,236,24784.0
2018-11-21,106.0,104.0,104.0,106.0,-2.0,1,13,1352.0
2018-11-22,106.0,102.0,106.0,104.0,2.0,4,40,4170.0
2018-11-25,106.0,100.0,100.88,106.0,-5.12,14,1463,149602.0
2018-11-26,102.0,100.88,102.0,100.88,1.12,3,39,3949.0
2018-11-27,102.0,100.0,100.0,102.0,-2.0,1,34,3400.0
2018-11-28,104.0,100.0,103.0,100.0,3.0,5,50,5120.0
2018-11-29,107.0,101.0,107.0,103.0,4.0,5,50,5210.0
2018-12-02,109.0,106.0,109.0,107.0,2.0,10,312,33624.0
2018-12-03,109.0,107.0,109.0,109.0,,7,208,22514.0
2018-12-04,110.0,107.0,109.0,109.0,,7,284,30918.0
2018-12-11,109.0,107.0,107.0,109.0,-2.0,1,10,1070.0
2018-12-13,107.0,105.0,105.0,107.0,-2.0,3,44,4640.0
2018-12-17,105.0,103.0,103.0,105.0,-2.0,1,10,1030.0
2018-12-18,103.0,98.0,100.0,103.0,-3.0,9,305,30883.0
2018-12-19,102.0,100.0,101.0,100.0,1.0,5,80,8082.0
2018-12-20,102.0,99.0,100.0,101.0,-1.0,10,2105,211550.0
2018-12-23,100.0,98.0,100.0,100.0,,5,122,12010.0
2018-12-24,102.0,100.0,102.0,100.0,2.0,5,98,9956.0
2018-12-25,107.0,101.0,105.0,102.0,3.0,12,500,51958.0
2018-12-26,105.0,101.0,103.0,105.0,-2.0,6,780,80420.0
2018-12-27,107.0,103.0,107.0,103.0,4.0,7,362,38104.0
2018-12-30,107.0,105.0,105.0,107.0,-2.0,1,10,1050.0
2018-12-31,105.0,105.0,105.0,105.0,,1,100,10500.0
2019-01-01,105.0,103.0,104.0,105.0,-1.0,3,94,9692.0
2019-01-03,104.0,102.0,103.0,104.0,-1.0,5,50,5110.0
2019-01-06,103.0,101.0,101.0,103.0,-2.0,5,50,5050.0
2019-01-07,102.0,100.0,102.0,101.0,1.0,5,134,13440.0
2019-01-08,102.0,100.0,101.0,102.0,-1.0,6,60,6060.0
2019-01-09,103.0,101.0,103.0,101.0,2.0,7,127,13061.0
2019-01-10,103.0,101.0,101.0,103.0,-2.0,1,141,14241.0
2019-01-13,103.0,100.0,101.0,101.0,,5,114,11628.0
2019-01-14,101.0,101.0,101.0,101.0,,1,34,3434.0
2019-01-15,104.0,100.0,104.0,101.0,3.0,4,45,4620.0
2019-01-16,104.0,102.0,102.0,104.0,-2.0,5,98,9996.0
2019-01-17,103.0,100.0,103.0,102.0,1.0,7,142,14328.0
2019-01-20,107.0,103.0,107.0,103.0,4.0,5,63,6635.0
2019-01-21,107.0,105.0,107.0,107.0,,4,100,10646.0
2019-01-22,107.0,107.0,107.0,107.0,,1,10,1070.0
2019-01-27,107.0,100.0,100.0,107.0,-7.0,4,40,4090.0
2019-01-28,100.0,98.0,99.0,100.0,-1.0,7,150,14930.0
2019-01-29,100.0,99.0,100.0,99.0,1.0,1,10,1000.0
2019-01-30,102.0,100.0,100.0,100.0,,8,387,39146.0
2019-01-31,100.0,98.0,98.0,100.0,-2.0,10,814,79932.0
2019-02-03,98.0,97.0,98.0,98.0,,5,168,16434.0
2019-02-04,99.0,98.0,99.0,98.0,1.0,5,190,18680.0
2019-02-05,99.0,98.0,99.0,99.0,,2,215,21270.0
2019-02-06,100.0,99.0,100.0,99.0,1.0,4,285,28500.0
2019-02-07,102.0,100.0,102.0,100.0,2.0,5,74,7440.0
2019-02-11,102.0,100.0,100.0,102.0,-2.0,2,110,11000.0
2019-02-12,102.0,99.0,102.0,100.0,2.0,9,653,65397.0
2019-02-13,102.0,101.0,101.0,102.0,-1.0,6,570,58070.0
2019-02-14,104.0,100.0,102.0,101.0,1.0,5,564,57460.0
