date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-06-11,122.2,111.1,122.2,0,122.2,67,376,44410.1
2023-06-12,134.4,120.8,134.4,122.2,12.200000000000003,58,279,35902.7
2023-06-13,147.8,135.7,147.8,134.4,13.400000000000006,40,201,28811.2
2023-06-14,162.5,147.8,162.5,147.8,14.699999999999989,28,167,26066.5
2023-06-15,178.7,165.7,178.7,162.5,16.19999999999999,15,122,21388.8
2023-06-18,196.5,182.2,196.5,178.7,17.80000000000001,27,240,46418.8
2023-06-19,216.1,193.3,216.1,196.5,19.599999999999994,38,370,79108.8
2023-06-20,237.7,220.4,237.7,216.1,21.599999999999994,48,379,89407.7
2023-06-21,261.4,242.4,261.4,237.7,23.69999999999999,45,411,106550.3
2023-06-22,287.5,265,287.5,261.4,26.100000000000023,67,650,185994.8
2023-06-25,316.2,293.2,316.2,287.5,28.69999999999999,146,1379,435131
2023-06-26,347.8,315,347.8,316.2,31.600000000000023,164,1571,545021.4
2023-06-27,382.5,350.8,382.5,347.8,34.69999999999999,122,1170,446232.5
2023-06-28,420.7,390.1,420.7,382.5,38.19999999999999,204,2020,848981.2
2023-07-02,462.7,429,462.7,420.7,42,333,3300,1523889.1
2023-07-03,508.9,471,508.9,462.7,46.19999999999999,700,6980,3549917.9
2023-07-04,559.7,519,559.7,508.9,50.80000000000007,768,7617,4261095.3
2023-07-05,615.6,570.8,615.6,559.7,55.89999999999998,908,9080,5585798.8
2023-07-06,677.1,591,677.1,615.6,61.5,16914,231095,147361945.7
2023-07-09,744,650,741.5,677.1,64.39999999999998,4524,62258,44747371.8
2023-07-10,740,695,695.1,741.5,-46.39999999999998,5702,126319,90162762.1
2023-07-11,715,671,686,695.1,-9.100000000000023,3575,58697,40357844
2023-07-12,692,673,690,686,4,1908,33430,22821111.8
2023-07-13,725,680,696.1,690,6.100000000000023,1765,48946,34570510.4
2023-07-16,710,680,680.1,696.1,-16,936,35142,24243439.8
2023-07-17,701.7,675.2,694,680.1,13.899999999999977,1207,27694,19195434.2
2023-07-18,704,682.1,684,694,-10,860,35422,24542790.5
2023-07-19,691,678,681,684,-3,664,24277,16631191
2023-07-20,689,670,673,681,-8,702,35863,24279836.5
2023-07-23,711.1,662,703,673,30,1298,43400,30162346.8
2023-07-24,718,690,690,703,-13,901,43206,30426333.2
2023-07-25,754,690,743.4,690,53.39999999999998,2156,89503,64925330.5
2023-07-26,782.5,730,758,743.4,14.600000000000023,1304,60581,46383052.7
2023-07-27,759,725,727,758,-31,739,52373,38868664.3
2023-07-30,734,715.1,722,727,-5,679,34251,24764748.3
2023-07-31,744,716.3,720,722,-2,836,44320,32293229.4
2023-08-01,731,696.1,702,720,-18,537,29963,21303917.9
2023-08-02,744.9,694,715,702,13,492,20705,14700730
2023-08-03,743.8,705,706.1,715,-8.899999999999977,529,23273,16659218.3
2023-08-06,703,685,690,706.1,-16.100000000000023,449,30666,21256566.8
2023-08-07,707,680,685,690,-5,509,11376,7868917.5
2023-08-08,696,678,678,685,-7,472,17741,12149941.3
2023-08-09,690,671,690,678,12,416,13669,9286428.2
2023-08-10,729.5,680,706.5,690,16.5,843,45639,32532987.8
