date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-12-21,330,300,330,0,330,223,2080,683944.5
2023-12-24,363,335.5,363,330,33,319,3090,1120048.4
2023-12-27,399.3,363,399.3,363,36.30000000000001,370,3660,1459771.6
2023-12-28,439.2,407,439.2,399.3,39.89999999999998,577,5760,2528288.1
2024-01-01,483.1,447.9,483.1,439.2,43.900000000000034,479,4780,2304831
2024-01-02,531.4,492.7,531.4,483.1,48.299999999999955,717,7805,4010775.35
2024-01-03,584.5,535.1,549,531.4,17.600000000000023,7298,85750,47627071
2024-01-04,593,527.4,589.2,549,40.200000000000045,2449,30058,16960690.4
2024-01-07,595,555.5,556,589.2,-33.200000000000045,1792,33610,19052914.9
2024-01-08,581,545.1,560,556,4,1687,26658,14804913.5
2024-01-09,571.2,545.1,546,560,-14,854,20017,11098914.9
2024-01-10,566,540,550,546,4,738,18125,10079452
2024-01-11,567.1,542,552,550,2,602,12850,7099835
2024-01-14,582,552,582,552,30,861,29379,16711231.2
2024-01-16,591.9,562,566,582,-16,701,27503,15697788.9
2024-01-17,567.1,532.2,532.2,566,-33.799999999999955,1039,19224,10535538.3
2024-01-18,542,510.1,542,532.2,9.799999999999955,1519,25225,13041862.5
2024-01-21,552.8,514,518,542,-24,894,24374,12849334.9
2024-01-22,518,502,515,518,-3,806,16169,8251636.1
2024-01-23,529.9,505,510.2,515,-4.800000000000011,622,9940,5108266
2024-01-24,520,505.7,512,510.2,1.8000000000000114,515,9615,4934912
2024-01-25,521.2,496,513,512,1,470,11475,5794400
2024-01-28,519,505.3,511.5,513,-1.5,588,9710,4958910
2024-01-29,530,503.9,520,511.5,8.5,507,12033,6264120
2024-01-30,534,520,524.5,520,4.5,479,10035,5284417.5
2024-01-31,530,506,510,524.5,-14.5,339,9836,5097750.7
2024-02-01,510,495,496,510,-14,384,13912,6936963.7
2024-02-04,502,485.2,488,496,-8,325,10456,5122303.5
2024-02-05,500,488,495.1,488,7.100000000000023,295,7785,3854325
2024-02-06,510,485.2,509.9,495.1,14.799999999999955,393,8571,4279611.6
2024-02-07,525,504.2,517,509.9,7.100000000000023,312,10480,5427318.1
2024-02-08,521,510,520,517,3,311,7642,3945462.7
2024-02-11,530,515,520.6,520,0.6000000000000227,399,16154,8457641.7
2024-02-12,572.6,516.3,572.6,520.6,52,1118,60320,33675768.9
2024-02-13,575.5,539,545,572.6,-27.600000000000023,483,30094,16784193.6
2024-02-14,557,535,551,545,6,306,13916,7622640.5
2024-02-15,555.9,530.2,538,551,-13,341,18910,10279924
2024-02-18,538,519.4,530,538,-8,417,12539,6606648.5
2024-02-20,559,520.1,549,530,19,457,23105,12527236.5
2024-02-21,557,538.1,551,549,2,479,27457,15105360.8
2024-02-22,574,540,573,551,22,1049,66059,37524877.8
2024-02-25,624.9,563,622,573,49,1078,52197,31371945.6
2024-02-26,641,609.6,635,622,13,551,25585,16002469
2024-02-27,686.8,602.9,602.9,635,-32.10000000000002,446,34944,21688971.9
2024-02-28,663.1,604,661,602.9,58.10000000000002,928,86100,55025130
2024-02-29,670,621,670,661,9,329,31070,19778587.5
2024-03-03,656.6,610,619.8,670,-50.200000000000045,220,12202,7593982.5
2024-03-04,657,632.1,643,619.8,23.200000000000045,29,1807,1159391
2024-03-05,655.8,600,611.9,643,-31.100000000000023,249,21669,13229482.2
2024-03-06,640,598,624,611.9,12.100000000000023,287,31625,19331050
2024-03-07,680,605,680,624,56,247,23216,14513871.9
2024-03-10,666.4,622.5,632,680,-48,435,56581,35598952.8
2024-03-12,635,607,617.2,632,-14.799999999999955,267,13453,8311939.1
2024-03-13,620,601,611.9,617.2,-5.300000000000068,178,8486,5172499.4
2024-03-14,620,588.1,611,611.9,-0.8999999999999773,231,23160,13912767.3
2024-03-17,625,600,623.5,611,12.5,248,11887,7266212
2024-03-18,626,611.1,619,623.5,-4.5,187,13786,8495540.3
2024-03-19,620,600,600,619,-19,180,17076,10418514
2024-03-20,645,588,617,600,17,375,68859,41693157.6
2024-03-21,616,600,613.3,617,-3.7000000000000455,173,11487,6938521.4
2024-03-25,637.5,591,607,613.3,-6.2999999999999545,142,13613,8153475.5
2024-03-26,612,595.6,607,607,0,237,23914,14398690.3
2024-03-27,600,584.5,586,607,-21,218,21537,12729866.1
2024-03-28,592,575.2,581,586,-5,263,10280,6004483
2024-03-31,589,568.5,589,581,8,195,11462,6604946.3
2024-04-01,585,567,580,589,-9,133,10463,6021265.8
2024-04-02,580,555.7,555.7,580,-24.299999999999955,161,8108,4553100.8
2024-04-03,557,540.2,545,555.7,-10.700000000000045,127,7653,4189938
2024-04-04,555,530,545,545,0,182,7338,3941942.9
2024-04-07,545,530.6,534,545,-11,164,9860,5279775.5
2024-04-09,558.9,530.2,535.5,534,1.5,234,12872,6983325.1
2024-04-10,556,538,541.1,535.5,5.600000000000023,165,7909,4335819.9
2024-04-14,557,542.2,553.9,541.1,12.799999999999955,198,8415,4635593.4
2024-04-15,555,547,554,553.9,0.10000000000002274,126,6844,3757338
2024-04-16,553.8,534,535.1,554,-18.899999999999977,89,5780,3115103
2024-04-18,534,522,525,535.1,-10.100000000000023,119,5516,2900662.7
2024-04-21,548.5,517.5,534,525,9,107,2008,1056225.8
2024-04-22,534,520,522,534,-12,90,3524,1847625.4
2024-04-24,532,512.3,523.9,522,1.8999999999999773,96,4077,2126002.7
2024-04-25,530,510,530,523.9,6.100000000000023,154,6737,3464879.3
2024-04-28,520,507,515,530,-15,151,8179,4203637.2
2024-04-29,518.2,495,499,515,-16,194,22913,11473258
2024-04-30,511.9,490,504.8,499,5.800000000000011,205,21093,10566997.1
2024-05-02,514.8,495,496.1,504.8,-8.699999999999989,107,7483,3753567.8
2024-05-05,506,487,490,496.1,-6.100000000000023,134,9571,4707072.7
2024-05-06,493,481.5,490,490,0,89,4521,2199763.4
2024-05-07,516,480.5,491.2,490,1.1999999999999886,100,7153,3577748.5
2024-05-08,499.8,488.5,493,491.2,1.8000000000000114,57,2030,1000299
2024-05-09,510,493,510,493,17,147,10374,5234052
2024-05-12,516.3,505,505,510,-5,116,5262,2671522
2024-05-13,510,495,510,505,5,104,15683,7926799
2024-05-14,549,506,546,510,36,275,20170,10760611.7
2024-05-15,550,525,527.9,546,-18.100000000000023,134,7840,4167509.6
2024-05-16,536,520,523.9,527.9,-4,113,6772,3539375.5
2024-05-19,545,523,541,523.9,17.100000000000023,203,19125,10264116.5
2024-05-20,560,540,555,541,14,265,19239,10584248.9
2024-05-21,569,544,560.3,555,5.2999999999999545,143,7537,4239099.4
2024-05-22,571.5,555.2,571,560.3,10.700000000000045,205,23421,13115575.9
