date,high,low,close,previous,diff,numtrans,tradedshares,volume
2011-08-17,382.0,382.0,382.0,,382.0,1,10,3820.0
2011-11-09,375.0,375.0,375.0,382.0,-7.0,1,10,3750.0
2011-11-13,368.0,354.0,354.0,375.0,-21.0,3,70,25130.0
2011-11-14,347.0,341.0,341.0,354.0,-13.0,2,40,13700.0
2011-11-15,335.0,329.0,329.0,341.0,-12.0,2,40,13220.0
2011-11-16,323.0,323.0,323.0,329.0,-6.0,1,10,3230.0
2011-11-17,317.0,311.0,311.0,323.0,-12.0,2,40,12500.0
2011-11-20,305.0,289.0,289.0,311.0,-22.0,4,100,29510.0
2011-11-21,284.0,274.0,274.0,289.0,-15.0,3,70,19530.0
2011-11-22,269.0,259.0,259.0,274.0,-15.0,3,70,18380.0
2011-11-23,254.0,249.0,249.0,259.0,-10.0,2,40,10010.0
2011-12-05,245.0,237.0,237.0,249.0,-12.0,3,70,16790.0
2011-12-06,233.0,221.0,221.0,237.0,-16.0,4,100,22580.0
2011-12-07,217.0,201.0,201.0,221.0,-20.0,6,130,27450.0
2011-12-12,197.0,191.0,191.0,201.0,-10.0,3,50,9700.0
2011-12-13,188.0,179.0,179.0,191.0,-12.0,4,80,14620.0
2011-12-14,176.0,170.0,170.0,179.0,-9.0,3,70,12050.0
2011-12-19,167.0,161.0,161.0,170.0,-9.0,3,70,11420.0
2011-12-21,158.0,155.0,155.0,161.0,-6.0,2,40,6230.0
2011-12-28,152.0,140.0,140.0,155.0,-15.0,7,70,10170.0
2011-12-29,138.0,134.0,134.0,140.0,-6.0,3,40,5460.0
2012-01-12,132.0,124.0,124.0,134.0,-10.0,5,90,11640.0
2012-01-22,122.0,122.0,122.0,124.0,-2.0,1,10,1220.0
2012-01-23,120.0,110.0,110.0,122.0,-12.0,6,90,10340.0
2012-01-25,108.0,99.0,101.0,110.0,-9.0,109,8380,838310.0
2012-01-26,104.0,100.0,102.0,101.0,1.0,73,3980,409090.0
2012-01-29,104.0,101.0,103.0,102.0,1.0,82,3560,366750.0
2012-01-31,103.0,102.0,103.0,103.0,,35,1350,138230.0
2012-02-01,103.0,101.0,103.0,103.0,,25,1140,116220.0
2012-02-02,103.0,101.0,101.0,103.0,-2.0,36,1280,130920.0
2012-02-05,103.0,101.0,102.0,101.0,1.0,50,2020,206390.0
2012-02-06,103.0,102.0,103.0,102.0,1.0,60,2580,263520.0
2012-02-07,104.0,104.0,104.0,103.0,1.0,1,40,4160.0
2012-02-12,110.0,106.0,110.0,104.0,6.0,3,90,9720.0
2012-02-13,121.0,112.0,121.0,110.0,11.0,10,460,54660.0
2012-02-14,128.0,121.0,123.0,121.0,2.0,24,1740,218990.0
2012-02-15,122.0,116.0,122.0,123.0,-1.0,20,1100,132630.0
2012-02-21,120.0,114.0,114.0,122.0,-8.0,16,1060,122310.0
2012-02-23,115.0,109.0,110.0,114.0,-4.0,61,4200,470550.0
2012-02-26,113.0,112.0,112.0,110.0,2.0,11,690,77320.0
2012-02-27,113.0,110.0,113.0,112.0,1.0,13,720,80620.0
2012-02-28,113.0,112.0,112.0,113.0,-1.0,2,120,13530.0
2012-02-29,112.0,112.0,112.0,112.0,,46,1380,154560.0
2012-03-01,112.0,110.0,112.0,112.0,,43,1410,155400.0
2012-03-04,116.0,114.0,115.0,112.0,3.0,36,1270,146020.0
2012-03-05,115.0,113.0,115.0,115.0,,57,2100,237360.0
2012-03-06,118.0,116.0,116.0,115.0,1.0,56,2210,258350.0
2012-03-11,115.0,114.0,114.0,116.0,-2.0,38,1410,160800.0
2012-03-12,112.0,109.0,109.0,114.0,-5.0,8,2160,237420.0
2012-03-13,110.0,108.0,110.0,109.0,1.0,2,1530,165360.0
2012-03-14,110.0,108.0,110.0,110.0,,4,2220,240000.0
2012-03-15,115.0,112.0,115.0,110.0,5.0,23,1040,118950.0
2012-03-19,115.0,115.0,115.0,115.0,,1,220,25300.0
2012-03-21,114.0,113.0,114.0,115.0,-1.0,8,520,58950.0
2012-03-25,114.0,114.0,114.0,114.0,,16,510,58140.0
2012-03-26,114.0,113.0,114.0,114.0,,38,1380,157110.0
2012-03-27,114.0,113.0,113.0,114.0,-1.0,7,270,30660.0
2012-03-29,114.0,113.0,114.0,113.0,1.0,2,90,10230.0
2012-04-01,114.0,112.0,113.0,114.0,-1.0,7,320,36150.0
2012-04-02,113.0,112.0,112.0,113.0,-1.0,5,920,103520.0
2012-04-03,114.0,114.0,114.0,112.0,2.0,1,80,9120.0
2012-04-05,118.0,116.0,118.0,114.0,4.0,4,170,20000.0
2012-04-10,116.0,115.0,115.0,118.0,-3.0,2,110,12670.0
2012-04-11,113.0,113.0,113.0,115.0,-2.0,1,80,9040.0
2012-04-12,115.0,115.0,115.0,113.0,2.0,1,160,18400.0
2012-04-15,119.0,117.0,119.0,115.0,4.0,2,70,8270.0
2012-04-17,121.0,120.0,120.0,119.0,1.0,6,260,31260.0
2012-04-18,122.0,122.0,122.0,120.0,2.0,1,80,9760.0
2012-04-19,125.0,124.0,125.0,122.0,3.0,4,300,37460.0
2012-04-26,127.0,127.0,127.0,125.0,2.0,1,90,11430.0
2012-04-30,135.0,129.0,135.0,127.0,8.0,5,100,13380.0
2012-05-10,135.0,131.0,131.0,135.0,-4.0,29,990,133010.0
2012-05-17,129.0,129.0,129.0,131.0,-2.0,1,40,5160.0
2012-05-21,132.0,131.0,132.0,129.0,3.0,5,220,28850.0
2012-05-22,130.0,130.0,130.0,132.0,-2.0,1,100,13000.0
2012-05-24,128.0,126.0,126.0,130.0,-4.0,109,16120,2031320.0
2012-05-29,124.0,114.0,114.0,126.0,-12.0,78,8150,981800.0
2012-05-30,112.0,103.0,103.0,114.0,-11.0,126,12020,1307030.0
2012-05-31,109.0,99.0,109.0,103.0,6.0,58,5520,582290.0
2012-06-03,111.0,104.0,106.0,109.0,-3.0,80,9230,1022060.0
2012-06-04,107.0,104.0,107.0,106.0,1.0,9,400,42130.0
2012-06-05,105.0,102.0,102.0,107.0,-5.0,59,3590,375020.0
2012-06-06,105.0,101.0,101.0,102.0,-1.0,133,9280,964140.0
2012-06-10,105.0,103.0,104.0,101.0,3.0,37,2980,307660.0
2012-06-11,104.0,102.0,102.0,104.0,-2.0,4,240,24840.0
2012-06-12,106.0,103.0,104.0,102.0,2.0,43,2840,295950.0
2012-06-13,105.0,103.0,105.0,104.0,1.0,22,1650,172230.0
2012-06-14,107.0,105.0,105.0,105.0,,42,2580,274680.0
2012-06-17,109.0,107.0,109.0,105.0,4.0,49,2940,316140.0
2012-06-18,113.0,111.0,111.0,109.0,2.0,42,2070,229910.0
2012-06-19,115.0,113.0,115.0,111.0,4.0,13,630,71490.0
2012-06-20,115.0,105.0,105.0,115.0,-10.0,40,2030,227110.0
2012-06-21,106.0,105.0,106.0,105.0,1.0,9,380,40120.0
2012-06-25,109.0,105.0,109.0,106.0,3.0,30,2850,303090.0
2012-06-26,111.0,111.0,111.0,109.0,2.0,2,60,6660.0
2012-06-27,109.0,109.0,109.0,111.0,-2.0,1,40,4360.0
2012-06-28,107.0,105.0,106.0,109.0,-3.0,14,420,44520.0
2013-11-27,104.0,104.0,104.0,106.0,-2.0,2,930,96720.0
2013-11-28,105.0,103.0,103.0,104.0,-1.0,12,750,77790.0
2013-12-05,103.0,103.0,103.0,103.0,,2,150,15450.0
2013-12-08,101.0,101.0,101.0,103.0,-2.0,1,800,80800.0
2013-12-22,103.0,101.0,101.0,101.0,,12,950,97610.0
2013-12-29,99.0,99.0,99.0,101.0,-2.0,5,280,27720.0
