date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-06-06,138.0,134.0,138.0,198.0,-60.0,8,643,87182.0
2010-07-27,138.0,138.0,138.0,138.0,,2,150,20700.0
2010-08-01,138.0,138.0,138.0,138.0,,1,100,13800.0
2010-09-06,142.0,140.0,142.0,138.0,4.0,4,1252,175374.0
2010-12-05,153.0,144.0,153.0,142.0,11.0,5,345,50721.0
2010-12-27,166.0,160.0,166.0,153.0,13.0,3,146,23657.0
2011-01-16,169.0,169.0,169.0,166.0,3.0,1,147,24843.0
2011-02-01,172.0,172.0,172.0,169.0,3.0,1,90,15480.0
2011-02-10,187.0,175.0,187.0,172.0,15.0,5,125,22625.0
2011-02-21,190.0,190.0,190.0,187.0,3.0,1,20,3800.0
2011-02-23,193.0,193.0,193.0,190.0,3.0,1,10,1930.0
2011-03-07,202.0,202.0,202.0,193.0,9.0,1,10,2020.0
2011-03-15,212.0,212.0,212.0,202.0,10.0,1,10,2120.0
2011-03-16,228.0,216.0,228.0,212.0,16.0,4,125,27580.0
2011-03-17,240.0,232.0,240.0,228.0,12.0,3,30,7080.0
2011-03-20,252.0,244.0,252.0,240.0,12.0,3,30,7440.0
2011-03-21,257.0,257.0,257.0,252.0,5.0,1,10,2570.0
2011-03-22,267.0,262.0,267.0,257.0,10.0,2,20,5290.0
2011-03-23,282.0,272.0,282.0,267.0,15.0,3,30,8310.0
2011-03-24,302.0,287.0,302.0,282.0,20.0,4,40,11780.0
2011-03-27,314.0,308.0,314.0,302.0,12.0,2,20,6220.0
2011-03-29,326.0,320.0,326.0,314.0,12.0,2,331,106586.0
2011-03-30,358.0,332.0,358.0,326.0,32.0,7,140,48460.0
2011-03-31,393.0,365.0,393.0,358.0,35.0,15,915,355717.0
2011-04-04,408.0,392.0,395.0,393.0,2.0,8,459,183102.0
2011-04-05,415.0,402.0,413.0,395.0,18.0,9,797,328514.0
2011-04-06,415.0,407.0,407.0,413.0,-6.0,6,1062,438424.0
2011-04-07,400.0,368.0,368.0,407.0,-39.0,16,1336,512244.0
2011-04-10,368.0,355.0,360.0,368.0,-8.0,7,1286,462639.0
2011-04-28,200.0,200.0,200.0,360.0,-160.0,1,10,2000.0
2011-05-05,204.0,200.0,200.0,200.0,,2,300,60400.0
2011-05-08,204.0,204.0,204.0,200.0,4.0,1,10,2040.0
2011-05-09,200.0,196.0,196.0,204.0,-8.0,2,479,93924.0
2011-05-10,202.0,196.0,202.0,196.0,6.0,3,437,86270.0
2011-05-11,199.0,199.0,199.0,202.0,-3.0,2,139,27661.0
2011-05-26,202.0,202.0,202.0,199.0,3.0,2,1026,207252.0
2011-06-02,206.0,206.0,206.0,202.0,4.0,1,61,12566.0
2011-06-05,226.0,210.0,226.0,206.0,20.0,5,166,36108.0
2011-06-06,231.0,227.0,230.0,226.0,4.0,4,184,42275.0
2011-06-07,234.0,233.0,233.0,230.0,3.0,2,82,19158.0
2011-06-13,229.0,221.0,221.0,233.0,-12.0,3,112,25260.0
2011-07-05,225.0,225.0,225.0,221.0,4.0,1,73,16425.0
2011-07-06,221.0,217.0,217.0,225.0,-8.0,2,2270,492670.0
2011-07-19,213.0,205.0,205.0,217.0,-12.0,4,570,118370.0
2011-07-20,225.0,209.0,225.0,205.0,20.0,5,50,10850.0
2011-07-21,236.0,220.0,236.0,225.0,11.0,5,301,69288.0
2011-07-24,248.0,240.0,248.0,236.0,12.0,3,153,37464.0
2011-07-26,252.0,252.0,252.0,248.0,4.0,1,74,18648.0
2011-07-27,272.0,257.0,267.0,252.0,15.0,7,521,138417.0
2011-07-28,286.0,272.0,286.0,267.0,19.0,5,328,90950.0
2011-07-31,296.0,291.0,292.0,286.0,6.0,4,218,63987.0
2011-08-02,297.0,292.0,292.0,292.0,,2,197,57659.0
2011-08-15,290.0,282.0,287.0,292.0,-5.0,6,434,124610.0
2011-08-16,292.0,285.0,285.0,287.0,-2.0,3,318,91260.0
2011-08-17,290.0,285.0,285.0,285.0,,2,175,49925.0
2011-08-18,280.0,280.0,280.0,285.0,-5.0,3,147,41160.0
2011-08-22,280.0,270.0,270.0,280.0,-10.0,5,600,164950.0
2011-08-24,275.0,275.0,275.0,270.0,5.0,1,10,2750.0
2011-08-25,280.0,280.0,280.0,275.0,5.0,1,63,17640.0
2011-08-29,275.0,270.0,270.0,280.0,-10.0,2,97,26555.0
2011-09-04,265.0,260.0,260.0,270.0,-10.0,2,273,71980.0
2011-09-05,255.0,250.0,250.0,260.0,-10.0,2,270,68350.0
2011-09-07,264.0,255.0,264.0,250.0,14.0,3,268,69191.0
2011-09-13,270.0,269.0,270.0,264.0,6.0,4,313,84483.0
2011-09-15,265.0,265.0,265.0,270.0,-5.0,1,20,5300.0
2011-09-19,260.0,249.0,250.0,265.0,-15.0,7,443,111980.0
2011-09-20,255.0,252.0,252.0,250.0,2.0,2,311,78972.0
2011-09-22,277.0,257.0,277.0,252.0,25.0,9,956,259782.0
2011-09-25,277.0,277.0,277.0,277.0,,1,315,87255.0
2011-09-26,275.0,275.0,275.0,277.0,-2.0,1,80,22000.0
2011-10-12,280.0,280.0,280.0,275.0,5.0,1,74,20720.0
2011-10-17,284.0,279.0,284.0,280.0,4.0,3,214,60291.0
2011-10-18,290.0,285.0,290.0,284.0,6.0,4,279,79945.0
2011-10-20,295.0,295.0,295.0,290.0,5.0,2,114,33630.0
2011-10-23,300.0,295.0,300.0,295.0,5.0,4,211,62690.0
2011-10-24,300.0,295.0,300.0,300.0,,2,222,66045.0
2011-10-25,308.0,300.0,308.0,300.0,8.0,6,589,178780.0
2011-10-30,302.0,302.0,302.0,308.0,-6.0,1,100,30200.0
2011-10-31,296.0,296.0,296.0,302.0,-6.0,1,100,29600.0
2011-11-02,313.0,301.0,313.0,296.0,17.0,3,220,66400.0
2011-11-03,313.0,282.0,282.0,313.0,-31.0,9,1119,332793.0
2011-11-06,277.0,267.0,267.0,282.0,-15.0,4,770,210284.0
2011-11-08,266.0,266.0,266.0,267.0,-1.0,1,73,19418.0
2011-11-09,287.0,271.0,287.0,266.0,21.0,5,1712,476234.0
2011-11-10,296.0,291.0,296.0,287.0,9.0,4,4500,1326900.0
2011-11-13,291.0,287.0,287.0,296.0,-9.0,2,949,273963.0
2011-11-14,287.0,282.0,287.0,287.0,,2,1335,378125.0
2011-11-15,292.0,292.0,292.0,287.0,5.0,2,118,34456.0
2011-11-21,287.0,287.0,287.0,292.0,-5.0,1,73,20951.0
2011-11-24,282.0,282.0,282.0,287.0,-5.0,1,78,21996.0
2011-12-01,277.0,277.0,277.0,282.0,-5.0,1,100,27700.0
2011-12-22,281.0,276.0,276.0,277.0,-1.0,2,300,83300.0
2011-12-26,271.0,261.0,261.0,276.0,-15.0,3,357,95177.0
2011-12-27,270.0,260.0,265.0,261.0,4.0,12,11098,2981710.0
2011-12-28,263.0,260.0,260.0,265.0,-5.0,9,9812,2562322.0
2011-12-29,255.0,240.0,244.0,260.0,-16.0,8,7100,1716800.0
2012-01-01,240.0,240.0,240.0,244.0,-4.0,1,89,21360.0
2012-01-03,236.0,236.0,236.0,240.0,-4.0,1,200,47200.0
2012-01-05,236.0,236.0,236.0,236.0,,1,20,4720.0
2012-01-08,237.0,237.0,237.0,236.0,1.0,1,167,39579.0
2012-01-09,238.0,237.0,238.0,237.0,1.0,2,187,44339.0
2012-01-10,234.0,234.0,234.0,238.0,-4.0,1,2400,561600.0
2012-01-18,230.0,226.0,226.0,234.0,-8.0,2,270,61452.0
2012-01-19,222.0,218.0,218.0,226.0,-8.0,2,552,121220.0
2012-02-01,214.0,210.0,214.0,218.0,-4.0,3,377,80010.0
2012-02-02,222.0,218.0,222.0,214.0,8.0,2,285,62574.0
2012-02-05,222.0,222.0,222.0,222.0,,1,221,49062.0
2012-02-12,226.0,226.0,226.0,222.0,4.0,2,7423,1677598.0
2012-02-23,230.0,230.0,230.0,226.0,4.0,2,274,63020.0
2012-03-01,232.0,232.0,232.0,230.0,2.0,1,220,51040.0
2012-03-11,240.0,236.0,236.0,232.0,4.0,4,209,49484.0
2012-03-20,250.0,240.0,241.0,236.0,5.0,7,1086,265340.0
2012-04-01,237.0,229.0,229.0,241.0,-12.0,3,40,9360.0
2012-04-04,225.0,225.0,225.0,229.0,-4.0,1,10,2250.0
2012-04-05,229.0,227.0,229.0,225.0,4.0,4,987,224561.0
2012-04-08,229.0,229.0,229.0,229.0,,1,110,25190.0
2012-04-09,231.0,230.0,231.0,229.0,2.0,2,220,50710.0
2012-04-12,235.0,235.0,235.0,231.0,4.0,1,20,4700.0
2012-04-15,243.0,239.0,243.0,235.0,8.0,2,40,9640.0
2012-04-17,247.0,247.0,247.0,243.0,4.0,1,10,2470.0
2012-04-18,256.0,251.0,256.0,247.0,9.0,3,1040,266140.0
2012-04-19,271.0,261.0,271.0,256.0,15.0,3,50,13300.0
2012-04-22,281.0,276.0,281.0,271.0,10.0,3,240,67340.0
2012-04-24,291.0,286.0,291.0,281.0,10.0,2,30,8680.0
2012-04-26,296.0,296.0,296.0,291.0,5.0,2,309,91464.0
2012-04-29,301.0,301.0,301.0,296.0,5.0,3,500,150500.0
2012-04-30,295.0,295.0,295.0,301.0,-6.0,1,54,15930.0
2012-05-09,300.0,300.0,300.0,295.0,5.0,1,20,6000.0
2012-05-10,299.0,294.0,299.0,300.0,-1.0,5,600,177532.0
2012-05-13,316.0,304.0,316.0,299.0,17.0,3,70,21760.0
2012-05-15,310.0,310.0,310.0,316.0,-6.0,1,500,155000.0
2012-05-16,316.0,316.0,316.0,310.0,6.0,1,33,10428.0
2012-05-21,316.0,316.0,316.0,316.0,,1,20,6320.0
2012-05-22,316.0,304.0,310.0,316.0,-6.0,11,851,262156.0
2012-05-23,304.0,293.0,293.0,310.0,-17.0,3,77,22881.0
2012-05-24,290.0,278.0,283.0,293.0,-10.0,7,1130,322160.0
2012-05-27,279.0,279.0,279.0,283.0,-4.0,1,220,61380.0
2012-05-29,274.0,255.0,255.0,279.0,-24.0,5,190,49250.0
2012-06-05,270.0,260.0,270.0,255.0,15.0,3,408,109860.0
2012-06-13,275.0,275.0,275.0,270.0,5.0,1,167,45925.0
2012-06-17,270.0,270.0,270.0,275.0,-5.0,1,366,98820.0
2012-06-18,270.0,265.0,270.0,270.0,,2,234,62510.0
2012-06-20,273.0,272.0,273.0,270.0,3.0,2,650,177300.0
2012-06-21,275.0,275.0,275.0,273.0,2.0,1,500,137500.0
2012-06-28,270.0,270.0,270.0,275.0,-5.0,1,257,69390.0
2012-07-04,280.0,275.0,280.0,270.0,10.0,2,34,9470.0
2012-07-05,290.0,285.0,290.0,280.0,10.0,2,60,17350.0
2012-07-09,295.0,295.0,295.0,290.0,5.0,1,30,8850.0
2012-07-12,290.0,289.0,289.0,295.0,-6.0,2,300,86800.0
2012-07-15,284.0,280.0,280.0,289.0,-9.0,2,1420,398000.0
2012-07-16,280.0,280.0,280.0,280.0,,1,110,30800.0
2012-07-18,285.0,285.0,285.0,280.0,5.0,1,110,31350.0
2012-07-19,290.0,290.0,290.0,285.0,5.0,1,37,10730.0
2012-07-22,306.0,295.0,306.0,290.0,16.0,3,97,28913.0
2012-07-24,300.0,294.0,294.0,306.0,-12.0,2,170,50340.0
2012-07-26,299.0,299.0,299.0,294.0,5.0,1,30,8970.0
2012-07-30,306.0,294.0,306.0,299.0,7.0,7,487,145380.0
2012-08-06,312.0,300.0,306.0,306.0,,5,337,103156.0
2012-08-12,301.0,300.0,301.0,306.0,-5.0,2,220,66053.0
2012-08-13,301.0,301.0,301.0,301.0,,1,100,30100.0
2012-08-14,301.0,301.0,301.0,301.0,,1,500,150500.0
2012-08-15,295.0,295.0,295.0,301.0,-6.0,1,100,29500.0
2012-08-19,295.0,295.0,295.0,295.0,,1,500,147500.0
2012-08-22,294.0,285.0,285.0,295.0,-10.0,3,1330,385320.0
2012-08-23,280.0,275.0,275.0,285.0,-10.0,3,1110,305300.0
2012-08-28,270.0,260.0,260.0,275.0,-15.0,3,209,54935.0
2012-09-04,265.0,265.0,265.0,260.0,5.0,1,100,26500.0
2012-09-09,270.0,270.0,270.0,265.0,5.0,1,10,2700.0
2012-09-10,270.0,270.0,270.0,270.0,,1,100,27000.0
2012-09-13,270.0,265.0,270.0,270.0,,2,110,29650.0
2012-09-16,270.0,270.0,270.0,270.0,,1,163,44010.0
2012-09-17,297.0,275.0,297.0,270.0,27.0,7,741,206475.0
2012-09-18,326.0,302.0,326.0,297.0,29.0,10,631,204996.0
2012-09-19,344.0,332.0,344.0,326.0,18.0,3,40,13460.0
2012-09-23,338.0,338.0,338.0,344.0,-6.0,1,300,101400.0
2012-09-26,332.0,314.0,314.0,338.0,-24.0,8,310,99920.0
2012-10-01,308.0,308.0,308.0,314.0,-6.0,1,34,10472.0
2012-10-09,302.0,296.0,301.0,308.0,-7.0,4,898,270076.0
2012-10-10,295.0,285.0,285.0,301.0,-16.0,4,1074,309340.0
2012-10-14,280.0,276.0,276.0,285.0,-9.0,3,203,56760.0
2012-10-30,278.0,273.0,278.0,276.0,2.0,7,733,203409.0
2012-10-31,286.0,283.0,283.0,278.0,5.0,3,113,32198.0
2012-11-07,279.0,279.0,279.0,283.0,-4.0,1,10,2790.0
2012-11-11,284.0,279.0,284.0,279.0,5.0,5,3879,1085727.0
2012-11-20,286.0,286.0,286.0,284.0,2.0,2,55,15730.0
2012-11-21,291.0,291.0,291.0,286.0,5.0,1,50,14550.0
2012-11-25,288.0,283.0,283.0,291.0,-8.0,2,1100,311800.0
2012-11-27,288.0,283.0,288.0,283.0,5.0,3,189,53637.0
2012-11-28,290.0,290.0,290.0,288.0,2.0,1,100,29000.0
2012-11-29,305.0,295.0,305.0,290.0,15.0,7,1830,549350.0
2012-12-02,312.0,305.0,305.0,305.0,,7,493,151178.0
2012-12-03,317.0,299.0,300.0,305.0,-5.0,7,1091,331120.0
2012-12-04,304.0,304.0,304.0,300.0,4.0,1,100,30400.0
2012-12-05,304.0,298.0,298.0,304.0,-6.0,2,294,88938.0
2012-12-06,295.0,290.0,290.0,298.0,-8.0,3,513,149435.0
2012-12-09,295.0,291.0,291.0,290.0,1.0,2,411,120045.0
2012-12-10,296.0,295.0,295.0,291.0,4.0,2,400,118100.0
2012-12-11,300.0,300.0,300.0,295.0,5.0,2,229,68700.0
2012-12-12,296.0,294.0,295.0,300.0,-5.0,6,1300,382900.0
2012-12-13,298.0,290.0,295.0,295.0,,6,1613,474722.0
2012-12-16,300.0,300.0,300.0,295.0,5.0,1,190,57000.0
2012-12-17,300.0,300.0,300.0,300.0,,2,700,210000.0
2012-12-19,306.0,306.0,306.0,300.0,6.0,1,31,9486.0
2012-12-20,300.0,300.0,300.0,306.0,-6.0,1,50,15000.0
2012-12-23,330.0,306.0,330.0,300.0,30.0,7,177,55964.0
2012-12-24,340.0,325.0,340.0,330.0,10.0,9,1930,631100.0
2012-12-26,334.0,322.0,322.0,340.0,-18.0,3,196,64588.0
2012-12-27,316.0,315.0,315.0,322.0,-7.0,4,3091,973784.0
2012-12-31,315.0,309.0,309.0,315.0,-6.0,2,600,186000.0
2013-01-01,309.0,299.0,302.0,309.0,-7.0,11,5919,1791316.0
2013-01-03,296.0,291.0,291.0,302.0,-11.0,2,64,18794.0
2013-01-09,300.0,286.0,300.0,291.0,9.0,4,620,183270.0
2013-01-10,324.0,306.0,324.0,300.0,24.0,4,169,53748.0
2013-01-13,336.0,314.0,334.0,324.0,10.0,25,10997,3558156.0
2013-01-15,328.0,322.0,322.0,334.0,-12.0,4,3150,1014900.0
2013-01-16,322.0,316.0,322.0,322.0,,2,210,66420.0
2013-01-17,316.0,316.0,316.0,322.0,-6.0,1,100,31600.0
2013-01-23,310.0,310.0,310.0,316.0,-6.0,1,10,3100.0
2013-01-28,304.0,304.0,304.0,310.0,-6.0,1,10,3040.0
2013-02-04,298.0,293.0,293.0,304.0,-11.0,3,147,43756.0
2013-02-10,288.0,288.0,288.0,293.0,-5.0,2,120,34560.0
2013-02-12,293.0,288.0,290.0,288.0,2.0,5,1847,537528.0
2013-02-13,286.0,286.0,286.0,290.0,-4.0,1,10,2860.0
2013-02-14,288.0,288.0,288.0,286.0,2.0,1,73,21024.0
2013-02-19,292.0,292.0,292.0,288.0,4.0,1,10,2920.0
2013-02-20,287.0,287.0,287.0,292.0,-5.0,1,20,5740.0
2013-02-24,287.0,282.0,287.0,287.0,,2,331,94632.0
2013-02-26,282.0,282.0,282.0,287.0,-5.0,1,110,31020.0
2013-03-04,282.0,277.0,277.0,282.0,-5.0,3,714,198778.0
2013-03-05,292.0,272.0,287.0,277.0,10.0,6,180,51235.0
2013-03-07,285.0,280.0,285.0,287.0,-2.0,4,300,84490.0
2013-03-11,288.0,281.0,288.0,285.0,3.0,4,500,141760.0
2013-03-14,293.0,293.0,293.0,288.0,5.0,1,10,2930.0
2013-03-18,288.0,283.0,283.0,293.0,-10.0,2,500,141900.0
2013-03-19,281.0,280.0,280.0,283.0,-3.0,3,1214,340134.0
2013-03-24,276.0,276.0,276.0,280.0,-4.0,2,134,36984.0
2013-04-01,281.0,281.0,281.0,276.0,5.0,1,294,82614.0
2013-04-02,286.0,281.0,286.0,281.0,5.0,2,182,51507.0
2013-04-09,285.0,285.0,285.0,286.0,-1.0,1,300,85500.0
2013-04-11,313.0,290.0,313.0,285.0,28.0,12,5045,1560148.0
2013-04-15,315.0,310.0,315.0,313.0,2.0,2,400,125000.0
2013-04-16,315.0,310.0,312.0,315.0,-3.0,8,1133,353343.0
2013-04-17,318.0,312.0,318.0,312.0,6.0,3,714,226038.0
2013-04-18,321.0,315.0,316.0,318.0,-2.0,5,1734,551660.0
2013-04-21,340.0,322.0,340.0,316.0,24.0,5,761,249125.0
2013-04-22,334.0,334.0,334.0,340.0,-6.0,1,100,33400.0
2013-04-28,330.0,324.0,324.0,334.0,-10.0,4,1071,347784.0
2013-04-29,320.0,310.0,320.0,324.0,-4.0,4,345,109330.0
2013-04-30,325.0,324.0,324.0,320.0,4.0,2,969,314444.0
2013-05-05,324.0,319.0,324.0,324.0,,3,1020,330430.0
2013-05-07,324.0,318.0,320.0,324.0,-4.0,3,152,48754.0
2013-05-08,332.0,320.0,332.0,320.0,12.0,8,1163,377859.0
2013-05-09,340.0,332.0,339.0,332.0,7.0,5,1583,535320.0
2013-05-12,334.0,334.0,334.0,339.0,-5.0,1,44,14696.0
2013-05-13,335.0,332.0,335.0,334.0,1.0,4,899,300702.0
2013-05-15,341.0,341.0,341.0,335.0,6.0,1,1000,341000.0
2013-05-16,345.0,342.0,345.0,341.0,4.0,3,1143,392835.0
2013-05-20,340.0,340.0,340.0,345.0,-5.0,1,500,170000.0
