date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-06-08,287.1,250,287.1,0,287.1,4636,78315,21767098.6
2023-06-11,311,279.3,292,287.1,4.899999999999977,3272,41826,12200268.8
2023-06-12,289.6,274.9,283.5,292,-8.5,1676,33479,9513832.6
2023-06-13,305.5,278,295,283.5,11.5,1553,32792,9405001.1
2023-06-14,303.7,285,290,295,-5,1050,20048,5916557.3
2023-06-15,291,283.1,288.9,290,-1.1000000000000227,729,13645,3895484.4
2023-06-18,294,280,288,288.9,-0.8999999999999773,900,23489,6789217.2
2023-06-19,292,282.3,289,288,1,614,22744,6522096.6
2023-06-20,292,280,285,289,-4,365,8314,2360428.1
2023-06-21,290,270.9,279,285,-6,601,17871,4927253.7
2023-06-22,276,266,270,279,-9,515,10461,2824246.7
2023-06-25,277,261.6,277,270,7,627,9820,2627202.2
2023-06-26,282,264,267,277,-10,443,9980,2698694.7
2023-06-27,278.4,262,275,267,8,531,15335,4094627
2023-06-28,269.5,260,263,275,-12,367,16091,4246524.5
2023-07-02,262,249.1,252.2,263,-10.800000000000011,434,11395,2887180
2023-07-03,257,242,247,252.2,-5.199999999999989,424,16563,4073333.2
2023-07-04,251,240.2,245,247,-2,328,5390,1306615.5
2023-07-05,243,232.7,234.9,245,-10.099999999999994,334,10875,2579096
2023-07-06,246,226.1,239.7,234.9,4.799999999999983,409,9178,2122011
2023-07-09,239.7,235,235,239.7,-4.699999999999989,393,8040,1898235
2023-07-10,236.6,223.5,227.3,235,-7.699999999999989,400,16880,3873859.4
2023-07-11,229,222,227.5,227.3,0.19999999999998863,276,4049,910081
2023-07-12,244,223,241,227.5,13.5,403,11827,2800668.5
2023-07-13,246.6,231.4,231.4,241,-9.599999999999994,294,8899,2103939.2
2023-07-16,234,223.6,228,231.4,-3.4000000000000057,284,4465,1014962
2023-07-17,233,221.8,231,228,3,316,8295,1892788.5
2023-07-18,239,226.7,232,231,1,322,5435,1249719.6
2023-07-19,233,224,228.3,232,-3.6999999999999886,235,3135,718112
2023-07-20,242.7,225,242.7,228.3,14.399999999999977,392,15045,3507026
2023-07-23,255,238,249,242.7,6.300000000000011,449,14804,3612062.6
2023-07-24,258,239.2,243,249,-6,320,11654,2847604.1
2023-07-25,246.5,237,238,243,-5,208,3315,792868.4
2023-07-26,242,234,239.9,238,1.9000000000000057,216,4720,1125181
2023-07-27,243.7,231.5,239.6,239.9,-0.30000000000001137,244,5101,1207708
2023-07-30,235,226.4,231,239.6,-8.599999999999994,260,9818,2269376.5
2023-07-31,234.1,228,230,231,-1,272,4848,1116318.2
2023-08-01,234,226.1,228,230,-2,205,4186,951139
2023-08-02,240,213,221,228,-7,208,6077,1342589.3
2023-08-03,233,217,223,221,2,283,4425,984163
2023-08-06,220,215.3,219,223,-4,275,5296,1148222.6
2023-08-07,227.7,208,214,219,-5,331,4480,959138.5
2023-08-08,215,210,213,214,-1,366,6700,1419353
2023-08-09,219.3,206.3,217.5,213,4.5,305,5875,1235828
2023-08-10,215.4,209.8,215,217.5,-2.5,290,5910,1254927.2
2023-08-13,214,209.1,214,215,-1,401,5680,1196852
2023-08-14,222,207.2,208.3,214,-5.699999999999989,295,8574,1804770.2
2023-08-15,208,199.5,199.6,208.3,-8.700000000000017,242,8220,1665856.5
2023-08-16,204,195.7,203,199.6,3.4000000000000057,179,2590,516951
2023-08-17,206.9,196.6,199,203,-4,198,3715,747315
2023-08-20,205,191.6,192.3,199,-6.699999999999989,191,2805,550417
2023-08-21,189.9,183.3,185.5,192.3,-6.800000000000011,149,6820,1269454
2023-08-22,188.5,180,187.4,185.5,1.9000000000000057,149,2310,426434
2023-08-23,205.5,185,204,187.4,16.599999999999994,254,6030,1191983.5
2023-08-24,203,190,190,204,-14,163,6072,1182578
2023-08-27,189.9,182.1,184,190,-6,163,2154,396442.1
2023-08-28,187,177.4,184,184,0,150,3670,671237
2023-08-29,194.7,180.6,194.7,184,10.699999999999989,154,2113,392173.5
2023-08-30,191,184,187.3,194.7,-7.399999999999977,123,4455,837155.5
2023-09-03,184,180.1,180.1,187.3,-7.200000000000017,149,3228,587869.2
2023-09-04,198.1,178,198.1,180.1,18,160,3056,561442.2
2023-09-05,195.4,186.6,195,198.1,-3.0999999999999943,138,2340,447043
2023-09-07,191.1,184,189,195,-6,118,2210,414363
2023-09-10,202,186,194.9,189,5.900000000000006,145,2625,505845
2023-09-11,210,191.2,209.9,194.9,15,259,11616,2306707.8
2023-09-12,218.2,197,218.2,209.9,8.299999999999983,164,6047,1232942.4
2023-09-13,222.5,198.4,220,218.2,1.8000000000000114,227,12113,2486793
2023-09-17,215.6,201.9,205,220,-15,207,11897,2430489.4
2023-09-18,209.2,200,207,205,2,198,6865,1411915.5
2023-09-19,224.4,203,218.1,207,11.099999999999994,337,16259,3545740
2023-09-21,232.5,219,230,218.1,11.900000000000006,570,21862,4979962.9
2023-09-24,234.6,217.1,219,230,-11,355,12761,2871641.7
2023-09-25,238,211.1,234,219,15,497,32423,7452938.9
2023-09-26,248,231,242,234,8,488,26608,6454646.9
2023-09-27,246.8,230,238,242,-4,337,22541,5338862.3
2023-10-01,235,221,221.3,238,-16.69999999999999,313,18875,4277063
2023-10-02,230.7,217,228.9,221.3,7.599999999999994,326,14576,3261581.5
2023-10-03,233,217,223,228.9,-5.900000000000006,230,18065,3991937
2023-10-04,229,219.7,227,223,4,252,8627,1941685.8
2023-10-05,228,222.5,228,227,1,247,8301,1875453.4
2023-10-08,223.5,217.7,217.7,228,-10.300000000000011,224,10723,2355792.9
2023-10-09,224,211.1,217,217.7,-0.6999999999999886,171,3913,848507.5
2023-10-10,219.3,211,215,217,-2,171,5320,1130770
2023-10-11,216,207,214,215,-1,148,4370,933225
2023-10-12,215,205,209,214,-5,194,8457,1759460.2
2023-10-16,208,201,205,209,-4,194,4115,837613
2023-10-17,215.3,202.9,203,205,-2,132,7926,1621807.2
2023-10-18,212.5,203,210,203,7,109,5395,1133094
2023-10-19,214,202.2,207.9,210,-2.0999999999999943,64,3072,634003.1
2023-10-29,209,197.9,202.4,207.9,-5.5,115,2970,601088
2023-10-30,208,198,207,202.4,4.599999999999994,129,5530,1113972
2023-10-31,206.8,199.1,202,207,-5,104,5220,1049253.6
2023-11-01,206,195,199.8,202,-2.1999999999999886,104,4270,847077
2023-11-02,199,194.1,199,199.8,-0.8000000000000114,132,8680,1697331
2023-11-05,199,192,197.7,199,-1.3000000000000114,95,4143,809657.2
2023-11-06,204,197,200.2,197.7,2.5,148,4320,866254
2023-11-07,206,200,204,200.2,3.8000000000000114,114,3430,692028
2023-11-08,205,200.3,205,204,1,63,1650,335125
2023-11-09,209,195.4,198,205,-7,60,4900,978819.5
2023-11-20,205,194.2,198.9,198,0.9000000000000057,129,2780,547893
2023-11-21,198,192.1,196,198.9,-2.9000000000000057,84,1250,243223
2023-11-22,204,190,203.9,196,7.900000000000006,114,3922,770415
2023-11-23,209.9,196.1,207,203.9,3.0999999999999943,124,4765,982965
2023-11-26,219,206,217.5,207,10.5,232,9122,1933716
2023-11-27,221,210.7,216.2,217.5,-1.3000000000000114,171,4468,954103.1
2023-11-28,215.3,208.5,215.3,216.2,-0.8999999999999773,149,8009,1698348.3
2023-11-29,226,209.9,214,215.3,-1.3000000000000114,184,13427,2887554.1
2023-11-30,218.2,203,205,214,-9,110,9175,1902626.2
2023-12-03,211.9,197.6,211.9,205,6.900000000000006,168,12186,2463833
2023-12-04,218.9,205,213,211.9,1.0999999999999943,152,8583,1832141.9
2023-12-05,214,205.3,212,213,-1,131,5400,1138197
2023-12-06,212,208.1,212,212,0,76,1747,366357
2023-12-07,219,208.4,212,212,0,183,11114,2375969.8
2023-12-10,232,216.2,228,212,16,16,1190,259090
2023-12-11,250.8,223.5,250.8,228,22.80000000000001,770,86347,21027010.2
2023-12-12,275.8,255.8,275.8,250.8,25,767,70469,19267751.3
2023-12-13,300.5,270.3,300.5,275.8,24.69999999999999,590,49678,14136649.9
2023-12-14,330.5,271.9,330.5,300.5,30,588,75235,22033733.5
2023-12-17,337,297.7,327,330.5,-3.5,941,102511,32345972.2
2023-12-18,327,301.5,305.5,327,-21.5,760,83666,26144772.9
2023-12-19,311.1,292.1,300,305.5,-5.5,380,36398,10998418.1
2023-12-20,306,295,296.5,300,-3.5,460,45551,13714299.9
2023-12-21,306,282,284.9,296.5,-11.600000000000023,365,40977,11909239.3
2023-12-24,299,281,290,284.9,5.100000000000023,507,36778,10674541
2023-12-27,307,286,296,290,6,473,26721,7846308.3
2023-12-28,305,290,292.5,296,-3.5,390,20417,6039026.8
2024-01-01,300,287,290.9,292.5,-1.6000000000000227,355,21133,6181889.5
2024-01-02,295.8,281,281.4,290.9,-9.5,249,16173,4621051.1
2024-01-03,296,276.1,296,281.4,14.600000000000023,325,14590,4190554.8
2024-01-04,308.8,296,305,296,9,528,38940,11842475
2024-01-07,310,296,301.7,305,-3.3000000000000114,327,22650,6861372.7
2024-01-08,317.9,295.9,315.1,301.7,13.400000000000034,543,44590,13803505
2024-01-09,327,312,314,315.1,-1.1000000000000227,553,56812,18144730.4
2024-01-10,321.3,307.2,308.1,314,-5.899999999999977,334,16101,5019940
2024-01-11,321.9,302,319.8,308.1,11.699999999999989,399,34601,10961905.5
2024-01-14,351.7,326,351.5,319.8,31.69999999999999,678,57036,19777735.9
2024-01-16,381.4,351.1,370,351.5,18.5,486,33381,12414618.4
2024-01-17,370,333,338,370,-32,719,74468,25958927.3
2024-01-18,354,320,347.1,338,9.100000000000023,701,45498,15437546.5
2024-01-21,359,337.2,340,347.1,-7.100000000000023,613,42468,14825707.9
2024-01-22,344.7,330,336,340,-4,435,29690,9960227.4
2024-01-23,342.8,329.4,340,336,4,403,20580,6938382
2024-01-24,343.9,332.3,332.3,340,-7.699999999999989,262,21423,7180227.5
2024-01-25,344,325.7,329,332.3,-3.3000000000000114,348,23188,7698825.7
2024-01-28,341.2,328,340,329,11,355,17455,5816138.5
2024-01-29,357,335,348.2,340,8.199999999999989,461,32342,11359664.9
2024-01-30,364,341.4,349,348.2,0.8000000000000114,334,25744,9039731.5
2024-01-31,361,337,338,349,-11,311,30363,10510978.1
2024-02-01,370,332,348,338,10,737,92944,32962583.1
2024-02-04,367,342,359.1,348,11.100000000000023,501,33581,12099371.7
2024-02-05,360,352,357,359.1,-2.1000000000000227,224,22686,8067422.7
2024-02-06,360,350,354,357,-3,237,13835,4909271
2024-02-07,368,347,357,354,3,311,31996,11475687.3
2024-02-08,373.3,355,368,357,11,512,51274,18834003.8
2024-02-11,379.5,368,377.9,368,9.899999999999977,510,62312,23358270
2024-02-12,411,370,400,377.9,22.100000000000023,541,49427,19103960.6
2024-02-13,438.6,392.1,430,400,30,1090,101488,42919259.1
2024-02-14,450,412.1,420,430,-10,567,61005,25839394.9
2024-02-15,438,405,425,420,5,566,58281,24525814.4
2024-02-18,425,405,414,425,-11,509,40905,16859416
2024-02-20,420,399.1,409.9,414,-4.100000000000023,389,31437,12833513.6
2024-02-21,415,400,406.9,409.9,-3,326,23777,9644201.9
2024-02-22,421,380,388.5,406.9,-18.399999999999977,381,35341,13826766.2
2024-02-25,392.5,381.1,386.2,388.5,-2.3000000000000114,228,18573,7198490.4
2024-02-26,400.8,380.5,389.8,386.2,3.6000000000000227,195,13406,5176869.5
2024-02-27,404,380.1,386,389.8,-3.8000000000000114,170,14177,5502061.9
2024-02-28,393,375.1,387,386,1,165,18600,7091374
2024-02-29,390,360.1,365,387,-22,182,26647,9899773.5
2024-03-03,370,348,349.9,365,-15.100000000000023,182,25974,9216026.5
2024-03-04,384.7,356.8,384.7,349.9,34.80000000000001,13,1510,580049
2024-03-05,392.3,365,365,384.7,-19.69999999999999,326,55112,20745620
2024-03-06,401.5,350.6,401.5,365,36.5,436,84337,32291398.8
2024-03-07,410,388.1,410,401.5,8.5,345,42935,17101066
2024-03-10,415,398,413,410,3,315,40432,16427033.6
2024-03-12,430,404.8,416.5,413,3.5,429,74348,30751706.4
2024-03-13,439,398,419,416.5,2.5,331,47575,19563407
2024-03-14,419.7,402.5,403,419,-16,220,28829,11832508.9
2024-03-17,408,382.6,385.5,403,-17.5,234,23104,9018135.6
2024-03-18,393.2,378.1,387.6,385.5,2.1000000000000227,229,23592,9053704
2024-03-19,395,380,387,387.6,-0.6000000000000227,161,17244,6663873.8
2024-03-20,388.1,376.2,380,387,-7,143,15549,5917824.5
2024-03-21,379,370.6,373,380,-7,138,19814,7404831.5
2024-03-25,395.9,366,391,373,18,144,14931,5620509.3
2024-03-26,430.1,384,430.1,391,39.10000000000002,802,142111,59448791.6
2024-03-27,452,418.4,430,430.1,-0.10000000000002274,797,102901,45171151.2
2024-03-28,448,422,437.9,430,7.899999999999977,369,39644,17309860.9
2024-03-31,435,416,425,437.9,-12.899999999999977,453,73234,31199345.5
2024-04-01,449,418,448,425,23,645,89791,39454075.1
2024-04-02,462,430.4,435,448,-13,310,37254,16642704.9
2024-04-03,447.9,431,435.2,435,0.19999999999998863,309,49202,21534882.8
2024-04-04,442.4,431.6,433.6,435.2,-1.599999999999966,259,46044,20055575.1
2024-04-07,476,425,475,433.6,41.39999999999998,523,69461,30930362.7
2024-04-09,520,440,510,475,35,619,106191,49451834.5
2024-04-10,539,463,486.5,510,-23.5,568,75944,36561056.2
2024-04-14,532,450,532,486.5,45.5,594,71495,34294590.4
2024-04-15,521.4,478.8,478.8,532,-53.19999999999999,410,75414,36297239.8
2024-04-16,469.3,443,452,478.8,-26.80000000000001,354,57091,25968643.5
2024-04-18,456,443,443.2,452,-8.800000000000011,180,27224,12142902.5
2024-04-21,487,432,487,443.2,43.80000000000001,558,91317,41928239.8
2024-04-22,486.8,451.1,451.1,487,-35.89999999999998,476,73072,33731950.2
2024-04-24,460.1,442.5,444,451.1,-7.100000000000023,144,10886,4858396
2024-04-25,450,435,437,444,-7,189,29392,12976786.3
2024-04-28,443.9,426.1,438,437,1,198,19577,8432406.8
2024-04-29,445,420,438,438,0,166,18155,7826242
2024-04-30,468,430,446,438,8,313,33968,15244207.4
2024-05-02,481,437.1,450,446,4,242,30223,13545316
2024-05-05,493,433,493,450,43,242,37383,16811288.2
2024-05-06,483.2,443.7,443.7,493,-49.30000000000001,202,33955,15168592.1
2024-05-07,439,420.5,421,443.7,-22.69999999999999,166,14418,6202409.5
2024-05-08,462,415,462,421,41,231,29356,12512127.7
2024-05-09,498,429,446.5,462,-15.5,522,95851,41950897.8
2024-05-12,438.6,425,426,446.5,-20.5,191,19345,8342643.5
2024-05-13,430,414,416,426,-10,243,31945,13427965
2024-05-14,428.4,409,425,416,9,301,53971,22726118
2024-05-15,425.1,411,411,425,-14,154,18726,7823411.4
2024-05-16,418,405,406,411,-5,197,18367,7497609.7
2024-05-19,408,390.1,390.1,406,-15.899999999999977,297,25793,10315803
2024-05-20,420,391.6,405,390.1,14.899999999999977,261,20543,8339556.4
2024-05-21,421,401,410,405,5,191,20298,8375051.8
2024-05-22,423.3,411,414,410,4,221,30722,12827968.2
2024-05-26,419.9,407,409,414,-5,152,12151,4984864.2
2024-05-27,414.7,404,414,409,5,150,9610,3940104.9
2024-05-29,421.9,406,406,414,-8,162,20583,8457818.4
2024-05-30,415.1,403,412.3,406,6.300000000000011,240,25113,10377749
2024-06-02,439,410,435,412.3,22.69999999999999,405,44764,19080860.9
2024-06-03,449,434,439,435,4,357,48339,21260284.1
2024-06-04,440,422,429.9,439,-9.100000000000023,225,27840,11972504.5
2024-06-05,439,417.2,422,429.9,-7.899999999999977,205,16609,7042796.5
2024-06-06,430.4,416,430,422,8,193,20101,8513465.5
2024-06-09,435,426,433,430,3,226,18821,8124807
2024-06-10,448.8,433,444,433,11,436,46205,20474658.8
2024-06-11,452.8,439,439,444,-5,296,28758,12733768
2024-06-12,453,430.3,432,439,-7,181,14209,6220483.2
2024-06-13,433.9,424,424.5,432,-7.5,234,29386,12547686.1
2024-06-16,440,423,423.1,424.5,-1.3999999999999773,209,16504,7097618.5
2024-06-18,425,416,420.1,423.1,-3,178,17282,7267548.2
2024-06-19,428.3,415,419,420.1,-1.1000000000000227,137,14210,5975944
2024-06-20,423,415.5,417,419,-2,111,9234,3857446
2024-06-23,420,412,413.1,417,-3.8999999999999773,153,21026,8739604.8
2024-06-24,424,410,420,413.1,6.899999999999977,176,8866,3713682.3
2024-06-25,429.9,417,427.2,420,7.199999999999989,192,18422,7850934.3
2024-06-26,435.7,422.1,423,427.2,-4.199999999999989,175,14861,6374262.3
2024-06-27,426,420.1,420.1,423,-2.8999999999999773,101,6138,2596170
2024-06-30,420,406.7,406.7,420.1,-13.400000000000034,167,17535,7252217.9
2024-07-01,430,408,427.9,406.7,21.19999999999999,246,25646,10881269.1
2024-07-02,454,424.9,429,427.9,1.1000000000000227,228,21768,9411146.4
2024-07-03,428,421,426,429,-3,119,7303,3084070
2024-07-04,438,425,426.1,426,0.10000000000002274,176,17176,7378118
2024-07-07,425.1,418,424,426.1,-2.1000000000000227,151,6896,2916072.2
2024-07-08,427,418.4,423,424,-1,127,9080,3843807
2024-07-09,429.9,420.6,428.4,423,5.399999999999977,155,12544,5341372.9
2024-07-10,433.8,424,427,428.4,-1.3999999999999773,157,15186,6468300.2
2024-07-11,435.5,426,429,427,2,172,14536,6233405.8
2024-07-14,446,427.3,432,429,3,182,11167,4838804.9
2024-07-15,473,432,462,432,30,670,91727,41459413.7
2024-07-16,488.5,462,478.9,462,16.899999999999977,506,59940,28754844.2
2024-07-17,485,466.2,479.9,478.9,1,368,33980,16072780.6
2024-07-18,499,465.4,466.3,479.9,-13.599999999999966,550,67988,32047326.7
2024-07-21,478,460,466,466.3,-0.30000000000001137,409,39044,18330657.6
2024-07-22,481.3,459.8,476.9,466,10.899999999999977,518,59523,27925297.6
2024-07-23,486.3,470,480.1,476.9,3.2000000000000455,383,37403,17998677.2
2024-07-24,486,464,465,480.1,-15.100000000000023,326,33025,15581558.1
