date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-07-14,337.8,295,315,,7.9,7251,127582,40778668.7
2022-07-15,320,294,309.2,315,-5.8,2014,27911,8516335.8
2022-07-17,309,292.1,300,309.2,-9.2,1606,18500,5555379
2022-07-18,308,290.2,303,300,3,981,14521,4393702.5
2022-07-19,312,297.5,299.1,303,-3.9,667,13090,3969883
2022-07-20,302,291,292,299.1,-7.1,591,18846,5549284.1
2022-07-21,301,286.4,287.2,292,-4.8,557,12830,3731447.6
2022-07-22,292,276.5,279,287.2,-8.2,357,14372,4040101.6
2022-07-24,287,271.5,287,279,8,754,20599,5714167.4
2022-07-25,306,286,306,287,19,681,24559,7228448.1
2022-07-26,309,290.2,299,306,-7,591,17923,5360889.6
2022-07-27,303.5,287.5,301.9,299,2.9,541,18914,5577972.4
2022-07-28,319,295.9,303.5,301.9,1.6,978,42405,13014834
2022-07-29,313,300.1,313,303.5,9.5,509,16053,4955943.3
2022-07-31,319,308.1,316,313,3,816,33804,10643191.2
2022-08-01,341,309.7,333.6,316,17.6,1108,45225,14801237.4
2022-08-02,353.9,322,344,333.6,10.4,758,30061,10057269.2
2022-08-03,377,337.2,355,344,11,593,29262,10280657.6
2022-08-04,367.2,341,365,355,10,834,49183,17407226.2
2022-08-05,365.1,344,350,365,-15,418,23881,8403761.6
2022-08-07,358,342.1,349,350,-1,713,21386,7468563.9
2022-08-08,357,343,349,349,,757,43357,15221245.3
2022-08-09,357,338.5,338.5,349,-10.5,672,30664,10721972.9
2022-08-10,345.2,330,340,338.5,1.5,480,16076,5426708.1
2022-08-11,374,334,353,340,13,740,37128,13250829.5
2022-08-14,365,340,349.5,353,-3.5,505,20929,7372409.4
2022-08-15,384,336.4,381,349.5,31.5,745,42081,15184581.3
2022-08-16,390,360,360,381,-21,866,61854,23377481
2022-08-17,396,360,393,360,33,1090,66316,25693177.2
2022-08-18,398,385,385.2,393,-7.8,708,31702,12361625.1
2022-08-22,373,356.1,360.1,380,-19.9,493,50918,18398711.5
2022-08-23,363,349.5,350,360.1,-10.1,432,22540,8005237.2
2022-08-24,361,342,351,350,1,499,32709,11332951.2
2022-08-25,362,337.4,337.4,351,-13.6,381,19963,6874818.4
2022-08-26,341,324,329,337.4,-8.4,276,21817,7219005.2
2022-08-28,329.8,310,315,329,-14,423,27141,8635924.2
2022-08-29,321.3,310.2,319.8,315,4.8,294,17176,5413827.6
2022-08-30,325.3,313.7,319,319.8,-0.8,215,12520,4001314
2022-08-31,338.4,310.9,323,319,4,252,10052,3171286.7
2022-09-01,327,311,326,323,3,291,18943,6026068
2022-09-02,336,316.1,316.1,326,-9.9,162,7385,2385584
2022-09-04,335,315.6,320,316.1,3.9,295,11104,3544690.9
2022-09-05,332,313,313,320,-7,259,10741,3414057.5
2022-09-06,318,309.2,311,313,-2,216,7908,2462937
2022-09-07,313,305,313,311,2,259,10545,3241393.9
2022-09-08,319.2,300,312,313,-1,259,10115,3128492.2
2022-09-11,324.6,305.8,319.2,312,7.2,336,11999,3721034.6
2022-09-12,313.1,306,306,319.2,-13.2,237,10451,3222221.9
2022-09-13,314.9,302,310,306,4,207,7158,2216599.6
2022-09-14,323,304,318,310,8,365,16315,5162527
2022-09-15,319.9,301,305,318,-13,211,10617,3246764.4
2022-09-16,301,288.5,297.5,305,-7.5,171,13481,3948640.8
2022-09-18,294,275.6,276,297.5,-21.5,220,13875,3899698.6
2022-09-20,281,255.5,262.1,276,-13.9,216,10268,2695979.1
2022-09-21,272.6,256.5,261.9,262.1,-0.2,153,7503,1975562
2022-09-22,264,255,255,261.9,-6.9,137,19280,4997422
2022-09-25,255,246,247,255,-8,119,3508,872581
2022-09-27,258,240,250,247,3,112,4525,1119907
2022-09-28,250.6,245,248,250,-2,54,2338,575694
2022-09-29,252.9,245,248.9,248,0.9,66,3864,963077
2022-10-09,258,246,253,248.9,4.1,53,1210,307435
2022-10-10,255,244,244,253,-9,86,4153,1021599.3
2022-10-11,242,235,242,244,-2,58,2808,663440.7
2022-10-12,249,234.1,245,242,3,81,4860,1176010
2022-10-13,255.9,242.2,253.7,245,8.7,89,5286,1304795.5
2022-10-16,250,242,245,253.7,-8.7,87,2143,524457
2022-10-17,244,237.2,244,245,-1,79,2581,623485.6
2022-10-19,242,233.4,236,244,-8,79,5250,1233424.4
