date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-11-03,545.0,528.1,532.0,545.0,-13.0,395,75436,40351120.4
2022-11-06,550.0,532.2,540.0,532.0,8.0,814,132005,70901175.4
2022-11-07,541.5,528.0,531.0,540.0,-9.0,456,62810,33553650.4
2022-11-08,534.4,530.0,530.2,531.0,-0.7999999999999545,166,19249,10226168.5
2022-11-09,535.0,524.0,525.0,530.2,-5.2000000000000455,217,45490,23970123.4
2022-11-10,535.0,520.0,522.9,525.0,-2.1000000000000227,161,21021,10988081.9
2022-11-13,523.5,514.0,514.0,522.9,-8.899999999999977,180,15813,8167040.7
2022-11-14,518.0,512.0,516.0,514.0,2.0,90,14666,7564617.1
2022-11-15,525.0,516.0,518.0,516.0,2.0,130,42828,22296325.4
2022-11-16,530.2,518.1,527.0,518.0,9.0,171,30966,16245067.0
2022-11-22,554.9,534.5,544.0,534.0,10.0,278,69909,37820511.6
2022-11-23,554.0,537.1,538.9,544.0,-5.100000000000023,152,37068,19959073.5
2022-11-24,544.0,536.7,540.0,538.9,1.1000000000000227,159,47380,25524242.2
2022-11-27,545.0,533.0,544.0,540.0,4.0,290,49984,26919270.2
2022-11-28,550.0,538.1,539.9,544.0,-4.100000000000023,715,110573,59831861.2
2022-11-29,478.0,465.5,471.0,477.79,-6.7900000000000205,233,21127,9922577.8
2022-11-30,476.0,466.6,467.0,471.0,-4.0,114,10102,4740772.4
2022-12-01,471.0,463.0,470.8,467.0,3.8000000000000114,139,28265,13233328.4
2022-12-04,474.0,467.0,467.9,470.8,-2.900000000000034,114,17172,8071018.4
2022-12-05,468.9,460.0,461.0,467.9,-6.899999999999977,100,10556,4880619.3
2022-12-06,460.0,452.0,453.2,461.0,-7.800000000000011,105,11869,5403265.2
2022-12-07,453.0,446.0,450.0,453.2,-3.1999999999999886,82,11718,5259423.6
2022-12-11,450.0,441.0,443.0,450.0,-7.0,106,20126,8934989.1
2022-12-12,446.4,434.2,440.0,443.0,-3.0,117,21106,9230198.5
2022-12-13,457.7,438.0,445.0,440.0,5.0,105,27069,11993453.5
2022-12-14,445.0,438.0,441.0,445.0,-4.0,83,7192,3160200.1
2022-12-15,438.0,423.0,430.0,441.0,-11.0,196,33792,14520576.8
2022-12-18,432.0,421.5,430.0,430.0,0.0,70,8622,3697120.5
2022-12-19,437.8,425.1,430.0,430.0,0.0,93,59490,25510956.8
2022-12-20,436.0,430.0,432.0,430.0,2.0,97,15066,6526321.7
2022-12-21,443.7,432.0,435.0,432.0,3.0,70,11352,4926725.9
2022-12-22,437.0,427.2,435.9,435.0,0.8999999999999773,65,59696,25599106.7
2022-12-26,452.0,436.0,449.0,435.9,13.100000000000025,169,21372,9536002.6
2022-12-27,478.3,457.7,476.9,449.0,27.899999999999977,340,89272,41929003.4
2022-12-28,486.4,466.6,471.0,476.9,-5.899999999999977,103,8889,4209137.3
2022-12-29,481.8,460.0,480.0,471.0,9.0,177,38611,18354236.6
2023-01-01,500.0,472.9,477.0,480.0,-3.0,359,75713,36711902.2
2023-01-02,492.5,468.0,490.0,477.0,13.0,173,38769,18783637.8
2023-01-03,503.0,487.0,502.0,490.0,12.0,271,65666,32709747.4
2023-01-04,520.0,501.0,520.0,502.0,18.0,306,82922,42350445.6
2023-01-05,529.0,511.0,520.0,520.0,0.0,200,58167,30153472.3
2023-01-08,531.0,514.9,522.5,520.0,2.5,291,88355,46334587.9
2023-01-09,532.9,516.0,528.0,522.5,5.5,211,79213,41826941.7
2023-01-10,558.9,515.0,519.0,528.0,-9.0,317,64340,34237998.2
2023-01-12,535.0,502.0,507.0,519.0,-12.0,254,72380,37262062.8
2023-01-17,515.0,501.0,512.1,507.0,5.100000000000023,173,21923,11151985.6
2023-01-18,520.0,507.0,510.0,512.1,-2.1000000000000227,115,15164,7763517.2
2023-01-19,536.0,507.1,518.0,510.0,8.0,179,33985,17527479.8
2023-01-23,547.9,528.3,538.0,518.0,20.0,805,185572,100271577.8
2023-01-24,548.7,528.5,533.0,538.0,-5.0,206,44859,23959233.9
2023-01-25,536.0,527.0,530.0,533.0,-3.0,186,25755,13655532.6
2023-01-26,530.0,518.7,518.7,530.0,-11.299999999999956,214,31997,16671198.8
2023-01-29,525.0,512.2,518.0,518.7,-0.7000000000000455,167,25712,13295792.5
2023-01-30,516.0,505.1,505.1,518.0,-12.899999999999975,221,29694,15161629.1
2023-01-31,509.9,500.1,504.0,505.1,-1.1000000000000227,152,20379,10278004.8
2023-02-01,513.0,501.0,504.0,504.0,0.0,118,13192,6686276.7
2023-02-02,520.0,506.5,507.0,504.0,3.0,214,46722,23963167.3
2023-02-05,519.0,510.0,514.4,507.0,7.399999999999977,169,33740,17376284.5
2023-02-06,521.0,510.0,521.0,514.4,6.600000000000023,165,36777,18977346.2
2023-02-07,545.0,516.0,539.9,521.0,18.899999999999977,345,68851,36901180.5
2023-02-08,548.0,536.1,546.0,539.9,6.100000000000023,358,136423,73855554.2
2023-02-09,552.0,539.0,550.0,546.0,4.0,282,61945,33830289.4
2023-02-12,548.0,530.0,532.0,550.0,-18.0,291,72854,39034632.8
2023-02-14,532.0,524.0,526.9,532.0,-5.100000000000023,168,29599,15609408.8
2023-02-15,530.0,520.0,524.0,526.9,-2.8999999999999773,154,31592,16529698.9
2023-02-16,522.0,516.2,517.0,524.0,-7.0,162,26769,13890086.4
2023-02-20,520.0,508.2,513.0,517.0,-4.0,128,15510,7936439.4
2023-02-22,522.0,513.0,520.0,513.0,7.0,117,16273,8417167.2
2023-02-23,514.5,508.0,511.0,520.0,-9.0,200,34849,17796708.1
2023-02-26,514.4,502.0,512.0,511.0,1.0,363,41280,20897117.6
2023-02-27,530.0,505.0,512.0,512.0,0.0,239,25874,13220915.5
2023-02-28,519.9,508.0,516.0,512.0,4.0,136,19371,9942152.3
2023-03-01,515.0,506.3,509.0,516.0,-7.0,143,15985,8139466.4
2023-03-02,510.0,500.0,503.0,509.0,-6.0,197,26744,13435697.7
2023-03-05,505.1,495.1,500.0,503.0,-3.0,187,23016,11486136.6
2023-03-07,509.0,499.0,505.5,500.0,5.5,145,25805,13007424.5
2023-03-09,520.0,508.0,520.0,505.5,14.5,216,34599,17739929.5
2023-03-12,520.0,505.0,509.9,520.0,-10.100000000000025,144,16549,8464155.8
2023-03-13,508.0,499.3,503.0,509.9,-6.899999999999977,177,26608,13366033.0
