date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-12-14,237.6,216,237.6,0,237.6,198,8512,2021287.2
2022-12-15,261.3,242,261.3,237.6,23.700000000000017,283,4995,1304520.5
2022-12-18,287.4,266.5,287.4,261.3,26.099999999999966,535,10491,3013554.4
2022-12-19,293.1,258.7,264.5,287.4,-22.899999999999977,1874,30972,8337683.3
2022-12-20,278,255,271.2,264.5,6.699999999999989,434,4630,1248363
2022-12-21,297.9,265.8,297.9,271.2,26.69999999999999,363,5545,1569114.5
2022-12-22,303.8,276.2,286,297.9,-11.899999999999977,295,9063,2576286.4
2022-12-26,309,281,309,286,23,289,9815,2890389
2022-12-27,329,302.1,325,309,16,277,11845,3729181
2022-12-28,333.5,308.2,328.7,325,3.6999999999999886,236,6972,2242197
2022-12-29,334.7,310.4,326,328.7,-2.6999999999999886,245,7217,2377383.9
2023-01-01,340.6,321.1,327,326,1,192,5560,1818557.9
2023-01-02,328.9,315,328,327,1,193,10919,3538541
2023-01-03,340.6,322.3,340.6,328,12.600000000000023,230,5410,1774865
2023-01-04,374,327.2,374,340.6,33.39999999999998,277,10673,3705525.8
2023-01-05,411.4,352.2,411,374,37,229,7940,2983643
2023-01-08,440,379.3,418.9,411,7.899999999999977,324,9461,3854409
2023-01-09,423,400,423,418.9,4.100000000000023,289,9039,3721950.6
2023-01-10,431.2,388,424,423,1,320,10210,4195974
2023-01-12,416,393.4,404,424,-20,245,11292,4501886.6
2023-01-17,415.2,388.4,414.9,404,10.899999999999977,288,5470,2206547
2023-01-18,426.5,395,405,414.9,-9.899999999999977,280,7260,2980717
2023-01-19,428.9,391.1,405,405,0,348,8689,3479732.8
2023-01-23,413,391.2,399,405,-6,212,2210,875267
2023-01-24,407.7,385.1,406.9,399,7.899999999999977,315,6794,2689292
2023-01-25,417.9,392.1,415,406.9,8.100000000000023,347,10423,4232007.4
2023-01-26,425,398.7,410.5,415,-4.5,271,8680,3591931
2023-01-29,451.5,397,451.5,410.5,41,567,16338,7184832.6
2023-01-30,478.3,438,444,451.5,-7.5,379,13610,6276252.5
2023-01-31,474.3,430.5,470,444,26,441,13915,6331898
2023-02-01,508,462.1,499,470,29,417,10730,5282491.2
2023-02-02,499,466.4,477,499,-22,287,11324,5414302.1
2023-02-05,486,446.9,451,477,-26,260,9547,4405309
2023-02-06,465.3,442,455,451,4,221,10467,4743627.7
2023-02-07,477.6,437,470,455,15,248,8916,4128310
2023-02-08,475,455,469,470,-1,158,9521,4402566.6
2023-02-09,493.9,442,493.9,469,24.899999999999977,168,9046,4209955.3
2023-02-12,503.7,465.1,497,493.9,3.1000000000000227,267,13312,6511291
2023-02-14,494,473.6,488.5,497,-8.5,190,8881,4273828.8
2023-02-15,488,462.6,474,488.5,-14.5,159,7450,3506553
2023-02-16,498.4,457,466,474,-8,145,5877,2749266
2023-02-20,466,448.9,448.9,466,-17.100000000000023,162,6590,3000652.4
2023-02-22,486,440,475.1,448.9,26.200000000000045,212,7907,3663581
2023-02-23,468,450,450,475.1,-25.100000000000023,123,4128,1885158
2023-02-26,461,432.4,458,450,8,131,4761,2134389.2
2023-02-27,466.7,443.1,466.7,458,8.699999999999989,128,6420,2893353.1
2023-02-28,470.2,448.3,469.2,466.7,2.5,106,1640,754574.6
2023-03-01,462,451.5,451.5,469.2,-17.69999999999999,73,6294,2867377.4
2023-03-02,460,435.1,444.9,451.5,-6.600000000000023,107,5547,2465103.1
2023-03-05,448.8,427.5,427.5,444.9,-17.399999999999977,60,2760,1211509
2023-03-07,448,425.4,439.9,427.5,12.399999999999977,104,2950,1288341
2023-03-09,457.3,431.1,449.7,439.9,9.800000000000011,88,1790,790552
2023-03-12,453.9,425,447,449.7,-2.6999999999999886,124,3230,1426510
2023-03-13,460,431.1,450.8,447,3.8000000000000114,89,2432,1078082
2023-03-14,448.8,435.1,448.8,450.8,-2,65,2240,992655
2023-03-15,457.7,432,457.7,448.8,8.899999999999977,83,2094,929396.1
2023-03-16,466.8,444.5,464.1,457.7,6.400000000000034,86,3720,1680824
2023-03-19,460,442.1,453,464.1,-11.100000000000023,76,2660,1185068
2023-03-20,460,444,458.6,453,5.600000000000023,83,3420,1552786
2023-03-22,475,443,473,458.6,14.399999999999977,120,7250,3302496
2023-03-23,463.6,446,460,473,-13,94,4306,1939008.6
2023-03-26,450.8,431.7,431.7,460,-28.30000000000001,86,4594,1996639.8
2023-03-27,443.2,423.2,443.2,431.7,11.5,82,1700,727208
2023-03-28,451,432.1,447.4,443.2,4.199999999999989,112,3240,1437632
2023-03-29,452,432.2,445.3,447.4,-2.099999999999966,93,1450,638036
2023-03-30,451.9,431,450,445.3,4.699999999999989,97,4460,1939229
2023-04-02,459,428.1,443.5,450,-6.5,80,6450,2799487
2023-04-03,443.3,420,435.5,443.5,-8,62,1540,656432.2
2023-04-04,430.5,411.1,430.5,435.5,-5,58,770,324909
2023-04-05,435,414.1,435,430.5,4.5,60,1660,697430
2023-04-06,442.3,401.9,421.9,435,-13.100000000000023,101,5560,2293044
2023-04-09,413.5,391,398.8,421.9,-23.099999999999966,69,5870,2342987
2023-04-10,402.9,382.5,382.9,398.8,-15.900000000000034,57,3265,1275777.6
2023-04-11,411,387.4,396.9,382.9,14,82,4460,1760855
2023-04-12,424,398,420,396.9,23.100000000000023,123,3509,1443229.4
2023-04-13,428.1,411.6,413.6,420,-6.399999999999977,52,1991,829787.6
2023-04-16,416,400.2,415,413.6,1.3999999999999773,67,2850,1164837
2023-04-17,407,395.2,403,415,-12,42,2680,1074803
2023-04-18,411,388.1,407.7,403,4.699999999999989,55,770,305013
2023-04-19,413.1,392.3,413.1,407.7,5.400000000000034,61,1100,446521
2023-04-20,406,400.2,402,413.1,-11.100000000000023,37,420,168862
2023-04-23,410,378.6,394,402,-8,83,2530,980850
2023-04-24,395,371,392.5,394,-1.5,74,3350,1287487
2023-04-25,390,379.1,390,392.5,-2.5,55,650,250311
2023-04-26,394.7,383,394.7,390,4.699999999999989,51,1410,548500
2023-04-27,392.9,373.1,390,394.7,-4.699999999999989,64,3430,1306005
2023-04-30,382.2,373,380,390,-10,42,990,373442
2023-05-02,380.4,359.3,375,380,-5,72,3140,1136731
2023-05-03,375,350.1,375,375,0,64,3140,1121581
2023-05-04,377.9,355,360,375,-15,41,2491,934173.2
2023-05-07,387.4,340.1,387.4,360,27.399999999999977,57,2970,1053623
2023-05-08,379.7,348.7,348.7,387.4,-38.69999999999999,123,12185,4253352.5
2023-05-09,359.9,341.8,354.9,348.7,6.199999999999989,40,3100,1102815
2023-05-10,354.3,340,340.7,354.9,-14.199999999999989,36,640,221764
2023-05-11,367.1,333,360,340.7,19.30000000000001,64,1260,431642
2023-05-14,352.8,324.3,347.9,360,-12.100000000000023,55,5590,1848283
2023-05-15,341,320,331.3,347.9,-16.599999999999966,55,2645,866569
2023-05-16,344,312.7,316.1,331.3,-15.199999999999989,56,2430,780412
2023-05-17,347,312.1,347,316.1,30.899999999999977,55,1190,392579
2023-05-18,353.3,333,353.3,347,6.300000000000011,71,2716,929874
2023-05-21,354.9,331,354,353.3,0.6999999999999886,56,4871,1663452.8
