date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-03-06,287.1,287.1,287.1,,,3,20,5779
2022-03-07,298.6,287.1,298.6,287.1,11.5,6,34,9967.9
2022-03-09,310.5,298.6,310.5,298.6,11.9,8,27,8227.5
2022-03-10,341.5,316.7,341.5,310.5,31,8,70,23080
2022-03-13,375.6,348.3,375.6,341.5,34.1,6,51,18478.5
2022-03-14,390.7,383.1,390.7,375.6,15.1,2,20,7738
2022-03-15,429.7,398.5,429.7,390.7,39,23,230,98064
2022-03-16,472.6,438.2,472.6,429.7,42.9,27,270,126756
2022-03-20,519.8,482,519.8,472.6,47.2,95,950,492882
2022-03-21,571.7,530.1,571.7,519.8,51.9,111,1089,621461.3
2022-03-22,628.8,583.1,628.8,571.7,57.1,130,1300,815860
2022-03-23,691.6,641.3,691.6,628.8,62.8,147,1470,1015417
2022-03-24,760.7,705.4,760.7,691.6,69.1,403,4370,3322902
2022-03-27,836.7,775.9,836.7,760.7,76,427,8392,7018585.4
2022-03-28,920.3,853.4,920.3,836.7,83.6,385,8072,7425682.6
2022-03-29,1012.3,938.7,1012.3,920.3,92,392,3922,3966329.1
2022-03-30,1113.5,1032.5,1113.5,1012.3,101.2,717,12986,14453010.8
2022-03-31,1224.8,1056.5,1224.8,1113.5,111.3,5360,79378,92384248
2022-04-03,1347.2,1224.8,1347.2,1224.8,122.4,682,7631,9978648.7
2022-04-04,1481.9,1220,1470,1347.2,122.8,2615,47292,63915583.6
2022-04-05,1440.6,1323,1323,1470,-147,51,2885,3823442
2022-04-06,1296.6,1190.7,1190.7,1323,-132.3,55,3980,4741953
2022-04-07,1166.9,1071.7,,1190.7,-78.7,2921,41032,45902793.6
2022-04-11,1150,1001,1001,1112,-111,1135,30266,31384946
2022-04-12,1060.8,926,935,1001,-66,602,19079,18247383.3
2022-04-13,1006,902,976,935,41,338,15093,14147697
2022-04-17,990,902,902,976,-74,251,9317,8694962
2022-04-18,901,832,838,902,-64,322,14645,12579257.8
2022-04-19,914,823,860,838,22,186,5294,4596702.2
2022-04-20,877,836,840,860,-20,96,3114,2646555
2022-04-21,866.8,810,841,840,1,145,7026,5854658
2022-04-24,886,840.7,885,841,44,168,7160,6208188
2022-04-25,885,830,854,885,-31,160,6708,5691080
2022-04-26,850,810.1,826.9,854,-27.1,149,3979,3273164.5
2022-04-27,842.5,801.5,838,826.9,11.1,128,4639,3767197.5
2022-04-28,835,807,830,838,-8,85,3905,3180848
2022-05-02,820,783,798,830,-32,113,4744,3799964.1
2022-05-04,790,766.6,775,798,-23,60,2154,1660380.8
2022-05-05,760,712,729,775,-46,105,3435,2535536
2022-05-08,737,684.1,730,729,1,82,3595,2540487.5
2022-05-09,749,716,742,730,12,47,2610,1921985
2022-05-10,756,721,750,742,8,53,3655,2695205.5
2022-05-11,822,734,818,750,68,107,6472,4948337.3
2022-05-12,824,786,815.9,818,-2.1,88,4857,3892434
2022-05-17,800,737.9,737.9,815.9,-78,54,2326,1788423
2022-05-18,790,710,779,737.9,41.1,63,2135,1608512.9
2022-05-19,789,742,762,779,-17,71,2195,1659145.5
2022-05-20,777.2,744,759,762,-3,45,1911,1431600.4
2022-05-23,772.9,729.2,739.1,759,-19.9,59,1497,1111193
2022-05-24,784.1,727.1,755,739.1,15.9,68,1800,1363668.5
2022-05-25,770.1,740.2,750,755,-5,68,6730,5068877
2022-05-26,765,737.8,749.9,750,-0.1,57,1970,1466330
2022-05-27,762,723.4,738,749.9,-11.9,63,2400,1771320.8
2022-05-30,730,707.6,707.6,738,-30.4,68,1552,1115276
2022-05-31,725,694.1,715,707.6,7.4,70,1522,1084612
2022-06-01,740,700,715,715,,63,1360,963741
2022-06-02,743,701.4,724,715,9,41,1650,1197304.7
2022-06-03,735,706,723,724,-1,46,1545,1114179.5
2022-06-06,751,711,729,723,6,78,3787,2745018
2022-06-07,734,715.1,734,729,5,49,1421,1024034
2022-06-08,760,721,760,734,26,56,1699,1264182.2
2022-06-09,759.5,727,727,760,-33,64,1701,1260550.8
2022-06-10,729,701,719,727,-8,47,1405,995191
2022-06-13,724.2,704,712.9,719,-6.1,43,895,634055.1
2022-06-14,710,683,683,712.9,-29.9,57,4700,3256150
2022-06-15,687.3,638.4,654,683,-29,98,3013,1977390.9
2022-06-16,680,641.1,655,654,1,19,600,394755.9
2022-06-17,659.9,641.9,641.9,655,-13.1,10,125,81143
2022-06-19,654.8,619,654.8,641.9,12.9,51,1370,857997.8
2022-06-20,641.8,599.8,623,654.8,-31.8,52,1245,768270.7
2022-06-21,646.6,599,623.4,623,0.4,42,1060,663593
2022-06-22,620,605,612,623.4,-11.4,28,1104,671501
2022-06-23,599.8,567.6,568,612,-44,47,2440,1412976
2022-06-24,590,538,578.2,568,10.2,27,2110,1164667
2022-06-26,615,589.7,600,578.2,21.8,39,1885,1131559.1
2022-06-27,618,578,600,600,,68,4222,2535355.4
2022-06-28,600,581,581,600,-19,30,490,289251
2022-06-30,650.6,603,630,602,28,59,3317,2068817.7
2022-07-01,665.9,629.2,642.9,630,12.9,43,1820,1162442
2022-07-03,673.2,618,669,642.9,26.1,52,2927,1893534.9
2022-07-04,708.9,646.8,672,669,3,133,9634,6484746.4
2022-07-05,672,641,649,672,-23,90,4228,2754717
2022-07-06,702.7,626.1,689,649,40,68,3505,2295880
2022-07-07,715,656.1,693,689,4,66,3777,2525303.2
2022-07-08,706.8,655,687.9,693,-5.1,23,940,627712
2022-07-11,674.2,637.3,658,687.9,-29.9,60,3705,2398605
2022-07-12,684,645.1,663,658,5,52,6279,4088454.9
2022-07-13,689,649.8,670,663,7,83,5415,3558073
2022-07-14,697,656.7,683,670,13,66,6525,4409339
2022-07-15,684,660,684,683,1,22,520,350335
2022-07-17,720,685,706.1,684,22.1,128,9870,6975936.5
2022-07-18,774.9,700,774,706.1,67.9,186,12450,9385739.2
2022-07-19,850,782,836,774,62,216,13621,11266146.5
2022-07-20,869,785,800,836,-36,203,11207,9093014
2022-07-21,830,770.1,780,800,-20,118,8435,6677751.3
2022-07-22,824.9,765,785,780,5,73,3940,3087949.5
2022-07-24,815,770,807.9,785,22.9,120,7162,5665045.6
2022-07-25,854,760.5,839,807.9,31.1,167,9447,7769448.8
2022-07-26,845,800.1,803,839,-36,182,13386,10922008.6
2022-07-27,818,790.3,814.5,803,11.5,66,8790,7127847
2022-07-28,844.9,795,795,814.5,-19.5,127,10066,8250872.2
2022-07-29,824,792,800,795,5,84,6349,5106257
2022-07-31,820,775.2,796.9,800,-3.1,136,12409,9909716.4
2022-08-01,799.9,775,775,796.9,-21.9,95,7684,6030997.5
2022-08-02,795.5,759,768.4,775,-6.6,103,6635,5106634.5
2022-08-03,790,766,780,768.4,11.6,122,10810,8418793
2022-08-04,810.9,765,793,780,13,92,4827,3798121.8
2022-08-05,800,738,749.9,793,-43.1,90,5337,4009306
2022-08-07,775,735.1,736,749.9,-13.9,102,5759,4315044.9
2022-08-08,750.7,717,718,736,-18,90,4919,3590576
2022-08-09,767,681.1,697,718,-21,95,4034,2880917.5
2022-08-10,742,697,700,697,3,130,4160,2968622
2022-08-11,727.9,688,690,700,-10,55,2732,1896168.6
2022-08-14,727,649.8,649.8,690,-40.2,79,5625,3776222.5
2022-08-15,713,655.3,708,649.8,58.2,95,4693,3237511.9
2022-08-16,750,680,694.8,708,-13.2,93,4530,3177432
2022-08-17,704.7,672,680,694.8,-14.8,73,4795,3280357
2022-08-18,720,667.1,696,680,16,86,4577,3197042.8
2022-08-22,713,686,700,700,,82,3561,2482717.5
2022-08-23,714,690,694,700,-6,42,970,677846.5
2022-08-24,736,685,695,694,1,51,990,693757.3
2022-08-25,717,686.2,690,695,-5,53,3293,2298670.6
2022-08-26,684,677,677.2,690,-12.8,25,1585,1075198
2022-08-28,689,665,665,677.2,-12.2,26,1796,1204341.5
2022-08-29,678.3,652.2,652.2,665,-12.8,52,2509,1651069.7
2022-08-30,696.9,658,674,652.2,21.8,53,2700,1799305
2022-08-31,687.4,640,674,674,,97,5143,3398824
2022-09-01,678,648.2,675.9,674,1.9,60,2011,1335435
2022-09-02,682,662.4,670,675.9,-5.9,22,537,360400
2022-09-04,682,656.6,670,670,,34,1185,788801
2022-09-05,670,651.5,652,670,-18,67,2664,1758475.5
2022-09-06,660,640,640,652,-12,59,2615,1688608
2022-09-07,651.5,629.2,646,640,6,39,1540,979497
2022-09-08,657.9,634,653,646,7,32,795,514958.5
2022-09-11,660,640.1,657,653,4,45,1420,917095.5
2022-09-12,656,644,644,657,-13,29,1046,674575
2022-09-13,664,635.1,653,644,9,21,1751,1145693
2022-09-14,675,650,664.3,653,11.3,52,3907,2601532
2022-09-15,676,638.2,658,664.3,-6.3,40,1890,1226593
2022-09-16,649.9,635,637,658,-21,18,740,473958
2022-09-18,647,610.6,613,637,-24,47,2483,1543215.5
2022-09-20,610,593,593,613,-20,38,1220,732260
2022-09-21,609,583,607.9,593,14.9,28,1297,778875
2022-09-22,607,593.2,593.2,607.9,-14.7,22,340,203808
2022-09-25,593,572.1,593,593.2,-0.2,37,1505,871370
2022-09-27,609,588.1,591,593,-2,16,320,190431
2022-09-28,590,584,585,591,-6,12,860,503495
2022-09-29,600,585,586.1,585,1.1,19,1330,787420
2022-10-09,600,582.1,600,586.1,13.9,11,1160,692777
2022-10-10,588.1,580,585,600,-15,12,270,157940
2022-10-11,580,575,575,585,-10,17,610,352322
2022-10-12,588,565.2,577,575,2,11,235,136767
2022-10-13,588,568.4,580,577,3,21,825,474454
2022-10-16,590,565,565,580,-15,30,905,516019
2022-10-17,566.1,555,556,565,-9,28,1145,639782
2022-10-19,550,536.1,540,556,-16,35,1160,630824
2022-10-20,540,535,535,540,-5,7,85,45627
2022-10-23,542,535,536.1,535,1.1,18,772,416621
2022-10-31,565,535,565,536.1,28.9,15,250,135014
2022-11-01,606,554,606,565,41,29,665,383386
2022-11-02,641.8,579.2,609,606,3,78,7905,4767100.6
2022-11-03,620,596,615,609,6,18,1172,714611
2022-11-06,650,603,648,615,33,34,1639,1028188.4
2022-11-07,673,643,650,648,2,72,6668,4340568
2022-11-08,650,637.2,650,650,0,20,430,278338
2022-11-09,645.9,615,615,650,-35,44,1608,999503.5
2022-11-10,620,558.1,583,615,-32,73,4692,2737811
2022-11-13,605.8,580,583,583,0,17,305,180332
2022-11-14,595,571.5,583,583,0,23,970,560360.1
