date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-12-07,240,220,221.4,244.08,-22.680000000000007,1096,143676,32112235
2022-12-11,221,213.7,214.2,221.4,-7.200000000000017,643,89079,19187789.2
2022-12-12,214.2,206,214,214.2,-0.19999999999998863,574,97560,20467470
2022-12-13,214.5,209,212,214,-2,283,26556,5604449
2022-12-14,213,207.5,208,212,-4,311,37002,7714482.6
2022-12-15,208.9,205,205.5,208,-2.5,348,42309,8734766.5
2022-12-18,205.5,200,202,205.5,-3.5,447,66218,13359602.3
2022-12-19,202,197.5,198.6,202,-3.4000000000000057,430,70195,13960702.2
2022-12-20,201,197.1,200,198.6,1.4000000000000057,311,31289,6246748.2
2022-12-21,201,197.1,198.5,200,-1.5,259,25652,5115761.5
2022-12-22,201.4,198,198.5,198.5,0,271,33057,6560404.3
2022-12-26,207.9,200.1,207,198.5,8.5,414,51530,10499940.4
2022-12-27,216,210,214,207,7,709,103327,22053341.7
2022-12-28,217,209,209.9,214,-4.099999999999994,346,37458,7954471.8
2022-12-29,213.9,207.6,213.9,209.9,4,414,114945,24130991.5
2023-01-01,217.7,210.1,212.5,213.9,-1.4000000000000057,517,59062,12693550.2
2023-01-02,216,210,212,212.5,-0.5,332,35977,7645966.9
2023-01-03,215,207,210,212,-2,529,88647,18577583.6
2023-01-04,213,209,212,210,2,439,86600,18242812.1
2023-01-05,216.2,210,211,212,-1,602,89850,19027985.6
2023-01-08,213.9,208.9,210.4,211,-0.5999999999999943,813,171512,36151379.4
2023-02-22,210,199,204,209.42,-5.4199999999999875,1481,227497,46134891.1
2023-02-23,204,197,199.5,204,-4.5,1130,183925,36644178.6
2023-02-26,200,192.1,195.2,199.5,-4.300000000000011,915,148048,28769096.7
2023-02-27,201,193,197,195.2,1.8000000000000114,717,102829,20128163.2
2023-02-28,199,194.3,195.2,197,-1.8000000000000114,577,71406,13953531.5
2023-03-01,199,193.1,194,195.2,-1.1999999999999886,576,72908,14156292.1
2023-03-02,194.2,191,191,194,-3,569,75249,14467387.1
2023-03-05,194.9,188.4,188.4,191,-2.5999999999999943,578,64855,12300273.2
2023-03-07,191.9,187.1,188.6,188.4,0.19999999999998863,527,97487,18423948
2023-03-09,194.8,189,192.9,188.6,4.300000000000011,573,92131,17649462.2
