date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-08-13,581.4,509,509,0,509,29113,446687,231568383.4
2023-08-14,540,491,524,509,15,11628,174521,89804095.5
2023-08-15,530,512,514,524,-10,4960,65896,34071909.8
2023-08-16,510,499.9,501.2,514,-12.800000000000011,3435,97602,49044946.6
2023-08-17,512,494,507,501.2,5.800000000000011,3659,102087,51661241
2023-08-20,510,491,492,507,-15,3599,74722,37213924
2023-08-21,493.9,477,477.1,492,-14.899999999999977,3471,104411,50612461.2
2023-08-22,505,470,499,477.1,21.899999999999977,3050,75667,36891104.6
2023-08-23,512,489.1,510,499,11,3742,149499,75765894.4
2023-08-24,520.2,500,508,510,-2,3306,137002,69458731.8
2023-08-27,500,486,486.4,508,-21.600000000000023,2185,99951,49061447.6
2023-08-28,495,480,485.1,486.4,-1.2999999999999545,1988,51776,25198784.8
2023-08-29,490,480,481,485.1,-4.100000000000023,1909,46631,22633490
2023-08-30,490.5,478,479,481,-2,1643,42325,20336919.6
2023-09-03,479,468,469.9,479,-9.100000000000023,2053,61451,28980472.3
2023-09-04,485,468.5,477.9,469.9,8,1669,41103,19428238.9
2023-09-05,488.9,470,487,477.9,9.100000000000023,1692,58867,28045570.4
2023-09-07,481,470,473,487,-14,1247,46343,21959417.5
2023-09-10,480,468.2,469.4,473,-3.6000000000000227,1410,56148,26564739.9
2023-09-11,488,465,481.4,469.4,12,1865,57134,27426292.4
2023-09-12,487,470,470,481.4,-11.399999999999977,1185,40128,19155817.1
2023-09-13,486,470,483,470,13,1618,57478,27613783.5
2023-09-17,492.6,465.8,466,483,-17,1258,45100,21225441.6
2023-09-18,472,463.3,470,466,4,1006,40386,18907232.6
2023-09-19,476.3,462.2,475,470,5,1238,27053,12755035.6
2023-09-21,498,475,484,475,9,3459,132981,64725040.2
2023-09-24,493,474.4,479,484,-5,2029,95252,46138686.2
2023-09-25,482,471,473.2,479,-5.800000000000011,1565,46321,22072547.4
2023-09-26,490,476,483,473.2,9.800000000000011,1921,67001,32370854.2
2023-09-27,485,472,475.1,483,-7.899999999999977,1079,49599,23648122
2023-10-01,474,462,462.9,475.1,-12.200000000000045,1580,65054,30357903.3
2023-10-02,470,460,465.2,462.9,2.3000000000000114,1618,38549,17878239.3
2023-10-03,465.1,458.3,458.3,465.2,-6.899999999999977,1102,40470,18689066
2023-10-04,467.4,456,460,458.3,1.6999999999999886,1303,37528,17382073.4
2023-10-05,467,456.5,457,460,-3,1162,29136,13375161.2
2023-10-08,457,444,448,457,-9,1317,67424,30271750.1
2023-10-09,451,440.5,445,448,-3,961,21068,9390034.7
2023-10-10,449.9,438,438.7,445,-6.300000000000011,817,25678,11332085.9
2023-10-11,444.9,436,439,438.7,0.30000000000001137,976,31794,14010149.3
2023-10-12,443,430,434.8,439,-4.199999999999989,1191,44148,19265691.4
2023-10-16,433.1,410,415,434.8,-19.80000000000001,1439,58336,24480166
2023-10-17,423.3,404,408.9,415,-6.100000000000023,749,42903,17650014.6
2023-10-18,416.1,404,414,408.9,5.100000000000023,549,32663,13392774.7
2023-10-19,417,407,408,414,-6,328,26730,10997333.5
2023-10-29,405,388.5,389,408,-19,904,50825,19901434.5
2023-10-30,395,383.1,393,389,4,575,22104,8600793
2023-10-31,391,386.2,390,393,-3,417,14195,5518152.2
2023-11-01,392,381.1,384,390,-6,465,15816,6094317.1
2023-11-02,386.9,375,375.1,384,-8.899999999999977,514,19209,7294737.5
2023-11-05,375,366.4,369,375.1,-6.100000000000023,555,22985,8485281.2
2023-11-06,388.6,363.1,384,369,15,604,24198,9197962
2023-11-07,400,383,394,384,10,452,28197,11078540
2023-11-08,418,386.2,414.4,394,20.399999999999977,556,57875,23564743.9
2023-11-09,430,406.2,406.2,414.4,-8.199999999999989,473,34752,14309470.8
2023-11-20,415,388.3,400,406.2,-6.199999999999989,563,38170,15248090.4
2023-11-21,397.9,378.1,382,400,-18,515,39561,15206975
2023-11-22,397.8,376,396,382,14,458,15855,6199671.3
2023-11-23,425,388.2,412,396,16,640,48532,19681611.1
2023-11-26,439,403.8,429.9,412,17.899999999999977,1040,64269,27459013.9
2023-11-27,440,422,430,429.9,0.10000000000002274,1016,108343,46566230.4
2023-11-28,441.7,421.4,439,430,9,965,46100,19998169.3
2023-11-29,455,422.5,430,439,-9,842,61453,26839073.3
2023-11-30,447,413,427,430,-3,654,48324,20487129.4
2023-12-03,433.5,414.2,426,427,-1,759,48701,20408574.9
2023-12-04,435,415,427,426,1,686,48953,20655772.4
2023-12-05,428,412,416.9,427,-10.100000000000023,582,43961,18400030.1
2023-12-06,421,405,410,416.9,-6.899999999999977,559,34167,14065553.1
2023-12-07,423.3,405.1,418,410,8,689,47973,19994692
2023-12-10,443.4,426.3,443,418,25,92,19953,8713922.8
2023-12-11,450,429,442,443,-1,2034,151799,66733849.3
2023-12-12,474,437,468.9,442,26.899999999999977,2668,158567,73428170.9
2023-12-13,483.3,460.7,463.1,468.9,-5.7999999999999545,1673,135946,64263203.5
2023-12-14,469.9,453.9,460,463.1,-3.1000000000000227,1263,83316,38309077.7
2023-12-17,470,442.2,469,460,9,1758,113140,52280707.7
2023-12-18,507,469,500,469,31,3205,290559,143320662.1
2023-12-19,550,499,550,500,50,3784,249258,133086398.1
2023-12-20,590,550,573.9,550,23.899999999999977,3169,225572,130748042.6
2023-12-21,580,555,575,573.9,1.1000000000000227,3379,268407,152350509.4
2023-12-24,614,565,572,575,-3,4205,383292,225222013.3
2023-12-27,579,548,548.3,572,-23.700000000000045,3672,218421,122499138.1
2023-12-28,586,545.4,578,548.3,29.700000000000045,5131,236191,134338575.5
2024-01-01,532.4,512,515,502.61,12.389999999999986,1984,146424,76809139.4
2024-01-02,523,506,511,515,-4,1375,105719,54233821.3
2024-01-03,545,506,544.9,511,33.89999999999998,1671,116470,61512397.7
2024-01-04,567,535,535,544.9,-9.899999999999977,1708,146048,81121041.7
2024-01-07,555,527,532,535,-3,1240,92532,49985119.1
2024-01-08,547,526,532,532,0,1441,125299,67187711.5
2024-01-09,545,520.1,522,532,-10,1259,95316,50645951.5
2024-01-10,549.1,525,536.1,522,14.100000000000023,1693,141554,76487072.3
2024-01-11,556,532,548,536.1,11.899999999999977,1243,77144,42002039.2
2024-01-14,569,538,565,548,17,1580,172867,95470341.1
2024-01-16,593,564,580,565,15,1831,173543,100544970
2024-01-17,591.6,550,554,580,-26,1683,159440,90062549.4
2024-01-18,561,539,540,554,-14,2084,117438,64172554.7
2024-01-21,554,515,523,540,-17,1564,104263,55386988.9
2024-01-22,532,510.1,510.1,523,-12.899999999999977,1337,73846,38302586.2
2024-01-23,530,501,518,510.1,7.899999999999977,1188,70647,36750937.9
2024-01-24,528,508,514,518,-4,843,48318,24973623.7
2024-01-25,518.8,499,507,514,-7,918,55583,28113698
2024-01-28,522,502,510,507,3,1012,32881,16776291
2024-01-29,519,505.5,507,510,-3,848,32610,16692402.5
2024-01-30,524,506,520,507,13,1143,51984,26999695.4
2024-01-31,525,503.8,507,520,-13,758,46576,23882109.8
2024-02-01,517.1,492,497.6,507,-9.399999999999977,746,65190,32522123
2024-02-04,507,490,504,497.6,6.399999999999977,817,46567,23314987.6
2024-02-05,510,502,505,504,1,571,23835,12016667.3
2024-02-06,514.9,496.1,511,505,6,818,25315,12879360.7
2024-02-07,519,511,514,511,3,717,36371,18688296.5
2024-02-08,515,505.2,509,514,-5,550,32741,16690079.3
2024-02-11,515,500,500,509,-9,656,32189,16258537
2024-02-12,518,490,512,500,12,929,46862,23690796.6
2024-02-13,522.2,490,493.8,512,-18.19999999999999,789,108014,53636915.9
2024-02-14,492,480.1,484,493.8,-9.800000000000011,743,64777,31331413.2
2024-02-15,493,476.3,487,484,3,648,32606,15828218.3
2024-02-18,481,471,478,487,-9,821,39366,18800750.5
2024-02-20,478,467.2,468.4,478,-9.600000000000023,712,33284,15696996.1
2024-02-21,476.9,460.3,473.8,468.4,5.400000000000034,644,28014,13076150
2024-02-22,472.2,460,460,473.8,-13.800000000000011,640,31156,14455338.7
2024-02-25,463,450,455,460,-5,674,38302,17428596.5
2024-02-26,477.2,446.3,472,455,17,663,48356,22512284.4
2024-02-27,499.6,472,490,472,18,883,103201,50490269.9
2024-02-28,504.9,482.2,493,490,3,660,65885,32618585.8
2024-02-29,502.8,475,477,493,-16,581,65887,32341739.2
2024-03-03,498,468.1,488,477,11,749,80933,39452492.8
2024-03-04,527,497.7,526,488,38,58,12317,6394427.4
2024-03-05,541,506,526.8,526,0.7999999999999545,2090,272139,143170038.4
2024-03-06,550,521.3,544.9,526.8,18.100000000000023,1902,241252,129458221.9
2024-03-07,555,536,540,544.9,-4.899999999999977,801,73893,39992226.3
2024-03-10,551,535,545.1,540,5.100000000000023,1106,131166,71515441.2
2024-03-12,568.2,547,563.4,545.1,18.299999999999955,1630,160648,89898141.1
2024-03-13,573,550.4,554,563.4,-9.399999999999977,1081,125764,70404968.1
2024-03-14,561.1,546,557,554,3,1126,173106,95747782.7
2024-03-17,578,553,571,557,14,1761,197468,112628190.4
2024-03-18,574,555,560,571,-11,952,132086,74355229.9
2024-03-19,576,540.6,543,560,-17,1218,180805,101659973.6
2024-03-20,554,528,528.1,543,-14.899999999999977,853,111069,59484000.5
2024-03-21,545,525.1,530.2,528.1,2.1000000000000227,770,85579,45780151.4
2024-03-25,532,508.1,508.2,530.2,-22.000000000000057,1234,113325,58664073.7
2024-03-26,521,509,519,508.2,10.800000000000011,985,66618,34337830.2
2024-03-27,525.9,509,513,519,-6,739,61312,31512932.1
2024-03-28,529.9,502.8,520,513,7,1101,87342,45600621.4
2024-03-31,528,504,505,520,-15,968,79478,40821278.3
2024-04-01,517.1,494.9,511,505,6,851,73653,37524736.3
2024-04-02,519,506,506.1,511,-4.899999999999977,604,54793,28008711.4
2024-04-03,510,496,497,506.1,-9.100000000000023,690,64760,32462254.1
2024-04-04,504,487.1,493,497,-4,613,49126,24379700.8
2024-04-07,517,493,516,493,23,911,68137,34420100.2
2024-04-09,519.6,506,508,516,-8,764,54917,28133600.9
2024-04-10,511,495,495.3,508,-12.699999999999989,609,63498,31758297.8
2024-04-14,502,490,490,495.3,-5.300000000000011,680,42068,20792751.5
2024-04-15,495,484.1,484.1,490,-5.899999999999977,545,35682,17403864.5
2024-04-16,492,474.5,485,484.1,0.8999999999999773,407,30111,14606074.9
2024-04-18,485,469,473,485,-12,444,30818,14694225.8
2024-04-21,504,470.3,502.9,473,29.899999999999977,676,59419,28841751.6
2024-04-22,512,492,493,502.9,-9.899999999999977,547,45496,22792937.7
2024-04-24,498,489.9,489.9,493,-3.1000000000000227,406,27091,13336642.7
2024-04-25,493.8,485,488,489.9,-1.8999999999999773,430,29213,14280412.8
2024-04-28,499,488,490.7,488,2.6999999999999886,509,29004,14304657.1
2024-04-29,497,480.9,489.5,490.7,-1.1999999999999886,431,41881,20576974
2024-04-30,501.8,486,491,489.5,1.5,649,71891,35602588.5
2024-05-02,500,482,487,491,-4,460,28361,13923767.1
2024-05-05,492,480,480.1,487,-6.899999999999977,499,28136,13576941
2024-05-06,487,478.1,482.9,480.1,2.7999999999999545,396,38809,18720556.5
2024-05-07,490,477,479.9,482.9,-3,367,28851,13880993.1
2024-05-08,484,470.4,472.5,479.9,-7.399999999999977,338,31675,15067122.6
2024-05-09,480,469,478.9,472.5,6.399999999999977,480,35843,17018315.7
2024-05-12,494,470,484,478.9,5.100000000000023,553,56444,27428976.3
2024-05-13,482.9,471,477.9,484,-6.100000000000023,515,46574,22245885.2
2024-05-14,483.5,471.2,480,477.9,2.1000000000000227,545,34848,16624460.5
2024-05-15,497,476.2,484.6,480,4.600000000000023,618,57172,27927245.8
2024-05-16,495,480,483.9,484.6,-0.7000000000000455,501,38824,18941037.7
2024-05-19,507,481,503,483.9,19.100000000000023,1004,78017,38872744.7
2024-05-20,513,494.1,496.1,503,-6.899999999999977,726,55810,27886934.8
