date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-03-16,328.0,299.0,328.0,299.0,29.0,1019,10180,3328672.0
2021-03-17,360.0,344.0,360.0,328.0,32.0,1655,35073,12618280.0
2021-03-18,396.0,378.0,396.0,360.0,36.0,2124,26900,10646630.0
2021-03-21,435.0,357.0,372.0,396.0,-24.0,14947,234228,95703828.0
2021-03-22,392.0,340.0,392.0,372.0,20.0,4147,46079,16253724.0
2021-03-23,411.0,363.0,388.0,392.0,-4.0,2245,33100,12504581.0
2021-03-24,416.0,370.0,399.0,388.0,11.0,2230,59650,23258178.0
2021-03-25,410.0,378.0,389.0,399.0,-10.0,1445,28220,10990910.0
2021-03-29,395.0,372.0,380.0,389.0,-9.0,1544,26750,10115667.0
2021-03-30,390.0,368.0,379.0,380.0,-1.0,1359,20562,7758416.0
2021-03-31,392.0,370.0,380.0,379.0,1.0,1010,19019,7170050.0
2021-04-01,382.0,375.0,377.0,380.0,-3.0,948,15626,5905334.0
2021-04-04,395.0,372.0,380.0,377.0,3.0,1184,23891,9027808.0
2021-04-05,385.0,373.0,377.0,380.0,-3.0,867,14635,5498165.0
2021-04-06,377.0,365.0,374.0,377.0,-3.0,839,17225,6444115.0
2021-04-07,389.0,362.0,373.0,374.0,-1.0,782,17295,6468018.0
2021-04-08,410.0,371.0,410.0,373.0,37.0,2148,81311,32544212.0
2021-04-12,421.0,400.0,401.0,410.0,-9.0,1594,47381,19333751.0
2021-04-13,409.0,381.0,397.0,401.0,-4.0,843,17889,7136378.0
2021-04-15,410.0,388.0,393.0,397.0,-4.0,916,18195,7171269.0
2021-04-18,400.0,386.0,390.0,393.0,-3.0,851,12353,4803746.0
2021-04-19,401.0,372.0,383.0,390.0,-7.0,788,12506,4807956.0
2021-04-20,392.0,376.0,391.0,383.0,8.0,892,14831,5698555.0
2021-04-21,395.0,381.0,388.0,391.0,-3.0,685,9608,3688340.0
2021-04-22,386.0,374.0,386.0,388.0,-2.0,878,12225,4656120.0
2021-04-25,379.0,364.0,372.0,386.0,-14.0,1219,20901,7720371.0
2021-04-26,365.0,345.0,356.0,372.0,-16.0,986,26868,9467544.0
2021-04-27,369.0,349.0,368.0,356.0,12.0,637,13009,4680746.0
2021-04-28,379.0,353.0,360.0,368.0,-8.0,430,7244,2636917.0
2021-04-29,374.0,350.0,367.0,360.0,7.0,542,13195,4827880.0
2021-05-02,378.0,365.0,375.0,367.0,8.0,813,13085,4879330.0
2021-05-03,382.0,368.0,371.0,375.0,-4.0,767,19169,7139555.0
2021-05-04,383.0,364.0,383.0,371.0,12.0,780,21924,8164538.0
2021-05-05,405.0,369.0,400.0,383.0,17.0,1478,56811,22328554.0
2021-05-06,405.0,382.0,388.0,400.0,-12.0,804,19453,7536912.0
2021-05-09,407.0,375.0,384.0,388.0,-4.0,904,32899,12587489.0
2021-05-10,422.0,369.0,386.0,384.0,2.0,643,16664,6302749.0
2021-05-11,394.0,372.0,393.0,386.0,7.0,715,22186,8618911.0
2021-05-12,400.0,385.0,393.0,393.0,,751,47981,18806097.0
2021-05-13,400.0,390.0,399.0,393.0,6.0,1030,39488,15664321.0
2021-05-16,399.0,383.0,388.0,399.0,-11.0,737,46265,17924917.0
2021-05-17,390.0,369.0,389.0,388.0,1.0,739,36107,13935580.0
2021-05-18,417.0,383.0,406.0,389.0,17.0,1850,87505,35638950.0
2021-05-19,410.0,392.0,393.0,406.0,-13.0,690,18488,7340143.0
2021-05-20,402.0,386.0,388.0,393.0,-5.0,544,17114,6670731.0
2021-05-23,395.0,380.0,391.0,388.0,3.0,670,20910,8136005.0
2021-05-24,398.0,386.0,387.0,391.0,-4.0,622,31570,12292787.0
2021-05-25,408.0,382.0,401.0,387.0,14.0,1123,52861,21137832.0
2021-05-27,434.0,400.0,420.0,401.0,19.0,2011,116366,48827506.0
2021-05-30,443.0,399.0,402.0,420.0,-18.0,1181,72953,30097825.0
2021-05-31,407.0,382.0,388.0,402.0,-14.0,791,33760,13291032.0
2021-06-01,390.0,378.0,381.0,388.0,-7.0,544,20792,7957424.0
2021-06-02,390.0,378.0,392.0,381.0,11.0,620,22681,8769623.0
2021-06-03,394.0,381.0,383.0,392.0,-9.0,597,29683,11407086.0
2021-06-06,385.0,370.0,374.0,383.0,-9.0,672,35202,13239931.0
2021-06-07,386.0,373.0,383.0,374.0,9.0,710,31129,11892925.0
2021-06-08,393.0,378.0,382.0,383.0,-1.0,683,37584,14505409.0
2021-06-09,388.0,378.0,378.0,382.0,-4.0,447,22164,8471591.0
2021-06-10,415.0,361.0,415.0,378.0,37.0,1500,89320,36091807.0
2021-06-13,444.0,403.0,441.0,415.0,26.0,2357,159930,69660187.0
2021-06-14,463.0,423.0,424.0,441.0,-17.0,1210,68732,29698389.0
2021-06-15,428.0,406.0,410.0,424.0,-14.0,941,55734,23103988.0
2021-06-16,415.0,383.0,392.0,410.0,-12.0,808,39748,15768325.0
2021-06-17,409.0,384.0,397.0,392.0,5.0,686,21852,8546222.0
2021-06-20,392.0,380.0,382.0,397.0,-16.0,684,29029,11154248.0
2021-06-21,389.0,373.0,379.0,382.0,-3.0,511,15216,5739918.0
2021-06-22,395.0,370.0,395.0,379.0,16.0,431,16943,6472941.0
2021-06-23,414.0,378.0,378.0,395.0,-17.0,339,10287,3938060.0
2021-06-24,385.0,375.0,378.0,378.0,,391,13588,5146275.0
2021-06-27,390.0,375.0,378.0,378.0,,500,14232,5384814.0
2021-06-28,396.0,371.0,373.0,378.0,-5.0,422,20718,7769171.0
2021-06-29,375.0,364.0,365.0,373.0,-8.0,417,13517,4981029.0
2021-06-30,366.0,355.0,360.0,365.0,-5.0,322,8884,3181493.0
2021-07-01,377.0,356.0,367.0,360.0,7.0,414,11414,4171405.0
2021-07-04,370.0,359.0,359.0,367.0,-8.0,521,10541,3828549.0
2021-07-05,364.0,352.0,353.0,359.0,-6.0,404,9856,3507490.0
2021-07-06,365.0,345.0,351.0,353.0,-2.0,341,6545,2308450.0
2021-07-07,355.0,342.0,342.0,351.0,-9.0,279,8155,2825115.0
2021-07-08,355.0,339.0,349.0,342.0,6.0,329,10036,3447740.0
2021-07-11,372.0,349.0,370.0,349.0,21.0,385,9414,3394381.0
2021-07-12,373.0,353.0,358.0,370.0,-12.0,336,17708,6388428.0
2021-07-13,362.0,351.0,358.0,358.0,,248,9544,3423157.0
2021-07-14,369.0,353.0,368.0,358.0,10.0,252,6055,2200585.0
2021-07-15,380.0,361.0,373.0,368.0,5.0,363,12493,4680991.0
2021-07-18,384.0,373.0,380.0,373.0,7.0,496,15598,5905388.0
2021-07-19,387.6,373.0,380.0,380.0,,341,17563,6683892.0
2021-07-20,386.0,373.0,382.0,380.0,2.0,508,22393,8556624.2
2021-07-22,415.0,380.0,407.0,382.0,31.0,1507,121804,49445018.5
2021-07-25,431.0,408.0,421.0,407.0,14.0,1364,111176,46653941.6
2021-07-26,463.1,415.1,463.1,421.0,42.1,2296,227054,102196724.9
2021-07-27,509.4,463.0,502.0,463.1,38.9,2525,206927,103367047.7
2021-07-28,540.0,478.0,481.0,502.0,-21.0,1243,76583,37291022.9
2021-07-29,494.0,465.5,490.0,481.0,9.0,1024,90922,43782048.3
2021-08-01,539.0,481.5,539.0,490.0,49.0,2300,188288,99419488.5
2021-08-02,555.9,520.0,531.0,539.0,-8.0,1414,109108,58638238.1
2021-08-03,582.9,520.0,577.2,531.0,46.2,1421,120819,67822633.6
2021-08-04,605.0,561.0,576.0,577.2,-1.2,1227,162806,95515416.2
2021-08-05,580.0,545.9,548.0,576.0,-28.0,1093,86828,48848784.8
2021-08-08,602.8,538.5,590.0,548.0,42.0,1378,110745,64234918.6
2021-08-09,622.0,580.0,583.0,590.0,-7.0,1056,91197,54295570.8
2021-08-10,605.8,560.0,567.0,583.0,-16.0,920,94612,53803588.0
2021-08-11,622.0,561.0,584.0,567.0,17.0,891,72970,42109702.2
2021-08-12,637.0,574.0,620.0,584.0,36.0,1401,234936,139903859.5
2021-08-15,610.1,570.0,585.0,620.0,-35.0,931,85119,50143280.4
2021-08-16,605.0,570.0,591.0,585.0,6.0,893,36809,21845590.5
2021-08-17,650.1,591.0,633.0,591.0,42.0,1340,192480,122261693.7
2021-08-18,657.0,618.0,629.0,633.0,-4.0,1167,233257,146651355.9
2021-08-19,641.5,588.0,598.1,629.0,-30.9,932,46881,28533415.9
2021-08-24,586.2,543.0,556.0,598.1,-42.1,1039,64416,36143764.5
2021-08-25,568.1,524.3,535.0,556.0,-21.0,648,24046,13111474.5
2021-08-26,587.0,525.0,569.0,535.0,34.0,743,32350,18198640.8
2021-08-29,568.0,537.0,550.0,569.0,-19.0,825,36403,19932399.9
2021-08-31,561.0,514.0,519.0,550.0,-31.0,655,30438,15891530.5
2021-09-01,555.0,512.0,525.0,519.0,6.0,439,19194,10132605.5
2021-09-02,535.0,495.0,511.9,525.0,-13.1,450,31835,16159083.5
2021-09-05,501.7,460.8,460.8,511.9,-51.1,417,23416,10970492.1
2021-09-06,506.8,430.0,506.8,460.8,46.0,409,33898,16304144.5
