date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-04-19,298.2,271.1,298.2,,27.1,49,292,83244
2022-04-20,328,304.1,328,298.2,29.8,41,329,106284.5
2022-04-21,360.8,334.5,360.8,328,32.8,68,2937,1058227.1
2022-04-24,396.8,368,396.8,360.8,36,680,23368,9271630.9
2022-04-25,436.4,373,399,396.8,2.2,7100,117936,47099315.9
2022-04-26,406,375,390,399,-9,2831,31191,12240866.9
2022-04-27,390,376,385,390,-5,1694,19815,7563877
2022-04-28,392,376.6,377.4,385,-7.6,1267,17660,6718459.5
2022-05-02,371,339.7,358,377.4,-19.4,1328,33774,11962451.3
2022-05-04,359,322.2,324.5,358,-33.5,1046,39443,13000972
2022-05-05,323,303,304,324.5,-20.5,684,17917,5549899.1
2022-05-08,316,288.2,310,304,6,562,21258,6299497.4
2022-05-09,315,297,305,310,-5,401,9948,3057362.8
2022-05-10,315,298.9,307,305,2,350,16367,5017307
2022-05-11,334.5,303.2,325.5,307,18.5,445,21910,6908891
2022-05-12,336,313.6,320.7,325.5,-4.8,454,18554,6034107.5
2022-05-17,318,291.5,291.5,320.7,-29.2,505,15356,4628160.5
2022-05-18,307,284.3,305,291.5,13.5,402,16194,4804442.8
2022-05-19,306,290,300,305,-5,372,13565,4061736.5
2022-05-20,306,290.2,295,300,-5,269,7312,2198517
2022-05-23,295,285.5,286.4,295,-8.6,379,7110,2056800
2022-05-24,297,282.1,290.7,286.4,4.3,346,9756,2827623.2
2022-05-25,299,285.4,290.5,290.7,-0.2,266,4662,1359604.4
2022-05-26,298.8,286.1,291,290.5,0.5,234,9061,2637823
2022-05-27,295,285.4,289.9,291,-1.1,207,10340,2966138.5
2022-05-30,295,280,281,289.9,-8.9,303,6744,1910264.3
2022-05-31,280,271,280,281,-1,299,9538,2627646
2022-06-01,282.9,271.4,276,280,-4,233,4880,1348068.5
2022-06-02,279.4,269.1,271,276,-5,230,5733,1557999.2
2022-06-03,277.4,266,271,271,,280,9615,2608741
2022-06-06,279.9,270,270,271,-1,284,6687,1832029
2022-06-07,273,260.2,261.1,270,-8.9,241,8189,2171584.4
2022-06-08,287,256,275,261.1,13.9,276,11467,3074503.3
2022-06-09,280.5,265.1,265.1,275,-9.9,249,7513,2031446.5
2022-06-10,291.6,270,291.6,265.1,26.5,452,27782,7899947.1
2022-06-13,320.7,297.4,320.7,291.6,29.1,701,33483,10676181.6
2022-06-14,352,296.6,300,320.7,-20.7,1625,59615,19050231.4
2022-06-15,306,279,290.5,300,-9.5,559,21862,6338644.2
2022-06-16,310,280,302,290.5,11.5,448,12338,3658695.7
2022-06-17,308.9,292.1,300.5,302,-1.5,295,11414,3459292.1
2022-06-19,298.8,288.3,290,300.5,-10.5,399,12859,3768696.2
2022-06-20,284.2,274.6,277.8,290,-12.2,348,12882,3587901
2022-06-21,291.7,274.4,290.7,277.8,12.9,295,13189,3758082.3
2022-06-22,286.6,278,286.6,290.7,-4.1,229,9925,2800704.8
2022-06-23,280.9,266,266,286.6,-20.6,250,11732,3163252.5
2022-06-24,291.7,255.1,276,266,10,200,7344,1969275.1
2022-06-26,299.5,276,298,276,22,352,15762,4571965
2022-06-27,300,283,287,298,-11,308,14028,4094553.3
2022-06-28,290.5,277.1,284.8,287,-2.2,268,11636,3297982.7
2022-06-30,323,303,316,308.2,7.8,513,25445,8055793.6
2022-07-01,322,307,309,316,-7,272,17724,5541375
2022-07-03,326,303.1,322,309,13,516,32513,10277178.3
2022-07-04,331,310,325,322,3,649,37440,12031842.1
2022-07-05,331,310,315,325,-10,472,22821,7240142
2022-07-06,316,305,315,315,,465,12869,4011029.9
2022-07-07,326,309,314,315,-1,304,16030,5009391
