date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,870,870,870,860,10,2,38,33060
2010-04-20,880,880,880,870,10,1,67,58960
2010-04-21,863,846,846,880,-34,2,69,59224
2010-04-25,830,773,773,846,-73,6,272,217685
2010-04-26,760,696,696,773,-77,8,795,569782
2010-04-27,690,676,689,696,-7,11,661,451640
2010-04-28,724,700,724,689,35,12,590,418264
2010-04-29,796,738,796,724,72,9,441,342606
2010-05-10,875,795,874,796,78,17,517,429177
2010-05-11,930,890,928,874,54,16,531,484294
2010-05-12,965,912,965,928,37,19,495,465729
2010-05-13,1006,951,1006,965,41,21,725,702966
2010-05-16,1025,961,1006,1006,,11,225,222615
2010-05-18,986,906,906,1006,-100,9,545,504522
2010-05-19,900,842,861,906,-45,16,1361,1170282
2010-05-20,890,878,880,861,19,7,478,422160
2010-05-23,910,897,910,880,30,6,885,797574
2010-05-24,900,875,875,910,-35,7,314,279446
2010-05-25,924,890,924,875,49,8,456,412093
2010-05-26,960,942,955,924,31,8,866,823786
2010-05-31,993,936,950,955,-5,18,1204,1160428
2010-06-01,940,923,925,950,-25,6,306,284850
2010-06-02,925,925,925,925,,2,69,63825
2010-06-03,915,915,915,925,-10,1,158,144570
2010-06-06,910,882,882,915,-33,4,225,200676
2010-06-07,880,880,880,882,-2,2,145,127600
2010-06-08,897,895,897,880,17,2,203,181943
2010-06-09,900,895,900,897,3,5,322,289190
2010-06-10,910,900,910,900,10,5,487,440379
2010-06-13,915,900,900,910,-10,5,439,397660
2010-06-14,900,882,882,900,-18,2,122,108270
2010-06-15,899,899,899,882,17,1,12,10788
2010-06-16,890,890,890,899,-9,1,49,43610
2010-06-17,894,890,894,890,4,2,59,52610
2010-06-20,877,877,877,894,-17,1,26,22802
2010-06-21,880,880,880,877,3,1,108,95040
2010-06-22,885,875,885,880,5,3,215,188860
2010-06-23,900,885,885,885,,2,114,101100
2010-06-24,885,885,885,885,,1,100,88500
2010-06-28,880,870,870,885,-15,3,123,107915
2010-06-29,860,846,846,870,-24,2,142,120748
2010-06-30,850,835,835,846,-11,3,120,100760
2010-07-01,885,851,860,835,25,8,633,545490
2010-07-04,850,834,834,860,-26,6,675,566871
2010-07-05,830,804,821,834,-13,22,2117,1728893
2010-07-06,819,805,819,821,-2,3,579,467904
2010-07-07,830,820,820,819,1,4,660,544482
2010-07-08,830,830,830,820,10,1,40,33200
2010-07-12,830,830,830,830,,1,25,20750
2010-07-13,832,832,832,830,2,1,94,78208
2010-07-14,840,810,810,832,-22,15,1810,1475624
2010-07-15,816,800,816,810,6,2,178,144000
2010-07-18,821,821,821,816,5,2,198,162558
2010-07-19,835,820,820,821,-1,4,256,211936
2010-07-20,836,830,835,820,15,5,371,309327
2010-07-21,840,835,840,835,5,3,663,554810
2010-07-22,845,845,845,840,5,2,123,103935
2010-07-25,855,845,850,845,5,5,181,153670
2010-07-26,845,831,835,850,-15,5,174,145234
2010-07-27,830,819,830,835,-5,4,234,192328
2010-07-28,815,800,800,830,-30,2,401,322270
2010-08-01,816,800,816,800,16,2,383,307200
2010-08-03,820,820,820,816,4,1,104,85280
2010-08-04,836,820,836,820,16,2,60,49360
2010-08-08,830,830,830,836,-6,1,42,34860
2010-08-09,830,830,830,830,,1,80,66400
2010-08-10,840,840,840,830,10,1,16,13440
2010-08-11,830,830,830,840,-10,4,135,112050
2010-08-12,830,830,830,830,,1,243,201690
2010-08-17,820,799,799,830,-31,6,126,102452
2010-08-18,800,795,795,799,-4,4,337,268975
2010-08-19,785,770,770,795,-25,3,182,141865
2010-08-23,755,755,755,770,-15,2,40,30200
2010-08-26,740,735,735,755,-20,2,154,113505
2010-08-29,725,725,725,735,-10,2,130,94250
2010-08-30,712,710,710,725,-15,2,341,242626
2010-09-02,714,696,714,710,4,5,734,513008
2010-09-05,711,696,696,714,-18,4,132,92620
2010-09-06,690,690,690,696,-6,3,243,167670
2010-09-07,705,696,705,690,15,5,800,558800
2010-09-08,717,701,717,705,12,6,640,453800
2010-09-09,709,700,700,717,-17,7,679,477737
2010-09-12,705,700,700,700,,5,445,312825
2010-09-13,702,690,690,700,-10,8,780,543026
2010-09-14,700,690,694,690,4,9,687,475122
2010-09-15,692,685,692,694,-2,11,585,403500
2010-09-16,692,679,689,692,-3,3,220,150900
2010-09-19,690,675,681,689,-8,12,722,492951
